All Night Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Little Love (feat. Grace Tither),5FQUb9sBnjA2Cd0lujJ3hr,Blinkie,0nJcDqY6ox4kHB92AuRA8j,Little Love (feat. Grace Tither),6lHj117hPNngTDVKswcP5x,59,https://p.scdn.co/mp3-preview/bdeede3cce848c46161184f185e69a78cd73c238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Was Lovin' You (feat. Dots Per Inch & Ayak),5fOJe6vJ3vJXMrN6v362WJ,James Hype,43BxCL6t4c73BQnIJtry5v,I Was Lovin' You (feat. Dots Per Inch & Ayak),4ezQbrx5XOoMMfx7Ux7TAC,66,https://p.scdn.co/mp3-preview/91d2ab4c9070c7fc3bcbd089cb0f51b90f24acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,About You,2dzmO8gQgQQBFchqng9MKx,Papa Zeus,34Q1USAO0pv4gNxcnOKNav,About You,3p0BU885ZO6h15ShwrV0kj,63,https://p.scdn.co/mp3-preview/d8970aab74413bd8433fbab419383ed7fd0c1042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,After Hours,6qLkMLUIkdtX34gHF9sPFL,M-22,4WFtYn5RyU8VGPpPyW9Pxw,After Hours,1LD7wfM8EYjricnmu1EpWQ,68,not available
14,Solid Gold - Illyus & Barrientos Remix,4s4zrXirxpmFK0oanVjWBV,PNAU,6n28c9qs9hNGriNa72b26u,Solid Gold (Illyus & Barrientos Remix),1x5qehYOx8lO1vu51lnjPf,45,https://p.scdn.co/mp3-preview/572f2affb7b90d31606d6e99a3cd3f4a8503434f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Freak - Joe Stone 2K18 Edit,2xbRwcylUnX881qaqf5ZZJ,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Freak (Joe Stone 2K18 Edit),2gDbE9WrayhjpbI1gEhe0t,71,https://p.scdn.co/mp3-preview/0a425a911679877b6d2a7bb5a4ae764cbb59239e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Dilemma,03druhrRJ5f3MJYg38NF2c,Sigma,01pKrlgPJhm5dB4lneYAqS,Dilemma,00BfFTfksSFZD9HiWqfTFR,62,not available
17,Pretty Baby,4EJI2XGViSQp6WscLKgYDD,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Pretty Baby,3z2v8LSyrSGvCc8vOSLNCi,59,https://p.scdn.co/mp3-preview/5dddf5fb384e2f7a6792292a1facb260b15c224c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Happy People,7AFvQJ4osDwjyXC9KB2f2E,Wh0,132Hhe61bhvXtkygENHZHA,Happy People,3Gvqx8oQJgzuHvBY89W1ZQ,53,not available
19,Promises (with Sam Smith) - MK Remix,31rOPFFrOs33oQcfBKaUPe,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith) [Remixes],7g15PlMnaKmFMUsSpR8aZt,52,https://p.scdn.co/mp3-preview/57a12d2047543439ed2c569fba9d3bafa457c3e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,All About You (feat. Mull),3hRCtSyFLhWsuSQsT0a8TL,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,All About You (feat. Mull),4QZmAku11179D1wzeWoRn8,45,https://p.scdn.co/mp3-preview/b76580b305dd5059f5d6cec7d0723d61faa62033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hotstepper,7DC0O3pMpDFefdk51dr7pU,John Gibbons,72luDUYRlE8N8lPSgyhiwo,Hotstepper,0fCWjsxczZ1k3LBAzuGnVe,69,https://p.scdn.co/mp3-preview/188ae3855f59648a996172679505b9bd0d8b0902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,In My Arms - Vocal Mix,5gv6VYPKge6OyVkkhhBacn,Ferreck Dawn,3cnAJv9gydgm52KFIsdvO8,In My Arms (Vocal Mix),5XN5RSXFRdeK67yCcqj4vw,61,https://p.scdn.co/mp3-preview/67ef2aa89577f0e30dc5baa893ae13239927364f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Everybody Wants You (feat. Sam Fischer),6bXi3POdPDmcJJ2A43pLIw,Black Saint,7JMPwFdbHhPe46HDJXKhA5,Everybody Wants You (feat. Sam Fischer),4fGbB2oX0mUJWRpYJpf1PU,55,https://p.scdn.co/mp3-preview/b8f264d476a405d35b0c77d1ef69585066ead44d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Pump It Up,0GiwV6v3AgJfdu59tj719Y,Endor,6F3vLfyutkUhpM50G84eMt,Pump It Up,3D8C4a5lYbpEu5bPQmOpJj,65,https://p.scdn.co/mp3-preview/8644bc59bd6cba7995a2a24590f15913e18e5454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,AJ Tracey,0vrKGjXSGcTsxNGxQdXT5p,83,https://p.scdn.co/mp3-preview/d9f524a216cfdbee1ebfc063a7d3ecf09caf224b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Crazy,40YHYSTnIo0l6Z5Nvti9xl,Pink Panda,4DBNGKCWVHaxuDNBAgTiJH,Crazy,0qnl8lEORPWMyPXJx9YwFW,48,https://p.scdn.co/mp3-preview/3913303d6ab8d130152fa6eb4dbe24ea05a26c22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Down By The River,54CEeDq1YRLtPOvVsNbxbF,Alphalove,4G59kHVfufDsMkwVr5pb2R,Down By The River,4XniWmWZjX1LvgnNo5f17a,46,not available
28,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Repeat After Me (feat. Melissa Steel),3t2Cyq3GntNxnffzRRlCLp,Nathan Dawe,2gduEC76ry33RVurAvT05p,Repeat After Me (feat. Melissa Steel),6xP8h3MXi0cfTo2qx3ut0g,59,https://p.scdn.co/mp3-preview/d96ac94550c45898b7e1d6bd5129db417053918b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,How Long (feat. Kate Loveridge),6ibXCGpERXRnsupH52BNF1,Hannah Wants,7sK4hnuUOXw6VStDw0q8NI,How Long (feat. Kate Loveridge),6h77oBSlHHirXxxU3b4fW3,51,https://p.scdn.co/mp3-preview/a75365792f82696bc893017a53359ae167d72c82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,69,https://p.scdn.co/mp3-preview/c4944bb413385d86fd1a4c7f1685ea108cb4ca28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Take Me,1By1ldFnEnvZI47HEeTHk5,Phil Fuldner,1DKPQBaKEzmQzWG1GwJoXT,Take Me,4ZTsEtIrFPFXGo6eXt06Zk,51,https://p.scdn.co/mp3-preview/36dc0460e55338546e5e255ef6d6c273f0916798?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Break Up (feat. Kelsey Gill),2c0oLbC058vGMb89pAJ9EZ,MRK,7vX253va0fqx0oGl2KuW22,Break Up (feat. Kelsey Gill),4Id4enKhHcA7Wuz9kWHVxp,55,https://p.scdn.co/mp3-preview/5e6afcd5948cd8b25252cf5d5eba6e4e0f5cd2a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,So Real (Warriors),5ElvxQOgTTUTjVfa1uhhFv,Too Many Zooz,72rZmJbRFSY6IFJAysfOdr,So Real (Warriors),08wVcFCxBwLdeODnKPcPjp,53,https://p.scdn.co/mp3-preview/41784b6ae5e82bc0a360f05795af75a31d0f8f1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,XTC,7CN6ZYIX338ekn7pb2CpQp,Solardo,0oO1IaDOBSeI96HbnCa5pZ,XTC,1WAa8GJB9nzUWjT0H5ZXCl,71,https://p.scdn.co/mp3-preview/3b60e63740e09c40f53e2fe8bf56d7d222b02c28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Would I Lie to You,1DV5T7iCGaC6D39aNDdxTv,T. Matthias,2R7k2SovVWGhTcvPx1JbQv,Would I Lie to You,3gou6fLwfvhxbKWfS6Iy6A,56,https://p.scdn.co/mp3-preview/0939a7ee2700552c675f5315ad1f3ab64d18236c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,What Is It,762vNiCFtKfWLdnalxefgI,Kideko,0ZwQMCRqfyh1OGQkBh9Cnj,What Is It,1KgSI2LG3nvJ6MBfGe0pGT,58,https://p.scdn.co/mp3-preview/c0796f43549682c93925f156fb604ed4ceb4ba94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fuck Ur 9 To 5,1uvLOiIQ4vGhtMXloQBGPz,White N3rd,6o8NPPbOS8GEOfKzfEIUjq,Fuck Ur 9 To 5,0yzQoWENolRApsLOU7hXUV,45,not available
39,Post Malone (feat. RANI) - Joe Stone Remix,43XVdVydjpHCCGMrsjc785,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [Joe Stone Remix],45nsubB5EsRVWWqx0ED1ET,60,https://p.scdn.co/mp3-preview/3889c3377451e0a426314f5a73992559f0d9bee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),4ehMluxEHC7c7Lp4blCUkW,66,https://p.scdn.co/mp3-preview/5d596bfe62a2fb24b77a32b1013520b261efaf7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,All Night,20gJD9mjmNzzN5XJDkvmx9,Example,6Vh6UDWfu9PUSXSzAaB3CW,All Night,1PdaxE6A89ym486RrW5gIj,63,https://p.scdn.co/mp3-preview/b256a943e1e0d7412e75eb71d15b72bd902ff80a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Amnesia (feat. James Newman),06oqVX9orUy5UwApYNjmMT,Jacob Plant,2PJ1vRlkfKUxNzkNqYlalv,Amnesia (feat. James Newman),04ZCxYDIVM33FlZ3P8JiCR,46,https://p.scdn.co/mp3-preview/f3d2ae9cc008d66d4a01deb6953956422560fde7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,You're My Life,5wBZLsoQtQcYRCo3qGaYWF,Low Steppa,5OImcY3khBn9UFjzgaapob,You're My Life,6vRmPTUdGzStoM1euJaqaK,54,https://p.scdn.co/mp3-preview/bae60308bec2674162d5d6bb46719e2da40a3fbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Let Me Take You There (feat. Laura White),5tuOGRYPjh5lV6M5zbNRNH,Max Styler,3NKKngINK1tP6BFy0WOyWk,Let Me Take You There (feat. Laura White),32DjFgVCtLPRz3HNJCEH9S,60,https://p.scdn.co/mp3-preview/83309409cca1f6b89b2874bf5e72aed35a523044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Switch (Follow The Drum),77MBbWqaUkiGzg2ARBWkih,Jansons,0gztzLIt9uRDJd4Jl9TSLY,Switch,4DcI1rCyoUC9J9wdEeyFj0,45,https://p.scdn.co/mp3-preview/9e98cab656638f8b90aec14d0c59e09e12240c1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Not Over Yet,2eGLZZF5hV7rD62oXJtW5y,Majestic,6QMABvTzixnxzsLYyhqRxI,Not Over Yet,6LQgVrRNqNxgvy0DBP6kFZ,52,not available
47,Quiver,6gfdc0sgLQvolZteBTRCDY,Darren Styles,2gZzTzeACSwFqkMroVxmnm,Quiver,36MIS2T9fOpiTdSew0yB5L,57,not available
48,Dominos,6hS7DkkmubOhItH22y2QLY,Chasing Abbey,6toMXnM9tcozz7OmgxWtZg,Dominos,5lhHlbJs2GZ9iWkDSTwAh3,48,https://p.scdn.co/mp3-preview/629505a794cc9412ea9a7cf97f691486bb290780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Miracle,2lPSvn7iahl7I2L4HVtF0N,HRRTZ,6VpuPMBN4oVa62K1wS9bGS,Miracle,1gMIepNfM5QOJA100tbErJ,58,https://p.scdn.co/mp3-preview/3171360518232c11585aa7e1acfe24481ac181db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Changing,56SkLjnwBXnAkHSf6jBPk3,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,62,not available
