Monday Motivation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,6NHS3hV16MZyfcp0nSHdrd,86,not available
11,Dancing in the Moonlight,0w07a1vsKahQMM0RnPXHVT,Toploader,6xeFne1rkxMhKSW3ipvkdV,Onka's Big Moka,1U8WGKT3mIvxtoJZ9D3UDz,52,https://p.scdn.co/mp3-preview/880d4af15de80a4294607efb1a2081a137859861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),1V9oE8bVilClrk5naqyyvL,89,not available
13,Hypersonic Missiles,4fB1OI42wuC0SirSR64qc1,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Hypersonic Missiles,0cIY9UjncDVIROjKfityxc,68,not available
14,No Sleep (feat. Bonn),1ahVFh0ViDZr8LvkEVlq3B,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,No Sleep (feat. Bonn),7KJTuTXYSnBGNgAxte3CSg,79,https://p.scdn.co/mp3-preview/09f423ce9a3235ab29947446e4d88a36a97f72a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,High Five,5vqHLzf7taArjOT4yzlSJG,Sigrid,4TrraAsitQKl821DQY42cZ,Raw,1VyusuPKHWr2fC5l77hi1L,15,not available
16,Don't Worry Bout Me - Rudimental Remix,0YftavVa8tCdwosp2yR1PQ,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Don't Worry Bout Me (Remixes),3oEW0zWluwima7PXrGi8aF,48,https://p.scdn.co/mp3-preview/b5855e79d8f5da35bc9638b92f85d882d02e06a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,84,https://p.scdn.co/mp3-preview/0f2bfeddc5705a09caf868f7e5aebf7e9fd8b6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,83,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Came Here for Love,3kGfazcbVvVkuZunzlLgTD,Sigala,1IueXOQyABrMOprrzwQJWN,Came Here for Love,22x1g0NEicPMxuEOXlGUw5,71,https://p.scdn.co/mp3-preview/f5bbef8a26bb260247e53b4754503f6f8dba67ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Body,2fCUI41zhGk9isZnOMfxSP,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,4SMZp8XZngy7Iqx7iiN3v1,70,not available
21,Barbed Wire,2OIc2YILxV97aw4gtEUWHn,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Barbed Wire,4xxnRJnqLlBr9MmwJe5FAN,10,not available
22,Trigger,72vp1y2QLIPeAmIJWaNqZY,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Speak Your Mind (Deluxe),661ouXU4o4oBewWvVzQN7H,7,not available
23,Capital Letters,0m6TrXRLlNFLkOGiW38kDf,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Fifty Shades Freed (Original Motion Picture Soundtrack),3hXz1dCjtLebg2PabyUKJZ,12,not available
24,Strangers - Jonas Blue Remix,5ELnUAB8NAYoGF6bQ8Z84g,Sigrid,4TrraAsitQKl821DQY42cZ,Strangers (Jonas Blue Remix),2MMgXrYCLrXbnCtl2sKwgj,4,not available
25,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,91,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Found What I've Been Looking For,47XydooZAZp5IoUNimBeo1,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Lighting Matches,71OGF1wv6y2vsWQWgxZN1u,4,not available
27,Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Woman Like Me (feat. Nicki Minaj),0LwHCgw6mequ1dExqQEFpS,74,https://p.scdn.co/mp3-preview/4e8ab6afd021acd750b39651adb4d521391daca6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,78EicdHZr5XBWD7llEZ1Jh,90,not available
29,Sun Comes Up (feat. James Arthur),6SUocL0caib4mLHe8ZrZzi,Rudimental,4WN5naL3ofxrVBgFpguzKo,Sun Comes Up (feat. James Arthur),5UGyzp6HT8oy0eTkBfxtQ8,67,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Talk - Single Edit,3QNuzLtjHZ18EcNMbt6M91,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Talk,0po4dvervmBYcVIX0nMBo0,56,https://p.scdn.co/mp3-preview/b45a1a1994144fe64cedec63d685e2756feb0275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,No New Friends,3Y7a0typ6ik1KscmebXd6D,Sia,5WUlDfRSoLAfcVSX1WnrxN,No New Friends,53xHggSRIfHec0bA1oyReb,31,not available
32,Dance with Me Tonight,1FSWSs9CL01RCYxXtm08Rf,Olly Murs,3whuHq0yGx60atvA2RCVRW,In Case You Didn't Know,2OvZ8JCShhvxNkptwoGjve,68,https://p.scdn.co/mp3-preview/882a4b1505b9bedf8fe156080cebb23193b3540b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Don't Kill My Vibe,2IOViM71uj8xksoqLb8TCm,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,0oNBsmqlY0PBPGhJiRwUQY,54,not available
34,Build Me Up Buttercup,3XcuLPQb1LG13ZJEEa6wUI,The Foundations,4GITZM5LCR2KcdlgEOrNLD,Build Me Up Buttercup,0AFXSZYiYyggIkcYW5GK0x,67,https://p.scdn.co/mp3-preview/909f4de04447160b7e70745b872f953ff531e957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,9 To 5,5UWYJWoVXRpaLuzzXmHqg8,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton Slipcase,4QrOzl1g2R19A8b2mjGHGx,20,not available
36,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,6MDME20pz9RveH9rEXvrOM,I Miss You (feat. Julia Michaels),78zct4Yn5hwMqrlh5uQedB,26,not available
37,Waves (One Bit Remix) - Edit,1i0HlWmHrKFv8bIIuqwvIW,Jeremy Loops,0Dct2Gu0qEbgGRjfaxew8g,Waves (One Bit Remix),0wrB09KcBne6IC82KK1HPW,5,not available
38,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,0agqVZjOqVtqHkq3pTFPXb,41,not available
39,Keep On Movin',0mrU1w2UMIZnR2I6oguwGz,Five,6rEzedK7cKWjeQWdAYvWVG,Invincible,72qAXkZ8keSUHe55hhEVQG,60,https://p.scdn.co/mp3-preview/8e510e90ee75c68cbc2db6b532dd6dd0a8462aa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),1XYA8eDvomdYTbQBzk0jT1,78,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)",3ggBBGRhkDVAu7pQRXRPXO,82,not available
42,Turn,11IJA30efHAJLO3qroPh5L,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Beautiful People Will Ruin Your Life,4kUbTSoTsbKP5MRdYMDBx1,66,https://p.scdn.co/mp3-preview/e85b7db61e6c5ecbccebf62a0df129a39c97d8ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,The Best - Edit,2W2ieVidLIx9TDvxu0ZT6F,Tina Turner,1zuJe6b1roixEKMOtyrEak,Simply The Best,1ZFC0iOKUp4M16eHXVaeG4,72,https://p.scdn.co/mp3-preview/738d50b081e945b2ef2b392e902571b261b92ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Symphony (feat. Zara Larsson),4b13SJlne61y53KSEwuQtD,78,https://p.scdn.co/mp3-preview/45e100c336ff5ebbc5bdbae4224f25aa08fa9ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Is It Really Love,7wo90naUfmLhNzVp1eCc8A,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Is It Really Love,6kTYzs5sP42Nkpx9crT4SV,59,https://p.scdn.co/mp3-preview/b52eda54427f3e2675990a435cbb1b369da2dfc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Talking to You,3N08HLCSwOHhMQKJGIZ7rE,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,A Moment of Madness (Deluxe),6WXQ0B8rjNLOsgjwSy52Ww,51,https://p.scdn.co/mp3-preview/65f95bb2a91afdd2c8e2eb6aa89ffb1ab2a74d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Euphoric Dreams,1YzEaZWQHeEGAQADZFA1of,Krystal Klear,0jqr8aeeHSn5pMEVD4aTrI,Euphoric Dreams / Miyoki,7MuNH6SoTT5d8JWf5uJWB4,55,https://p.scdn.co/mp3-preview/7103020118273bbce14939d2b6a9ad166c764f47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Don't Matter Now,7eGpQgpepXm1MJ80Zhoipv,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Don't Matter Now,1dGhzWhCsD4j5ho8KaOiJN,8,not available
49,She Moves In Her Own Way,5xoUgPXbMNUmoHU0Enwtwq,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,Inside In / Inside Out,03JPFQvZRnHHysSZrSFmKY,72,not available
50,Suddenly I See,0UACObCoT1QlNDYroo7EJC,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,Eye To The Telescope,1JeXaWReXIrN1lADO8uoYx,63,not available
51,You've Got The Love,4eH8TpawYJMjcDvC0LDHYv,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Between Two Lungs,3cVNp1AXxdzoKIs9r6keWU,16,not available
52,Shout Out to My Ex,1pwo8l3Ko7idwaz4LVUEC4,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Glory Days: The Platinum Edition,5DL2Z5x7UJsWH1HhE9j8nd,78,https://p.scdn.co/mp3-preview/fb17e75dea586966e6ff6d4a852453737a2448b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Fill My Little World - Edit,05ylwB7GLI1gxjUW6WCymy,The Feeling,4AksvCnkZaQoTu1nJr62Db,Fill My Little World,49s3f6CMY4BzcSLX19YEBN,52,not available
54,Little Of Your Love,0dHM31MLd2F5jzNPDMHOpN,HAIM,4Ui2kfOqGujY81UcPrb5KE,Something To Tell You,3EFSOzgqaOQqJCMAMMn4Cl,55,not available
55,Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Your Song,6lrm01OVZZVmarH2XLSAXZ,74,https://p.scdn.co/mp3-preview/91a31303c4101d8cdd1a7a3894644cc236c6e776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Flames,3B8J3BMp7lMA5YR5bUXHGK,78,https://p.scdn.co/mp3-preview/825f6901f430e501706447d3704c2953163ff8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,All Day And Night - Jax Jones & Martin Solveig Present Europa,33CfD8UkDEcSdAP9j4QpUY,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,All Day And Night,1VQjtx21AAQnQe442bJssW,77,not available
58,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,Higher And Higher,4OgYmImCWz3VK7At9GTWHN,68,https://p.scdn.co/mp3-preview/6c11178b8aab778d455e09f9f33754ffc55c0de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,She's On My Mind,2nuveZFpiOildSCxXuL44C,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,She's On My Mind,1Fk65av5KWeuAYGKLOoru9,8,not available
61,Aboard,30P4mjOqazLKIYfs5Rq3Hi,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Lighting Matches (Deluxe),3NBXFA91U38BuJt3SlMwlI,51,https://p.scdn.co/mp3-preview/2c7995987caaa25d8a002433df2c5708e94814e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Elvis Ain't Dead,0Vkp84E4KHl53MtEz1ZkIK,Scouting For Girls,2wpJOPmf1TIOzrB9mzHifd,Everybody Wants To Be On TV,2KM0DLkTJv8Smpn7mxZIrZ,35,https://p.scdn.co/mp3-preview/715c3673c9d786b825806d8cbf821189b9917159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Freewheelin',0fusqEZznLhqoNNdHllbgg,Jack Wins,5v8ZROs9c26k4yGMxUkebt,Freewheelin',7dGe2rKO7eIguBrhQUaplp,58,https://p.scdn.co/mp3-preview/cd326f76750db20d3dbfac2335d0018291cef55c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",40MGrRtaiNC6OHgFulvhPg,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",74V3lWfJxGDiSlDV03Ku22,49,not available
65,Bear Claws,5B892it94GTN2sM3hFLD6M,The Academic,3VLf4DlBTN2ZRwygS3TNti,Bear Claws,493cTHWf4X2ciRnNPnttvD,3,not available
66,Cut To The Feeling,11dFghVXANMlKmJXsNCbNl,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Cut To The Feeling,0tGPJ0bkWOUmH7MEOR77qc,7,not available
67,Dog Days Are Over,15ya59dZ8yGeIfZARiYDjd,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (International Version),2Zm1iyTqpaIKqCCisX28Uk,21,not available
68,365,2XWjPtKdi5sucFYtVav07d,Zedd,2qxJFvFYMEDqd7ui6kSAcq,365,7DMS5dzWQu7R3D59CKw4TA,79,not available
69,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1djwiQ802xeU8Q45jv1b0x,68,not available
70,Emotions,2jPylaimdnpQ8vT3NBdqSO,T2,4Q5MS10mWfrDyiXVeAAzVd,Emotions,7IrWGC18xlF30ijAGqpG78,49,not available
71,Who Do You Think Of? - Zac Samuel Remix,4OG1sVvF2eN0Kvv3dDR2j2,M.O,6Ur6METz02CC9zcJWDFicC,Who Do You Think Of? (The Remixes),4RWLt05Ic1uIIIMxBWcuGB,2,not available
72,Love Machine,4G2CzdlKW7Ntk42eyN7hBe,Girls Aloud,12EtLdLfJ41vUOoVzPZIUy,What Will The Neighbours Say?,6aUJ1VCdUVIMkzcs1kd16o,8,not available
73,Reach,26ncGZfPWquaQ4PfTCcsID,S Club 7,1kM5rgJvkiDMOoKX56H6pX,Best: The Greatest Hits Of S Club 7,3WMCqcQhRtuJAJPRZtxS1U,59,not available
74,Mixer,58pJZsMEPXmYX8gvXWyt3V,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Mixer,6xPqva9kzYP8usdKOUiHdn,63,not available
75,Gone,4UQeq4HUvC5uPEA9pWTgPW,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Gone,1Z4Y3sPwR7D7PzPhnjpnbX,72,https://p.scdn.co/mp3-preview/d24b760a09b2ebac420a7248788549e54d112d5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Power (feat. Stormzy),02gj0J38nzyO9lNi9mzi3A,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Glory Days: The Platinum Edition,5DL2Z5x7UJsWH1HhE9j8nd,72,https://p.scdn.co/mp3-preview/3405c2c6755b12a07cc292a025723c65ef45f986?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Not Yours Never Was,0yBUmh8qLAsYAiR9ODXIb2,Hannah Jane Lewis,62ih54WQXcbwFrvhffPxcq,Hannah Jane Lewis,3qCY2WiIGsyoPTBR0Qkblo,49,https://p.scdn.co/mp3-preview/ebd12bbd62bbaedce19714a51b5d666f3afe300d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Dreams,4rV3AYCf4BBBCkIpyLPwUP,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Find Your Way,3G14jXmb8ul7FmkRnPZooj,65,not available
80,Young Hearts Run Free,3MFa9idQuY4iJLWsZl3tIQ,Candi Staton,3S34Unhn5yRcaH5K9aU5Et,Young Hearts Run Free (US Internet Release),39ntuIhbcC8rsmRV2qXkmZ,65,https://p.scdn.co/mp3-preview/b0b96bb7e0e4f151ce0c64349e74cfc11cba326b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
