Push Button Funk,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,The Only Thing I Could Wish For,128PRIJPgVA22JJBAJLau1,Angela Bofill,07CTbCcLVHYwZqp1YMdf4t,Angie,4KcGzOQSldZRGG7NTVkdUy,30,not available
14,Good Morning,1cTN1GSNZkntCmHS8VqO90,Wilbert Longmire,1b4R2UaNj0PnN7fIF3HLTA,Sunny Side Up,252prfydxcdqee8JyCULEl,0,not available
15,Get Off (You Fascinate Me),4XSMkeBL6fiRhtVHNcuPl3,Patrice Rushen,1mNnxxnPfHQDOkFjnZmdkc,Now,7k3jzaJ1TtaLQuezOr8vP9,1,not available
16,Day by Day (feat. Al Jarreau),1eGRGpas8LsrUawy7ebWMZ,Shakatak,5FFtX4eFjh2vZQEl31d2XJ,City Rhythm,6LoKU7VgFi359SpZ3v91ZL,42,https://p.scdn.co/mp3-preview/1bf78887b85536249eb4cf011e6d8c13d46c4c5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Sexy Dancer - Original 12"" Version",0mxZOrwuH1mAM6WHTlMmv5,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,"Words, Sounds, Colors, & Shapes",6APvdOVCHc6rA2RtlYBJ0V,27,https://p.scdn.co/mp3-preview/e037d4c8a46e91342a876ca51ba7bf596f2a07ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Funk Around the Punk,7cFFvSaiQVI9ma3zltHiH2,Cortex,7EhUXju6pssa8o3CvFJTew,"Cortex, Vol. 2 (1977)",5LYCysxx2YQYVqJvtjRRUm,0,not available
19,Mt. Airy Groove,4MAHOtOY1TwYzW2wTZx9BP,Pieces Of A Dream,70BRQ5tBte6kVqHviL3srE,We Are One,6snDEeIvjDKi0G1B1kSd0W,34,https://p.scdn.co/mp3-preview/d5be2cf7a55dc131520017ecd9cf912047fff6cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Imagination,2j7GGCfqT7YFRmGq8w3ANf,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,High Crime,2Di5iUantEOvmpSg5cXoYs,32,https://p.scdn.co/mp3-preview/797be2120f20505439b2103348150bca898e6372?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Can You Dig It,1hB1i8042VFfnDmafsyD6k,"Grover Washington, Jr.",05YVYeV4HxYp5rrWalvuE1,The Best Is Yet To Come,3SrCG7WONTLo53KVrLdHio,29,https://p.scdn.co/mp3-preview/2a057ec6f3d7bfe6d7d4351e0f584f382f8600d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mystic Woman,7mtSuCfedRTDbs22EnejXb,Lonnie Liston Smith,2hdpXvaQJHBCZIVUd6cLvK,Dreams Of Tomorrow,4Wa4eIayWkrVtaA22cbmph,28,https://p.scdn.co/mp3-preview/f368e5329be294b75b6182b61b89c9df6f53fe13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,On The Boardwalk,6CwY29qbNqlygOZytxNA3y,Lee Ritenour,1nDqTUspmq8IXhcEZT93iq,Rit/2,023ZRNUSFHur25DYxr61ac,1,not available
24,Incognito,2cvBZsh42Qhkv7vXHIf2BV,Earl Klugh,00Nnsh2ykMBYnCDsSFGXSY,Soda Fountain Shuffle,34u6zcMDFqJxlXW1xs8JVj,30,https://p.scdn.co/mp3-preview/ee12adb2181d376e9644ae1534f1ab551148eac9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Pantomime,305kHrs0VKV81cejdt2h0m,Slickaphonics,3jn8EQAFai41PUAscet50h,Modern Life,4qxAwxjtmT01fGMNflWfGT,0,not available
26,Lenore,6tgqAuaIBeLPJ5BT0gHGXY,Chick Corea,5olDKSsFhhmwh8UCWwKtpq,The Leprechaun,5LgTftycwv8VblrKTkEDZx,0,not available
27,Kristen,1pqAei1HxKoKXLP3m080VP,Jeff Lorber,1SaH16LT1AWVsBU8AKY4HN,Private Passion,1Fm072CXKDM6zUVyLSWxYo,28,https://p.scdn.co/mp3-preview/4cb69f20c95d00be9b3056aabf5b601cbde7932f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mystical Remedies,72zHUn7CylRfDxIRqQGW7N,Special EFX,5xUKGtiP4KvMEJWSQ72SyZ,Modern Manners,4hRZuz4Owqhl6Ef98NvFph,28,https://p.scdn.co/mp3-preview/0fcfb0bbbf1208c3fd112c4a5946f09203baf66c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,A Rainy Day In Monterey,7GxvMhwTpYOXj28k2Y9oJJ,Joe Sample,4H2b90USTVSstPktwUsDZE,Carmel,5IxjfDasZcphRTKlewhPLC,0,not available
30,One Hundred Ways,6P09coloxpwV36qO2qjMhY,David Sanborn,7vNcTk9TgKF0qDsS87nWGE,Straight To The Heart,2y4arEBdLJFV8tGGQ6Ymlf,33,https://p.scdn.co/mp3-preview/7f58d581005f820cc147ee1b4df09ff1d65dbcd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Return Expedition,5Yahc44Auy0ejmggBIOX92,Stanley Jordan,2mBoEYescv3YHDG5rH6uKd,Magic Touch,4dv75AvVWkSqa9tr5Vpl91,24,not available
32,Mister J.,2M7r32XeEgsKMOVnAKq5f1,Cortex,7EhUXju6pssa8o3CvFJTew,"Cortex, Vol. 2 (1977)",5LYCysxx2YQYVqJvtjRRUm,0,not available
33,Sticky Wicket,2orODxHXjEbZbnmZEbYzxX,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,High Crime,2Di5iUantEOvmpSg5cXoYs,29,https://p.scdn.co/mp3-preview/02c111b9a5c1345a865e503e5125ba2178a19e41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Man in the Moon,3fNAxXU8aP2tlJhBde1JU3,Yellowjackets,1zHPRenzLeI2vhT7nlR6Mq,Mirage A Trois,2qqFDV2ouYbb1F4mLy60OI,32,https://p.scdn.co/mp3-preview/3ba28bba017122eb52c950668611a4bb827d4acb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Queen of the Underground,7I5F37T5A6vIdZ9U2AmBhF,Michael Franks,0AVE7rDx4X9w0pW1XlN1om,Skin Dive,7eW7cmILNYJlWvglZqPqhV,28,https://p.scdn.co/mp3-preview/06db8c078729e35e32a6212e454eaba41f62fbee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sax Attack,1kwQdSp9CgchKoe22In64M,Kenny G,6I3M904Y9IwgDjrQ9pANiB,Gravity,3IZK6DoeQT97DEWolgPVna,20,https://p.scdn.co/mp3-preview/43804cd623c0a141623bbe18f0a4812418fc2b26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Theme From Mash,0jrbMZvOAjsPaGr2xO8T6V,Ahmad Jamal,6gc6oo3u2f7SqTd4mhe81O,Digital Works,1AVh4qMozKOOTtGB3pZ5HS,30,https://p.scdn.co/mp3-preview/363b6dd801f6e908bfeb00d7d047bba18b566788?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Run for Cover,26QE9Tvw8lhsXRBz2VPfq2,David Sanborn,7vNcTk9TgKF0qDsS87nWGE,Straight To The Heart,2y4arEBdLJFV8tGGQ6Ymlf,36,https://p.scdn.co/mp3-preview/4e059b6cd3d21481e755c46ec860fae0313c0f00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,One,0Q7N3ZAO7Iu1mJfgaQtMAN,Ahmad Jamal,6gc6oo3u2f7SqTd4mhe81O,Digital Works,1AVh4qMozKOOTtGB3pZ5HS,31,https://p.scdn.co/mp3-preview/8208a1b0e0b869d9326fd0d1ec682917f6f2be16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Top Secret,43SFzqwVBJqfH7iwO6JYGc,Yellowjackets,1zHPRenzLeI2vhT7nlR6Mq,Mirage A Trois,2qqFDV2ouYbb1F4mLy60OI,32,https://p.scdn.co/mp3-preview/73bbbfe92e91e53bd3f3c62d49326e2539943aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Close to Your Heart,1O06GyxRRCskND1O2XP3Wc,Earl Klugh,00Nnsh2ykMBYnCDsSFGXSY,Soda Fountain Shuffle,34u6zcMDFqJxlXW1xs8JVj,32,https://p.scdn.co/mp3-preview/08c6aadd7af27a2e3c2e635590f14df93d2cf07a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Hittin' On 6,5aNHYdmiTCC2TwL5DRtcNW,Tony Williams,1TW90GjShgkjySrxBxcwQe,The Joy of Flying,5reG1N5X6du4yzslYBuxUt,30,https://p.scdn.co/mp3-preview/8ef0042d431463a69b025d88c16e73666c95e81f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
