Easy 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Leave Right Now,4mZsyuthp695XQWwb2g3qe,Will Young,2U6gqwyl9F33YxawnFrZG7,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,58,https://p.scdn.co/mp3-preview/d889706d9c14b475b11a10f26129b2f3b7a7e420?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,The Man Who Can't Be Moved,4AFwnrH5atiJoAd5xS5QtR,The Script,3AQRLZ9PuTAozP28Skbq8V,The Script,2hWSBJTWE0ce0NqJv2vzCc,65,https://p.scdn.co/mp3-preview/2c84ecf1c5b3f35fe5174f644bcded09e1717d83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Wonderful World,2W2mN3qRAvF172TlNdr71e,James Morrison,3LpLGlgRS1IKPPwElnpW35,Undiscovered,7lqr5gDwjKVXAeEHy3AYfV,55,not available
22,Life Is A Rollercoaster,5lQfI9cYzezWGvqwrWkzqh,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Ronan,6BNUYhhSL5a4yrvrfasKcF,56,not available
23,Handbags And Gladrags,5JAhtB4S0NrArDlH9knyPU,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Decade In The Sun - Best Of Stereophonics (Deluxe),4tm2y6cW1crczFhkylSSHZ,10,not available
24,Evergreen,3Zg1941PbcmsxLmSaVJ3OZ,Will Young,2U6gqwyl9F33YxawnFrZG7,From Now On,6cX5XwYMwa4AoYC6Eyy25j,54,https://p.scdn.co/mp3-preview/3d38459f6be11ac91264e6acf58e7cd8be73a18d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,She Moves In Her Own Way,5xoUgPXbMNUmoHU0Enwtwq,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,Inside In / Inside Out,03JPFQvZRnHHysSZrSFmKY,72,not available
26,You Give Me Something,3BrmZp9bjwjwAva5rCgW87,James Morrison,3LpLGlgRS1IKPPwElnpW35,Undiscovered,7lqr5gDwjKVXAeEHy3AYfV,60,not available
27,When You Say Nothing At All,7d66u8J2iM8WXcUKdujNZJ,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Ronan,6BNUYhhSL5a4yrvrfasKcF,60,not available
28,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),0IuHVgAvbNDJnJepuSZ8Oz,80,not available
29,Suddenly I See,0UACObCoT1QlNDYroo7EJC,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,Eye To The Telescope,1JeXaWReXIrN1lADO8uoYx,63,not available
30,Breakeven,1fyysXwSGNtMeqMBLwW3SI,The Script,3AQRLZ9PuTAozP28Skbq8V,The Script,2hWSBJTWE0ce0NqJv2vzCc,68,https://p.scdn.co/mp3-preview/dd04f29a1c04ba85a2c56d5f1290292240726bf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,If You're Not The One,7HhKuJbtiNbZsEDLNQvOnH,Daniel Bedingfield,11hIqBsGRPztdjBHCSLClX,Gotta Get Thru This,6d5bzbzrZzXrB6BP6MMSeL,64,not available
32,A Thousand Miles,6Qm9MaditCcx5V62rVHYqu,Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,Best Of,2uHUZLZ8AJ7KjtUb3ogQt1,66,not available
33,Chasing Cars,7ctRAoCbcpOusbm3w3E6mn,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,Up To Now,61ydlH3GzijGrRrivGZASi,17,not available
34,Have A Nice Day,360T76vzavPvB0ZLRqvATQ,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Decade In The Sun - Best Of Stereophonics (Deluxe),4tm2y6cW1crczFhkylSSHZ,13,not available
35,Ugly,7t0djT6xbjLPC6TttwpINp,Sugababes,7rZNSLWMjTbwdLNskFbzFf,Overloaded,1s9BRhmwSGLc71q1j5JY5e,52,not available
36,Take A Bow - Main,6Cv09gbV6mHXshhiHE1JO4,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad (Deluxe),6JvLqvdgk4arICbmD6hw3J,48,not available
37,Breathless,5OQGeJ1ceykovrykZsGhqL,The Corrs,1VbWUxZTRNY2gw3qZ1tg9W,In Blue,3F8v4omWXxDHrqntA83WJY,69,https://p.scdn.co/mp3-preview/238cabbbeaa52aa08c45c2ce887879fb95b4d9f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Drops of Jupiter,4NG6ezO2ApTR3dfQucNDqD,Train,3FUY2gzHeIiaesXtOAdB7A,Drops Of Jupiter,4zO0JaK3OvHTdFm2pPEdqF,7,not available
39,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,Spirit,0VaAFegRAAn4OCg7p4QjN5,80,https://p.scdn.co/mp3-preview/b0aace1f8a27b540a9fd96775d7665e3e2b73029?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Bad Day,0mUyMawtxj1CJ76kn9gIZK,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter (U.S. Release),4zhigAhPwqp43XVHBiVeQI,78,https://p.scdn.co/mp3-preview/0124255ee5fc654a8fdf8573181d516f1eb1f410?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Red,0kiIiH6TAs3tJxmYTMaE6C,Daniel Merriweather,6HD2mo0Gz8wd8IbOXYwUfN,Love & War,6xo41bxSq48r73jq5z5AJN,31,not available
42,Empire State of Mind (Part II) Broken Down,5sra5UY6sD658OabHL3QtI,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,The Element Of Freedom,0Rxab8t0y7GlaTJTHX2wEN,74,https://p.scdn.co/mp3-preview/6ea63bc18c68a1f518d84b763106d315c6bfef84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,These Words,6QLU1GKy2Zh2mOh2uoJ0TV,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,1meis09isQJFDA65afUTt8,66,https://p.scdn.co/mp3-preview/a328410b1a127b07aca5b06e202c5ee19e9df929?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Waiting On the World to Change,5j82yGNCjpk6R50LgR4hHG,John Mayer,0hEurMDQu99nJRq8pTxO14,Continuum,64GHlpPoKzuFlUL2mtkEcX,13,not available
45,"Hey, Soul Sister",5i0eU4qWEhgsDcG6xO5yvy,Train,3FUY2gzHeIiaesXtOAdB7A,"Save Me, San Francisco",31JOfqUiCWs5facQRPdeUk,14,not available
46,Better Together,2iXdwVdzA0KrI2Q0iZNJbX,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,In Between Dreams,2B9q4KPjOEYu885Keo9dfX,77,not available
47,Accidentally In Love,4FXdIM78OBdw7KIY2jeM8D,Counting Crows,0vEsuISMWAKNctLlUAhSZC,Films About Ghosts: The Best Of...,2XstwYnZ4pC0O99VCOnfSa,14,not available
48,If Tomorrow Never Comes,3b4QImv0nTWtdAe63WtcAQ,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,10 Years Of Hits,3AVtAHUxVZQMPGEJ7USE0j,49,not available
49,If I Were a Boy,1oQZk2bKBLgP1cbuFKvjkq,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE - Platinum Edition,3ROfBX6lJLnCmaw1NrP5K9,69,https://p.scdn.co/mp3-preview/bfd4494effb973d223be6d0c3378d7cfc60e15ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Can't Fight The Moonlight,10FP9hm2aFfAIKEopqaG9D,LeAnn Rimes,2d3VHzlOEwXvmBdS4pzOPL,Coyote Ugly,0XxoyBssbnR7VB8YmtVzLD,63,https://p.scdn.co/mp3-preview/84b0ad9f6dddec182acb3e52fd9c1b97567c5ffb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Spotlight,2gjVAoahTI3FH9IhCsOZ5p,Jennifer Hudson,35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,3LfhyVZVglUmDOeea5vWZr,55,https://p.scdn.co/mp3-preview/fdca9da9a25532a4dbd036c80040f0ebb1493313?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,That's My Goal,7dyqcdXdYh6KDhoGO6t081,Shayne Ward,6H4lieipng8aGu3Hbd1UeJ,Shayne Ward,50OfJiV0FdR199eCQ18WTw,32,https://p.scdn.co/mp3-preview/dddf56947600797c539e191c31354544c747d446?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I'm Like A Bird,2ze7s5CrESggiWA3RpDYIy,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,"Whoa, Nelly! (Special Edition)",0on8zrPIIlANtVlNw6Uea7,15,not available
54,Home,3lyLqIn8mybyEFTs8JJaLf,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,It's Time,1f9vWKabhNPNQnHLleExSh,72,https://p.scdn.co/mp3-preview/0b77063b23e010c31ba91154967624ae14c7247d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Bubbly,1lkvpmrCaXK8QtliFDcHBO,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Coco,7a8mrq83VEf0PoFh6pvtsb,73,not available
56,Queen of My Heart - Radio Edit,3LaOU1rxGZFPRC4I602Z3O,Westlife,5Z1CCuBsyhEHngq3U5IraY,World of Our Own,5FECTGZ9UdITzeo7o0AhUZ,52,https://p.scdn.co/mp3-preview/1b4fcc9b4f9fc06c4379331ce3abd5d72a1f792c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Breakaway,61Qhe2mHSLhUE04QeK4lkD,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Breakaway,5gDAEao3VxFdbm8vS0koQq,67,https://p.scdn.co/mp3-preview/cedeb9e8b720819ff29961d5c4e3d699039b9e84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Irreplaceable,3qim3nNFg4aSTLZDLAFXhx,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day,1L6sJLS18bJTadBupSYFAp,59,https://p.scdn.co/mp3-preview/8345de4efea404805ce083a3fba15d6ca7c9e862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,JCB,6CWCgRZ0Hxa2dnrCCvq5bA,Nizlopi,7HorCYRsMBxPIRFYQE4Ch9,JCB,2rEK37JMgCij9KgAO40PUF,53,not available
60,Who Knew,7uYl7xgDeAOHP98obvrJvB,P!nk,1KCSPY1glIKqW2TotWuXOR,I'm Not Dead,6WlnnRa9jAPXhZEbvBvdxB,72,https://p.scdn.co/mp3-preview/e1d31c14939bd998e6a95853fe76251169d267e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,84,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Hallelujah,5IaR621NoOM6i5KTcuNRHM,Alexandra Burke,6yZoNdsPrYLviaEOOzbZt8,Overcome,0Jo60TeFm2QkBR9d5anzRU,62,https://p.scdn.co/mp3-preview/7b973d0fe9cdbab8d373bfda885fa22e40fae8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Never Had A Dream Come True,0fIG0HBRIjLRNDHAogtwSB,S Club 7,1kM5rgJvkiDMOoKX56H6pX,"""7""",3HyLA4cMFGTbf7WslNJFSZ,64,not available
64,Everlasting Love,4kj5VvOJiOPoIBWCSzqDzj,Jamie Cullum,3XxxEq6BREC57nCWXbQZ7o,Twentysomething,5uBSuPB7ZgHB1mLtFzO39B,11,not available
65,A Moment Like This,5i9UKSttY3V7x9OnYZsMBX,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,Spirit,7t1veDv7FWHYXskQEoU7dq,58,https://p.scdn.co/mp3-preview/80e14be90c6d293b53e0f0f73b3e021dda40c526?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,No Air (feat. Chris Brown),1jUA4rb6ZCv4gby4YU53xq,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,6JCNOvp9UeMrFuXwNW0JW6,75,https://p.scdn.co/mp3-preview/3fdf0096af650a0ab38749a07a6f879bbb903822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Make You Feel My Love,0mqTcM8kuu2IYPotMt7AzS,Adele,4dpARuHxo51G3z768sgnrY,19,2YO1F9DHVEzXPriA1JHoOQ,78,https://p.scdn.co/mp3-preview/5b3bfc4c3b98df595f623e86bc0296016030ce20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Patience,4DxybsoSiMUW0JI2oM0SSN,Take That,1XgFuvRd7r5g0h844A5ZUQ,Beautiful World,676W2PECpK9UJuuqyjXRjk,63,not available
69,You Make It Real,6jDI4Ibinec4DOR8snT3eK,James Morrison,3LpLGlgRS1IKPPwElnpW35,"Songs For You, Truths For Me",2MYk6HYLJZAPo9h4yDmnvr,41,not available
70,What If - Film Version,7vuP6E0zTrcAWueKLO7I33,Kate Winslet,7q6ozanpOpFUoe6jPQ0jVK,What If,6Z0009JVnJQlOU3aiZCozL,48,https://p.scdn.co/mp3-preview/451c69c50a88cce18d9dc36883c7da7091277969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Pure & Simple,1hyEoJnQvkAyEJpxuOZ6C0,Hear'Say,1kMfh3vEY0iWX9SDVjvdsd,Popstars,3RhyUw9EciePIQ8hapCIC5,52,not available
72,Pure Shores,4mjLAbsWBCuqSOqMvaPkXd,All Saints,5TDVKqW9uhqGjwwwKGuma4,Pure Shores,0q5pj4C8Fl8d3pzn2OH0ZV,60,https://p.scdn.co/mp3-preview/fc85b5f71fb0415b048a110e30be8d4f793e5835?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Chasing Pavements,2OuNgtXKeCSORKqdl0MxKk,Adele,4dpARuHxo51G3z768sgnrY,19,2YO1F9DHVEzXPriA1JHoOQ,68,https://p.scdn.co/mp3-preview/6aa6b292e5507480cf5ef03bc0661cfc021a943d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,79,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,You Belong With Me,26eccs3bbw6DMekFwZbdL2,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Fearless (Platinum Edition),6mhqCOSN7y93aydjeBatWb,5,not available
76,Warwick Avenue,5IdPVawDl9lz84nPj832is,Duffy,37NqXwtb6nIEqRt4EJSoIO,Rockferry (Deluxe Edition),5Mxz1P0qfXLR6SgE6xbyBb,10,not available
77,Always Come Back To Your Love,1XZKOAMIDTVE1ZCjcCjwrW,Samantha Mumba,7L12TqJ0fbwtFljTbwfwRI,The Collection,1Y1Hbnso3TfEBTdxKyrAr9,7,not available
78,Please Don't Let Me Go,4t4Uc6yNnnzBhatmarfV4Y,Olly Murs,3whuHq0yGx60atvA2RCVRW,Olly Murs,17gXGgVOk1RpPduIpeD5Yq,52,https://p.scdn.co/mp3-preview/736bf4eab3b660b82ea747286fd536fc35cc9b98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Eternal Flame - Single Version,3qzcM6SmbzBnGXSJe6hYdy,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Right Now,4C2pT6x3mXXgeV3FdyL3DW,60,not available
80,Dog Days Are Over,456WNXWhDwYOSf5SpTuqxd,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs (Deluxe Version),1rLLyY5p6HXNl2lKzINWp5,74,not available
