The Indie List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,bad idea!,1M4Ud66z18wuIq3oOxqVHa,girl in red,3uwAm6vQy7kWPS2bciKWx9,bad idea!,6riOnMD3YhF8kGpAXpxbdj,69,https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
12,World I Share,68bNhsMBiGhjP5E5zUhSbt,Swim Deep,2XddLUPFBmTonCFy8uB3uc,Emerald Classics,4HrPSuquQESK0qhY2bczln,14,https://p.scdn.co/mp3-preview/3b5723a46bffa4d878c9dc2ef57a05bd5574875e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Violet,1f7o2FSvyyui1mRelukp5L,Sea Girls,45FqwUG4hTT6d39r2HUsUe,Violet,6KzBtepfs00BIIlOBOlfMm,55,not available
14,One Of Us,30W0p4Gg7MeQKggG25b0J2,Catholic Action,7weMxddXvIGbPk8R8SkH5H,One Of Us,3yO97ochB2Y1Ta3T3Rm2Sk,40,https://p.scdn.co/mp3-preview/0ebb3d795b2f4ecc259e4a42a21ceaa6e3b3eac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Maybe California,4hniacOAySC5Ucu7rkjgkA,The Snuts,4AzAfQNuAyKOFG4DZMsdAo,Maybe California,3lR38sssmmT1ZJardCo5i0,51,https://p.scdn.co/mp3-preview/7165f6f1a3e882f4f28845afaa11f99ddc221719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Great Escape,5eea4rxrbKTgnUZwJKuhBk,The Lathums,6PXYvMeTixxDzYAYugMlbg,The Lathums,0aPTOHQ2WVDD5NZrqBnBXV,43,https://p.scdn.co/mp3-preview/4930cc775bce8bdffc68773f0753881c8cc72641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,British Bombs,4ZdmTNaBTErD8n9AQE0YaX,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,British Bombs,18nvSHmOdaQNgpz7vsJKPr,65,https://p.scdn.co/mp3-preview/204a0791c029faedce01691a68d4788373d377f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,AFTERTASTE,12OmGbV8mpZBnYO8K2YvgX,The Academic,3VLf4DlBTN2ZRwygS3TNti,AFTERTASTE,2kqx0mfatoMrEpm155ITgu,39,https://p.scdn.co/mp3-preview/7b2ba38f3b73f15f81b7a16ea328b99126ce2130?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Take Control,4ayIpClJzUh43tJgzyPI9f,The Mysterines,15QhuBSLfDNECfF8wvxj0M,Take Control EP,60fONqEriuAr5UWfkIXJPa,48,https://p.scdn.co/mp3-preview/e58c2b83433eef70d7e7150eaa64be8b6b01999d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Under Your Sky,5cH1pYrDq7D6sARLDP5EGo,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Under Your Sky,0lwUPNRsaLEa9dV3pgoCWn,39,https://p.scdn.co/mp3-preview/c678225a87590b662bc068933df1d991e0130df1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Extra Terrestrial,5Yr321iIubRZvxpj4lFA5N,No Hot Ashes,1qRcRMoFWPryJI9o9uBVPN,Hardship Starship,76hNqA5qAJmvAwhkMLr9mv,41,https://p.scdn.co/mp3-preview/7e6bc46a85c003dce952edd4c791c27f0f7ba759?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Runner,0Ea3bjl9YBHWoHeAntyqnZ,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,6Z8MYRn1XEqvHCuVxV5Kji,29,https://p.scdn.co/mp3-preview/8d58b0fb4d1862caa129878944979410b0e81a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Heavy Jacket,3TWUzf9n2TQdQCKYU4LiGX,Courteeners,1NfJU4hy56Z4UM4iyIa1B2,Heavy Jacket,1VIZVtdQpHj3496MqE9f9r,54,https://p.scdn.co/mp3-preview/75676b714933834735e44627e6085b6a0babcc3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Not Enough Love,3WRc0IGP5oLXEfMcYPxSOm,Larkins,6cCfC12LHtD5XIc1rLsm8Y,Not Enough Love,4ck3W8tScR9fYaQKRusKs6,49,https://p.scdn.co/mp3-preview/d0d82f609dc5070482d0687142cec8eafc87a34a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Something More,3T9isJMvarrqOH4irsXArJ,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,What’s That Left Over There?,0Zlm5gRd3W3q5YlcSenI02,47,https://p.scdn.co/mp3-preview/a24b1d3335a48c7a677e45ecc4a208513fe0fee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Is She Happy Turning on Her Side?,51q0s9s5Ddn9htxCoD65Wl,Chappaqua Wrestling,5S4qUw22ZF7gTPUEx61SyC,Is She Happy Turning on Her Side?,3hqKWP4c4CBuoPC9XQ1Bw2,38,https://p.scdn.co/mp3-preview/40df3bfdc92d14a744e0abd148b308321739c8a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Addicted,2kUECVQY40DQoXymT323jg,The Night Café,1ShwUjKIwQRaUJij7jgRhp,0151,4hGB7HUJu4oD3TqJvYPqr9,49,https://p.scdn.co/mp3-preview/04eb16d798f92efbd1df012b49b435df63604e5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,How Does Your Love,1nzkVSr0fIk8cjpE8O9L3l,Declan Welsh and The Decadent West,6KNqvxgfYVRSzgAE1j2UT5,How Does Your Love,54JPVn14lBrRc5HYlstxZ5,39,https://p.scdn.co/mp3-preview/276dea05b3d74e96423a0647d5d52e6fb0ee44b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Half Life,265yd8h8HOnQDGK7JTczdw,Spector,34nBPbcVc9F9eizQC4a5aT,Half Life,3x1GQGc5LZLdFRzzamfnBL,46,https://p.scdn.co/mp3-preview/aa13b9bdcd3617c62e0125bd58c097c14423d747?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Divine,1inPW4zoPlwfPaSRinhcaT,All Tvvins,7F0pUx0AO9CXaNbCoxbbNX,Divine,7LBdk7OFBBHbrwL8BQZg0f,47,https://p.scdn.co/mp3-preview/efa288b2d669e62a55c87b8d33f98bd319a5d804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ankle Deep (In a Warm Glass of Water),0HPTTMphUBXiQTMXFl2fOf,Talk Show,6maphvdwLWb9tIeiFAAaE3,Ankle Deep (In a Warm Glass of Water),00F9TQD2pDp3QuQVRvpKkM,31,https://p.scdn.co/mp3-preview/d0456a98ee032c2d35d607ddc3430546862cb0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Fishing,239w5yDs9pfGp8mFXzm8rv,Sports Team,04JIxSs2P0iteVWtaskfeh,Fishing,2IJJNKNhk6kZsATLQWzYsi,47,not available
34,Petty Thieving,3dxAvrqRv4KENeZTpACrnJ,FEET,7HeBQpJ3UmyybgEvqfdRAE,Petty Thieving,0KrIYFiZf4hEzi2BXUFfKp,41,https://p.scdn.co/mp3-preview/af00bb478ab4bfa50dd712b482c6f6b6e073b9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Somebody to Love,5ajzOVDZmBw4s9pcwr9QJW,Robert John Ardiff,6EGnIjpNcG5bArBuOxcgJ7,Somebody to Love,3dIm1YvNqu5yPj78G2vIFL,27,https://p.scdn.co/mp3-preview/03673d1a890b86c42df4cd502e847dca4bd90e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Everything & More,5mVoeGuLmmzZ7dUrgfIWuw,Gengahr,2ATweaQe83QUQVjM8LMh7J,Everything & More,0YB47xmwpBv11Ad48ueGMp,43,https://p.scdn.co/mp3-preview/6579243fbcb9ec51653a8e9d388946fe02185fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Run The Wild Flowers,3V1kaUcf9rjjiYSUHowmbK,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Run The Wild Flowers,1EPgwIWRJzhYkKj4ecv8RM,53,not available
38,Leave This City,09msF3xDDNK2C0wFFvgrGT,Sun Mahshene,2k0vIFTcp2hM0Ijhms9Veo,Leave This City,0JEKTMGG5BPmN6eLFeR4OG,24,https://p.scdn.co/mp3-preview/8719b4c005a7513a7d029dbb66863820fe5b9dd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Human Contact,0PVrR8a2hPIBmL8S3oxRf5,The Howl & The Hum,3EQ310YOzcS1pJqiaoDs32,Human Contact,5l7XGLre7EqG9o0BKZmOEL,43,https://p.scdn.co/mp3-preview/725cfb0ee0b92c75cc1a0499459f9c02f059319f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Still Believe In You,3vMFfT931r2kTipkSmgryC,Flyte,3ZKyADicHqelBDeADLutiu,I Still Believe In You,5MuJ9bgW41kvUGvmPlhBPk,43,not available
41,come undone,6NKvF1ZPMTWYCXv1ODU0pr,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,1MyAYzrDvFNjNY689PtpWF,42,not available
42,Get Off,3oUWMpHLu81yylIqqf7OkY,Zuzu,4GcpGBggb1BbFfG4jS2Wpm,Get Off,5plkZBFj6kCqp34C6522N8,41,not available
43,5 To 5,4dbO6b4s1v8Fz1QKQBEwIR,APRE,16oEz0ihXl8elwxOS0YMNF,5 To 5,32BXUie6TBttZ1ZtnvAiKz,41,not available
44,Easy Peeler,4Ye6Wy3vHdUicAjfoReFkN,Phoebe Green,5qt7yk11uFzsBUC3CgbyNP,Easy Peeler,02L1gwIjuIYaZYWFQmuhLn,45,https://p.scdn.co/mp3-preview/68a9c0eb50afb1ae4a962b1f0e822d645547366c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Magnetise,2CVWeZSAQxGUfa0CIGPZZx,Juliper Sky,07DzaQTPGudt1m67gfA3fe,Magnetise,1pRPd0DHQ9LNaAjFDM6PJX,36,https://p.scdn.co/mp3-preview/47d9f8442ea29631d33e26f81c96f43f2e190432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Innocents,7whOD9xNrO76FwHmE7QZ6f,The Wha,7hp4jv6hnnEpQLfhIu8Zbk,Innocents,3O9NH3soHJxumKWyFlOEni,38,https://p.scdn.co/mp3-preview/03845588beadab93d40c62e35b3ef409febe3819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Dragon,6Hklbd3IHCx7th0EtVoQ2S,Will Joseph Cook,3YO2a6i2cfdFbgxk2HDfPe,The Dragon,1N8r5eaSX9mpliS7YmXlap,49,https://p.scdn.co/mp3-preview/024543bdfbc4e77c36ce1d65362b68fcf597a8d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Viking Hair,4ZwnEdXCxwIgo162crHHdb,Dry Cleaning,7DlD7rLG9MKuvXtTeACzkO,Viking Hair,5A6cIcDumyAqaLZdH1Kwse,33,https://p.scdn.co/mp3-preview/09d7c831805b1caa88d654d88d58b2f0a19f7e54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Seven or Eleven,4zPn5EfZKKViAVAyIy598X,The Hubbards,5qU07JDAP3mSTpsbRcEbYD,Seven or Eleven,4SAiFKL3FJOLBrMFH8MQ8R,37,https://p.scdn.co/mp3-preview/7a35fad14c3aaa11a494e2b6124c15f37f3fa8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ice Cream Sundae,2sJHJITMt2SYuim7KvK8yG,Inhaler,6lyMYewq2SuTFIXgiv7OxH,Ice Cream Sundae,3NyslwappViTftGrmA1my0,53,not available
51,I Wish I Was Stephen Malkmus,150q1SWZwM3OZqqrs1cUno,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,I Wish I Was Stephen Malkmus,2McaEXIymlCK8P8Dx4d3uu,42,not available
52,Excites Me,6pgxTRHgLESOETEBibo9Up,LIFE,2NWimAynlyqVUWD4YnJHlC,A Picture Of Good Health,3IE6Ccsnh7EEwDAwFegUFw,38,https://p.scdn.co/mp3-preview/972d9bd58f560e6dc5ceb177a5f7b1591ce7ebe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Songs For Joanna,67UEOICx7sijOBGSQJGTDf,Willie J Healey,4T4JE09FOmRgv2Wzb6JaOR,Songs For Joanna,19x9Qt9MH68Nn4VtIdjB38,40,https://p.scdn.co/mp3-preview/889d31071572acc9b37c08db73ab65fc3979bee2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,The Reasonable Thing,1ztvLwkOjCxIuyBasEaXDh,Husky Loops,1quz8ZBmFY2nzmoMcUXcX9,I CAN’T EVEN SPEAK ENGLISH,7emtbts0RhXb3uHLO6HCqA,40,https://p.scdn.co/mp3-preview/d48eed669ed169318ecf5aed7ca5ad2ced7c499d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Two Sense,5aKsz7JCys9c5DpInQPW4B,Thyla,0L6tY7VDHwGDhx3T989SAJ,Two Sense,7u4YQ5uh5egphHmDq5A4ui,38,https://p.scdn.co/mp3-preview/8cc847581fef00707a742c79cf3df5f00f9665a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Shark Week,0q9vQiaPZTEfTmz4RDoDEz,Lauran Hibberd,33ReZaGVb63WaJE68WgWuU,Everything is Dogs,6bBl0kLYlDxbdm5GWTGqKX,41,https://p.scdn.co/mp3-preview/0832ba02379383d5eeaf4a5ab6fbbba23b6dece9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Adversary,4mBbKJXAhW025VnmtIAiSX,On Video,1K5nmUrG3nS2EeSGm4xghD,Adversary,1i5qqVOSDBBg2gdXVCxWx6,43,https://p.scdn.co/mp3-preview/1079f31fc68ed6142fc5eaf07baf530521c63d5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Elite Companion,6w3khhU6fgjM6Kz2uPaRDR,One True Pairing,5Ijj1CZ7i0VFZ6Ghrmij2K,One True Pairing,6Av7M70YOAZtzobiLgG67H,34,https://p.scdn.co/mp3-preview/821a7935ed5178a8ed1b6215843ea562fec90b1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,The Wu,3hntA54MXZ77EE3CN2srUw,THE S.L.P.,4CLxFMLXyDPDiENHddT4DA,THE S.L.P.,4we0IG8fkJ6DHamjxbjX2L,48,https://p.scdn.co/mp3-preview/3cfc861056ddf47c71afd85057bc80f089c7d119?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Imitation,4VpDMQISyCUBNmREW2tr0g,The Ninth Wave,7AAthfOGfAvVy4NWGJDiCP,Imitation,6hzo4fFOLEyIKvwysR0nNZ,39,https://p.scdn.co/mp3-preview/46559b4459a8418eb2de6b38c7a5cc5b83239fdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Live Forever,5Y2P2hnVzU0qIOD3xcv1Ve,Nasty Cherry,3a4OHGZwsqHc3eRChiDkS9,Live Forever,6eRl6WSUNdl2bM5ywn1FGV,49,https://p.scdn.co/mp3-preview/d5abc1016927453f0bdc36398537040a1cc3d0b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Teef,5H9Ulh7Z5TuRP29CtLU4tR,Mealtime,1wKNJspHvvRJ6P59W0TRr5,Teef,3spQE2bU3SIRv3XoibmjRx,37,https://p.scdn.co/mp3-preview/f4a284404985ad75a932e58def1e38189bef7656?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Match Bet,5EdXE7FknapGSFzfqWYb73,Squid,685XjGzGztyivfR3fAjoxo,Match Bet,5r93p5X2wWr6RbnKy9VMXI,44,https://p.scdn.co/mp3-preview/a13b511426299660f31a66b609d8d37e51a61aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
