Mind Right,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,It's All Good,43PQnOShHFKBcvlbFC0GcH,Skyzoo,0qHfqHyHZnxvv1lfkJraQc,It's All Good,167Q95Yc4sgGJieWNvDsZY,46,not available
27,Prada Process (feat. 6LACK),4bJpr0Ed3TUYfM3FYbpOEi,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Prada Process (feat. 6LACK),60XFy3v9MvZZBRcIVSYC3j,62,https://p.scdn.co/mp3-preview/133ee6fa1a26a5b09641db909a5a812c49cd2de7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,We Go High,01GmGxOPy22EdAZGC0X6q1,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,67,https://p.scdn.co/mp3-preview/9283f55c6b1ee396ac2170a08b4b684ff9b345d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),6n3q5ybuUQFT97ddyuxsFh,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,66,not available
30,Grey Clouds & Raindrops,12Bfo2AVgNm2Dibg3r0VBq,Rexx Life Raj,5rDXcEIODl8TgGTgrntnjX,Grey Clouds & Raindrops,1xiphFxLUQRsfLC8iVZ2Wq,49,https://p.scdn.co/mp3-preview/ad8a6b8b1cf13d60543ce0bc6e08e92cbbc9de11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Other Half (feat. St. Beauty & Mereba),3e17UNHlGeiAGiNWgiLDhr,Jidenna,4TsHKU8l8Wq7n7OPVikirn,85 to Africa,238eVufzRziHuYLuBVZh1u,54,https://p.scdn.co/mp3-preview/487243150aa15dedb4ee830477a6ce1a95d60c7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Crowns for Kings (Feat. Black Thought),0FQeZmAKQLLnZC5iTN6JuR,Benny The Butcher,5Matrg5du62bXwer29cU5T,The Plugs I Met,5So31JibrTO74WvuCozsAb,54,https://p.scdn.co/mp3-preview/d61834ccf6b82611c621be25062e94df3e9577d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Uneasy,6i7CC7bIXGBHJB17IsCvcf,Tedy Andreas,4OclyI0wdv5OLqcyOFGkh8,Uneasy,742UmfYiebLtEkDX5hjMyt,48,https://p.scdn.co/mp3-preview/897bc6ddf9dd2596fc0cbfcaf8de21b3a259b18f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Eyes Closed,3Edbic3XnT9Z6CWXCpp3rh,Curren$y,6X8WdFjrNhXATMDSs26aCc,Hot August Nights,5WuZveI8W4Cq01RH9iDi80,53,https://p.scdn.co/mp3-preview/6718647c1fb6389ae7ac3733af512ca45650c81c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Crime Pays,4w5m4X0OZ2IslxNOgtntTN,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,Bandana,31KbO7WnDp2AjPdmRTJzdf,62,https://p.scdn.co/mp3-preview/3b19f23048fe1dc795f0b6333785a9ca49cedd51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
