Get Turnt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo,1BfLzaTFI5qKsAAk0Ae6aV,90,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,73,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bezerk (feat. A$AP Ferg & Hit-Boy),2B9wgj9XzbJZLty03PRbVo,Big Sean,0c173mlxpT3dSFRgMO8XPh,Bezerk,6UgZHNJFfmKLSGLuW9T114,81,not available
18,Cut Up (feat. Tory Lanez) - Remix,5VLHz9vAcU4xq5VKODueYX,Blac Youngsta,41klVmDluQZmGGqoidNfbe,Cut Up (feat. Tory Lanez) [Remix],1fF2G7cQgaQvm9vHW8QVtj,61,https://p.scdn.co/mp3-preview/43858e1cf800b9cf191b0285161a696653d3b6f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,79,not available
20,B*tch From Da Souf,6tLWt7gkvvTSjS6OfJjiyJ,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,B*tch From Da Souf,5Ux8ZuXz6ojbqiSf2y9iHw,65,https://p.scdn.co/mp3-preview/b1c1118ab64ac1469014a88331847fdf7cdf6651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,She Like I'm Like,2W2txJXyjPO61rD7xAxwAp,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,70,https://p.scdn.co/mp3-preview/b4f48f04f607f95eac95ab30e6b208c1ffde5e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",7BpRvsDdzfsma8382uO55A,Hitmaka,1VeOsE6gNwoBsIAinCAb3l,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",0uQOZ7tBmOqoMLT4Z4tO5v,72,https://p.scdn.co/mp3-preview/e99b137035350019d226ae0ccac7fc09261a69e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Suicide Doors (feat. Gunna),1rmpmDrnCR7fFZSmghtXmY,French Montana,6vXTefBL93Dj5IqAWq6OTv,Suicide Doors (feat. Gunna),5mgQnRLJIgrgduG2zWWiL3,71,https://p.scdn.co/mp3-preview/31544ca0ed90fac1b515fdbf2a761cacb244e68f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,58,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,89,not available
28,BIG,7cyeGclH71MayOuQ7qtLFl,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,69,https://p.scdn.co/mp3-preview/c3d71296a50ec9c1da21722ad00ea671008721e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,83,not available
30,"Costa Rica (feat. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",1MJYFJ2igOWZpTo2kDcolx,Dreamville,1iNqsUDUraNWrj00bqssQG,ROTD3.COM,7kjet2qXvz9tstmtQBiNYx,41,not available
31,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow (Feat. Blueface) [Remix],0lDRXaECpMSYYCsTYRDulh,86,https://p.scdn.co/mp3-preview/d2c7eadbe6a669d19ee61ed31e27cd1eba007ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Fever,5WLquTz7nUnsHCj80b6wci,82,https://p.scdn.co/mp3-preview/887df8fd3f1a55e6b707e48ac3760d6e8c118184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Too Loud (feat. Nef The Pharaoh),151B0C7vTuh30G1YQ7bXRj,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,2C6M7W3XuPMko8hacm8Ibo,67,https://p.scdn.co/mp3-preview/15d19e73f04031899197755f977a635a9e3642be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Pink Toes (Offset, DaBaby feat. Gunna)",0W1ZfgXpC23RYQPDq7RM5I,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,75,not available
36,Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,61,not available
37,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
38,Big Rocks (Offset feat. Young Thug),2JdIqJBbIiwEah4ejqIWGj,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,79,not available
39,Pose (feat. Lil Uzi Vert),6e9biVAugkOfydEN8OiJpi,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,Pose (feat. Lil Uzi Vert),6nIe8wxpDcAzUJVj4v2v5r,76,https://p.scdn.co/mp3-preview/a4552ae3bf2deee5fe177fa4c63529ffd037a35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Go Loko,3SZqA7rQvROJsCbUu2v0xa,YG,0A0FS04o6zMoto8OKPsDwY,Go Loko,1GZ1ugREGYIdS5isG2PIFD,84,not available
41,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,86,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
43,When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,When I Get It (feat. Young Thug),6VaRNWngIWa2Yef3cl3z6y,66,https://p.scdn.co/mp3-preview/aa323ed8b1e5864917fff897d72776e40e47a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Did It Again,1NQuFYzzL0WbNOTjsXzXYf,79,not available
45,Double Trouble (Quavo feat. Meek Mill),5YSfZJE0EYrGVsWeYqv9xo,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,76,not available
46,Pop Out (feat. Lil Tjay),5AjINjwKyRvQJhSe2zpPHi,Polo G,6AgTAQt8XS6jRWi4sX7w49,Pop Out (feat. Lil Tjay),2QZIT7e4W9ZFQ716TSxRI3,53,not available
47,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,NAV,7rkW85dBwwrJtlHRDkJDAC,Bad Habits (Deluxe),31lHUoHC3P6BRFzKYLyRJO,83,not available
48,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,73,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Uno,3AEgic4yp82NxMWUjHtxnO,Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,Uno,7mgSFowjMLNNTCSUWDZg0d,82,https://p.scdn.co/mp3-preview/793f081dafcd15fa18e76556449aab02d59eabf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Daddy (feat. Rich The Kid),6XkLPzkKzPhpr3hrvl1TUq,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Daddy,5Fw2YiYO8raRGUdtuLogfj,72,not available
51,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,83,https://p.scdn.co/mp3-preview/9f63076bc91da7435bdd87c68b465a9c25c382bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,No Stones (feat. Casey Veggies),3UWmDKnRXFCFvtIVoDBfrq,Kid Ink,6KZDXtSj0SzGOV705nNeh3,No Stones (feat. Casey Veggies),2mY6i70fm6vYrMpvYzdqcL,64,https://p.scdn.co/mp3-preview/13ee8be80ed3a67a234c2a6c931e67ff827dc031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Valentino,0c7K73roy6RW4ebDkf4yGh,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,Valentino,2iPZkrN305Ow3wO0LL90Cg,83,https://p.scdn.co/mp3-preview/3c8610f256b0bde29c023d2fdd95f2c6118b3234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,87,not available
55,Wish Wish (feat. Cardi B & 21 Savage),6pcYAFkGyFRCrmcXk6iauq,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,34,not available
56,Miami,4aalPyjg8pC5v7AQm5HJd0,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Miami,1vZqOUrU5K0cbwZbY7cJ0R,67,https://p.scdn.co/mp3-preview/475c22b49ae0d0f907518fdb484bad7334f26592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Act Up,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,45TU0GIOO5AxFoiOPk08i1,19,not available
58,Juicy,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,4gr1eiDfKDgoXT9HX2EdNT,77,https://p.scdn.co/mp3-preview/ea22758b8b6aecceb7a2c30b9b2c0807a81d362a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,PUSH,0eJiuthkwMbYtPvc2LTFwT,DDG,0WK3H9OErSn5zKOkOV5egm,PUSH,3j2ygRmtQOmIN0qu2tVATh,66,https://p.scdn.co/mp3-preview/58e1af8bd46343a690e5c08c61a70ef467a7fd2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,Baby Keem,5SXuuuRpukkTvsLuUknva1,DIE FOR MY BITCH,7Cw4LObzgnVqSlkuIyywtI,63,https://p.scdn.co/mp3-preview/e73b574011e43a3a5ae72e705f5ae83c45546446?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Love Me,7Aem1fAapTdGcHwAYyQYU4,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Love Me,2mmm7szQmrcm5BpAg0GzXO,79,not available
62,Intro,7tbyiwnLhtKYXNMjCZ60BT,Quality Control,6i392l38cR3uBPF0DbNs7S,Intro,1y1l71S4ZveVZQRuqcZk0u,69,not available
63,Nasty,2jjItCsygxKASceR8hppIX,DJ Drama,5oNgAs7j5XcBMzWv3HAnHG,Nasty,5ZVjkEYRQQLpadUVOd3z1S,65,https://p.scdn.co/mp3-preview/48a70e6694fc947dda775fad75291e1ce4c48f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Pretty Bitches (feat. G-Eazy & Bree Carter),1DJeN9JIHqYBxw2qKvOOIk,RJMrLA,6kQWPGBItT0oMCHZy3M9DN,On God,5S0kuixF3jVGnvRDdjYVi7,59,https://p.scdn.co/mp3-preview/4c3a15e7575178fb95690c3a74dc80cef7e35334?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),1ypNy6o0C2ZbuuPPYkavVl,67,not available
66,Welcome To The Party (feat. Nicki MInaj) - Remix,0i56hhAdCCT5KqZIy4pHQ4,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Welcome To The Party (Remix),51F2ekuk5qdwFSLFgzq1YL,66,not available
67,BAPS,6VdyIlc9dT5tPamLUNNRNy,Trina,4PrinKSrmILmo0kERG0Ogn,BAPS,3EJAd4wL9en9n6cBU1Ym6y,55,not available
68,Bop,0EzRnjtN5ER0wu1IudNom8,Tyga,5LHRHt1k9lMyONurDHEdrp,Bop,0hEBLa2HOpQP3DhlHbAlHx,71,https://p.scdn.co/mp3-preview/110244c9e05f98a8366295b720016309a59835d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Bussin (feat. Lil Pump),4eZKAB9uNMIG0yNri34PBp,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Dirt Bag,4eAiHYd3nih3os2BqHm0vt,75,not available
70,Sociopath (feat. Kash Doll),4xR7m33ECxSjY1nXyWmAx0,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Sociopath,3v452sweoHYSYqZ3oVOM7c,65,not available
71,Found You,1JBRIayGRcrxLJ9b2XH5jP,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,Found You,6WCnhmNmV5yXe0wQsvFFAF,57,https://p.scdn.co/mp3-preview/b5b04435c82bfd7331c2fee27982ee025d9cccf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,WAM,4uU6WpUiOHLxMzXD7eVzyK,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,WAM,1opbVvrgNu3y8qFERjLQW1,70,https://p.scdn.co/mp3-preview/58f7f8f8447e3a74874846b0d827defe65a3f680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Out The Mud,2wZjsbwmWfNVslgV5afl1L,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Out The Mud,1LGwG4vhQIOwCBZhyEtL4u,77,not available
75,Undefeated (feat. Lil Keed),6FZjiSBSQoj1geAgXjvqez,Future,1RyvyyTE3xzB2ZywiAwp0i,Undefeated (feat. Lil Keed),0wWL6KM5LuMupJdO4SGiMe,67,https://p.scdn.co/mp3-preview/fc0f0f59b5ca72df03c1abff303f1d32e6e00f74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Mac 10,4e34Qq2lkp92egwgjacVcT,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,Mac 10,2HLwLpyTKv5C2ezhxYuQ5U,77,not available
77,Vossi Bop,44ZJ4hLD5onikKsVLQaILr,Stormzy,2SrSdSvpminqmStGELCSNd,Vossi Bop,1feZ7dUgDquoQRddxlI5BH,82,https://p.scdn.co/mp3-preview/b3836168720465c84df242690ea49f6a855a6cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Shotta Flow 3,0OsYwz3SCLD98IvWfdLeRQ,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow 3,364MkTsepOdzRrKvSdaAt7,79,https://p.scdn.co/mp3-preview/4a32ec6e1c372672ef54843bf0cf8362f5717086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Single Again,7IP0lO9tHfNwBWZ9X6TJ84,Big Sean,0c173mlxpT3dSFRgMO8XPh,Single Again,0AIFISfeloajgVP5fB9ulV,77,not available
80,Sunset (with J. Cole feat. Young Nudy),3pZO6GoVPeSYDxxsH6vCdj,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,73,not available
81,Lightskin Lil Wayne,1zZEly0sLmyDm75c1pAqYf,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,69,https://p.scdn.co/mp3-preview/703916daf3602e527bd5c62ebd6a6cd6bba8b51e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Go Up (feat. Roddy Ricch),0cMPXkjXXkMqokO9LIFPFn,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Go Up (feat. Roddy Ricch),29ljL5QvYMhy07hjzhSG4y,68,not available
83,"Like That (City Girls, Stefflon Don feat. Renni Rucci, Mustard)",6yX3uHN2hq2u4IHO9qRBwp,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,62,not available
84,Water on Water on Water,5YGhm6pI5s0uxJ2DwrDYqO,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,Dum and Dummer,5QNIFVnhZn80T3EteDzvgW,70,https://p.scdn.co/mp3-preview/66402975f89513456bc02301635a6a2a4ed166f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Party Bus,2RPNu8WTEHuInQJqRYDlWA,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Party Bus,6krJbTQFsYKWdXJJa1WCYr,63,https://p.scdn.co/mp3-preview/5ccae721bb07d5fd4f0f41ad57d9142c4d83d064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,"How You Feel? (Freestyle) (feat. Lil Yachty, Danny Towers & Ski Mask The Slump God)",67cpn8ZBO7QU67jky8Fh47,DJ Scheme,1m7LSAMIB1BErIHYSOn32W,Preseason EP,4un0IQy9lIQfk2zFRVAj0o,78,https://p.scdn.co/mp3-preview/9fd7067a2a2b574595909c72350f1b82170b78cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Fuck It Up (feat. City Girls & Tyga),1ri9bBxmv1CmAuA55g8Xvh,YBN Nahmir,3gGUMEwIX6XodWsYEvKSal,Fuck It Up (feat. City Girls & Tyga),1V4dbLC7PqSzf0cXKWIwzk,66,https://p.scdn.co/mp3-preview/28f20f690738cfd1aa84fecda5c4506a80ccfb1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Ready Set (feat. Big Sean),5wlwbEGB1y9nov8qj3yfkZ,Kash Doll,3u579Gdap91lMptBSdXTpf,Ready Set,343SSLPC1MpxYdNSZtczuA,55,not available
89,10 Bands,4dGLMiOBMUD74iiAGQ17cK,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,10 Bands,2vD6NN9RCmTwoNsM7k1LLf,72,https://p.scdn.co/mp3-preview/9ef5eb4d419b59fdab269163606c09b4e194bde3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Goddamn (feat. A Boogie wit da Hoodie),4TCG827sk5fDEmUvcQlStk,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,72,https://p.scdn.co/mp3-preview/2f2c7a4794e76383b5b79be5b6ee052bceb0ff20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,"100 Bands (feat. Quavo, YG & Meek Mill)",6bP5IB7UNNJMpGvMGO28qK,Mustard,0YinUQ50QDB7ZxSCLyQ40k,"100 Bands (feat. Quavo, YG & Meek Mill) [Album Version]",3Q1QJUWhTNKI0mxZ6lxRGL,42,not available
92,Perfect (feat. City Girls),1M5j2kkogO78mEsROrTQak,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,Perfect (feat. City Girls),2QmHoXLdhWq19UdThXQwiq,60,https://p.scdn.co/mp3-preview/9c3c56a8e956f4b56e6ae31e714a124e7d3fc302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],2xKQj6P0TgxBVaRiojP2s2,Sueco the Child,4iDroUFo89Y7YBsdDTBmTD,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],5tBiYfpUVEht2Fk5rarNFl,74,https://p.scdn.co/mp3-preview/77d6efafaf84b1e7950a9303c82476920ea1529a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Sanguine Paradise,49K82qcZN4u109e6Zw8io1,85,https://p.scdn.co/mp3-preview/26462b5ccbae45673ca15b59b5c52a7d50103e50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,87,not available
