"Love, Sex, & Water",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Coming Home,0hcZrbeI6MqeeEiKeHS3BF,Casanova,6dXsR7VDJvXnF1LTZlwULx,Coming Home,5zUMqm8cvk565ZLp7BhFsA,63,not available
27,Sextasy,5jlLBqK31dOqXECKn3jlMX,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Sextasy,5AHaOSqgHl1KLpfujwLpRR,72,not available
28,Coconut Water,54I1dC6Ux5I4h7U44DmjgK,Nia Sultana,1L8An7RfJbMW7zBy2fE0Tz,Coconut Water,2DcrMiySWm0hvuxLIldpsB,49,https://p.scdn.co/mp3-preview/434498463e7a2b8ea17d05ee91ee6486bc003595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Lucy's Love (feat. Lil Wayne),6JGxf3IB9OGszpx86yrcvj,SiR,3QTDHixorJelOLxoxcjqGx,Chasing Summer,7yd9HHhG8MvhJ1ksT3InDF,48,https://p.scdn.co/mp3-preview/bf9728fbc893df6bbb3f9e0486af3137fb81db83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Trippin (feat. Kehlani),1C6cfPAF4i2V8pWUPdHevc,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,62,not available
31,Boss Moves,2oBDGgcE87YKImo9Z4ZS7z,Aysha Monet,3jS1qFuvkhaMC06NZQtNNI,"Opm Presents: Young Nation, Vol. 2",5t7xubcNb8Jckiu7e5XuAX,52,https://p.scdn.co/mp3-preview/b5a6eefb1b9eafd256907fa5ac7ffe7e536d9217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Fake Love (feat. Queen Naija),2JbvxZ6yhA0r85raXEe67O,Jeezy,4yBK75WVCQXej1p04GWqxH,TM104: The Legend of the Snowman,2HFFbmm5pQGlXJpv5BNMFX,57,not available
33,That's Why I Love You (feat. Sabrina Claudio),3Ku9kSWtDQPC8bSWpHR7z0,SiR,3QTDHixorJelOLxoxcjqGx,Chasing Summer,5zUDvKAyEKkrhYLWJJWGPQ,65,https://p.scdn.co/mp3-preview/c4b54e0d2b3a37db831ccd46c0cf4aff47061f37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Ride,4gSTkVQBVtRwoOCnHi467Y,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,47,not available
35,In Between,53BX9bScZinfUywOiZdm7z,dvsn,7e1ICztHM2Sc4JNLxeMXYl,In Between,2QF9IT7irnk83GLHbl2hDN,60,https://p.scdn.co/mp3-preview/fb6695d61e7e1343ad65b69b6fdaf46d93ad7126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
