Rock Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Combat Rock (Remastered),1ZH5g1RDq3GY1OvyD0w0s2,80,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,AC/DC,711MCceyCBcFnzjGY4Q7Un,Back In Black,6mUdeDZCsExyJLMdAfDuwh,79,https://p.scdn.co/mp3-preview/2a200f628c41fadd1734ea7663f380659b93d826?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sweet Home Alabama,4CJVkjo5WpmUAKp3R44LNb,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Second Helping,5rtOJsiDDjA9V5306cyTRS,28,not available
16,I Saw Her Standing There - Remastered 2009,3KiexfmhxHvG5IgAElmTkd,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Please Please Me (Remastered),3KzAvEXcqJKBF97HrXwlgf,72,not available
17,Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,KISS,07XSN3sPlIlB2L2XNcTwJw,Dressed To Kill,1YCC4oZXg2zGn7pVSKVlGF,76,not available
18,Roadhouse Blues,1Q5kgpp4pmyGqPwNBzkSrw,The Doors,22WZ7M8sxp5THdruNY3gXt,Morrison Hotel,6AFLOkpJjFF652jevcSOZX,72,https://p.scdn.co/mp3-preview/ce4e9952e1519b9fe6c858b085fbe79077ec9dfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,711MCceyCBcFnzjGY4Q7Un,Back In Black,6mUdeDZCsExyJLMdAfDuwh,84,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Smoke on the Water,5SAUIWdZ04OxYfJFDchC7S,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Machine Head,1EK3a0Yctg4d3nGQzE4Uty,65,https://p.scdn.co/mp3-preview/ac7473e5145e52682fa58c2ff1dc33c5b81b7c18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Out Of Our Heads,2Q5MwpTmtjscaS34mJFXQQ,77,not available
22,November Rain,3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Use Your Illusion I,0CxPbTRARqKUYighiEY9Sz,81,not available
23,Sultans of Swing,6cr6UDpkjEaMQ80OjWqEBQ,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,4dKdxly4ji1vfl7sEYuqBe,67,https://p.scdn.co/mp3-preview/36d1b1b99357ff707acec4dddb357aa59d50c0b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Revolution - Remastered 2009,3UDmHZcBTQp8Iu8droNtUl,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles 1967 - 1970 (Remastered),1cTeNkeINtXiaMLlashAKs,69,not available
25,Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],6ozp33PI3p9AdddB6ZL3xQ,73,https://p.scdn.co/mp3-preview/658627c1c2fb5f9a89ce556ead028b7cebd297c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Dream On,5MxNLUsfh7uzROypsoO5qe,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,19lEZSnCCbVEkKchoPQWDZ,79,https://p.scdn.co/mp3-preview/4c7fea33f70ea10631656c9bccace988ee2aaa42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Paradise City,3YBZIN3rekqsKxbJc9FZko,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Appetite For Destruction,3I9Z1nDCL4E0cP62flcbI5,78,not available
28,We Will Rock You - Remastered,54flyrjcdnQdco7300avMJ,Queen,1dfeR4HaWDbWqFHLkxsg1d,News Of The World (Deluxe Remastered Version),6Di4m5k1BtMJ0R44bWNutu,72,not available
29,Old Time Rock & Roll,1lhpxZT57yw5toGJtt8fGE,Bob Seger,485uL27bPomh29R4JmQehQ,Stranger In Town,3IqhO2ukdUkAs83DzamqIJ,18,not available
30,Here I Go Again 87 - 2017 Remastered Version,0PP933bHgvV0eD19dG3ms5,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,Whitesnake (30th Anniversary Remaster),0CCJc4HNZTsrGFQfI7lnx9,19,not available
31,Come As You Are,4P5KoWXOxwuobLmHXLMobV,Nirvana,6olE6TJLqED3rqDCT0FyPh,Nevermind (Remastered),2guirTSEqLizK7j9i1MTTZ,73,not available
32,Sunday Bloody Sunday - Remastered 2008,4nuUssdgKFy2QyYHHNkZQW,U2,51Blml2LZPmy7TTiAg47vQ,War (Deluxe Edition Remastered),4Saua162eaEOksYc8TrB74,65,not available
33,Born To Be Wild,63OFKbMaZSDZ4wtesuuq6f,Steppenwolf,1WRM9i067hd2ujxxi8FI3m,Steppenwolf,6GLHwIp1K3u1zdLOdPRG0W,74,not available
34,Friday I'm in Love,263aNAQCeFSWipk896byo6,The Cure,7bu3H8JO7d0UbMoVzbo70s,Wish,3x1CmNdXWU0DzpTZXFFRZu,68,https://p.scdn.co/mp3-preview/00b147aa44994cf24c63165fecfcd5c0ff441459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Paranoid,1Ly0ssAgeM7YqdHptao8Oe,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Greatest Hits,1iaBz2uUeN77vNBSVzSYId,14,not available
36,Dust in the Wind,6zeE5tKyr8Nu882DQhhSQI,Kansas,2hl0xAkS2AIRAu23TVMBG1,Point Of Know Return,6oU298pdPTCQnMx1PYwyUA,78,https://p.scdn.co/mp3-preview/f86dfdfaca403adb32ee7a68b84e9953b0cc8572?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx,77,https://p.scdn.co/mp3-preview/ce11b19a4d2de9976d7626df0717d0073863909c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Bad Moon Rising,6NxsCnLeLd8Ai1TrgGxzIx,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Green River (40th Anniversary Edition),30sgpxWf6U9417FySmLEGK,24,not available
39,Nothing Else Matters,10igKaIKsSB6ZnWxPxPvKO,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,6QdCohkHKNTVoaSx1ZzitH,70,https://p.scdn.co/mp3-preview/a2a9c13416fc981d035e75f16ec63b0d8e6486ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,With Or Without You - Remastered,4ha9ajL4Kz98uldAfuos6p,U2,51Blml2LZPmy7TTiAg47vQ,The Joshua Tree (Deluxe),2t4UTpa53ALkISHhiKrEtv,60,not available
41,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik (Deluxe Edition),30Perjew8HyGkdSmqguYyg,82,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Creep,3HfB5hBU0dmBt8T0iCmH42,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Pablo Honey [Collector's Edition],6AZv3m27uyRxi8KyJSfUxL,21,not available
43,Down On The Corner,4YMLW13PuuO7o3jkIWlKAs,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Willy And The Poor Boys (40th Anniversary Edition),4ePaYyKlg5pmQFkLu7TwV7,21,not available
44,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,Journey,0rvjqX7ttXeg3mTy8Xscbt,Escape,43wpzak9OmQfrjyksuGwp0,81,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,More Than a Feeling,32kgOw8wejH7zUhtXCM8DH,Boston,29kkCKKGXheHuoO829FxWK,Boston,01OahkTPRCleDjobtRk7ST,20,not available
46,The Chain,2X6gdRlGOQgfaXU9ALUQFQ,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours,63k57x0qOkUWEMR0dkMivh,22,not available
47,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,78,https://p.scdn.co/mp3-preview/f6e554cadfb84a511acbbd8661741b805ecca193?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Roxanne - Remastered 2003,0SYRVn2YF7HBscQEmlkpTI,The Police,5NGO30tJxFlKixkPSgXcFE,Outlandos D'Amour,6EW7DSC8rjwBJIeAc1d7uQ,25,not available
49,Layla - 40th Anniversary Version / 2010 Remastered,3k9i7UzeSUYWIfUZFeFDUd,Derek & The Dominos,2rc78XDH9zuJP6bm78lU8Z,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),5IJXJ6OL7wtN8nc3EyQj4N,21,not available
50,Welcome To The Jungle,0eFvoRSTTaR2q8bSWVjwfp,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Greatest Hits,4a92B7gXZWKJopxs6gWgqb,14,not available
51,Enter Sandman,5BIMPccDwShpXq784RJlJp,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,6QdCohkHKNTVoaSx1ZzitH,74,https://p.scdn.co/mp3-preview/1ee9f1b0c3e3b327dd49ebc6dd64266b01adb96a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Money - 2011 Remastered Version,3aoDEt6zSuYQ47gzarlaVo,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,The Dark Side Of The Moon (2011 Remastered Version),3a0UOgDWw2pTajw85QPMiz,16,not available
53,Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,74,https://p.scdn.co/mp3-preview/9b76619fd9d563a48d38cc90ca00c3008327b52e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Give A Little Bit,6XUHsYE38CEbYunT983O9G,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,Even In The Quietest Moments,4X87hQ57jTYQTcYTaJWK5w,75,not available
55,House Of The Rising Sun,61Q9oJNd9hJQFhSDh6Qlap,The Animals,3ICflSq6ZgYAIrm2CTkfVP,The Best Of The Animals,0h5qS8o0dAoPfj6bLg3z3Y,61,not available
56,Cocaine,2udGjDmpK1dH9VGyw7nrei,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Slowhand 35th Anniversary,0GBrlPh90D25SQ6EJu4VtT,71,not available
57,Life in the Fast Lane - 2013 Remaster,6gXrEUzibufX9xYPk3HD5p,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Hotel California (2013 Remaster),2widuo17g5CEC66IbzveRu,74,https://p.scdn.co/mp3-preview/d8393c90573d9d7049519e5adfe3983b221bc78a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,One,3G69vJMWsX6ZohTykad2AU,U2,51Blml2LZPmy7TTiAg47vQ,Achtung Baby (Deluxe Edition),0ta5VdkJcpdVnNrn7g4cZe,77,not available
59,"Like a Rolling Stone - Live at Royal Albert Hall, London, UK - May 26, 1966",5ZgZhzQGCqVwPydT4CkH0W,Bob Dylan,74ASZWbe4lXaubB36ztrGX,The Real Royal Albert Hall 1966 Concert (Live),4MTOvlFGtVby5EuSotjvVS,61,https://p.scdn.co/mp3-preview/7880c6db29a3e426a6b14d7da82583c3d8c00fa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Fortunate Son,5e6x5YRnMJIKvYpZxLqdpH,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,4A8gFwqd9jTtnsNwUu3OQx,16,not available
61,T.N.T.,7LRMbd3LEoV5wZJvXT1Lwb,AC/DC,711MCceyCBcFnzjGY4Q7Un,High Voltage,19AUoKWRAaQYrggVvdQnqq,78,https://p.scdn.co/mp3-preview/07370e75eaec4423362be7a5f420882ce260266d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Comfortably Numb,5HNCy40Ni5BZJFw1TKzRsC,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,The Wall,5Dbax7G8SWrP9xyzkOvy2F,75,https://p.scdn.co/mp3-preview/daf1a7a5cf0ca8fc212ce61ac3d058fb12e2814f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,Toulouse Street,2x1Yi30lsWJUoBj1kmovnm,76,https://p.scdn.co/mp3-preview/d67c39d43fa6704748a9958746699cf7a9b11e01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Touch Me,4BVE5tIIpYabZcYCbephNW,The Doors,22WZ7M8sxp5THdruNY3gXt,The Soft Parade,75bLu4Ung5QbMdJYxx7wTI,67,https://p.scdn.co/mp3-preview/255211fe4f662bc5b1b025912435104fb3eceb0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,The Hollies,6waa8mKu91GjzD4NlONlNJ,Distant Light [1999 - Remaster] (1999 Remastered Version),6b5osVLAcVTBvnqwDaPV4w,65,https://p.scdn.co/mp3-preview/f4f1fa5512316535ef21f04a8c1e3723216cec92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,78,https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,"Paint It, Black - Mono",1RJeiAIwR9pZBgJA8ndZLL,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones In Mono (Remastered 2016),5nKpMsduwp5xqCKq2IbSKv,66,not available
68,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,AC/DC,711MCceyCBcFnzjGY4Q7Un,Dirty Deeds Done Dirt Cheap,76mvVgXOde87B9aOzLXCOI,74,https://p.scdn.co/mp3-preview/f71637de7f196a3213e1a0eecbc52b21200f98f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,Full Moon Fever,5d71Imt5CIb7LpQwDMQ093,77,not available
70,American Pie,1fDsrQ23eTAVFElUMaf38X,Don McLean,1gRNBaI4yn6wCCTvRhGWh8,American Pie,10jsW2NYd9blCrDITMh2zS,74,not available
71,Baba O'Riley,2KmEgiY8fQs0G6WNxtzQKr,The Who,67ea9eGLXYMsO2eYQRui3w,Who's Next (Deluxe Edition),5tqJNAjU163MfKLIP6DtYu,23,not available
72,Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs (30th Aniversary),6JxxRxzjsOTtKVie29FTt2,24,not available
73,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nirvana,6olE6TJLqED3rqDCT0FyPh,Nevermind (Remastered),2guirTSEqLizK7j9i1MTTZ,75,not available
74,Go Your Own Way,0FeCO85RKW8fDRytwXof2x,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours,63k57x0qOkUWEMR0dkMivh,28,not available
75,Crazy Train,2b9lp5A6CqSzwOrBfAFhof,Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,Blizzard of Ozz (Expanded Edition),6aGfK3YpRxZ1rJfaNRckLH,77,https://p.scdn.co/mp3-preview/a3f3a8418391439b4725f26fbb3f1b272c24bc02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Rock’N Me - Alternate Version 1,4d8CxkF9zNGiHWd7lUqyOo,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Rock'N Me (Alternate Version 1),7H8ucrU8Azybq4d060bc3e,22,not available
77,Honky Tonk Women - Mono Version,3RZMzCvYsmJ0u2ioKTOsmJ,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Hot Rocks (1964-1971),0aqZJlugIkTUWW1sa4BANp,68,not available
78,Behind Blue Eyes - Original Album Version,6Qg7cgN1oZ5mG5nZe9UG0X,The Who,67ea9eGLXYMsO2eYQRui3w,Greatest Hits,1jkd5zta1g1eFz6zuzupyW,16,not available
79,Kashmir - 2012 Remaster,6Vjk8MNXpQpi0F4BefdTyq,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti (Deluxe Edition),26tH0kjUhkxBEd3ipGkx3Y,63,https://p.scdn.co/mp3-preview/f3ca68c9ceaa3435d5bd55c0199ba0b09b916cce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Free Bird,4JNi40t7xR5bO3PWxRkiPN,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,(Pronounced 'Leh-'Nérd 'Skin-'Nérd) [Expanded Edition],57GMEh9tkmc1TGs4rcdVhN,18,not available
81,You Really Got Me,1oG2vWELiGjIqxwqGcyqwF,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Kinks (Super Deluxe Edition),3hXXoaAA09avxBSSxtPIaL,17,not available
82,Cum on Feel the Noize,6FBmHx1FuaSnTnnnaThgbF,Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot - Greatest Hits,1JSjQhsnC2xElFjTVG3Qhy,71,https://p.scdn.co/mp3-preview/9954d51864d538a47cd2eb9c3367b0c429d54ee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Knockin' On Heaven's Door - Remastered,6HSXNV0b4M4cLJ7ljgVVeh,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Pat Garrett & Billy The Kid [Soundtrack From The Motion Picture) (Remastered],2Pj2kZM5XpyIeyFBTAVulL,74,https://p.scdn.co/mp3-preview/5d590e2139ce4eb119238968a8b398e8510a6251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Good Times Bad Times - 1993 Remaster,0QwZfbw26QeUoIy82Z2jYp,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,3ycjBixZf7S3WpC5WZhhUK,71,https://p.scdn.co/mp3-preview/c1f024eb57b569b926c8e68cab0a6056dc7d9654?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,My Sharona,1HOMkjp0nHMaTnfAkslCQj,The Knack,0Nn9YwJzcaeuU1jJL06e3r,Get The Knack,6H0wsYDvFlATzXHn0IqVpi,74,not available
86,Sunshine Of Your Love,5y4761pjcksXs1hNsCmc4n,Cream,74oJ4qxwOZvX6oSsu1DGnw,Disraeli Gears (Deluxe Edition),0w6X3DvUlwvxIx2cSJ2L7E,17,not available
87,Panama,11dCfArPrM7kzYpUrFHal9,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,1984,6x2n6wj3WvkRi8J8gxEcF0,15,not available
88,Pinball Wizard,1zGk1kgAxCpg6PHjGuLe4J,The Who,67ea9eGLXYMsO2eYQRui3w,Tommy (Remastered 2013 Super Deluxe Edition),5V71sHQYacjPbHlLsLmk7i,17,not available
89,Iron Man - 2014 Remaster,3IOQZRcEkplCXg6LofKqE9,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Paranoid (2014 Remaster),6r7LZXAVueS5DqdrvXJJK7,68,https://p.scdn.co/mp3-preview/83facf894aaa71be09e596b7e727609fc9bd4eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,The Joker,371VkfwKiXJxgH5ZPoQNHD,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Joker,6jIR8ITF5YSa3i9ILvA9E1,20,not available
91,Don't Stop - 2004 Remaster,3CPeWqqaHR0hmyfsWhMJQs,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,68,https://p.scdn.co/mp3-preview/45a7eb3cd757473e80584b5cda0969c67841f1e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,All Right Now,7IhkWF9zpiYKlU7CxHxYT9,Free,2e53aHBQdCMKWqHDuyJsjC,Fire And Water (Deluxe Edition),1hgW1wQNsca8iXUEmTFAUY,23,not available
93,Let It Rain,0hMNAUx9fFBdYQRO5FoQvL,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton (Deluxe Edition),1NfO7mb6Lv2xmdkeqsyKJt,14,not available
94,Carry on Wayward Son,4DMKwE2E2iYDKY01C335Uw,Kansas,2hl0xAkS2AIRAu23TVMBG1,Leftoverture,7MejfRSNnrpcLZIxkeZDqR,76,https://p.scdn.co/mp3-preview/3da6713464e61ceb35f993316c4e8c492d033c1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Surfin' U.S.A. - Remastered,0wz1LjDb9ZNEYwOmDJ3Q4b,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Surfin' USA (Remastered),6u5tGarzvESDsQiIpC4SlI,73,not available
96,Light My Fire,5uvosCdMlFdTXhoazkTI5R,The Doors,22WZ7M8sxp5THdruNY3gXt,The Doors,1jWmEhn3ggaL6isoyLfwBn,72,https://p.scdn.co/mp3-preview/b88c889d5eaf0dc0e8136d495041f51d1bd660e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,D'yer Mak'er - Remastered,4ItljeeAXtHsnsnnQojaO2,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Houses Of The Holy (Deluxe Edition),7gS8ozSkvPW3VBPLnXOZ7S,65,https://p.scdn.co/mp3-preview/863a26744fa4389f1dc61557133df3453be82d7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Walk This Way,2vX5WL7s6UdeQyweZEx7PP,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith's Greatest Hits,3VNTh6evo3MyUsStAiatcY,66,https://p.scdn.co/mp3-preview/d8d7971797e5d917ee589ade9962ea9196fae562?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Beast Of Burden - Remastered,0832Tptls5YicHPGgw7ssP,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Some Girls,54sqbAXxR1jFfyXb1WvrHK,19,not available
100,Still The Same,5uujhDA7WTFfGBkLh491KI,Bob Seger,485uL27bPomh29R4JmQehQ,Stranger In Town,3IqhO2ukdUkAs83DzamqIJ,17,not available
