KEXP's Top 90.3 Albums of 2015,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Mountain at My Gates,53L6A3I9vf7rgEZnMzx54E,Foals,6FQqZYVfTNQ1pCqfkwVFEa,What Went Down,4uIDigk79DeZEYV6Z5Yf4s,67,https://p.scdn.co/mp3-preview/8814a6a480833a971a92e75476787a8d5ad82987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Sparks,1tzwRqRNO2dDdUf3qMnQno,Beach House,56ZTgzPBDge0OvCGgMO3OY,Depression Cherry,35vTE3hx3AAXtM6okpJIIt,46,https://p.scdn.co/mp3-preview/8ab3de47edd552f1b06596c54fdde3acce6fefe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Moaning Lisa Smile,7gChGUkqWkinDS7uYoMLIM,Wolf Alice,3btzEQD6sugImIHPMRgkwV,My Love Is Cool,6bRsXeFIUgPfYLZNprki2h,44,https://p.scdn.co/mp3-preview/2934b414bb79aacfe381aa552d00d87e6effb2f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Snakeskin,066nVSMAHBa3UxtE1m4c2j,Deerhunter,38zTZcuN7nFvVJ6auhc6V3,Fading Frontier,0y5XgOUEiJSSIMxC4ALRAC,42,https://p.scdn.co/mp3-preview/81d13cd06b1b216c5bd465343cbd77d6594b8cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Flesh without Blood,4ZcGbQ5dOKX6rJk4yvza9R,Grimes,053q0ukIDRgzwTr4vNSwab,Art Angels,5hB4jVN4ZHpubyiMmW81K1,59,https://p.scdn.co/mp3-preview/a3fb39b674ef3f9eacd15e637ae2dcb4f9f8828f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Random Name Generator,1L8PsRYBgVQxpRDpy9qJ6v,Wilco,2QoU3awHVdcHS8LrZEKvSM,Star Wars,7BD2cOGKumTOMctWSysCD5,44,https://p.scdn.co/mp3-preview/76a2b47cfdee5148f43d557e436ae8526ffa48e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Living Zoo,11j4aOSfsh6mRlDFsqI9fg,Built To Spill,3kbBWco9PZ5eSQsNScwG6U,Untethered Moon,6RcWVrwvFmFu2KPALVX9ZZ,35,https://p.scdn.co/mp3-preview/97bdd25817ca16a12dfa90fc75cea7b03ce31579?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Return to the Moon (Political Song for Didi Bloome to Sing, with Crescendo)",1pKeRK6rB2lsIzCySm4NUg,EL VY,3zsR0Nsw8G2KuzKSdmosPI,Return to the Moon,2FcMAqsSGBlDrrCjNxMutN,46,https://p.scdn.co/mp3-preview/f8b6f93753ee3f017705f0669ac409f63800de11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Leave A Trace,01DidSmPasiXdPhDVuaULL,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Every Open Eye,1icGjif3DwL3PGKrKfuYh1,4,not available
19,Fire,02tCo4PWig9O2jk3ymFMGV,Grace Love and the True Loves,2mhd8TVpexvBY0tVkiRiXB,Grace Love and the True Loves,30LpiaV6x2Jv89Y2pQrFaK,16,https://p.scdn.co/mp3-preview/3034b8129431c26714af64c44520c32cbbe747aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Go,2Xhd1kYKj2aee7JR3nIlRe,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Born In The Echoes,3XUVUh6hisN43r2eZAOJRD,50,not available
21,No No No,3Ni6ZPaSxnvzWTpP9chwY4,Beirut,6pmxr66tMAePxzOLfjGNcX,No No No,5wtzauAez32y69kp2ZMKwt,54,https://p.scdn.co/mp3-preview/cd23091da0b9dd89cb549754bb41f4574e1291f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fool for Love,77x96TdWdkIia82QqU35SD,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,Strange Trails,3yoNZlqerJnsnMN5EDwwBS,57,https://p.scdn.co/mp3-preview/403f0f3a50cfb403e63b8b16e861d229edb934b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Restless,0tE2jOqAMQxLhWD1sKQxBS,New Order,0yNLKJebCb8Aueb54LYya3,Music Complete,0v0BEEfVsTnVAzd8Q7GZNl,32,https://p.scdn.co/mp3-preview/044e79d2312bf3d70e51146c4ce4c81c61229f56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Party Line,05wFHt1ZAsFU8GKbHV7nxo,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Girls in Peacetime Want to Dance,3Gy0FCDIx9MoliXd3YcTBt,47,https://p.scdn.co/mp3-preview/49ebbecfd2b89d62fee5791b77f938b44316253e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,I Wanna Be Alone (With You),0TJ43e1OnmWaZgfuMgL9TG,La Luz,6QRlkjrHz5A62mqeNZz7t3,Weirdo Shrine,6q4OSe8nsfQ6eHYETx7yis,0,not available
26,Lonesome Street,2BSDAVUzzQP7wpvcDybmsP,Blur,7MhMgCo0Bl0Kukl93PZbYS,The Magic Whip,0nSzBICzQHea8grwfqa5Gb,47,https://p.scdn.co/mp3-preview/ec4cb6fb44715846f2df5d6a24eedfe9a2f598d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Coming Home,5EA06TsQmqmQXZiEhr1AaM,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Coming Home,4svLfrPPk2npPVuI4kXPYg,68,https://p.scdn.co/mp3-preview/23f2781fafbda2fc7151f5a03cec9501a3306cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Feeling Ok,0hgsUnkawqDllP4OF4g9MN,Best Coast,5YkBrE0wF8cAlq3GCOw5Eu,California Nights,1JIhBE54vvyvz6yqqKKJ1A,48,not available
29,Stonemilker,1Q9PT8sgU7q9IH7kb5dSwv,Björk,7w29UYBi0qsHi5RTcv3lmA,Vulnicura,1ttnHZ0HVGMSMTJdZZ7kYK,34,https://p.scdn.co/mp3-preview/cc4ddfef87f42cbcf8734cc337cd6fbe0757f986?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Joke,2sOFb3iokT8caudADc3ZnN,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Time to Go Home,10kPjDQXraJLGgXVO3cLz9,0,not available
31,Lampshades on Fire,5jJ69cMDMC0aeWPjZo6VP2,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,Strangers to Ourselves,6iKqPv9C5oU29LR82N8lJf,60,https://p.scdn.co/mp3-preview/7e1a1e82715cad28109103b51321bd1dccc5637c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Make You Better,5YF9LcLUnzyiiPul1DyZwa,The Decemberists,7ITd48RbLVpUfheE7B86o2,"What A Terrible World, What A Beautiful World",0K0WhguFHBracRbeSzZgvR,48,not available
33,Multi-Love,0PEXp5yk0sx9dJ8JzwvjJb,Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp,Multi-Love,587Clxxo1i5flgjvS52bEC,65,https://p.scdn.co/mp3-preview/be4fb5d07c991cb3e39c3727e59d4f9dcde32dc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Shake It Off,391ijHd2drZtRfz5v0LqLf,Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,1989,0MVK1j7wrUkBZ09ZuMURJA,39,not available
35,Black Sun,59FC22eN2Syt9bbv2d6393,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Kintsugi,6BK3muExDOuk0VnyMn9NVw,55,https://p.scdn.co/mp3-preview/81b2f914451f84c1d7fb7d2a1fe40877d5428761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Something Soon,3gaWozYU01iAGUwWrmZ2xV,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Style,7rLKqTe3QFYhbKWOYSzeci,47,https://p.scdn.co/mp3-preview/e6591f775abb5a933082a7d039878a005465abab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Compound Fracture,2cbt59PL0tmgCsYNbM4PYk,My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,The Waterfall,42Je16rAv5ZaPTP5MY4y4V,38,not available
38,Continental Shelf,3d5lGpqxg1cMEYrgTaGxZy,Preoccupations,2bs3QE2ZMBjmb0QTqAjCj3,Viet Cong,63GwqLuSzZnAQpd1JBQKLT,39,https://p.scdn.co/mp3-preview/8bc95fac20cc1fc5b479d89f276ab324e6fd177b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,What Part of Me,4fqauV2rfnB1qHbTy1dzqw,Low,0wz0jO9anccPzH04N7FLBH,Ones and Sixes,55uQXRIwm0WeJX8g7f5aCf,40,https://p.scdn.co/mp3-preview/43c26dfb0c6b9eb30d07ab74612526cd8d1a1e64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Majorette,73guNXAOFu7XB6Sby4ahCp,Beach House,56ZTgzPBDge0OvCGgMO3OY,Thank Your Lucky Stars,7zPfNw88t2Xv2nVXWKqQls,43,https://p.scdn.co/mp3-preview/f92ce1a653d5e5eebb95fedfa56743e8ed83ece9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Stoic Resemblance,5o9m3fUkuqqxEFnkVTVqjE,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,The Helio Sequence,0ruNAWUz8Q8iqoj5TG7Q82,24,https://p.scdn.co/mp3-preview/209bf3468c7e332bb2625cfae57c1eee203da4a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Delilah,0fgSfUAnuJzzB8l8MdgRZg,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,"How Big, How Blue, How Beautiful (Deluxe)",0Om2TWqroaCLQamQME3bD2,52,not available
43,Huarache Lights,4vzKNjVZaE751JITh9XGGy,Hot Chip,37uLId6Z5ZXCx19vuruvv5,Why Make Sense? (Definitive Version),7evm8WR9w2NOCJVpK4H13X,0,not available
44,Beautiful Blue Sky,2lp3ycHVNMK2xZ5GFMwEtX,Ought,2VhVBXSB8n2KxuzKVZNxTY,Sun Coming Down,6Il9jwREmViqtjAXbkprVA,50,https://p.scdn.co/mp3-preview/ba034ea4d7a21feaa4c3ccac5e4e6fd09a36c6ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Edgewood,18ybTLsaqP8w05cl9b3nze,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Ad Infinitum,0KelrbMD3nXUCraeDa4DSM,11,https://p.scdn.co/mp3-preview/b1cd7ae17838b0caf7358f4d8755fb266974fd28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Way You'd Love Her,1hYz27mkvDvokNzyTyqUru,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,Another One,0qE5QSP0wAkhMzt8X4TGPC,54,https://p.scdn.co/mp3-preview/c1f4aa31474de5f56842b1a6375a0e6e4f0203d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,bodyache,2DopRU3QWz4CWymUUrKvO4,Purity Ring,1TtJ8j22Roc24e2Jx3OcU4,another eternity,4ymjpcGruNuUUUZOeGawLe,54,https://p.scdn.co/mp3-preview/f1c2f15dad1b66ea9360d4b3e6f87b17f3f651e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Leaf Off / The Cave,2XMiyGBbIOLEcCdGnHGoq5,José González,6xrCU6zdcSTsG2hLrojpmI,Vestiges & Claws,3mDpDgTVy3Lo6fdqoTr215,50,https://p.scdn.co/mp3-preview/c5e8ac9e73267fb483affa4f885df1cd214c1680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,La Loose,6hRWtIqE02IitQmV189hwg,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Ivy Tripp,0Q31RwMIh0WOxqJDa0F31q,32,https://p.scdn.co/mp3-preview/3f1ccc7dea7e2d6ee6fcf67759fe08065446f241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,24 Frames,3TWffuE2fuzzl1qC2W2V6j,Jason Isbell,3Q8wgwyVVv0z4UEh1HB0KY,Something More Than Free,1foB2t5YmfC6PxIC31g5Cp,54,https://p.scdn.co/mp3-preview/3075539566edfbbae51da7e93d2304e9f5de5873?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Crystals,5wU6jk9kxYzFGUpeE6T2Q5,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,Beneath The Skin,2mD97VgxTRfwB8F5tvkwrL,63,not available
52,"Siri, Open Tinder",5AJfahYQ4mbhVMhYFznHVR,Childbirth,3XHOP2aNX2wGtamgbkqfuw,Women's Rights,4wwc802peccfDdJCppjIIO,37,https://p.scdn.co/mp3-preview/69fe2ca868856bba35762354d6e1eebb36e34ac5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Save A Prayer,3NA45jwwGH28LsHthauYK0,Eagles Of Death Metal,02uYdhMhCgdB49hZlYRm9o,Zipper Down,5h6Nt39jh7BYXDNVjcw2fF,52,not available
54,I Don't Need No Doctor,1Zw2ehRZP0RdbnySVoohux,The Sonics,2g3PKH7Z1Ofn5oGR6oDjLy,This Is the Sonics,3QhhOighHWz7tBHYxuhdvQ,0,not available
55,Put a Flower in Your Pocket,7BaDRi8gmRnOducT6KaOfc,The Arcs,3mVWMgLc7bcyCBtL2ymZwK,"Yours, Dreamily,",7GcnWeopUkyCwFFEt6RrsA,61,https://p.scdn.co/mp3-preview/434e2456bcc595bfe75030a47c053d8eac91be89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,TV,1YQtK7sC6GRfxlOebwcri0,Colleen Green,0LHZaUvES8NniRWNuhHNJl,I Want to Grow Up,6dnAvpFf6ogiFmB7vw7aqt,0,not available
57,Mainstream Kid,5Fict91gE2ao2r0VzZLYiT,Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,The Firewatcher's Daughter,2FWEy5yBlj6ry5AdnbXgEi,0,not available
58,Times Square,6zNf98mC8w5wh9V4XKShzj,Destroyer,22ojy4H4ZVpowC4lRRC8In,Poison Season,1W2B8qW1EDywGkYE6UYDKB,26,https://p.scdn.co/mp3-preview/6afba9fb3673445491b28c0f662cf2e9ed5124f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Sagres,6Gq0UPgMkDhyjj3zBkn9gU,The Tallest Man On Earth,2BpAc5eK7Rz5GAwSp9UYXa,Dark Bird Is Home,0xslWXhRXD9yYL8ZV5n41r,40,https://p.scdn.co/mp3-preview/6b766816546894de1cec41782c48bf5ca806b814?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Abrasive,2zlOCBcS1CCIUkgpz78ahY,Ratatat,57dN52uHvrHOxijzpIgu3E,Magnifique,4Lp4NxL8v03Mxg3hbAgW1Z,43,https://p.scdn.co/mp3-preview/e87d9c8b72581f1fb2c364aa4b8d65f0037d44f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Boys Latin,5jxY2Iol8RF3BtfmjTLxWs,Panda Bear,1R84VlXnFFULOsWWV8IrCQ,Panda Bear Meets The Grim Reaper,6bHsJXJoEdQTw3tUpHV8iB,1,not available
62,I Don't Want to Let You Down,52ddXzbc7N7qoVSxYsv9Of,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,I Don't Want to Let You Down,0TO16HsRKm9nWZtOQV12np,38,https://p.scdn.co/mp3-preview/09020c7e3050a797c3f1b351dc5e78f2fd6c93ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Annie,2piVjJGJ8CQoX6eKH53A5T,Neon Indian,0KydPQPUUoTNhmiHKOg5Er,Vega Intl. Night School,5jgrzAcDHJ5Nb2viW52OlR,1,not available
64,I Feel Love (Every Million Miles),7nifNyg6rF6abgtg8MG0D6,The Dead Weather,4AZab8zo2nTYd7ORDmQu0V,Dodge and Burn,1noOv3dNlu1sFf7liTCISO,16,not available
65,In Time,4R33D1MJAnb07J1x3AQgDG,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,M3LL155X,7rSESybi14vAuEVzkipODD,52,https://p.scdn.co/mp3-preview/3e32aa2aa670d2f946407923e9afa1d808a834c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Acetate,0n7xkbifTiXsfIAZDhH3To,Metz,18TNVFTJ6WfeicsMRrdJHI,II,2gQVmnX2Pvgia1Rj0iYGJR,27,https://p.scdn.co/mp3-preview/a0dd5aa24ed5f3acad16cae2e0ab0de2587aade8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Feel the Lightning,13JWZ0JbxAX2hfxCn1igg8,Dan Deacon,5Z3IWpvwOvoaWodujHw7xh,Gliss Riffer,05cihLeGrisaOseQdhxDcr,0,not available
68,The Legend of Chavo Guerrero,7hyfYgXMS5BumjAjY98Xoe,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Beat the Champ,7HWC61Sl93gYdBqCV5EIka,40,https://p.scdn.co/mp3-preview/cbc08fc3848b7eda2c12f9560e5a5e50c3d2fe1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Fell In the Sun,1qyRvPjbQZbPPwVGtApQ7P,Big Grams,4jU68Hm8np6WNZXMqi7rz3,Big Grams,1CFREwS5yzCEpC8slWETgT,42,https://p.scdn.co/mp3-preview/2df2f106ae6dc50ad9251007448dc5c49775a433?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Friday I'm in Love,6yH4PtEs8t43GkU7DVORaN,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Stuff Like That There,3TlSSVWAeW4TB2FkVZ94dI,53,https://p.scdn.co/mp3-preview/c955682b44ae10cf048a319743c7182a49db5d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,West Coast,2si6vDZ1pUwTU2KNupUZUO,FIDLAR,3P6duIn7oHeiBACZfYeNud,Too,712m0Co2KkHKVy0roe6qya,0,not available
72,Rat Race,2i3fzIoXJBd3v05Dfu1j6a,Fuzz,1X88xrhEvsoUjJ6EUHwiWF,II,2Pf2cI5CJMS5dwD1d9DHIG,33,https://p.scdn.co/mp3-preview/1071096f9b6f8322acf8ea4c0a1fb47ff4f4a92d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Feel You,6btUHzFhMcTSRJsB055QAz,Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,Have You In My Wilderness,1kVTV6AoeMjAOMOJyVfYOl,0,not available
74,Dope Cloud,7FcKvgJLesCoaBSkbTBUdT,Protomartyr,2YFBqMMiIIL4XyiEwqySUQ,The Agent Intellect,3oNSWUAqB7CCTSH1zdlrXO,0,not available
75,Another Go Round,5WTiYnYrzWIPRi6x5dWuj2,Beat Connection,64xvudklMEbVYMBocLyHSn,Product 3,5yS47Ds5NF5zZDAAzWAETf,26,https://p.scdn.co/mp3-preview/845f8dbe493f305d10b221142c8ad23fb9518956?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,The Graduates,4xbWCGGNm2wUohD80ShFrr,Speedy Ortiz,6YHfq8Pg3lZPo1u0PaQ8ob,Foil Deer,1HIJD84nu66Dk9wykAPhNB,25,https://p.scdn.co/mp3-preview/c579e643ce1f6279fb9d3a7b55a1040e071bb485?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,EarthEE,22BDgawjlGrMscbX8VCDli,THEESatisfaction,3H1MzPCZZQ0SKoKQlTNfqa,EarthEE,0c8JLytjs7pk4PDPwhYCOH,21,https://p.scdn.co/mp3-preview/58acc93661e65babc25242c2c09d8840f88e8987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Sprinter,6gjkQKgCWQA2ZA9froITyw,TORRES,3lrDYjsghBMfUTiLziD9q9,Sprinter,69JffH9w7GDmHTmebOjlPR,33,https://p.scdn.co/mp3-preview/0596193234cb96880133e88af0a9995cd0a10133?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Bullets & Rocks,6V0BxDNuxN0sMUhqBwlC7b,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Edge of the Sun (Deluxe Edition),4QsOzuucw0uoH3cuLA0RLv,23,https://p.scdn.co/mp3-preview/768dba3ea3fe3bcac92326a9fa5cb29088562766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,First Light,55Z7x3jC4joFzs2lQ9rGFn,Django Django,2ARO60gI5do88ho6azmzab,Born Under Saturn,1RTuHaRfUfWRSPed2o10Xd,0,not available
81,Grinder,4CHDLQA19PRKRCtpBIzASe,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,The Story of Sonny Boy Slim,5gRwx5vpeXUA75GmuqwByn,44,https://p.scdn.co/mp3-preview/f0cfbed782166e25aec1c6192a302c3a7bd5db18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,"Glory, Glory",37DP1pB5fkK64spxePRFMN,Rose Windows,6G0lSlHIhV5EmNzvCPtwys,Rose Windows,1ZUycs1kAqj7ohBAfKdCFE,17,https://p.scdn.co/mp3-preview/0c2f3bc30c420ef6eb6502d38909f659074f8f76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,STONEFIST,7uL9Q8h4hzzCuGTZ3Yttmv,HEALTH,6FfjnGXMhxSsJTuGLWBDth,DEATH MAGIC,2a5KZ4rwrXIm28LvcyjYz5,41,not available
84,Nest,0BV6oacj2oBi06TWvvNEAl,Young Fathers,5mZC7ndY6oGMxJentRwsuV,White Men Are Black Men Too,3xtwcBeltPMO0I4PnDfV0k,33,https://p.scdn.co/mp3-preview/921fb60e2225840f01090ca5a2700d562ec156ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Mr. Face,4qpcXQMOuAwc7VLtUcwdin,Ty Segall,58XGUNsRNu3cVOIOYk5chx,Mr. Face,5bXUYhd6yvmry49a8WpEqS,26,https://p.scdn.co/mp3-preview/fd25f934ba99722a01c8a376cd2f356128117a75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,On The Regular,664iXTTFr0b4jas9vPK6Ok,Shamir,7JgXEHI1oEiQICAMeCsKTj,Ratchet,3AH5uKRSJRdahN9ut2XE9D,41,https://p.scdn.co/mp3-preview/c7665c2809f2e597176532647677ad3764c77d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Trying,1mlisCmg0WuA4QLyqEbUtR,Bully,34LdbFt5sVXKTJOzf1iExQ,Feels Like,76CR7xZkAElmSDZF5NF3Bo,38,https://p.scdn.co/mp3-preview/5fe8b08deb4106bce5d530f5e5826d33299e7024?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Heavy Metal Detox,38O4VX5nPVXCKliboF2kdz,Wavves,6bUJpbekaIlq2fT5FMV2mQ,V,592d2gtYO83FF8awSzrQZE,33,https://p.scdn.co/mp3-preview/9dbb6741cbc2cbfb2d8160e84b8f54b81b11fdc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Hold Light,3rlIpa1bs3cNQV1Lf8NJsd,Lemolo,5bKPOg3YhjjqvoMVpa5tsy,Red Right Return,6tNocDLG2V0rdRMIjM67h4,14,https://p.scdn.co/mp3-preview/00dcb2dc15e96d57ace304269ef3fcaa304805e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
