Partyhymnen 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Lambo Diablo GT (feat. Nimo & Juju) - Remix,3TMW1GOB1lsmvf8er2dE8g,Capo,5y9wg9qkGBl0n9v9RzaPKu,Lambo Diablo GT (feat. Nimo & Juju) [Remix],78SjtioGS10lFchsD1XMH4,70,https://p.scdn.co/mp3-preview/b637e92939e0388e68524598af58cb29509009f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
28,Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,6NHS3hV16MZyfcp0nSHdrd,86,not available
29,Abfahrt,7sIQ5eF9ZmZY6lGGwZKaP9,FiNCH ASOZiAL,1ZyqnbV7Brg5LgyS4EZCUD,Dorfdisko,3kWKHKuTvxJuAGn2tEIGPL,67,https://p.scdn.co/mp3-preview/04e1b06b7b1b2234c8c14fc480e27fe0de692d0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,88,not available
31,Cross Me (feat. Chance the Rapper & PnB Rock),4wuCQX7JvAZLlrcmH4AeZF,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,79,https://p.scdn.co/mp3-preview/d5caccdfe52737ae696dfc02fdea2c7f5599231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,G€LD,1Woy8A8P76F5F5e3NILRxi,Seeed,5ISjkNS17JpCwiFtW80lpV,BAM BAM,4Dz7LOUDNEwFDYFGu7iiIq,65,https://p.scdn.co/mp3-preview/176f77f9bed6f276ed060203eb5574020ba98d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,R.I.P. (feat. Rita Ora & Anitta),6JqpFboOH2bq9pzaYbkKBn,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,R.I.P. (feat. Rita Ora & Anitta),2yN1kxrx1Z1CHO5VMdO2Yk,80,https://p.scdn.co/mp3-preview/2613c3e23661682d68a3e8eee0281c8a0bb5c917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Viva la Dealer,2vuFdbSOLje3khV4rLSEpm,SDP,1EfwyuCzDQpCslZc8C9gkG,Die Unendlichste Geschichte,1V4bwat6ipZpvoJcfu0faD,72,not available
35,Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,1otwHKoQ5KPaiekpYk4tWh,90,not available
36,Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Tilidin,1hgTRY8gTrfHGVfCAFBXWd,81,not available
37,Fading,2RP8Svo0pMwZXnVcmOffDw,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Fading,6ZaQeprwD7KA1yLERV2OUW,71,https://p.scdn.co/mp3-preview/3b5c1bebdf2addfd926038d7609a88caaa740c93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Vielleicht - Radio Edit,40kZZxVGvf2jYaInsw2lPA,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Vielleicht,24h3Kgo3PynKJixQoWvlWm,66,not available
39,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Yapma,40U9Hj3oyCRHRY1tq2zkbS,C ARMA,1wLLRA70itxEltujaQlLiT,Yapma,5idV0GFluaCC8siMrgTze8,19,not available
41,So Close,7FjZU7XFs7P9jHI9Z0yRhK,NOTD,5jAMCwdNHWr7JThxtMuEyy,So Close (feat. Georgia Ku),4ZIaWbFnkMozASM1CA59K6,82,not available
42,Hi Babe,6erIvryBSsAdebNU4a7Mrs,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,74,not available
43,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,84,https://p.scdn.co/mp3-preview/0f2bfeddc5705a09caf868f7e5aebf7e9fd8b6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,98,not available
45,don't lie to me,5EfMVE2wRmderPBSsEE8j7,Lena,5slpk6nu2IwwKx0EHe3GcL,don't lie to me,4n3xPyTXnS8352MHKXApaz,59,not available
46,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Love On Myself,4KmfgzXQ1trtD2eY7CtUAP,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Love On Myself,6VW7kUijiZ6DmX9066eMlJ,75,not available
48,Zeit steht (feat. Alli Neumann),22ET3BvBsXcGiwxy1uXPbU,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,6nNWkAwlHC0yIoKzzl7rnQ,78,https://p.scdn.co/mp3-preview/94dfbe1cd8f61c6ab59b96e165bf37b192e822cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,So Am I,2XvFk3xrG7dV6GhqcJSQHX,86,https://p.scdn.co/mp3-preview/8683916dfa16b85a9dff1bf743e629790a2efe85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
