Deutsche Poesie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Blicke,3w6ZpZiSV09KJo1dZKCom7,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,55,https://p.scdn.co/mp3-preview/ed8e20e3819ddd4e30e034612fb44672d8c8787d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Wenn man nichts mehr vermisst,1qf5HUMcru40VJTfHowSk4,Clara Louise,4GOCL5XuZojOhP5iE7CPda,Wenn man nichts mehr vermisst,4r3HeaaXyiYOudpXpIpWK9,43,https://p.scdn.co/mp3-preview/0d059c5e54c2497264730bc15b33cb3dd6b8aba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Träum ja nur (Hippies),21waa1WZ3JCbtXLoBwLPLj,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Träum ja nur (Hippies),5RQXNzk9AvYPHQqpraLN4K,54,https://p.scdn.co/mp3-preview/377540fe82b2377c92655b59becf653c41f98f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Unmöglich,26xqWvHtT5uF4vfcsjhEpz,Nisse,4KnUDY0asYB0Eb7vtNWIK7,Ciao,0nDdcX1c7HMzRnZJmySv6r,46,https://p.scdn.co/mp3-preview/4d3d40bb1a3f8fbe0d3b7004e77507fdc01decec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Lieb mich jetzt,3xbzs6V5krEKaRMUHJVyjp,Lupid,6MyDQj8ZCDSwJmA5P653Sr,Lieb mich jetzt,6IlqpmH0AI2Gc6W7SgiLLu,43,https://p.scdn.co/mp3-preview/2294c982b8b6bd6b0fa8dbbab8335a49d79410aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Heimweh nach wir - Piano Sessions,6rYkqUdaQOao5udjaVe5PF,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,46,https://p.scdn.co/mp3-preview/99c617ec24daf714f9b3d3bb4143ef4525bd2974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,In der Garage meines Herzens,2KvhSeqwKBky6Sg6JKXG5I,Philipp Dittberner,7oaSITFPadI3fnIxbv7hTa,Jede Nacht,2WkZJy52dMnsESXK6Y7TbP,39,https://p.scdn.co/mp3-preview/35c95bf5e552f384bbaa9ba5afcb7ffc2961b0e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Träume,3HJJBmiXEZ2Li6Lg7VvTk5,Monthaye,05SYscXcQHeIAxxuF693P5,Träume,0IVfbXdBIt8BOjkEkx7GlI,41,https://p.scdn.co/mp3-preview/05161353e7282891c4f1b80fb8cbbce4182ab516?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Als du gingst,4aOXVkAwN7Hg8M6Z8vgysJ,Lina Maly,0VVKg6krYM45eGuevSlcRk,Nur zu Besuch,4FQ2xsUjx0JnV1kq9i0tVo,45,https://p.scdn.co/mp3-preview/bda5ae64e6e6c9ff966daf15725f3578e2648b9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Vier Uhr morgens,6l7lIZy6liIbmU0VZPyBkO,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,3AujElkyJxW5E6NHCO1xT9,34,https://p.scdn.co/mp3-preview/719ac48a0392dfa6bc599cbf188fc3c2e3b939ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Alte Bilder,4PULyjzYYBStSbCqaXCoBZ,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Freunde,4gpPUBY3kcbIkwXaeOC6HS,57,https://p.scdn.co/mp3-preview/d91cad880247301014fcd22f1dbc18243719f518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,immer Gründe,7wlKWtFT1AiSG0DcUtHvV7,Revelle,02EVANzKGRlR3TTTiaGAoA,immer Gründe,11gIOg68rm3LZpEsPP9oFU,42,https://p.scdn.co/mp3-preview/c844178c08af799f71a28675060a2ad53158e8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Halt mich fest,2CMJqmjDuUIxAC2y96dxCT,Madeline Juno,6u8KyY2rfBGDtDejRJ9JaQ,DNA,1e0FaJpKXxcvF7npyJXiaT,49,https://p.scdn.co/mp3-preview/2c83c37a5746467bc4fbf8a098598587aa65c4bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Glück,0gh56emaM8R2Muwb1GJl4z,Bengio,0gfGtWOKV78OjwmQ0iGcE3,Wunderschönes Chaos,2ENCfuzHDLdj6uinRH40WL,44,not available
35,Ich fang Dich auf,5ceNNtdl3TN4ZPp8X3SCeJ,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,3AujElkyJxW5E6NHCO1xT9,42,https://p.scdn.co/mp3-preview/ff39544e0afdeba087713af974690ec045d341eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Mama,4faroi5zD3leXPmwMARIpW,Phela,4RdpPeOQsSPTOvBXleAp0O,Wegweiser,0lS2i191XiJ8A8TqsMH8le,39,https://p.scdn.co/mp3-preview/9f1fb44f0e1e606f3f44e3226e14a8c940012d79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Gewinner - Akustik Version,4k1bVF3eWebxvyk07Q6uOx,Marie Bothmer,5tfGWI8xQ33fxhcMq3GufB,Gewinner (Akustik Version),6WcxZRriCaGLLQbEcbqXUE,38,https://p.scdn.co/mp3-preview/8dcb33f528e19b50bedfcd9b663690d2a2f11b53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ich kann nicht schlafen,0Kv0e0KZ2j6QwtxK0JGFVR,Amanda,1vkYQMWQrfBzvXrMCwe50Y,Ich kann nicht schlafen,47gWLSJSTl3uvJUaAmz13w,42,https://p.scdn.co/mp3-preview/1fe0cd093047c68b537f0d2bdbfc0e6aadc88f45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,An und für dich,64iwJqwkPdW2WtVpGooJhP,Antje Schomaker,7Kif1sqh6J226OZFwUgt8n,Von Helden und Halunken,4lPdkGfGjjlKklHLhW44jU,42,https://p.scdn.co/mp3-preview/2ea3517600b157eefc70278a311779f3f5aae6a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ozean,7ED8m8m3QJvDCnYFOi6VXB,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Ozean,4AFH1ZeMsq5MSwgOqYfZVv,68,not available
41,Wenn Du willst,4A1SI1WuMDYbKuQ0zPaCVb,Marii,2Tt6ENACtaj7v6LpfqrujX,Bahn Frei!,0XcFjHwdGMy45ymvaxvCYJ,35,https://p.scdn.co/mp3-preview/174591d39a30f017b929a2bab2204c33303290fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ich hab heut Nacht geträumt,3CyI1DUFDc2tstYROXiyHr,Benne,0eS2ZGOnJi5Cp4ASTy4aBc,Im Großen und Ganzen,6IQFlJqW7mfgxW63xs09CE,4,not available
43,Steps,6Bhn4kl4qXvaqbWvW6wOhR,Amanda,1vkYQMWQrfBzvXrMCwe50Y,Steps,5fHM8Zrv2XuI6eV73ICozu,44,https://p.scdn.co/mp3-preview/a9194fa71df0c501086f1015bd63fe93486fc522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Feuerwesen,1y9EAqSt7cQi65KsWLKwHT,JORIS,7BKePXVmQRgnkbGcrFX1G4,Feuerwesen,4PAgMTlLDQYTZO07QoYYFO,41,https://p.scdn.co/mp3-preview/3c8c5cec197db38f6f5a8a7a899d31a3486c5d69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Vielleicht,3hygGk6bBO1PWumOJ8MFs6,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Vielleicht,77NC58I8GLcbyr1tcfMEgw,5,not available
46,So schön,4gmCm0zrMtjPkzIZTNVQee,BRUCKNER,0OKQx5tW0vxtKwYVblZTkq,Berg,2RUQ4T6YtupKUbQ83LpgAa,41,https://p.scdn.co/mp3-preview/3154c57d226533453333c7c8d981607ab7084e14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Liebe ist verbraucht,4Ca09Mf8V9lsU8zEhZizBA,Xavi,0ZCbxUPZReHqmDsGmiRvL1,Liebe ist verbraucht,7kkPgkd7zMn6G9knLD3uW7,46,https://p.scdn.co/mp3-preview/48512df9f8dfa75dbc67285c4d5fabc10a3153bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Hallo,7iHrIIRK7n1CWRcsFuLkjU,Elen,7hR13E9Jt08a35Q2is8VvO,Hallo,60aP6g5hieOWo8JycV1Pw2,44,not available
49,Nur mit Dir (feat. Xavier Naidoo),6hh1ikcv3CPsq3a7e9ItNR,Shirin David,0JBdTCGs111JKKYfLqOEBa,SUPERSIZE,3xn49rF06ySf38NiRyfoN6,77,not available
50,Zeichen,1W1e3LmrVXEcNytFM4vSvB,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,3AujElkyJxW5E6NHCO1xT9,46,https://p.scdn.co/mp3-preview/84d51de579ac7829a574947dffcebdc0f2e9b556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
