Club Beats,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Throw It Down,3EiJST0HDZojGaJOtrCvGy,Roger Horton,3c4ZwfXOb4VBK7L7qWIBBB,Throw It Down,6BfO96cFJQCjb8PthHhSdY,29,https://p.scdn.co/mp3-preview/b2b2045d04d05b3c55dce1bf04b29b87ba2ef1dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Want U,6SnAoscSjLN1c2lhHLhbo8,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,Want U,2BsrfrakhOuG1Eijbw02Lw,46,https://p.scdn.co/mp3-preview/b9c0833f9b7520970c9082ba820718ceff7efaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,This Ain't Techno,26VQvcUzPMLc1Jd8oDEbfl,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,This Ain't Techno,2L6gha8Ndmi1DrWpTKJn7Z,58,https://p.scdn.co/mp3-preview/6e252136c64365ab55263ac71431472ed9c95b17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Lost Within,1GVgayD7ODww3eVieGrczS,Tyce,49yqUrKBgygnVd0IeRCZVA,Lost Within,0aQqvmguxgV7cn8nWOPzal,39,https://p.scdn.co/mp3-preview/e79b5d8abf7b2a21266b2cf00e9d4facf952b5b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ox,7ANnnmkj7NgmfZbO2hbPAB,SWACQ,45UHclgIcRavRoRa2MET5i,Ox,2VbBxGjpQFK5wx2LTrdZUa,44,https://p.scdn.co/mp3-preview/0663b2c3a6e5d75b1ef09a402e34d4cfb094f194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Faded Love,6VSLyeg2PW82nz9sQZm6Qh,Nathan Thomson,4c9CqUuPbYlLvArQS7Y2kv,Faded Love,7dbQ4dNGDgzLiclrSq5Bbt,43,https://p.scdn.co/mp3-preview/37bec206bd00436af192a71810e4dd47768b5af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Bass Down,5lNLzIu7eGodMcTWVwd5Eq,MITTONE,5PrqXwfIbdHQz4h8PVsBn5,Bass Down,3Dli7s9rT2YMu6wYRVMwc3,47,https://p.scdn.co/mp3-preview/498e1a023cd726e05007175735facb994c857269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Millenials,3y0Wd0ETjXyRACYNbhLJHS,ARIUS,7wgs0d144iA6OnyYE629qE,Millenials,2XtG2zidzBtsgHK0yhocC5,46,https://p.scdn.co/mp3-preview/bb17472f0dfeaa3e93b521a04748d64e92feb05c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,1voOnpa4pILlDPVsrIFl8b,75,not available
42,Inferno,0TFqXXQIeBdXOV9Ebro9Wt,Desren,1v21stz51eeOrovaAeUtb5,Inferno,2oeRp7e1WAZ7as9dFFEbgw,38,https://p.scdn.co/mp3-preview/997a1e784650b2b619bff99a2f9188cf20d3fce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Keine Party - Single Edit,2AdrJCuXvi9YYpAC7T0D2s,Deichkind,49eo9xE4yGzJLWkOndiODs,Keine Party,6jVmvHcCU4RpUI8Gsfhw7X,58,not available
44,Drippin Acid,24odibft9fUGOUdRqka2cm,Khrebto,0fLTK12xF2IMaNmKMSue6g,Drippin Acid,6tOY6STevFZ2R5v3pzeTjz,40,https://p.scdn.co/mp3-preview/1c06c16d830b7253b071c80af2c5635c73f7940b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Stay,5bZJ1pbxDnjaXr45jTYTNd,EDX,7GMot9WvBYqhhJz92vhBp6,Stay,5avdjDHOsdovgECS6ygqLj,51,https://p.scdn.co/mp3-preview/91cf5eafec518512ac900c275693cf7e793df91c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Answer,24ob5sfH5z9bSLAb9TxCtb,Florian Picasso,4GWqzTTt2uA9Ms6HfUhWUn,The Answer,0rqtOmIuLbzvHrr0dxNqUr,2,not available
47,Say My Name - Sidney Samson Remix,0aVgtoMX4a2Av4l4WL56ll,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Say My Name (feat. Bebe Rexha & J Balvin) [Sidney Samson Remix],6RW3GhAS2Tsjt8IeDpsszu,58,https://p.scdn.co/mp3-preview/9a2c5685749f4d57ccc22d3df4bae095aaf024b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Awa Ni - James Hype Remix,00Mhg8ZfH0Qcn4oL5X5t4p,The Knocks,2x7EATekOPhFGRx3syMGEC,Awa Ni (James Hype Remix),5zru72mtHh5FpRWcsodgdH,46,https://p.scdn.co/mp3-preview/ff5a66af6e90572f2d9a6286e3b39b448d44e97d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Who The F*ck Is Jenni?,3Pt0JFphELtXE1crG9zwID,Jetlag Music,29bg2tYJCCyiuZdbsc9mFh,Who The F*ck Is Jenni?,2PKMPNpWBybnpP6M7uJ9J0,55,https://p.scdn.co/mp3-preview/7dcdd2ec8a724b30f29d8ad9d26531e701a85a45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Chinatown,4oBG4xkF9oZv4LZ76KArWW,Liu,3DnNQH13SfSOjZDsVEa0ht,Chinatown,2PbTjCuBClBQHWnqkS7HIS,45,https://p.scdn.co/mp3-preview/1d1efdb017d6a6ccb7d9c49b3c720b7fd09c24b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Focus (feat. Lena Leon),4MI0JYGmzUPORAfZMm0nOC,Deorro,6VD4UEUPvtsemqD3mmTqCR,Focus (feat. Lena Leon),2m7xclDHsTy8CCFRBqSxk6,54,https://p.scdn.co/mp3-preview/23bb059dadcda3ee8a5beec881ac8dfa0e6ee4d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Original Vibe,4JiEdUu5Q5dL1nJJECNCg0,LoaX,4uirC8jwtU1yVLDdsOzT0n,Original Vibe,68IlERLwuWJACwvnO9SCe0,33,https://p.scdn.co/mp3-preview/5600c4f885e781a50b7d8b5d5734514304c21eb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Inside The Groove - 2019 Edit,7MYo1KxHpYOfpO48E4ORq2,Botnek,56coS2IZSVdhIlHyzR75mK,World Famous Miami 2019,79ykVuA62ptwlLqRXjQH0e,47,https://p.scdn.co/mp3-preview/3a6588ff3e65e0a7c36348dd82a11a531bee1051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Better Not,3FQf8yS2iAxjA5myNguy90,Carta,3MTk6MUbUmV5X0N04N56JF,Better Not,7B5l0BRF8D8ZXzGakE8muy,38,https://p.scdn.co/mp3-preview/bf5b969ecf7584cb913e9d8ff1c56e489c88b81c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,DIRTY (feat. Blak Trash),3GgnKqkV83v8Etd00v93Pm,SLATIN,2K7Mq9tikWmSfodrb6ZyD3,DIRTY (feat. Blak Trash),6UFDVH5BIGBKDvPDlaeLPJ,37,https://p.scdn.co/mp3-preview/f74be57602845a80cebf4951feb4a6481ac660c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Smoke Machine,6nvQDmDbuwksD90nXvyX5m,Dave Winnel,1K80Wcuuo13i28cVd68mxm,Smoke Machine,79xY2Gqarex5bznpiKh9Hj,45,https://p.scdn.co/mp3-preview/16586ae21df9eb05279728928f57a6c91df3e06e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Feel the Bass,6eykrZRYVJ1q6ojz3Safr2,Julius Beat,7DSdX5vguJkOm69A6HZw29,Feel the Bass,3UEhbzCiJdNhC2R9f1BoCf,40,https://p.scdn.co/mp3-preview/d5018218813e3f5d04e7be0d9607a69296078e83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Remember,0ICSJKAcCQ9dhKXrJ1kRnv,Magnificence,5zfDGV6C2Xwns1g773GF3N,II,2L9MGYbIuYXlYd76XAUt9m,54,https://p.scdn.co/mp3-preview/e3b75b99b6d473e54077265df6ece25cfac6ac43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Body Funk - Dom Dolla Remix,1FflGndCt6ZaMZ9LBAh6Rn,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Body Funk (Dom Dolla Remix),7357BMVkzWElMBCZXe6eKg,44,https://p.scdn.co/mp3-preview/d318a3c00d172d159ed75b515c05f4beed25da44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Vale Vale,0sfgF2kM3yrZbkLmAbjSo6,Alok,0NGAZxHanS9e0iNHpR8f2W,Vale Vale,2llEFasK0tmnuR08L2zlYs,56,https://p.scdn.co/mp3-preview/6194964f97f3c01085628229f42ddab8ba6ea022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
