Stimmungsmacher,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Body,0xmoM6wDCmPuzdPJc7xqPb,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,2Oy3ebQEt7Czfh6ZEaZgW6,17,not available
46,All For You,4vCkQta0QD3NI3KmXhP1F7,Years & Years,5vBSrE1xujD2FXYRarbAXc,All For You,23tKyFl5x4N61MKyHhZAhx,10,not available
47,Nie zu Ende,0T4h79neqK0F7af0EC3EnG,Jonas Monar,15DtxS7TcOYPplKUl5re5C,Nie zu Ende,0Hq1sB4uaOdr1tbGqQP6MO,10,not available
48,Diamond Heart,4J4zx8xGJpuGndrVc06KaT,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,Diamond Heart,6PZBlxE1awuzcZTkUwWa4C,72,https://p.scdn.co/mp3-preview/690e697d4147c69a6ae48dcff7fb9de5b5d71f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Break,6LuDBVDciOhIfLX7xxz1TJ,Annika Wells,0kErUwb6xgWfkdn0RyZWHZ,Break,0ZifScAuy9Ufo7kptMvwGJ,51,https://p.scdn.co/mp3-preview/a75c7f260fcc2adfff4cbb5857fdeb09ef966ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Remind Me to Forget,5sIx4BlfYGuZeSLF40N9GH,Kygo,23fqKkggKUBHNkbKtXEls4,Remind Me to Forget,5Og1PZOwpUkL8slf11stBq,77,https://p.scdn.co/mp3-preview/3a5266d314db37f09273747a2fa73d44e0e1cc7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Sink,2BVyCBKJYlSdxic0yVpJ9C,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Sink,0iKUK667rgCwvtAX3YQxCG,23,not available
52,Play,3PFTmkLFibt1qGdBnFfrQK,Chloé Gisele,0L90B3jENaiw8unXl6y5eC,Play,3FI48C6apaVz9FAKBGktPc,43,https://p.scdn.co/mp3-preview/7ebc625299f767698b4bad1903f5c3c4c2927828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Dreamer,7hvxMYq9JW5W0vFwiu1Zdr,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,7bchrFZj39dzXln8iE6tBE,13,not available
54,Two Princes - Radio Mix,1iTKkkgXj8kJkGdjGGBFqL,Fake Pictures,02U68BQCUSYgr9eTBWRHLK,Two Princes (Radio Mix),74Awx7avOpDiYn1EDduCvT,11,not available
55,Running Man - Radio Edit,2yS8SABVQCqpvsmTMH8CgM,Ollie Gabriel,4TNVwxe6cso3F2sGxA2KLG,Running Man (Radio Edit),5g2cqXv5x8VHV8YzcBsOa6,52,https://p.scdn.co/mp3-preview/02d39e8aaea7b2aa436ba9acfcdce8edf0ebcbdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Good Vibes (feat. Tove Styrke),0H8pgTFFb4K2M4t5LKsP5H,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Heavy Rules Mixtape,5po6pdUWdxtvsxEVHeVDae,45,https://p.scdn.co/mp3-preview/7a73928f9349393e6a28d440833fd56e6faf35de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Just For Tonight,0im9iFcLT5D6pNl85H9mRI,James Bay,4EzkuveR9pLvDVFNx6foYD,Electric Light,08cprzGPjtLDvKMwtQh93R,59,not available
58,Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,27,not available
59,Senorita,5OHOykHs3Ct2pgbqod8uMD,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,7sC0Co4ka745oGeBfB3Bhk,65,https://p.scdn.co/mp3-preview/fe1e8ac8b0a09d4e14378d79e0a4affd66fbaa89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Good Vibes,0X8VlQBGnKhWTBpTlgqgSr,Quintino,1V3VTM7VspiQjcmRhC010n,Good Vibes,0VW5ytAiIQlvYqnv7U3wBK,14,not available
61,Never Seen the Rain,3t400hrRKe49dQYJpdM41k,Tones and I,2NjfBq1NflQcKSeiDooVjY,Never Seen the Rain,6IY4QZClu7lNx2aWMLZwZZ,50,not available
62,La même,7D9rSbEPwhcwNXqSOohlNO,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,La même,5AgZ7a91lJg3nBCHGhSEjz,59,https://p.scdn.co/mp3-preview/6fbad32e477db580a4fdaa6fc5280dd733288469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
