Pop Schlager,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Wollen wir uns,1XROXUEihftaT9c5cRRIML,Christin Stark,4LbfmLlmefdaJCAIDeQmkN,Wollen wir uns,0KeDARAluNh6GPXwA0rPZS,40,https://p.scdn.co/mp3-preview/25ce008a86478c1cad4001f22a82b434df013fe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Freier Fall,5R5s0dZeS0c1PuTxOVc4Bf,Sarah Schiffer,3Lc3iBAHvaR0LVKVF881oP,Freier Fall,0Kdu2nlgnYp5XkCDIcEC7m,2,not available
37,Sie tanzt - Edit,3xJyFs7xaGiPd2NiAaBImk,Rico Bernasconi,6mUjbb9eMEXtOS9oSPwYjg,Sie tanzt,1E1Xpl0ZxKBYmi6mFOUWgt,45,https://p.scdn.co/mp3-preview/00408a2b3fae888eb4a8ea42fff4dc4f6937b95e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Die immer lacht,0K3WfjovvPmyZpwiGBoMk7,Tanja Lasch,6Aq7HTrmlbXmXU6vE4y3ka,Die immer lacht,3bcngelxpf6DYYkAsRDaUd,6,not available
39,1000 Liebeslieder,42Chk7esznYdFJla1RUtJp,Alex Rosenrot,093c6w843yuGZ7z5F0YhPX,1000 Liebeslieder,3N2d8xtAJE7n7P0McyMQLV,37,https://p.scdn.co/mp3-preview/634bd16ca01e9ac45867054c1d91d5ad16021310?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Hallo,0Jil1Fh0vdCZ5h2aB5zGAi,Bonitaz,5J4ntTSs2VRZFO3N1gA6fo,Hallo,1hTYNMflkHE09vFSFjOgmo,43,https://p.scdn.co/mp3-preview/bbdb63f1c82d0d56b6d3d84ed8d1de5f02bb17d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Paris Paris Paris - Partymix,3scTloJo91euUuVQY3ZdvE,KLUBBB3,2GgpRPMDuW81boDje4soKs,Paris Paris Paris (Partymix),02A34ldW8aa9Z6aMB3MIWl,46,not available
42,Herz an Herz - Radio Edit,0ivdSyrxupi21nIMLRGgnm,De Lancaster,4B6hTxvIc2hDmLcts8DCL8,Herz an Herz,2lU245146hXnvF6Ukq5GAg,38,https://p.scdn.co/mp3-preview/6a9e4a8555d4dd7c67082a4fd00b17f9eb3df5d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Mallorca (Da bin ich daheim),3HPwmO64AUnulA3bK212BO,Mia Julia,3tN4jv8IaO9UAKTWqpXaV4,Mallorca (Da bin ich daheim),55g6hEqBWuV197kVvLfOIG,7,not available
44,100 Millionen Volt,1f95wwYTf4YCpkA9LHjSMN,Bernhard Brink,0rFjQZAuPOhjYhRaGHNbKR,Mit dem Herz durch die Wand,0Et2Anzeza0dzUUe05TLcb,46,not available
45,Fifty Dates der Leidenschaft - 3select® RMX,42FQ8hJbZ3uHlEUO4Qhuei,Herztattoo,1QQtvuZ1KZ3pFD56LnCMvg,Fifty Dates der Leidenschaft,70jTR4kAOjqXAURo4da0JW,37,https://p.scdn.co/mp3-preview/28b4ecf927eb020dcb232ab9e294d57527fd320d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Liebe für immer,4sHQyRH0bHgrBnLcdbHZra,Nino de Angelo,2TWKU6gA4uorXNGR193VlO,Das Beste,0ruMjPbAwD4YJkPwipjl93,39,https://p.scdn.co/mp3-preview/e935505f5ca414a4fa86a81f44ed49c8a37f62c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ich wünsch dir die Hölle auf Erden 2001 - Radio Edit,0AmY6FX1LlhF0o0foG5O2n,Christian Franke,31FayCDysz9SnE2rgNGMql,Genau wie du,26VN6zR8nJivMDK5egon89,41,https://p.scdn.co/mp3-preview/dd9bbae3b6eafadf72e34385d098e703c9825251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ich geb Dich frei,5FE2pyXUrwEXr2NZFxaVDM,Michael Winter,30fXQ7VnGab3eIWkgSHk5o,Ich geb Dich frei,3kebGNdSTWeLVapfqlXeDE,36,https://p.scdn.co/mp3-preview/a07b992c256153503be1a09c93bdb8ffeb0f28d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Ich will nur tanzen,5UuiJoTnGBpJrzlnWz3rWy,Stereoact,6dXL3SnQlCGX9LCUAyin6a,Lockermachen Durchfedern,4l21RCwpqktPCjVZWkiD9u,50,https://p.scdn.co/mp3-preview/6d7181e548d302c55aa48d6e7c3d9777b2b620e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Im Fieber der Nacht,19aXoeR2e4m6UMa0glgfbC,Nik P.,159oJddLiuKFNYTa3ZNueS,Im Fieber der Nacht,3q1TdKLqTMgauTj7koSVfW,37,https://p.scdn.co/mp3-preview/06bd71d673bd3d6c2d0143b989341d378fb869ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
