Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Crazy,1ZtEZjYb4e0V0gqwRYeeAY,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Crazy,44w0sjVpQthx9MxtXSI0TZ,48,https://p.scdn.co/mp3-preview/5954f0df659a424181a4cd3c05ddb8e1b83d31e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Dreamer,7hvxMYq9JW5W0vFwiu1Zdr,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,7bchrFZj39dzXln8iE6tBE,13,not available
40,So wie du bist,12SH8NE1e17yItgsb2gitp,MoTrip,69u5rPwWBKP7pJHpCGB9O5,Mama,7trUmg86DFfcs1uRRiv8GY,66,not available
41,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,Pretty Girl (Cheat Codes X CADE Remix),6jO7hs4GsF6924w10xQTyA,73,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Willst du - Radio Mix,2LkUiZy08G0PAOzvRQ3oxY,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Prayer,1SrvubPy1Dg2BWJyTMcmgr,61,https://p.scdn.co/mp3-preview/ebb555b46908d8180877095941d8217085bf0d06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,23fqKkggKUBHNkbKtXEls4,It Ain't Me (with Selena Gomez),0IUCAsckpNyV4wHKIHQawC,79,https://p.scdn.co/mp3-preview/14c4f664755de848314b8acafae1f18fcc4f8660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,More Than You Know,4q8PHoRsPUB52LFylX8Ulz,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,5wtHzowB37Fre3iXWQW5v5,24,not available
45,Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Your Song,6lrm01OVZZVmarH2XLSAXZ,74,https://p.scdn.co/mp3-preview/91a31303c4101d8cdd1a7a3894644cc236c6e776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Solo Dance,3BcNHuKlAm57APDcwh7LJq,18,not available
47,Feel Good,6a9vKVMFfNBi741DVSit3H,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Feel Good,5yAfDtl0HzGSqfLv2C40Uy,14,not available
48,Chasing Highs,6fTsxhIosAU6zXTAhSaemI,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Chasing Highs,1Yx8WUnHX4zrpQVF3nOPUg,12,not available
49,OK - Spotify Version,5AE9iVHWiJLY5CUKmvXkKd,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,The Afterlove (Bonus Track),613axulVSXcND6yCjasyt7,7,not available
50,Bad Ideas,76gwG061wqdatYhicO2hG4,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Music Is My Best Friend,32QOMbVCKKaKkFiEmX4laq,56,https://p.scdn.co/mp3-preview/acf7849851238cace2e29ea8cca581172dae0150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Symphony (feat. Zara Larsson),4b13SJlne61y53KSEwuQtD,78,https://p.scdn.co/mp3-preview/45e100c336ff5ebbc5bdbae4224f25aa08fa9ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Mama,4xlrALxuaCf9yZBHJeTSG6,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Mama,330R0sGGLnkJiXicee8jTK,21,not available
