Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Bloodwork,3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y,Life Of,6dYkIcKYqvb8lNB3FD1dAC,36,not available
18,Asia,6kg3oZmQjDU1nMLOWU3gVP,Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82,Early Tape Works 1986 - 1993 Vol. 2,4h1Yp6ITa0R2ZAB9YTsuyL,39,https://p.scdn.co/mp3-preview/11e985bb69c7e359e63868f4fde343e6c53296da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Wurlitzer,4OjcEWInukLib0TUfETqfx,Leifur James,2N1foZRamgP1sfiYXFID9O,Wurlitzer,0mfitPoE1oWjDfmX48fOl3,40,https://p.scdn.co/mp3-preview/fef020e77decef26fcc6bbc93d39b6f6cd349430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Over & Over,4jbmBkyBit7Geqa5tALgWf,Seahawks,6WHCgS2g18qWw45K66DdRZ,Eyes of the Moon,0pmvwDNcm1CBWIwOYsiBDB,8,not available
21,A Place,2j1tj1GQCDCRM5tzLQG06V,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,6,not available
22,Being Here,7kGuC6pmqKvvxRah5QuH05,Mammal Hands,497rp5TEzJffeBnUT0BeE1,Shadow Work,0D6EnTkqcbwzV5RWhxu4Rg,48,https://p.scdn.co/mp3-preview/7e26d555832fc8699bdd1177d4385fa457bd0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Trancemission Four,6zW4Ei7aIDEdAgF1KJ2QHD,Delta Rain Dance,57Huj8dWG51u6J5HA3dyZD,Trancemission/Transmission,5oobmYeG0w5lb6nkMUBRBs,35,https://p.scdn.co/mp3-preview/4eb9ae28fc4dfce9b8cd24b06ef5bed553c46848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sleeper,1GimT5ZWkbqjzIb6DBWOI9,Trentemøller,4O71i7ke5iIBX6RNSFoZbS,Sleeper,3Tm0MLEI2YF3z7G3rcU5En,43,https://p.scdn.co/mp3-preview/c5d8b17ddb4118b6c289fca5ca60e78b52fccff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Chronon,3UFviRZ9tFLVG096m0jQCM,Lotte Pen,09klzeoydwwlN5eyyQNNss,Chronon,29OIBexiGE5YpHEF8vqdxo,35,https://p.scdn.co/mp3-preview/61ab668738c85e4d59cd236636d17fa6e4f59ea6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,O’cean Dream,1By0PJ77a8zPaPN8Xi0SXH,Matthewdavid’s Mindflight,6QA05gHLqWpw4hMPqcuHD3,Trust the Guide and Glide,2OUnArCKNtZoMZef1WPzVg,37,https://p.scdn.co/mp3-preview/5ee432f6571e08326c75cc09439712c2f587e35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,#3,2Bc4llhjJBW77I552RgA3L,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Selected Ambient Works Volume II,17vHPMmoxN5B8cdhCDeMTe,58,https://p.scdn.co/mp3-preview/768515ec51df38f5ce5fb8bfb2a39827a9d35c39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Existing Closer or Deeper in Space,6kzNAm0RiDW3UyxTOimSLU,Earthen Sea,3vP8rFfMW7ZZtUFfYyN5QH,Grass and Trees,5BWggRFjTVj5uC1lqjjFU7,41,https://p.scdn.co/mp3-preview/bfd3c112eda464ac1a7f971b5db683a87e0527e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sekoilu Seestyy - The Madness Subsides,2O5tzTGzB0StE81ogR3rko,Pekka Pohjola,19ijg5n90fExbOKQd3E0p6,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",2dApocl3L27Wa7y6ZKdyDZ,52,https://p.scdn.co/mp3-preview/10a5272a6c42db8f4e87547e94c0e1df1d1f1cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Triptych III,7yLDPr6UQiAN5m5BRJP4ce,Lotte Pen,09klzeoydwwlN5eyyQNNss,Triptych III,70dgfs1cIUejHyTX6IHqYk,39,https://p.scdn.co/mp3-preview/96d29dcbd644d6b81ed4080975471b6b8975effd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Stratum,5xgMuXY71hCb7VLTqTY6nx,Visible Cloaks,2gqmFO0Wo92qaqwwgL6fZG,Stratum,5dOc0fmih3oQHSU1c4dU5k,45,https://p.scdn.co/mp3-preview/09eb8706edbedecd6fc4a4943a7bd0e2b1978cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Introspection (Edit),5JVtVJFun3pgNdDlUQlkOm,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Introspection (Edit),3KqeFM8PuKvoOHzVo1oxmZ,44,https://p.scdn.co/mp3-preview/d1c6767cd8c00bbea828d593f8e3469394e92e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,If Mountains Could Sing,1zKbNpXsJjuA3VtGAxSlQO,Terje Rypdal,3EFzYPEP2mCQoqcLjoWwK1,If Mountains Could Sing,4lv1X1oSpU4tHn6PZfkaCj,37,not available
34,Bergsbotn I,2o2kesEPWqDCcvOkFpkoUT,Biosphere,2rcnAZ6DvORQ365X3zVYpr,The Senja Recordings,5FwxcdIt5HKvuFIUaopKp9,38,https://p.scdn.co/mp3-preview/4fd701acbce3faebd26c374c9d1d3f4472f6f2e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,It Started Raining but it Only Lasted a Short Time,1KEnTUX8WXn8QVVxz2X75i,Dylan Henner,1L9mUjZqdG9QZnys4EDI7C,It Started Raining but it Only Lasted a Short Time,1Uci21ZdHQedNbzCVxDhTE,23,https://p.scdn.co/mp3-preview/8efb190558ea456050f1cf909cae2812e99ca34b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Requiem Again,5gBJgL7NUz3dlTBv4Laz50,The Durutti Column,7fh7bwX9qV60tLxxsp9bTe,Vini Reilly,6loUyyw92WAaXM3lzyRwNj,4,not available
37,Morgengruß,0R5PALlUm4fT9BBp2eBuFt,Popol Vuh,5zeiqAaIiDrjiDch33A2lT,Einsjäger & siebenjäger,1HO7xQMZ192OZpZVkH9fpp,38,https://p.scdn.co/mp3-preview/911ce996a2b5b4eb2629557aefd488b44ef2249d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Impossible Island,312f1c2NbtQKam65h7Mq39,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,45,https://p.scdn.co/mp3-preview/ff760b21f76e2eaa7d32ac279090dc46ec4e1080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Die Dinge des Lebens,031TQHn8ICGcAKkOwWvMNG,To Rococo Rot,0DRlmNJq133uYhzXxJfF3a,The Amateur View,5zXCkTQBeSfeSxEG82DRRM,38,https://p.scdn.co/mp3-preview/19b7d54887a59e3922d78dba88123edec9e2aecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Standing Crosswise in the Square,2ul6NDnL1ID1LFmldqRdhI,Craig Leon,2TFlUuw1I60a1Qbyl3Qmfs,Anthology of Interplanetary Folk Music Vol. 2: The Canon,32cjPNgVw59RwMrcxbdBhE,33,https://p.scdn.co/mp3-preview/4a248d92f0c64f9538d2e2a0d782b9ffe1b57aac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Cuckoo Wake up Call,2BwiTu8QrHm09soMmegJbu,Cosmo Sheldrake,6hV6oxGLeLFw17DGjIPkYD,Wake up Calls,6zZr0Y6Z6khPwf2LuZTK4K,46,https://p.scdn.co/mp3-preview/17e03b2f555744db34f724c1079bc91a7e384f04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Rhapsody in Green,0e6CAQsSJ7wneNwVtG4rOX,Mort Garson,0WmzT6tMLhdST5BfYagbha,Mother Earth's Plantasia,4Pj4zPHuEUPtfacdeTlqUG,45,https://p.scdn.co/mp3-preview/3a5fadda9fc0ff3bed3b8ecc2f14e50d1561e59f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Arc,4uF2emNSHWd4yLx93yB0ce,Scanner,7FEmduuEjfoagq6Qrgviji,Spore,3Qf9wyaHzgiaaSzhfO5jqi,34,https://p.scdn.co/mp3-preview/152baa49a0be2af2512dcefc8e751f691119bc40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Ursa Major,0wCUvFYNT0vJoDW8ky1WxM,SUSS,3qb5O9pLE0urqttdq4CqLS,Ursa Major,0eBBp3GtEsITNPh3NTG00u,28,https://p.scdn.co/mp3-preview/64c99d042692eb37cbf9fd62fcc6cbafd4fc1df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,41,https://p.scdn.co/mp3-preview/da05f52b176ce6e39388ec5ca1ce00470a867902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Barcarolle,5yTYVsQPA7ujLOANcjdDTW,Saloli,6tZ3TVCfSW7ZuoPovDYKWj,The Deep End,3Fwmzb3B5GXy6aUWfFEFXm,41,https://p.scdn.co/mp3-preview/6371f656fdb70032be42116cd02b47dccf367687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,solari,56TYvI2rgYT3tdH77D44jZ,Ryuichi Sakamoto,1tcgfoMTT1szjUeaikxRjA,async,55BwNuGPkSSKOCBkTSCQWA,36,https://p.scdn.co/mp3-preview/32677ec6c4fa45397059b8672873879ee494f66f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Space Between,7FNpgKsAUFgt5ONasflWtc,Joanna Brouk,3yITaOTDcBPYNnYxlxQuUt,The Space Between,7JO8XrLsnzmn6cBP5kyMUH,37,https://p.scdn.co/mp3-preview/7520a5ec5c60e9f79532c9168368a42ac409c9e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Dalston Junction Feb. 1970,3PAubbsJ8CQoIqXlVgPRZu,Al Gromer Khan,7sGvSRxJMoJdO530qjic7H,Another Kind Of Silence,4iLZcdUa17xrCewSUiBffU,35,https://p.scdn.co/mp3-preview/9a44052be006ed6988653f262e063155966edb21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Opto File 1,3yaMB8ZCRhTpqW5qfOHgns,Opto,0mdVUK3zymRXiPGQPWw8KX,Opto Files,5XRjps58rLCNTGovm1dqJt,36,https://p.scdn.co/mp3-preview/e623b0a858e4a93d72c1f377a7c793a9a0cbca7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
