Hip Hop Mixtape,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,ROKKIT,7KE0YCludwa29XWL8CoZ0o,NUGAT,74yjU6gHx05PeHAokao6DS,UNTITLED NO.2,24ywguXgNgx0JYmtkJhIJC,49,https://p.scdn.co/mp3-preview/8c41add092df95c5e887d16496cd9043cf124e7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Wow. - Remix,3IKRHd9ihUdGffgz4Mbgv0,Post Malone,246dkjvS1zLTtiykXe5h60,Wow. (Remix),3VEFGAVtQp8eHzVdvL5aGK,15,not available
37,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,Dave,6Ip8FS7vWT1uKkJSweANQK,PSYCHODRAMA,4GrFuXwRmEBJec22p58fsD,82,not available
38,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,TESTING,3MATDdrpHmQCmuOcozZjDa,83,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,First Off (feat. Travis Scott),3WRIaWsws011vHMd9uzPjG,Future,1RyvyyTE3xzB2ZywiAwp0i,Future Hndrxx Presents: The WIZRD,3LpIwZdzFwc10psLingT8x,72,https://p.scdn.co/mp3-preview/6efd5258507b6c144f649262903251679d1ecf0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Enemies (feat. DaBaby),6UFEJuDXQMWhL5UH5f9fUR,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,81,not available
41,Bury Me Alive,5IaSQfIK26X2DpqK12j5vG,Kelvyn Colt,3VV2TXkXYDYSUvtRRER3Wo,Bury Me Alive,0YViuAG5dwJkC1KxaO0a4B,64,https://p.scdn.co/mp3-preview/7a8f4a35c68f818310fb7a23564f3a97644a5b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,Tyga,5LHRHt1k9lMyONurDHEdrp,Dip (feat. Nicki Minaj),32EKwnBISVjObigwvsBzcL,73,https://p.scdn.co/mp3-preview/dc2890abb7faa426872c79ade0d7b17b1bea7032?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,The Flute Song,6pGuOWYOFDcSgmVvFWRWSv,Russ,1z7b1Pr1rSlvWRzsW3HOrS,ZOO,48Kac3ieDtt9OSp9Fm4g9e,69,https://p.scdn.co/mp3-preview/6b9988cf7aba1ca5793b417eb07edfff81312fa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),7DER9glBF0SYJU2R54Ipte,39,https://p.scdn.co/mp3-preview/a6f1289a51784c38125ea962755cfd927c1ebb9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,RNP (feat. Anderson .Paak),4vRaGGiQN6l2LiQxSFg6ZP,YBN Cordae,0huGjMyP507tBCARyzSkrv,RNP (feat. Anderson .Paak),0qP1uAp9EbzchSzCjjRZQ7,61,not available
46,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,82,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,85,not available
49,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,94,not available
50,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,88,not available
