Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Eintagsfliege,2ttVxMK6vCXpRUz8z0YRE2,Dominik Eulberg,44zcDDVZOY0ck7KECNUPK1,Mannigfaltig,3HUrniKjndcjRSpBwOxVUb,44,https://p.scdn.co/mp3-preview/d7e2f08a5a1baadb0c07f56d2d2868f9dc297586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,CCMYK4,4U5DGhLm4dP7YlWItrdZw7,Henrik Schwarz,1ooAqaFu4Ac3BO2HpL4V2R,CCMYK4,5QyJXVujHFHCyMlRFG80Xh,27,https://p.scdn.co/mp3-preview/6382aafaf67e2f92331be6c703a830f0280e189e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Harp Enough,0ywB0utZGAHl0tpTOTnp1v,MOTSA,2fyuHXew1I5FJDAQdbCYXP,Perspectives,0HmEyhZnvkwt45Z8RR0AfV,34,https://p.scdn.co/mp3-preview/03898ae20d962a79e546a1f37cfe22e57c79e6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cucuron,3pGk4e4NtaBAFT7kp2mg8G,Niklas Worgt,5vepjxl2UMfB5D7apHD2fa,Thin As Paper,6Re4PXtk1U3FTOhe6oqBa5,35,https://p.scdn.co/mp3-preview/2f61e9944f4f80d27dec8893cf1231fa1fd8ddd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Humming / The Ghost - Video Version,1woGlvnE3jyuekOKxUid2c,Binkbeats,7exctwYNULoOlBmGGUwIzd,The Humming / The Ghost (Video Version),7H3dyxZKafB05y7hlJixuU,36,https://p.scdn.co/mp3-preview/a8dc4c389b1b78a3c58bc3c9b7084adb8b695a88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Andromalius IV.,52egC9eDJzwNm6AGmlFlna,Dogu Civicik,10sxqiasXeDIMeRwSdvCFV,Andromalius IV.,7sM98HNzgmGlPcrnrNfvAX,34,https://p.scdn.co/mp3-preview/0c4405bb948cadfa2daacaa164fe506c680b7a90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,48,not available
20,Interference - Original Mix,49UmtYlpfumyvHLOO5Ga0h,Vaal,71Og13tJyEC23Eom0pb0BP,Nosferatu,3nZWql2HKjaz4q2rmdby7U,33,https://p.scdn.co/mp3-preview/999862f89ccb10b89290a696fc2445352e4bde8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,A Warm Glow,2oUgS3hurq63y5qJMAP4lc,Tryst (UK),7cFuB1Iqx6aq5hDmU4m8C4,Sonic Excursions Tape,1rqWUH7eDIPTyGiWkNVN61,19,not available
22,Cell - feat. Moritz Heppner,4A71OYCEabQtJj3qFwWnej,Johannes Albert,5FMcKm7A4LRwIJnkzuKZFt,Lichtenberg,7cJUhz5CBx8XFF9LWL9WZX,23,https://p.scdn.co/mp3-preview/c4c1adb112ec547db4130d5a5ce33b2a4576ea42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Connected,4LurkHkhygeaev1y8HXMd9,Andre Lodemann,1Em6QNi57qzKBsy0r4ZPXN,The Deeper You Go,4dKU0lg8GRfXExBwgS2FOq,33,https://p.scdn.co/mp3-preview/17425d4fdd654a082735a6fb48e83b68722e4e14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,ELYSIAN FIELDS - RON TRENT RECONSTRUCTION,2drLI5z2iQPrBB7D2selRH,DAVID AUGUST,1cS5EoXVqz7aON00AkVBBA,DAVID AUGUST X RON TRENT X RAFAEL ANTON IRISARRI,1GExqOsZ5I3bmgNxuYIobf,32,https://p.scdn.co/mp3-preview/412189aecf0abeaa71083b33156e83263eb271f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,La Lluita,1o3GiNwVJph7ReA2vAztCh,Upercent,7p4uoSR3Hf9jbuDvdJZPZq,Watergate 25 EP #2,5djsFkv3BH5AwrBzDBJmBf,24,https://p.scdn.co/mp3-preview/eadd3720b30b355695fc8cc9b467ac56ecab8b9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Alone in Berlin,35zgUplHMIDYyDeWqkAzr7,Kev Sheridan,4rqPUulTdgCJfxITPHP2oY,Alone in Berlin,54D27dhzVTKeFcVY6JKeZI,40,https://p.scdn.co/mp3-preview/c381cbd29f96ab191accc32fa18345ea8675a7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Dreamer's Wake,3Y4sSXeyK1flHPhN8P0aDY,Rival Consoles,05lIUgmmsmTX2N9dCKc8rC,Persona,4ciNhQuziH6TtbRbDaHicN,9,not available
28,Yet Another Day Thinking About You,45tYLgOLn5vT14pyPpW9at,YokoO,45fzhLbHZdBIgOGQT6M5zr,Yet Another Day Thinking About You,79XkgO0rpwnsOf8iERkMJc,1,not available
29,The Stream,3yxOXoQGXM5y16sN7TpSe6,Lambert,6pSQcy8935ABNiK2qOpOlK,True,6U2xxftHI11KUGHckT6LE5,54,not available
30,Saint Sunday,4CINaI10FhMxwpKpKxejDS,Caroline Lethô,6gdgoq3XvP0fkqXC85BdsS,Extended V.A. 2016,57CLMkdzmVds55C1hJ8OPj,33,https://p.scdn.co/mp3-preview/e276fb03dae64e72ea8b02ea8f338a221f074df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sumatra,2jUrrOKW60plhE89jNwTXE,Gullen,61k6okbUw17fpK27TFEXtI,Sumatra,1wwqh4MR3h8WGKqvad2pIs,35,https://p.scdn.co/mp3-preview/54b45fef3efa98d896845682e978db2056a4efac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Morning Traffic,6PhDfNt7nwGThKzQLqXMUJ,Electrix,30tRqUzXiuc69twbgi16Fb,Morning Traffic,4A6naeZkZ0I2m9w1FMABxq,36,https://p.scdn.co/mp3-preview/8be16171f68698e5027aef622fac0d3362295ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hunted,3LlcJaJu7LVG3LY6UqpQ4e,Alex Albrecht pres. Melquíades,6a5EIjDwMIpnwlOAYNsKxu,The Bluff,5rg83AGc7eiHP3LUsvxA0v,31,https://p.scdn.co/mp3-preview/e272e223d5507b000032eba1de72239ed3c4390a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Rest,7f7ZFSLD58vB31U78GpCyF,Brandt Brauer Frick,29TG40TGDvrOFQZM4adBf7,Rest,24iA2XSf8HyHx2bO0upya4,29,https://p.scdn.co/mp3-preview/fb100b3a713a375540eed4e7d25feba367370250?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Helliconia,7JkHtxkN3rZI97qVhMB166,Âme,5muFO8VqYRCRW13EkvX564,Dream House,7iIC3wJWW0QNCWDFzNnLc6,27,https://p.scdn.co/mp3-preview/6221b0176f0b380c82a7f842c204f0f142e58b0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Oceanic - Falty DL Remix,5zdrZN9FwoKRpegKVYDKQY,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Oceanic (FaltyDL Remix),7xZ5jrE5XZJQCyu2pq8QvX,1,not available
37,And All Went Dark (feat. Polly Scattergood) - Goldfrapp & Ralf Hildenbeutel Remix,1ve7lwoXCsrrWYAKmgppC9,Chris Liebing,21444lX8gpmOX36icLmbFI,And All Went Dark (feat. Polly Scattergood) [Goldfrapp & Ralf Hildenbeutel Remix],3KUt0bL9WBMdwn36o4UtnW,20,https://p.scdn.co/mp3-preview/b1d5a17e0501a43fd86cfb6cbcf4d86d6cae3777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Rising Urge - Lost Tapes,7Bm0j8ALNJ7ledPN0fKfBw,Röyksopp,5nPOO9iTcrs9k6yFffPxjH,Rising Urge (Lost Tapes),6vWgySuOqxQcfOyvzYV74B,33,https://p.scdn.co/mp3-preview/1f738b95977ba3b4ff49f8d13942d97928d74006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Karl,6XmHQPPaoZIAy2N9ENvjRL,M83,63MQldklfxkjYDoUE4Tppz,Knife + Heart (Official Soundtrack),0RUjgQppW67OIBTkRv8fdt,7,not available
40,It Isn't Real So It Doesn't Count,6JvQD2GB7AsqFxpJFTXR6n,Styrofoam,1xowRVWzOSg2hcOOP4Y2jN,We Can Never Go Home,5JkBjSxlPXwJabPJKUcyW4,23,https://p.scdn.co/mp3-preview/548fb1b5a22a1b304034a7a1548fd88536df36c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Transactional Relationship,17YSGfgY3BizhPL8QDF1gg,Gold Panda,6xS3zemJD9h94iueQvGqVk,Transactional Relationship,0007jLfYrERL4X1mpSgLGK,44,https://p.scdn.co/mp3-preview/8c176a580248b33a9b8d7d1debcdb79d25de1872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ghosts,1jbevd0GQpZ8wm5VwnHmG4,obylx,3oB2U9OWSyEKuSve5KNgyx,Ghosts,1F5lM4zX54Z0Pp8BXd7GQf,31,https://p.scdn.co/mp3-preview/e977dfb20cc23a730706cfc20ba13f9c07dde5ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Now - Original Mix,2MvDGgu9pv6Bf8eeRH2vzS,Jon Gurd,2Nd5J1iedlzuNp32YYNuAl,After It All,1hsbys3eTYmQxg3sIWGnPa,25,https://p.scdn.co/mp3-preview/39ea6e6438db1154fdc8d8b6749750912f74c010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Blossoming Limburg,3sWqxx1aXbkGE9LCM1HRUw,Thyladomid,2ZK6csW8YIGpGGUiQO6wfW,Places,4tgY1UPv1iOv2vqEQ0yhf3,32,https://p.scdn.co/mp3-preview/16b9cf0bb1d51843b31903e28c5b28246613617c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,When the World Ended,3t4Nj5o9DdGAlu8TFN3Pvj,Tim Legend,3pfQKkyELe3zxBQDgQP6Py,When the World Ended,7GgW98ZsgeDUyLUzRSJ2Qt,42,https://p.scdn.co/mp3-preview/e4c5ab148746ccfb701e53109a57dbc30420a5c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Deep Space Probe,42NKPNUFdVxzlD7R48dh5F,Pye Corner Audio,3ib3ECT421EXd8CNLfNqAL,Deep Space Probe,6PrDvWnjVqHD8SJkfjDJGR,32,https://p.scdn.co/mp3-preview/595222b9564f4d7c55d08b35c13abee27d68b24f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,SFTLB2,30y74gSoBBq939j5BsiICt,Frakkur,7MsCO5nqwXGWzbEFzpXxMV,2000 - 2004,0XEVhUvCuqZpSClREEsVlg,32,https://p.scdn.co/mp3-preview/38ec744b699f3497d29e4e85db454fd1e8a94b18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Nude,0n4jjQM8GASV6iFNcr91Ub,Adriatique,02DWGcShQivFepRvGJ7xhB,Nude,5SK78hVYZKY4Fsru2ES3Ag,1,not available
49,Monarch,150xPwjpGttVzfE7Ya9xBH,Marley Carroll,4mjVQFIgNetwBWatbQROKq,Migration / Monarch,3CTKnlZcPGIbN3jxsTcdkL,27,https://p.scdn.co/mp3-preview/82862aa2163eb0a98a3ae70f58bab2e2654a8ec4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Self Portrait,3t6PDOiewR1fQyqGii1vok,Arutani,7g48EWSZL2Zb40hnBcFd1K,Self Portrait,3qPTxGPuRv24K1w7JGClno,31,https://p.scdn.co/mp3-preview/8b201e1ca3e0572451614e66451bd394029ff470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Horizon,4SsBteckF6ZnNyvOR0hVfv,AK,33Cf4O1KAVbtQa00scMi2A,Horizon,69Pf3QnuVENEdEHqxLXc5C,36,https://p.scdn.co/mp3-preview/47d1c863f36779c89f2430fc89722aa561ac7eea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Snowmilk - Vinyl Remaster,5mxBFuP85wPpbY9DXb3WBv,Elsa Hewitt,7xwbnGpTJA94MgILLAeThK,Snowmilk / Things To Say (Vinyl Remaster),0lBQhvldJtT5IOKoqgLopP,24,https://p.scdn.co/mp3-preview/3cc877979bbd8f87f00182dc4283a2cf7330aae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,NOCTURNAL,6tNlmaeHPzsfebO01HwDkS,Cavalier,2CFpRtRipRXDATD6UPmCOw,NOCTURNAL,7J81bjF90DdUdWj8Yv4kuA,28,https://p.scdn.co/mp3-preview/9df16ff95ad2c6b14e9564e2ddd1a79be4c1bab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Strafen,4AcvEnzDS0EoRDfnlBDwod,Yris Den,18MopJfVIIWfHc0WKqfjgR,Strafen,5PyffMSmNbXTfQsbePSlzN,30,https://p.scdn.co/mp3-preview/6894f353a75b0312a5df1746675a41598de13c93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Dancers,03xyBEUCBBWZejQvDPXE94,Plaid,5akVqMzdZOdbMYbE4vNZWD,Dancers,4iQSYDp89iqkwpt1eenPUX,22,https://p.scdn.co/mp3-preview/515f58b7d5a160a06e10d6feb7dbce4f7eb9a1fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Cypher,7vgaDsZO7WOGWmHSZ2s1kg,Max Richter,2VZNmg4vCnew4Pavo8zDdW,Cypher,7bOmeP28bKeR9E9twCFTk7,38,not available
57,Insomnia Dust - Original Mix,7fVs5gtx1xURyanouAoKFN,MUUI,4uprJRAH1f3978H1YMzqWY,Insomnia Dust I,7Hco85D2xYUlpxo8Ybj8m3,32,https://p.scdn.co/mp3-preview/c70e205dbc282633f7d37f24be275a4487a772c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Angels,4TQmCn0e9L7XTiKY4Hk8X4,Dark Sky,1qo9Fb4nYgez0Hpfi2RuiV,Othona,0VN8KeolDU9D7Iv1ivEYvV,53,https://p.scdn.co/mp3-preview/5198317dbba7650a250f2f4cd2b2078e1ecbd42f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Who Goes There,364s1to9iO42M5mDBcweRL,The Field,23MIhFHpoOuhtEHZDrrnCS,Who Goes There,0g0lQFhC2zOwCBoOkk9FNz,25,https://p.scdn.co/mp3-preview/7f7737d08aea145bc1b165c029fb3fdb6f1694be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,MATTERS,7mT8EoeuGUJiGFZKdL3fRU,ionnalee,7x3Y6pFeDGLJjv1V5uToHv,REMEMBER THE FUTURE,5xyWsAqswCJa5sF2Lm7h5T,34,https://p.scdn.co/mp3-preview/8c5c8b640fb92329114f0d5bae126e2a0b0e7cec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
