Most Necessary,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Bora Bora,3t6x1j9DqfV83a5EXIwBc3,Lil Durk,3hcs9uc56yIGFCSy9leWe7,Love Songs 4 The Streets 2,2on4MsaadD3GhX1Z9kbZxl,66,not available
32,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,79,https://p.scdn.co/mp3-preview/26b166ec6ed2cdf881dbba5045945529b64baa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,86,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bottom Bitch,1gbN2eRl4SfFe0zF47bSpq,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Bottom Bitch,5iPxMv6wrpGSM3xIoUwyS3,69,https://p.scdn.co/mp3-preview/f49a9b67fd564649e1159d2c3cb69e859d2b0d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Baby,2nKYHpmwjLaEOXS3o7QMiz,Quality Control,6i392l38cR3uBPF0DbNs7S,Baby,0ssH9wMngti9j73Rb9kcfO,86,not available
36,HBS,0uYMerBHiIHrCv9FHfzUMe,Lil Keed,3uJx5SnOM59Li7lCxA3b29,Long Live Mexico,3JDiBSlLalqzv0GTEDRi8i,75,https://p.scdn.co/mp3-preview/5452e3ee05969fc7758b2c1713dcaa35a1f31281?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Heartless (feat. Mustard),028JxheELfIvvY4zBXuMjw,Polo G,6AgTAQt8XS6jRWi4sX7w49,Heartless (feat. Mustard),4OrRpFIpAS0vTrKLFbySMz,75,https://p.scdn.co/mp3-preview/a3f8529cf9fdd5f0c2fd18f2454f25a4314acde9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hold You Down,5HdFkD5LlBRkY5jkAKopga,Quin Nfn,3M1quhETLChtt9NHKVaajX,Hold You Down,6HdKHn52eAadMNXK5EJjh9,56,not available
39,UP,6goojh0DIp1jAaqXBNrd6J,Baka Not Nice,3yvCFkK57FXH7JIwZQ5CmU,UP,3xbRlt8aMesxgNblRkzd97,46,https://p.scdn.co/mp3-preview/4a6d82c58f75b2db9a2f1a2cb6d660906bedeb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,TREESHA,537rVFLhclG0sKOYLVoZte,Justin Rarri,7atuUUktuP1wDbkkgdNvxI,TREESHA,6kZFIPVkoJaeSvZgdn6yyZ,54,not available
41,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,78,https://p.scdn.co/mp3-preview/a74bdd4a7eec8772c8f1c9538de440d9f3da84f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,65,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Juicy,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,4gr1eiDfKDgoXT9HX2EdNT,78,https://p.scdn.co/mp3-preview/ea22758b8b6aecceb7a2c30b9b2c0807a81d362a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mobb'n,6AmKDBiP9L1RwjjgOf6ZVc,Kash Doll,3u579Gdap91lMptBSdXTpf,Mobb'n,0csuOwEWEyzOsTdfA0i5Ph,52,not available
46,Digital,7GcbUQUvw2TIfmDfya8Jgv,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,63,https://p.scdn.co/mp3-preview/6f1e7795e3e9d6d1d0048b68606a8442cd4bf62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Amigo,6qWSHYcZEvE0MIcH2WmB23,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,76,not available
48,War,0JhonNQL2ixH1JcsgEj4Hn,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,War,7rF0hkAw7bmas9Cd44F7tA,66,not available
49,Anything Can Happen,1S2zNPB4JaGsinUjdlwn1a,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Ghetto Lenny's Love Songs,06vukn88R2dOCd6sfMaogd,68,https://p.scdn.co/mp3-preview/690159d626e09429183ba2a1b4dd16983168761e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Swap It Out (feat. Lil Duke),1eNK2dRod6oZv2eVNJS0Ej,Lil Keed,3uJx5SnOM59Li7lCxA3b29,Swap It Out (feat. Lil Duke),0uskTg4yMzqN1g2TdfmKMt,56,https://p.scdn.co/mp3-preview/c198af4f734bbeff6524012e3677008dbd7af02e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,61,not available
52,Ghetto Angels (feat. Lil Durk & Jagged Edge) - Remix,0vYYWtUgDtFIDFixjFi39x,NoCap,4PNHuWkk4ee6R8WEhFVPf5,Ghetto Angels (feat. Lil Durk & Jagged Edge) [Remix],4xxz9LPm6f6diSX2B9xHJv,52,https://p.scdn.co/mp3-preview/31c67036110fab2120e096136079c901f4587c91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Emmanuel,4PDvFyW8sYdEv38JdSkQ7E,Ameer Vann,7kIbB1pdDyehFj8aNgfzfH,EMMANUEL,08eWihUSFSOoMI9uFRj2EP,63,https://p.scdn.co/mp3-preview/3bae1746412acaf66f377a3fc7688da11eda6e4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Wings,0MdSezTbC54SIPQkXrvHrp,Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ,Party Pack. Vol 2,6lolOKwewTA3hoBA6FDTI0,72,https://p.scdn.co/mp3-preview/e5397ea86c2d16d5bb3fb07f601a05f8b975c122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I Think I Luv Her,6VYXuUz1nYMap8gtqeIrQB,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,I Think I Luv Her,6SLjG25W8rKuvSUExihz7g,70,https://p.scdn.co/mp3-preview/cb61f5787aff8777b62a25f6e26a1b79b03da173?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,She Like I'm Like,2W2txJXyjPO61rD7xAxwAp,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,71,https://p.scdn.co/mp3-preview/b4f48f04f607f95eac95ab30e6b208c1ffde5e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,18 Wheeler (feat. Pusha T),0r2aLoohhPKNZ9z6WkaYyp,Benny The Butcher,5Matrg5du62bXwer29cU5T,The Plugs I Met,5So31JibrTO74WvuCozsAb,58,https://p.scdn.co/mp3-preview/1a86b3a1f3c8e4b37007d6afbf7cfc5151dd9d5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Bad Ass Jit,0DvNd934ToR8kmGhWwyaW1,Dee Watkins,5cNn5kF2qKIOtBQJ2z4FM3,Bad Ass Jit,0v5gZIQj3wGxgQFVLUapFd,65,https://p.scdn.co/mp3-preview/a45ece7dc1445951bafb04152648bfa695aef60c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,See Sum,2eJB4I0i3gsInEn2JMF2iP,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,See Sum,0z8TJbXQXLyjggxIpZbZ0o,54,https://p.scdn.co/mp3-preview/40d206b473701c5bca9b9ad8b901d1bae06c7de5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Louis (feat. Jesse),45w7B0Cv6FNfMZZKwdwb2j,Take A Daytrip,3StB6ddX8vfwCGVD9HlNUw,Louis (feat. Jesse),5wWrOOFMf0TBTj0nN7jdht,54,https://p.scdn.co/mp3-preview/9bd31bcb24d2b4c9f36d19ffb946bcd8692bd0bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sensei,59rCaADE9SJXOuoFkB1AdD,SOB X RBE,2TImI3DW7o5MdRXJs4D37h,Sensei,7n36eTu3GaoiLHJ54K8eia,64,https://p.scdn.co/mp3-preview/7d52bdcafe5322807cdff56293a7ca4909190ce5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Next Up (feat. Tee Grizzley),2xONP2xvJLEwk5B5OrnOfH,Sada Baby,2JSwnwAT1BupAQkhqcRCUw,Next Up (feat. Tee Grizzley),6sMM2Pq0OZcEj9FeFUhQsu,60,https://p.scdn.co/mp3-preview/c414f673c65fc69b8bf28bbe02c7b019720c12a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,A lot on ur plate,21m3mGiZuSVt1WhxIKbcvC,Father,10AY17ALos2o3akPqrPydw,A lot on ur plate,6xcmzTMRjNIROWbXc0ydZT,52,https://p.scdn.co/mp3-preview/78d1d9aee1f5ecbb54342425d8684688598ece50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Poor or Rich,2pyemofcQsYJQCwNYITcZw,Doe Boy,6aLoJJxz7MV2iZ423S8tJC,4 Piece,2JHQHN5knVlaSLqfHYEywJ,58,https://p.scdn.co/mp3-preview/b355155ae03182b992a2d554cd15a79cd37f466e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,LV Smoke,65APBxUtoaJnO97ohduFmD,Ryan Trey,5YHM0i7v5TqqibZhS0YiuX,LV Smoke,2a6VzBrlPdO5cxEwt15wME,60,https://p.scdn.co/mp3-preview/fb6f639f58ac712c5cb26797068024605202f485?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Reverend,4BYPnNTZkGpnd5Odm2JFpT,Smino,1ybINI1qPiFbwDXamRtwxD,Reverend,0afMtX2OXCOeqVrlwCVG60,62,not available
67,THRU THE NIGHT (feat. Bryson Tiller),1XRaT5DqbSipsS1YcubfDA,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,THRU THE NIGHT (feat. Bryson Tiller),4DnzpjPdSbBBmSNeOOcKA5,65,not available
68,Gang Shit,7idKKQKjQ347chse0PkI0M,Marlon Craft,7MigDh04CCntQbsBvugEmb,Funhouse Mirror,61RaTAy2yvHeLHN5VTLyK2,49,not available
69,Stop Calling (feat. Key Glock & Tay Money),570fgRkd58jDYC4uYAg74V,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,Stop Calling (feat. Key Glock & Tay Money),24ZyrExx41cMhL6XwuHBqZ,63,https://p.scdn.co/mp3-preview/cb92f3ad64abbe2a3961dd22638b01dcbd15371b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,PettyWap 2 - Bonus,466hSxutNrvtSkDLPZPNWu,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,PettyWap 2 (Bonus),5NCKggdRwS5KsBfp6Na7H7,60,https://p.scdn.co/mp3-preview/0923c4ddef6248a89d8623f8d451d612f5ebdd08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Snaxk (feat. Kash Doll),69u4LLhLswgzkTXXDTHTLg,Molly Brazy,6apXk5PGvEVbgXOTyk6fP1,Built To Last,2eWtirIBLeQ6m4wlxlDvkR,45,https://p.scdn.co/mp3-preview/c9d9542767b39ffa22f10219cde719938c9e3e28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Heart On Ice - Remix,3IJXOgSw0TswyfyatfOtp0,Rod Wave,45TgXXqMDdF8BkjA83OM7z,Heart On Ice (Remix) [feat. Lil Durk],0ERV4euBol5OfBBWm4pdNR,55,https://p.scdn.co/mp3-preview/304a76799a57d55355f58b2c93729d00dcab9cf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,When I Get It (feat. Young Thug),6VaRNWngIWa2Yef3cl3z6y,67,https://p.scdn.co/mp3-preview/aa323ed8b1e5864917fff897d72776e40e47a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Bank,0uqJQ1k1N63nl4tAYW8t2A,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,67,not available
75,Porno,192boLjFXYWZ0ADjtvhaJT,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,64,https://p.scdn.co/mp3-preview/f1197d13bda4096ea96367460aacf0eef2112290?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Drive Way (feat. Azul Wynter),0nkwj667p0oMEURBST8Nyx,GASHI,0JOxt5QOwq0czoJxvSc5hS,GASHI,1fd9ERd2XLppseTB8bTbBW,56,https://p.scdn.co/mp3-preview/c101c4987b0f1fe0e5eb97110c67a9b241a56d77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Rudebwoy (feat. Joey Bada$$),36H64KxCcXoYlybYtBApqq,CJ Fly,41yEdWozNYEzA2RfgYQHgr,Rudebwoy (feat. Joey Bada$$),6IFlJoyD2owxC8cLaJWZXq,59,https://p.scdn.co/mp3-preview/f600dfea37863dfdedf042b1fe209cf8a108202d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Designer,0ypoiJsQKWq7jyYOotHUiY,Sheff G,1tG7s7S4sq2eFFW0QZyLbm,THE UNLUCCY LUCCY KID,3Xvvi8uwGnuj9nF7fr2h39,53,https://p.scdn.co/mp3-preview/7b0e8fef1c674eeed7394deaac7e59b1cbcc3f48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Start It Up,3xzwdd19Fk73FPzjNtS2yR,Hit-Boy,6q3p11nP1p80Ey6LrOOSed,Start It Up,710T3AQZXsjETkJDV0V9em,50,https://p.scdn.co/mp3-preview/77622685686be14adc2e0ee00211a381354d7ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Stay Down,5inG0OBqOYis5VTyCz1l5p,Quin Nfn,3M1quhETLChtt9NHKVaajX,Stay Down,52jX3xh2bU0UjeMBq21zWB,55,not available
81,Fendi,6yOjonk24vCo5oRnoemWQC,Mmbvelli,73fEMgbNiY5dc2BUu56hMA,Streets Don't Love You,26B5WmNWUoyOjd92uu4qGo,43,https://p.scdn.co/mp3-preview/60ff3d27e1bfc3767225ab62a17e8a4131369a4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Geeked Up,4ou9jnTXcFgVjhW6f2qHPz,YSN Flow,1je11NKORfLMSjgSNP0DPF,Geeked Up,5v8Dxsnp3XsQTkRTcqiwCH,55,https://p.scdn.co/mp3-preview/d576c961c5921fd0acb3a9407f20efe3ee99ddd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Dior,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Meet The Woo,6d1vGZsr6Uy3h9IigBpPAf,69,not available
84,Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Amala (Deluxe Version),3wOMqxNHgkga91RBC7BaZU,74,https://p.scdn.co/mp3-preview/d475f2f6b029ecf8e327271c01e6c9bd7bb38d3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Stack It Up (feat. Lil Pump),08JDuFRSsOhMSjnC1V3EB8,Ronny J,3TKCdsX8yNNoiC1gesn6or,Stack It Up (feat. Lil Pump),04CEJO8B8RaffZAuBD8fIL,61,https://p.scdn.co/mp3-preview/7a1fc1b0d561c262cc102bf987949672b4ab98af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Get the Strap (feat. Shoreline Mafia),0fB2bhPipFZNJP9Ft0DXSk,Rucci,7q836WTO8OHUS85E2RyxxA,Tako's Son,7eRFZJxHhvs8eJY18JXyp2,60,https://p.scdn.co/mp3-preview/4ece3234e4d99883d2a3348dbdf9ad1f297172ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,HOT HAM (feat. LIL YACHTY and CHIEF KEEF),2NpOMyRkB72q40ZQmUnsjc,K$upreme,7trxpXo6hVUnoB22sbCkEd,Caught Fire,6ijzLeD8Lwz14YFVYjJQk0,55,https://p.scdn.co/mp3-preview/7092c8c10e5b41cc774011e6f1a29656b7d8a90e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Mmmhhmmm (feat. Rucci & AzSwaye),5z7ydzREqxOeWDNisdQKOB,AzChike,6fqjJNsLs7g6F3PXy01Xnw,Rich & Ratchet,2ZjYpns0tniNlcMewZXMey,48,https://p.scdn.co/mp3-preview/3ad5b474853e17917cdb22d403c56afab5b86a24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,ADHD,5L0X8T8HNaUAIYw1oofg1M,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,ADHD,3j2L4sg2WK22mSWKkQ62Ml,75,https://p.scdn.co/mp3-preview/b09cfb670b2a09d1a0f8cbd8765727e351162af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Handful,0RKOQKuzVVWhiwzsCIo16f,Father,10AY17ALos2o3akPqrPydw,Handful,4thyJDhGU2gaCUohBHZwjl,56,https://p.scdn.co/mp3-preview/28284017c9fdedb30b01b372adc13a8f907bbc70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
92,Games On Your Phone,1YTkVMFRNzKojhcPq31Jfs,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,Games On Your Phone,0Ctp83vC2uksbUCpOXQreV,63,https://p.scdn.co/mp3-preview/74996840d6a12a2c0e1d3f02cd7d51971b5cf61c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Pull Up Game Crazy,3Cpfl1E3AePaUcdJvXLIev,Childish Major,4bMNzAopkqYTwkBLwMKsF1,Dirt Road Diamond,31930PbkQiaxgcCsmX0Rkf,50,https://p.scdn.co/mp3-preview/9a37ea4dd18720ead8767f712b2b01082ebeb11f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Top Down,6o2YQhGPwCdYBPpisPFInv,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,66,not available
