Signed XOXO,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,65,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Slide,2rTnVB1bvwxHtaIl4uVu7f,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Slide,6b3LhhX9Lt2861Dsh3ZCC2,75,https://p.scdn.co/mp3-preview/93882ea1384208a12c8fcf35b3c290e3b1266641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,77,not available
44,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Single Again,7IP0lO9tHfNwBWZ9X6TJ84,Big Sean,0c173mlxpT3dSFRgMO8XPh,Single Again,0AIFISfeloajgVP5fB9ulV,77,not available
46,Understand Me,7sMGW6lb6zKVvLA9IHUCgG,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,Understand Me,7oKFm1hLdLjPv9fMmmiY6h,56,https://p.scdn.co/mp3-preview/7098efffd847555cdca4828e53d394b3d38b634c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,not available,not available,not available,not available,not available,not available,0,not available
48,RNP (feat. Anderson .Paak),4vRaGGiQN6l2LiQxSFg6ZP,YBN Cordae,0huGjMyP507tBCARyzSkrv,RNP (feat. Anderson .Paak),0qP1uAp9EbzchSzCjjRZQ7,62,not available
49,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,79,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Brand New,1QxwcqdPXQKcHsDthDeE9i,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Brand New,6PSc7caJrncUQe5aewfW6z,60,https://p.scdn.co/mp3-preview/4d369d1d29026d195742b95c3ced05732693f6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,When I Get It (feat. Young Thug),6VaRNWngIWa2Yef3cl3z6y,67,https://p.scdn.co/mp3-preview/aa323ed8b1e5864917fff897d72776e40e47a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,"Verify (feat. Young Thug, Gunna)",6tq6PWrJ8y8icAv1x45YXT,Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ,Verify,1rXw0jdKjIl49Ng2mlgO86,69,not available
53,Forever,0oVxGuRMnawFgA8aduocfc,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Forever,2kznyvJ3wZGFCA1eYrjUC9,76,not available
54,Cold Heart,7hKnJYr6Pi237IknfXRn5K,Luh Kel,24CgJHK6T7C5OmUbiLLMjJ,Cold Heart,7GqNIGlSGCAzM1bhFKYwqW,65,https://p.scdn.co/mp3-preview/b86e869431ba6dc619727cf067d79be8b17783ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Can't Say No,7rJNUZEm3rDIgkkW3OKYY0,Akon,0z4gvV4rjIZ9wHck67ucSV,Can't Say No,4Yo428Xu0HUyU5aIglReJN,60,not available
56,NNAN,7asoA129HgQkm3MOVEUF0K,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,55,https://p.scdn.co/mp3-preview/79008c9b7d41aa05b8230266d506e82a69563151?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Ball,0wxaf5SavDJNwAlSp5GNbK,Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9,Ball,4ekKjBJJ9JClQQOSIjiQyi,56,https://p.scdn.co/mp3-preview/03f8d1270becd7bdff3db4d4b5ded659175f1401?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,84,not available
59,Top Down,6o2YQhGPwCdYBPpisPFInv,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,66,not available
60,Champagne,7km98lj8cKN41xlEmaUEAJ,Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9,Champagne (feat. Wale & Guapdad 4000),6z4SlflJJKpxg47A5UQ9kK,42,https://p.scdn.co/mp3-preview/5d5614d54fafc4bdccd21551541cef6ae2f1c9b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Change (with Kehlani),2beHQY7DvKp9q4vwilKKRS,Arin Ray,6TvjXbopXg71XRM9OZWqUc,Change (with Kehlani),580D5yVakExsIvkwZqbXqK,72,not available
62,Sextasy,5jlLBqK31dOqXECKn3jlMX,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Sextasy,5AHaOSqgHl1KLpfujwLpRR,72,not available
63,Drive Way (feat. Azul Wynter),0nkwj667p0oMEURBST8Nyx,GASHI,0JOxt5QOwq0czoJxvSc5hS,GASHI,1fd9ERd2XLppseTB8bTbBW,56,https://p.scdn.co/mp3-preview/c101c4987b0f1fe0e5eb97110c67a9b241a56d77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Cult4Ever,1KTvD0VZkvtO5YWQPJ41GK,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Ghetto Lenny's Love Songs,06vukn88R2dOCd6sfMaogd,63,https://p.scdn.co/mp3-preview/dda44f4af1042a92eb1efafc7bb5c645cf456179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,One Night (feat. Wiz Khalifa),4QPOSLxGWGUPgEKcBUxp0T,Ayanis,0ce3UlXwNzZPkj78XYLE7V,One Night (feat. Wiz Khalifa),0cQ8RzYhWDzEqm9TeSqjDV,60,https://p.scdn.co/mp3-preview/736657d21a52941d4529008eb2b0c967a20c2bd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,F You I Love You (feat. Teyana Taylor),27aGlicHJKf5QY20looYlR,KYLE,4qBgvVog0wzW75IQ48mU7v,Light of Mine (Deluxe),4UYc2CKvpyr2e1moEY6TL0,71,https://p.scdn.co/mp3-preview/9c21eaee73697d32b9a5273eef2ab09d43903504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Trippin (feat. Kehlani),1C6cfPAF4i2V8pWUPdHevc,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,62,not available
68,All Facts (feat. Ty Dolla $ign),0L6w0YHzEYfmO8Pp0ibcin,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,39cMCTDvlPDNsPSdKap9am,65,not available
69,Found You,1JBRIayGRcrxLJ9b2XH5jP,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,Found You,6WCnhmNmV5yXe0wQsvFFAF,58,https://p.scdn.co/mp3-preview/b5b04435c82bfd7331c2fee27982ee025d9cccf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",63iZvr19gFAToQJdY7Sysn,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,49,not available
71,What's the Move (feat. Lil Uzi Vert),3pTScODwk9tggZzmuH6xDY,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,78,https://p.scdn.co/mp3-preview/f6a29aa98348ae5d594d9cce43079a9b9f09723e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Sneeze,5ON3vOmbAsjByiJObo2CHi,P-Lo,2QLM9IFaHBtB16b8ZDaA3A,SHINE,5LECWxPVK3XQs2YssYLeJW,60,https://p.scdn.co/mp3-preview/b9aae4ca4e3fcff1c67e112d00de5939cacf257b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Hands Off (feat. Jeremih),2D8qajDbXBSl9SvaLkLZKW,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Delusions of Grandeur,2FDYcU1NTibzvrv4XDJofN,59,https://p.scdn.co/mp3-preview/a120c3bafac69953554fb57320b00f089b5f1aa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Money Ball,69a3MMNcoDtV3mmMUcB7Ou,Dame D.O.L.L.A,6H6svVOQLsIH1uK7KedZoQ,Big D.O.L.L.A.,7osfIkEHgt1CBBx2grcYyy,60,https://p.scdn.co/mp3-preview/ffa9ea7d77a60eaabe502abf9a67f1518d2526b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Turned Off (feat. Sage The Gemini),4FYdOYq9F1wLFngY5wIXLW,Marteen,6kEshovvQbjyh6RlJxxMQV,Turned Off (feat. Sage The Gemini),76AFepdYwWYxhMRO0HTrXf,47,https://p.scdn.co/mp3-preview/3743fca0f65359a6ed360416194b2ea0215b118c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,By Your Side,5kGFBGelA8yjKJNqs4Zc0i,Erick Lottary,0l5XMJjnKKhUE31xqZ6PdO,Summer On Central,1xX2eN3eq4THN2a2EUHKDT,46,https://p.scdn.co/mp3-preview/819681185b087293427d9d9a8502f36fc1c5ff49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,"Do It When I'm In It (feat. Jermaine Dupri, Ozuna & Slim Jxmmi)",7KnZjHM4BJDfZPFadIP6W0,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,I Wanna Thank Me,0a8d4BfLP3XEiuZZTWxxEQ,67,https://p.scdn.co/mp3-preview/51dddf9cb64732aa95921785ee02c14bc17a1936?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Throw It Away,0y5gx9hco8okaSecaH22k1,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,!,4YEhTvqsptB5D1n095QL5r,52,not available
80,Babouche (feat. GoldLink),2tN0dnN3wdgyIYvHbSGHiw,Jidenna,4TsHKU8l8Wq7n7OPVikirn,85 to Africa,238eVufzRziHuYLuBVZh1u,64,https://p.scdn.co/mp3-preview/103d58a8fcd9829be03ee70483796467a2401b8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,SiR,3QTDHixorJelOLxoxcjqGx,Hair Down (feat. Kendrick Lamar),5w27XydFTwAPV5GjsWya37,74,https://p.scdn.co/mp3-preview/27cc6d6d989c10dd916a6111809c72dd3e48140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Summer Reign (feat. Summer Walker),14geRrYSRz73sBbtPD4iPQ,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Port of Miami 2,1mgw5rbUS94uif2ce9QCf0,67,https://p.scdn.co/mp3-preview/2e9825470b9ecde4f4e7b62c0dbf2186d5f5c522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Focus (feat. 21 Savage),12iDo4Kdw9vA2X1lN3UTVu,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Focus (feat. 21 Savage),7ytUi1ApfKHaD2iJrOzjvw,61,not available
84,WAM,4uU6WpUiOHLxMzXD7eVzyK,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,WAM,1opbVvrgNu3y8qFERjLQW1,70,https://p.scdn.co/mp3-preview/58f7f8f8447e3a74874846b0d827defe65a3f680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Show & Tell (feat. Future),3dVCcRzAulDIuQQoQpDBTb,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,62,https://p.scdn.co/mp3-preview/98ea286d6e83301196b9b1d804760ce6a9310ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,For You,51utzcuw1SxGYh92nmbFrm,Childish Major,4bMNzAopkqYTwkBLwMKsF1,For You,2r8d6hcoFSRW0bgsV9Uipw,51,not available
87,U Said (feat. A Boogie Wit da Hoodie),209r8VXhRUVmv7A4VnX4fD,Lil Durk,3hcs9uc56yIGFCSy9leWe7,Love Songs 4 The Streets 2,2on4MsaadD3GhX1Z9kbZxl,63,not available
88,Girlfriend (feat. G-Eazy),2Dl4B2t2dysNepXKRaiWVh,T-Pain,3aQeKQSyrW4qWr35idm0cy,Girlfriend (feat. G-Eazy),4UUPCVMfRygX8QIFiLti6F,69,https://p.scdn.co/mp3-preview/cc7d5418e4e5f3081768700fbd07d0853e370afa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Anything Can Happen (feat. Meek Mill),5DToNHmi1v9YZacvKqg7aG,68,https://p.scdn.co/mp3-preview/f6ff107e4e13c61a69ff82a5f4a465235100c377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Alone (feat. BJRNCK),21GwiS6kowfMupwxA5nibr,HappyBirthdayCalvin,6NkldyBEgC6gnCjJeAbM9F,Alone (feat. BJRNCK),6NhOkymD5XtwJnbtBCqSgD,55,https://p.scdn.co/mp3-preview/c36abb8e2066a1dd14a76cb8a1d1822410dd2070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Jump Out The Phone (feat. Leven Kali & Brady Watt),2AG3B8ZjK6AGK6JKhfVrRW,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,Trying To Find My Next Thrill,3l9X9abmztD680Rs0HnT98,46,https://p.scdn.co/mp3-preview/5f328f10727b20263d7944c0f78971a0218d1306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Lights Out (feat. Ty Dolla $ign & Rich The Kid),26LRMtK7JytCxbDAMcexWZ,Ronny J,3TKCdsX8yNNoiC1gesn6or,Lights Out (feat. Ty Dolla $ign & Rich The Kid),3FDZv1RmmwJoKnwhWaoQ7J,61,https://p.scdn.co/mp3-preview/974fcb09bfef10a9fd84fd1e326b61546283be3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",4ChD9wq9iakg5UdeSzmgPE,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,66,not available
94,Zodi (feat. Mr Eazi),2s2arJw9uQkl9P8ZWwkGmr,Jidenna,4TsHKU8l8Wq7n7OPVikirn,Zodi (feat. Mr Eazi),0tJZlzFlCPdVv7Ef3PwrE6,57,https://p.scdn.co/mp3-preview/351882401235d088189eaad56815dc468313c60d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
