It's ALT Good!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Fools,7a0VLUciBUdE2RmpEnod9O,ufo ufo,1TsvuGn3XJ4F04fRavTonu,Fools,1pKwcCYYMtYWsKnXvpmNYP,58,https://p.scdn.co/mp3-preview/9bc29627e328729192ace8ea391ec2af759800a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Call the Night,6yYVXKCihtqj3MMFBdHSou,Luna Bay,4GxGE6FCYDdHtcDzRL7TYh,Call the Night,4eQ6n5NIL23PH0McjJrnt1,46,https://p.scdn.co/mp3-preview/754f75f5f8587c58c79b5a18be8db8b3daabd4d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,My Ex,57AnwieY4Z1CepmAqyGbZB,OVERSTREET,5TGdkTyHliaYLHPGxqcSUt,My Ex,6noFkV8LJcZiABeJAGr77O,51,https://p.scdn.co/mp3-preview/6d379821e4eec9a860842ae51bfbd256b66eb988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Apple Pie,1FmrgKa0scdSOUDkw4nbUg,Midi Matilda,1vXoKc82szC0njIdv8vVgO,Apple Pie,3oKP9rzFwOmqjogzDn2CuP,45,https://p.scdn.co/mp3-preview/82f5c9e0c0ea4f4df66ddbcecc0641133ef308bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,rely,0dA5pVAveTrQAJuuUbwJVs,flor,0szWPxzzE8DVEfXFRCLBUb,rely,0SACXeKAubCEXma6TT3b0O,3,not available
50,Hollywood,1eBW4wuI5K2iDvp5Kxi5wT,Cherry Pools,0ZapotknXXYHIvTojpg9Im,Hollywood,5o3aabdlrQRUPggo5syUTC,3,not available
51,Do It Like You Do,7FOgj5HLQd9LXGKXot1RhA,KAWALA,58bHgbHOExsHSOGlf0uUkL,Do It Like You Do,0VFrisQgRs71gyFCbtAhCu,9,not available
52,I Remember,7CJ9F2FG56SM2kgQ8OdBVp,Bay Ledges,7FhRUp59cBzPaxobsRY1Nc,I Remember,7bJQK8xAKv4Ng9QKcNpznV,4,not available
53,Silhouettes,3QwtJJ8wu2wVYRh8v5hbFw,Colony House,6R664N4cEza3eORSqKSgO4,Silhouettes,28LxvsuxAIX4bFnmNEUsfO,15,https://p.scdn.co/mp3-preview/5a02c9005496cfeeb241f5cbabaab95346bfaaeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Jump with Me,2bhasjavv1tokxnpvTcqoC,STAL,0tmG4q8xPVP7NJV481rXi3,Fresh Blood EP,6OA14Qqowqalvd9PFoE31P,47,https://p.scdn.co/mp3-preview/0f94567a03c89b469d2c215b678140f96fdbac8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I Wanna Go Out,3yVnBKYkQR2LFEhL1htZ2G,American Authors,0MlOPi3zIDMVrfA9R04Fe3,I Wanna Go Out,1bHTKkjlPSNEK3i2AB8t6j,4,not available
56,Drive,4dB8BGIWbn9eTean90CoOp,States & Capitals,790UjtODOzqAYB4O4RLJxR,Drive,4rYfzUqhmYLWD1JtyVQQRc,3,not available
57,Adderall,4Xx0J00u90QvnG3rwz4Itp,Max Frost,7r8xR0LmnaAM623MmRDn1V,Adderall,3cwCFf0JcO8RpfWi2OAcz4,63,https://p.scdn.co/mp3-preview/b93aebbe324fe2397462f5aa1a22be5b0282b7a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
