Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Concise,4H0wNqcWYEZBW94oBygF0k,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Lunz 3,4tTZ05DMgT3Y4Mpc72AyLC,28,https://p.scdn.co/mp3-preview/85879315c10585e89b8d7f6eb454b161a81a7307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Introspection (Edit),5JVtVJFun3pgNdDlUQlkOm,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Introspection (Edit),3KqeFM8PuKvoOHzVo1oxmZ,44,https://p.scdn.co/mp3-preview/d1c6767cd8c00bbea828d593f8e3469394e92e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Colours Of Chloë,41IIGbcmsYDgZYsgyyKg6Z,Eberhard Weber,2BPSfZHtSYon5DKvp95xXT,The Colours Of Chloë,6q8vN3Qdyxk6o1fGpY64qz,53,not available
13,Waende,0jIymbEdH6q5ZgFVwGJehs,Ceeys,6K8BBZapSLE6XGXF4htbIT,Waende,3w9bvWO480nCjEQuxzwrkc,41,https://p.scdn.co/mp3-preview/13dacb7a0078260d5d64b70c6d7d386f10177fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Over & Over,4jbmBkyBit7Geqa5tALgWf,Seahawks,6WHCgS2g18qWw45K66DdRZ,Eyes of the Moon,0pmvwDNcm1CBWIwOYsiBDB,9,not available
15,Playing at the End of the Universe - Orchestre univers Version,5drwkeWY5C8e2I6cTg79NS,Labelle,7wF9y3gjWdR3DOtFG5PVFS,Orchestre univers,0eIOrsIX5gw7zpvZhltUCq,42,https://p.scdn.co/mp3-preview/5f37a4ce36247f7ac022f40128b6eacc3a09e22c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Wurlitzer,4OjcEWInukLib0TUfETqfx,Leifur James,2N1foZRamgP1sfiYXFID9O,Wurlitzer,0mfitPoE1oWjDfmX48fOl3,39,https://p.scdn.co/mp3-preview/fef020e77decef26fcc6bbc93d39b6f6cd349430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sonnengeflecht,34Tsmlc1lm6hcFXtQXVdCo,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Wenn der Südwind weht,00bAjAIqUpoyE1TpJPjz14,34,https://p.scdn.co/mp3-preview/a6213e8b8004ab6165f1f4a38c5cde49ec48dec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,A Place,2j1tj1GQCDCRM5tzLQG06V,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Melody,3MH77JVM17CEdDLz374t1e,5,not available
19,Black Is The Color Of My True Love's Hair,35HX8z7O4MaVVrT40YEujJ,Marc Johnson,3AT9157jK9F2gMSViMdRUH,Bass Desires,3ENSb9BRGFVzNinQh8cFhg,51,not available
20,Stratum,5xgMuXY71hCb7VLTqTY6nx,Visible Cloaks,2gqmFO0Wo92qaqwwgL6fZG,Stratum,5dOc0fmih3oQHSU1c4dU5k,45,https://p.scdn.co/mp3-preview/09eb8706edbedecd6fc4a4943a7bd0e2b1978cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Arrival,0kAIEMckzx7krVzOP0xIZZ,Danny Mulhern,4tc9PdoWcfLTI5ZcNIhWuU,Safe House,31cCUJWMaRWwexarEm86Y1,38,not available
22,Plight (The Spiralling of Winter Ghosts),5plQUaqgpIdCMiXZpdP5v8,David Sylvian,2oyWkw7sq99yqj12hVUHtw,Plight & Premonition Flux & Mutability,5OVfsYMz3YtQbOpvmygebT,21,https://p.scdn.co/mp3-preview/92306955a5650adc48bb1d3e9ec6034e32a64684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Cliffside,5R76xMp2qvsV3VKUGBc9mG,Hammock,0VOR7Ie9xUSb45fzIIVJQ1,Universalis,7FvkaK0tizVHsWRcVP5WO5,6,not available
24,Sekoilu Seestyy - The Madness Subsides,2O5tzTGzB0StE81ogR3rko,Pekka Pohjola,19ijg5n90fExbOKQd3E0p6,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",2dApocl3L27Wa7y6ZKdyDZ,52,https://p.scdn.co/mp3-preview/10a5272a6c42db8f4e87547e94c0e1df1d1f1cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,O’cean Dream,1By0PJ77a8zPaPN8Xi0SXH,Matthewdavid’s Mindflight,6QA05gHLqWpw4hMPqcuHD3,Trust the Guide and Glide,2OUnArCKNtZoMZef1WPzVg,36,https://p.scdn.co/mp3-preview/5ee432f6571e08326c75cc09439712c2f587e35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Morgengruß,0R5PALlUm4fT9BBp2eBuFt,Popol Vuh,5zeiqAaIiDrjiDch33A2lT,Einsjäger & siebenjäger,1HO7xQMZ192OZpZVkH9fpp,37,https://p.scdn.co/mp3-preview/911ce996a2b5b4eb2629557aefd488b44ef2249d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Being Here,7kGuC6pmqKvvxRah5QuH05,Mammal Hands,497rp5TEzJffeBnUT0BeE1,Shadow Work,0D6EnTkqcbwzV5RWhxu4Rg,47,https://p.scdn.co/mp3-preview/7e26d555832fc8699bdd1177d4385fa457bd0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mirages,5ARGa1YCWbgNobFCM2F6JB,JB Dunckel,0yN05taoXcja1ibMBraWrm,Mirages,1YHTOqf2Ph97yqfLVr9QYT,43,https://p.scdn.co/mp3-preview/5c7c41712061cd2723cc8bc53698b369b9fb7709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sleeper,1GimT5ZWkbqjzIb6DBWOI9,Trentemøller,4O71i7ke5iIBX6RNSFoZbS,Sleeper,3Tm0MLEI2YF3z7G3rcU5En,43,https://p.scdn.co/mp3-preview/c5d8b17ddb4118b6c289fca5ca60e78b52fccff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,#3,2Bc4llhjJBW77I552RgA3L,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Selected Ambient Works Volume II,17vHPMmoxN5B8cdhCDeMTe,58,https://p.scdn.co/mp3-preview/768515ec51df38f5ce5fb8bfb2a39827a9d35c39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Unquestioned Answer,5ftgOffbWhT3hYtQXNEPou,Laurie Spiegel,5ixSn3H9wbdWQxcf8qEKOV,The Expanding Universe,2rD0SKiBImTKNhRtRVLsdU,36,https://p.scdn.co/mp3-preview/5ccdb939d2c5b0ec431b0f89739012fe7ce22a0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Trancemission Four,6zW4Ei7aIDEdAgF1KJ2QHD,Delta Rain Dance,57Huj8dWG51u6J5HA3dyZD,Trancemission/Transmission,5oobmYeG0w5lb6nkMUBRBs,35,https://p.scdn.co/mp3-preview/4eb9ae28fc4dfce9b8cd24b06ef5bed553c46848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Die Dinge des Lebens,031TQHn8ICGcAKkOwWvMNG,To Rococo Rot,0DRlmNJq133uYhzXxJfF3a,The Amateur View,5zXCkTQBeSfeSxEG82DRRM,37,https://p.scdn.co/mp3-preview/19b7d54887a59e3922d78dba88123edec9e2aecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Chronon,3UFviRZ9tFLVG096m0jQCM,Lotte Pen,09klzeoydwwlN5eyyQNNss,Chronon,29OIBexiGE5YpHEF8vqdxo,34,https://p.scdn.co/mp3-preview/61ab668738c85e4d59cd236636d17fa6e4f59ea6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Asia,6kg3oZmQjDU1nMLOWU3gVP,Kuniyuki Takahashi,53JsFUDYcN2jw6v1nF7Z82,Early Tape Works 1986 - 1993 Vol. 2,4h1Yp6ITa0R2ZAB9YTsuyL,38,https://p.scdn.co/mp3-preview/11e985bb69c7e359e63868f4fde343e6c53296da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,TOBIUME,5JpfGKhIFJqGYdTf8wlr8q,Susumu Yokota,3ND5NWoKzlelYDDyWqSQpQ,Sakura,4eN1ho9NT7q1YlG5xDNYNM,43,https://p.scdn.co/mp3-preview/1c419c05b0f859954d9365f5fdb61ed8563adf4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,If Mountains Could Sing,1zKbNpXsJjuA3VtGAxSlQO,Terje Rypdal,3EFzYPEP2mCQoqcLjoWwK1,If Mountains Could Sing,4lv1X1oSpU4tHn6PZfkaCj,36,not available
38,On Deer Island,3B4gWlazMuJjYYoP4Y8Ocn,Alaskan Tapes,5GHBk4xcO1UqlbyrUXv5dq,On Deer Island/Where They Lay,4er8vCjtXwJf9R5DPw3sj5,44,https://p.scdn.co/mp3-preview/c3d673646fd1c8446049b059038b383ea07b538d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,50,not available
40,Broken Clouds,7q0OGG60Em2wwPNDpBFPGy,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,Clouds,4FC9qI04vobItNEKVeRh8Q,40,https://p.scdn.co/mp3-preview/da05f52b176ce6e39388ec5ca1ce00470a867902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Gallery Love,0soip91PhVqvN0g9g65GKz,oso leone,0iViECTHd21gYy1zIEvusi,Gallery Love,6yiSCx0tmLTFK9IRso2tJJ,35,https://p.scdn.co/mp3-preview/1e8a101438dac2c1f738e8835b2214cc849ff2d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Space Between,7FNpgKsAUFgt5ONasflWtc,Joanna Brouk,3yITaOTDcBPYNnYxlxQuUt,The Space Between,7JO8XrLsnzmn6cBP5kyMUH,36,https://p.scdn.co/mp3-preview/7520a5ec5c60e9f79532c9168368a42ac409c9e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Barcarolle,5yTYVsQPA7ujLOANcjdDTW,Saloli,6tZ3TVCfSW7ZuoPovDYKWj,The Deep End,3Fwmzb3B5GXy6aUWfFEFXm,40,https://p.scdn.co/mp3-preview/6371f656fdb70032be42116cd02b47dccf367687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Moderato Cantabile,5js7CxlUAAIVS5KGklskr7,Felicia Atkinson,5YQURNvswNpWWUWyeNT7we,The Flower And The Vessel,6q2zdnjrihfiV0NZJQvEOy,44,https://p.scdn.co/mp3-preview/acbb448f8e104cf07ad5170f4d25bb1f8162a1ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Delta Rain Dream,1mMMpiuaPQe9I6RIqtFWql,Jon Hassell,5kNZV33crEsk2IMZMJ8bOQ,Fourth World Vol 1 Possible Musics,5vXMwvBidoteqCN6APRPo9,38,not available
46,Requiem Again,5gBJgL7NUz3dlTBv4Laz50,The Durutti Column,7fh7bwX9qV60tLxxsp9bTe,Vini Reilly,6loUyyw92WAaXM3lzyRwNj,4,not available
47,Ursa Major,0wCUvFYNT0vJoDW8ky1WxM,SUSS,3qb5O9pLE0urqttdq4CqLS,Ursa Major,0eBBp3GtEsITNPh3NTG00u,28,https://p.scdn.co/mp3-preview/64c99d042692eb37cbf9fd62fcc6cbafd4fc1df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Cuckoo Wake up Call,2BwiTu8QrHm09soMmegJbu,Cosmo Sheldrake,6hV6oxGLeLFw17DGjIPkYD,Wake up Calls,6zZr0Y6Z6khPwf2LuZTK4K,45,https://p.scdn.co/mp3-preview/17e03b2f555744db34f724c1079bc91a7e384f04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Plantasy,1ZCml39hCuJMIf2Taq6dEf,Resavoir,4Sl3fpSDeo9cMb3ouKm0rV,Resavoir,39jvG7HiXc0hrvPJ0h25F3,32,https://p.scdn.co/mp3-preview/8a6da02fc50db317da6a321311f08e3d9daaaed9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Walking in a spiral towards the house: Side C,6VAQq0NST9DpWDc7zretjm,Nivhek,5igTNru2ENU1qwU1qvlmYl,After its own death / Walking in a spiral towards the house,3wjaDfCkbngdwxN2lloyCB,33,https://p.scdn.co/mp3-preview/ad7de2c4461b9d50c24ff0fd08741af13f65c9e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
