Techno Bunker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Love Distortion - Introversion Remix,6aC1SUjlngcdR0M0YbZUf5,Ellen Allien,5lsC3H1vh9YSRQckyGv0Up,Alientronic Remixes 1,2YiPBMxJ26rLWOmp47VN6v,52,https://p.scdn.co/mp3-preview/de0aeb6efe568aba33c2d9d26fa996411f80bab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ravaged - Original Mix,0gqVK6yFO2ah02MtEqNGtx,UMEK,5Hini2nQyoglzpdKe41cZt,Ravaged EP,4anZePkpZmR7NCg7u4ENk1,51,https://p.scdn.co/mp3-preview/2e296cd1a5de0c0562d85c9e36e963c82d576447?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Rising Sun,600B699NlvHEKx4Dna8W2o,Mario Ochoa,2zviRwkdWgt0rjV3cxM7mg,Rising Sun/Levitate,1iS9IrcPcRbvmODkOPaiqc,51,https://p.scdn.co/mp3-preview/cda49a99f9de662900ba54ae80928f55842db386?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Fury,4kKuIz8nslWCKj2qLBbY74,Beico & MT93,7tqXhI5Dt7utI8xVAyumO1,Fury,3XkiDiukpo42MN7oHExVYt,49,https://p.scdn.co/mp3-preview/65b03f98eb00765579e8d7a98382e0fc07b498a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Enigma,0d4C1pp4WUWohgjjqpjPS8,William Kiss,2AI2RMWWeOAhkMhrQgxyNx,Enigma EP,52wN4RGKr4IACQZ1pZcivA,49,https://p.scdn.co/mp3-preview/a6c8f0f0efb4bdff98ef7af82815b792dccbf2a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Slave to the Rave,2f46NbBjkymBmD71K5INRE,Jim Noizer,0Zb2HlwCOtIU4XIkxjH2vc,Tektones #4,2Js3QVVy6PKAjzJnCn1Svv,49,https://p.scdn.co/mp3-preview/0ba4caef028666b0e998a3fe4920bbbdf7706d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Pantagruel,0yndiHV68jSDkxxpdbzxdX,Dusty Kid,6JGLndnzrQrIFkd8NFha3C,Kydàios EP,3ByGVPeiGEBt947mFOZO4X,53,https://p.scdn.co/mp3-preview/e1f5a9235dc33e90b573f18820e5f05602f3d81c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Temperature Rising,3rdricUIhHhOEXa8fqYofB,Mall Grab,7yF6JnFPDzgml2Ytkyl5D7,Growing Pains,4Z5Sdm5kkyAVsRgdYHRttw,51,https://p.scdn.co/mp3-preview/2cfa2606710aeb5637d758dbb3deaa6d8c4c13b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Solid Matter,1OsMbr4AUbUl7TuLH4JUVS,Drumcomplex,15uHboHn4dMAVjqSBMSnId,Solid Matter,2jeqcIYuYxEUniPgqqMECz,46,https://p.scdn.co/mp3-preview/eb81cedb984bf9769203d6ab7e81289631f6ca3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Wait,0y1jhyPdx2reWcXodAAIyt,Sara Landry,7eILArMiTFTQf8SEh5fFHK,Wait,7DlDEqU6boKFbxNp376nf6,50,https://p.scdn.co/mp3-preview/8cf87dd7e3eb59e21236932af7b308814947e649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Apache,1YZAAESXXSvHJzLdCvIgBl,Dense & Pika,3tlt5onLwIKTuaOAyI6ytC,Apache,6yRbmuP1wekwqhrW5P2jL9,49,https://p.scdn.co/mp3-preview/c425853705f8b0847315670c01f72ff0e2851b14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Mover,2cGR0kT799BDZzf4hyektK,Metodi Hristov,7MFugZiuQp41w92SA0zsG1,Mover,3V1FTDGPdPN73besKR0hLG,49,https://p.scdn.co/mp3-preview/c7ff9adeef60149699515d3b9260039cbd680022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Contrast,3NXW0IffkGQ3OPCsctz5Yp,MOTVS,11jBSslmTEkEGXxpFfy91F,Contrast,3Gs9leWyOGuQjdOakymJRg,48,https://p.scdn.co/mp3-preview/eccaa9e322e4b040a6c6e037dc396b14919527dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Machines - Original Mix,3DfXGie9QJ9feRLOjnJsJk,Jay Lumen,6rxmj7vNEofe96g84qMWoV,Rave Me,4z6JLq1LoWlkELkVZYZ5tG,49,https://p.scdn.co/mp3-preview/ee16892fb80f1345b5ca526e9f39d65367c87b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The Vision,6z3H6Mk3MWMpQXpfMAs0u6,DJ Boris,0CwEv3FWLZi5UomNNYUn0u,The Vision,2PJqOxAEfY2jYEpOEog8cd,51,https://p.scdn.co/mp3-preview/517e7e1b917d4edac741ee2d967c72ab8249ae97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Alien Body Double - Original Mix,7FrzWs2YG9lzYI0RkfnZrH,Dave Sinner,6ZR2XILLJ6y4cP6ttuBaRC,Between Now and Never,5HKYMwRGQnxBrtlB8zSntF,50,https://p.scdn.co/mp3-preview/704b6dbf90e6f4af7b445142b1f2b2fb6ba39ecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Berlin,6b8J6KpSQbXnVmkGibFXBt,I Am Bam,3rQwQXvPL2H1TgO7R8MLpp,Berlin,1XFA9RSPrBf6KVuzA7Kshl,48,https://p.scdn.co/mp3-preview/5a353e30ffb7cf8273ef0c20983787ffc4034365?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Different Man,31g7DAEKdnyCtkWEODwpWN,Bastian Bux,6K6JhQaED2RUjMyhBtR9eD,Forgotten Speech EP,1jwDtymq31IBc1UyVKty8y,48,https://p.scdn.co/mp3-preview/2515ba0fca7ced90480f9675cbb6060f501a2549?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Arrival,4wMbYmTzMzhjaJRyrsAnVn,Cosmic Boys,2jvTYwyzxK1FVYGEoKfZLQ,Arrival,68ycO3Ap3uxsWOP7kFSwel,49,https://p.scdn.co/mp3-preview/a541e7662277c913460f1d34e4a2626505fe9e9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Comatose,7HEVBrwnkGuIBtfer2V25t,Eats Everything,4W991QdgKWX4TO864ypInA,Comatose,42wCLafaAzvudUNBYUkVX0,51,https://p.scdn.co/mp3-preview/0980501c71ba874c0442ab14126d182dd48179ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Recluse,7nYvJSM0yp9tUpAJgrYoGq,Tiger Stripes,5L56gAwU2WofuHHOpLC0BU,Into Desolation,2w9yhbMoQwYQnmg85JhQKW,51,https://p.scdn.co/mp3-preview/abdfadcd802b09a808f75f9c5d273a4d44515b6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Synergy - T78 Remix,4a9vqREY422Hr8NKySHxHB,Filterheadz,6XqUjMGrl5jFwwyQ6hheit,Synergy,4VKa0Xq9dbdP8wMO15DAsu,48,https://p.scdn.co/mp3-preview/5ae62a0672d7a742d1578cdc62bb812b253765b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Nimbus,77DdPcZAgdV7fvLf2peo7o,Victor Ruiz,0xgdNNa5mIbnJKp8AG8S4z,Nimbus,3qVdBz6lLgs6kdTiYDIMgY,52,https://p.scdn.co/mp3-preview/51e1e2bc4479694ad20c4c15172535f237792818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Together,2BDE6wo2p7N24w4mNfNQSR,A.S.H,2ES9p7AUwZWCR0xfGsCKTC,Together,2Rd4yCMLrYv7yQwx65OOlP,49,https://p.scdn.co/mp3-preview/e79f17d1cfda17684d98dedd1cafeda4e4ef7e7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Limea,0ycLuevfRyNiqzC0aH8Zqj,Kaiserdisco,2lPXenWgbh51R950CMdk6i,Clams EP,1WwCzT5G4kExKJD5VbUhcM,48,https://p.scdn.co/mp3-preview/5bf2c7b8467f623c7f1301b65e2d4fc9952f7c0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Darkest Moments,3dfFX6R1OCxBjJhWdM4DuG,Ann Clue,5fasubnSIOTRYlIZA17ong,Salvation,4op7bsrPxvbGxdGz4s5R7C,49,https://p.scdn.co/mp3-preview/1a0fc5026ebc440a4f5b1dc812e0e836ae064f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Rosy G,1YdiCZxhmxVuQcLuY8z7ko,Maharti,6VUcDNWBxegiU0bVnmliBS,Rosy G,1v1PZWg0SfVCvtPbelczuG,47,https://p.scdn.co/mp3-preview/e1dd226b1dd08b0d0eaff8686fdcc78aa7f1b77c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Double Trouble,7yNar1nKXp79dcVyisoOKd,Simina Grigoriu,1PjzNHCXycxUqsP2yqFqhU,Double Trouble,5WcDsFXgFFilM7B2sZseBR,47,https://p.scdn.co/mp3-preview/f08139493b4625332f7341c8e08073bc90df78da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Witch Trials (Salem's Soul),2EieddAdTtevi3njUqj5Ks,Emma Jai,6XGOYPcACBv6qhwQhjNv46,Witch Trials,4gwEuBu0Jglg1YX6eorOxl,48,https://p.scdn.co/mp3-preview/1db21a059e986c4b7fd33bef9c3084d246ff3152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Orust,5GqBFkdKvZ29hwiV2SntdW,Florian Kruse,7GhGgxIAhzJxZXvF1bEYZ8,Orust,3xlMU22ofzw4sIq6BD4wtg,47,https://p.scdn.co/mp3-preview/86701ffb31ad4502c6c89957fc704e0cca5f5c4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Hail,1oCy8WtPFKhrq25QeJtpSk,Zusan,3YIRGFsBPYrsg1KCs5Xwa8,Hail,3tuh7S3RGf538xZVtGXwF1,48,https://p.scdn.co/mp3-preview/369e06df6a78fa3363c47bec1a6c8547c1b57879?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Survival,1TmGtiERvKdodc14jfYuF3,SCB,7wXzAJOG2A0jtJXh5VucxT,Red Planet,1eb6RWZowF8UXB260WutvD,47,https://p.scdn.co/mp3-preview/0169c1af996905b2ab33377c1016cd1c7dde6024?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The Return,03Y5VRVt1ASINLvk5Io7VY,CJ Bolland,51OKtNtm24ALAjAHBMiFng,The Return,3zJfrphCYwVdOsuF7MJNgt,47,https://p.scdn.co/mp3-preview/631392b130ce223d6c97c87c27de6a5cb2bb7928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Radau,0omxQc092f1NSQ132KtSIj,Julian Wassermann,6QXqARXg4hZ3oAUitm2gU0,Radau,5vkUCJxpTKZwOmrS9rMweN,47,https://p.scdn.co/mp3-preview/4f26d676e9cddb5eb59eefcc6d7e53d3bc96f61c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,P#rnceptual - Brothers Black Remix,7CX6L30rVxE5q9EwfWEeDB,Oliver Deutschmann,189aZgqac0fpuq6i8gcTrM,Special Interests,0h8C6niteysjvbSINGYO1Y,48,https://p.scdn.co/mp3-preview/955c870c4e9f6557a1ba372e1b9c6b7b7b486e6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Chasing The Light,0fjtmkiprkWZFUvpukPR0K,Marie Davidson,7xJVICbAWizNBKBD3mRWjF,Chasing the Light / Work It (Soulwax Remix) X Lara (Daniel Avery Remix),6NEE4kma3DPF0FwfvjjkRL,22,https://p.scdn.co/mp3-preview/56a7a0f20ef585965859e5f23303e38de16d415c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Dichotomy - Gary Beck Remix,2RCPTbPTJNEs4754imxLDH,Nihil Young,11OUxHFoGgo2NDSdT6YiEC,Dichotomy,1tOSqY9jBauQJIxUVFrAGW,46,https://p.scdn.co/mp3-preview/6c090d87811326a3f3a24b857af82972026cb4bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,PPPO - Function's Sandwell Mix,4nvoIH9APxWFESMK6L47Br,Miss Kittin,3QhNv79NoIvarU6N57GBzL,PPPO,61e3iO7Frz7kY73LolO6j6,48,https://p.scdn.co/mp3-preview/d58e4522f74ebe51b8c3a2acd61e67010e9e7dab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
