Early Bird,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Stuck In The Middle,4TJweEhnTMkfOdavXx5RRG,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Stuck In The Middle,6lFEMzLLRF3fnIBJE0EkLO,12,not available
37,Call You Home,71x0tN3wakXjBWtnMD2P5X,Kelvin Jones,2t1vHqFELDwweQWM6JYxHG,Call You Home,0rsoZfqt7v0WcgpLL26IWp,51,https://p.scdn.co/mp3-preview/393b50a9e3d787d2345abf7adf25c07dab7b97b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,No One Compares To You,0qH3pPjIQXENo96X1gNHE1,26,not available
39,Running Man - Radio Edit,2yS8SABVQCqpvsmTMH8CgM,Ollie Gabriel,4TNVwxe6cso3F2sGxA2KLG,Running Man (Radio Edit),5g2cqXv5x8VHV8YzcBsOa6,52,https://p.scdn.co/mp3-preview/02d39e8aaea7b2aa436ba9acfcdce8edf0ebcbdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sweetest Thing,696vpg0aBvBxpZAuasmg15,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Sweetest Thing,4YtmwrjMoeVCcVPMSadTsy,65,https://p.scdn.co/mp3-preview/9ab1840672a0925d2714bc4d11542be5308e23e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Kogong,0eBEo8ckRAmUEdrbmgpevQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Kogong,4SgQnitl0j0MXsloj8KoBI,55,https://p.scdn.co/mp3-preview/a10a5aebafbb9efc5dfb0e771c94bd15bce06eac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Dark Four Door,6rJoshfNufhpP4mgVujtOf,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Dark Four Door,6iR7QfnsNcwvE1VGqZXv7X,8,not available
43,Brother,7qxBMsDj8h2A15E0EwWU4c,Mighty Oaks,5AVJt6VYXT4hMRP8D3MRAC,Howl,3IgPthMKjm0nSuvKPGa5yX,55,not available
44,September Song,0FuTx2s3YH1ppmtiM6l0zI,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,September Song,4PtHrEv5SyIVsdbMKi6Vkg,22,not available
45,My Heart Ain't That Broken,2fu0Nkt9AJHMCwM2fiySMq,Leslie Clio,2Z8ZYYqedbWaOlSsBRVlmQ,Eureka (Deluxe),546Xvhb9UlOFACTErVGvu1,49,not available
46,Worthy Of You,0UkZ0epPTahsPgLXacC5EG,Plested,2nJYGgfTf2846LtVB3AES8,Worthy Of You,4ktlj5Wi33cc36TwB959cA,60,https://p.scdn.co/mp3-preview/4862e649208e08fa8e50f3321f67461d7ecfadf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Erkläre mir die Liebe,2enmDYf6Ux3oP1p1uyf6FM,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Erkläre mir die Liebe,0BvJWby0hvG3hB113L0HZO,50,https://p.scdn.co/mp3-preview/77f95144315da1dff17b8a5014a595aa15e3bc1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,Dancing On My Own,5Hq4LcmCQ6BP3kM8J5lgga,26,not available
49,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,84,https://p.scdn.co/mp3-preview/fa069a3be2d69aab5378b55f6c66d8b3eff1a6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Off To See The World,6NE7XlWVSwFenNMXeGiD7n,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Off To See The World,4AzzgW0szx3LHBpHe94Xpk,55,not available
51,It's Gotta Be You,6cAKeFFYW2aClZSUyvqAEW,Isaiah,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,0Mcl4Qm47aTgoJ35CFGsQv,69,https://p.scdn.co/mp3-preview/6a865e13b68872723f5cb920b9acbf4477715ca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Skin,1mS18wsyQxHl7YLZ1Y3mqs,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Skin,2y6WzlOXpJ82TgxCpsJ0Xx,14,not available
53,Up,3Nbcx1svCSzmyYG2I81YCZ,Olly Murs,3whuHq0yGx60atvA2RCVRW,Never Been Better (Deluxe),0jD1tOJpP0Qz8UcLq3FFkr,70,https://p.scdn.co/mp3-preview/8bba539c45e2084b1d03a0caeabb61b03ff8ecff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,Luke Christopher,787bCXOIvGeBw0Bc4kEjhD,TMRW,6dgQDrfjCOe7E8ruh1ruWa,66,https://p.scdn.co/mp3-preview/7a56116f6d0438e1ebdde2e4ba9f675ab13549ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I Was Wrong - Robin Schulz Remix,3TZ3MiMILR5wrQbbWiFUwI,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,I Was Wrong (Robin Schulz Remix),1jyWfFpqX77KFi32DtAIbT,60,https://p.scdn.co/mp3-preview/2455cfbd11fb8266c9c1825f9240e79ce2e1d003?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Hold Back The River,72FNf7DAlWLmuHiLTBcNHY,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,3G2kixP0Pi8L0KgmSYohb2,64,not available
57,Spirits,5rjP15JGMxW6zdPD7nIfbI,The Strumbellas,6ujr1NkqbZpYOhquczUUfl,Hope,01EPReZqtWuUDPUJAcYYat,56,not available
