Indie Radar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Want To,1HFFkBC80X2eHzhtHwjpg9,Claud,5MaQlvNGOaTj39apHsXVq1,Want To,0vuxBG7PlEL28N4x9NhjHF,46,https://p.scdn.co/mp3-preview/a98f3d4597b6af055a7a7646f5715841e4216605?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Before We Drown,0eGVf0SuQ7dY6loPLl6vGL,boerd,5E5cEevLYdQHU04gIkA3ff,Before We Drown,2eTQnmqY9Qu57ZhWrqmcKH,30,https://p.scdn.co/mp3-preview/5c99cc5f61bd3169f91a03947904d4c8ba4a4a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Like Before You Were Born,0K8N0F3efUhd55TxNGgmGD,DIIV,4OrizGCKhOrW6iDDJHN9xd,Deceiver,66aYL3AZPfk6leHxlJDYQ0,54,https://p.scdn.co/mp3-preview/7c34f2bace5d51b1124e39bd8e1fce7a267dabd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ghost Particle (ft. Liam Magill),0wlU9hg1J74WDBQkfLyJi9,Psychemagik,3Mo1LckxhZk6jwf3pjamD0,Ghost Particle,60ApWR4VpoEQU4cNhQ5tQR,21,https://p.scdn.co/mp3-preview/7d62c236fabd65c3b3cb5bc76cabfb948a9883ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Barricade,0PSj54qCoKwNSHry64RatK,Elliot Moss,2xGCGoulmU85qYdpb2Z4xx,Barricade,2F2kpvmhIxbyGlnwDtHGb5,14,https://p.scdn.co/mp3-preview/531a68bc02680459ce20c2e30b599c3a17ce0713?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Traurige Träume - Single Version,4j60O6eN2t87r5D5NFzC3o,Schrottgrenze,4MlmB78LOE1IvGIExd0wDp,Traurige Träume,0gDuzydlmxsvXF0ApxxlUV,30,https://p.scdn.co/mp3-preview/c882f094abeea8e4b9da8e18f48121116fb7f19e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Fado,7bt5kLZihTKWaS86lYvj3g,Milky Chance,1hzfo8twXdOegF3xireCYs,Fado,0eWKQ5acjy0pKaXbx1oieB,62,not available
17,That's What Life Is For,4YMxRe1JU54ammG9krpOp6,Wallis Bird,0aogyPVqx5tlIkR0BHAehX,Woman,7g4MHBTNyltWpBByAvABWi,41,not available
18,One Thousand,5F9QxxgQ2FnGCpqNEXtb88,Kafka Tamura,1MNMJJ5gOHtCoKFrNxWBFp,One Thousand,13AmpvTq9bWyzYIGhJo5E1,19,https://p.scdn.co/mp3-preview/76e3a1f99da288ed17a800d9a93a871dd016315f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Hold On,4ckXJt0WEgvrIjIvXCzwQI,DRAMA,7LvvNoUPwTZpgXDWBRrfHg,Hold On,1ERH4Rjx5Wr944STJvxL15,46,https://p.scdn.co/mp3-preview/76757950bdf653ae2e6cc56777544e87c019ee9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Into the Surf,55o8LNTefCEX475jcSn4qH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Into the Surf,0025Y5D7IOZVpEfQtpvHIi,64,https://p.scdn.co/mp3-preview/9366a991d9ecb49fde2275b80d78c87e08ead238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,I Know I'm Not the Only One,0kTzTXAzvfx4ojKw8aLgT6,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,"Hey, I'm Just Like You",4tnkPLLedgamtrRCDdpqwX,56,https://p.scdn.co/mp3-preview/a6f942914edf537f5c3e3b3b67176230aa4ac654?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,OKAY COOL,2oGDzyfzbtj09rBQPAjpys,Run River North,0INDB6Snts5NDbzh8jC3lk,OKAY COOL,4d39q2x5RC5uEIc1dLP9CT,43,https://p.scdn.co/mp3-preview/1fcedcd960e176c699cf575175e2639d6ccee709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Heartworks,17onAqgx91Bp9MXtF4TvJ8,Wingtip,1Eie0tY91rpi7Y0jtIOXzI,Heartworks,1HIM724n5CusJzGpfbIBX7,40,https://p.scdn.co/mp3-preview/32df75c8c6455f1150ef33f5a096c3d0b73d8d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Closeness,5amj850XhBKQ4wyXBg0DEy,lilly among clouds,5sFnsFoXAwaCZWKycRJTJ8,Green Flash,39DzAeC6SGLVpV93cbDhQb,12,https://p.scdn.co/mp3-preview/4e97bd31ed505c44103d6eeff01c435a9ea64ed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Boys Like You,73yR3kAdE531RRYUdFLWad,dodie,21TinSsF5ytwsfdyz5VSVS,Boys Like You,2Bx4wirLMd21SZ3cR1WkBF,66,https://p.scdn.co/mp3-preview/9ce2da39d895aba9cea83d5f81d19db3ccb95081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Mary Lane,4MlKkj3GCzKFYWukaLmZ5a,LIONLION,39vMeaxc9e74z7v6HdSYC6,Rise & Fall,6zbL5hyGLpw1lfO3boeRxa,18,https://p.scdn.co/mp3-preview/3e5205b47a75586e0942eb35a2308753ad314240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lovers Carvings,0O8opD0spCg2nheujR7DyP,Bibio,0qzzGu8qpbXYpzgV52wOFT,Lovers Carvings,3evuEsc433n45snDYp7TOM,50,https://p.scdn.co/mp3-preview/b90accc015c61a8c2c4aa0090b0ddfeee7886719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Slowdown,5C38U4FL15Mic9xhGYACZa,Kyson,1ysHnRqLx1sIFxUlahQftx,Slowdown,6zsvSw6s3yllDhg9T1aLqr,35,https://p.scdn.co/mp3-preview/3c350655203f6d8c95c07d39bb00ec3f2870912f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Youth,040biVya1wdxHojlYhlcpK,Menke,56fiEsX7uP1maw2NajHZXJ,Echo of Youth,2arypATxnVXJDLa10gaBT9,37,https://p.scdn.co/mp3-preview/68e9f03a147873ca0480502c9f4cdfce4de2ec6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,magicalove,4HP9EMDM4IAZIUsvUmZD7O,Isaac Delusion,2HGAZDmVV3GAH4XFAZdvSG,magicalove,3Vs7pcXCgQgav2fwZBSvMY,39,https://p.scdn.co/mp3-preview/53601232b995be02c25ffbf9a4b26c5812b122b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,59,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dead Ringer,5K9xQBVuVSwNUS6HNvKrTm,Yoke Lore,7FU0xCgmSYQEiBeevUqQ4S,Dead Ringer,2mSxuSnQSEsoCUliri4oQR,31,https://p.scdn.co/mp3-preview/f2972adda0bb50dc5eb430111d840cfd60bdc95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,What Am I Here For?,2VQDFvuOFHiCRApHjQC7t4,Sakura,3lZQq9C8VzgwrQDnw7GZWT,What Am I Here For?,0PZ1ncYeyvhJucXB5lNAWl,17,https://p.scdn.co/mp3-preview/09f106aa6efe76205f5987850275a7f5d15460a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Remember Me,4r1FhUHZRzH7oiZioqRwpB,Amistat,24gClotFFIb7genYn5C3OU,Love & Light,5Ys0Bmso4KvIRdSX5kC3Yv,21,https://p.scdn.co/mp3-preview/903a54a08e2461a63b543a88a89124c4054b7c0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Kil Scott,4MsNNpwDHKE0e3cgax3bmC,People Club,6qhU2FHDtigwAIOd7M3pFj,Kil Scott,119UkF0Aelou70zD6sPLEw,18,https://p.scdn.co/mp3-preview/530f23ede8e131b1b837825034fc89075ae300c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I've Been Thinking,1SKfwDg95YigyDAa0KIB8C,La Santa Cecilia,2FZrEn80eCoWrrkGXPLF0v,I've Been Thinking,7e5XJzk05SUTVbnLQqUsBu,36,not available
37,Animal,6XaCUHraOEtIozb299fV7R,FYE & FENNEK,4yJLNbBTCi2Oj9FzG0q1SJ,Animal,0vlhvaw52oyrixmBtSdi4w,27,https://p.scdn.co/mp3-preview/702f1dca61b84337fb574766c0386cc72fed0f1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Call Me (feat. Portugal. The Man),2aMqUGxjw1tCcKFxTlRH76,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Call Me (feat. Portugal. The Man),4mvUbJ9k6IOf7KG0QihKNH,42,https://p.scdn.co/mp3-preview/170037c3f5d8596265cd97b958ec944ccf1e2007?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,boys r dumb! duh!,2fswhJOAJ4myANknmgOl5W,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,yikes!,7MMhGXIuHsVNqck2wTf8kZ,48,https://p.scdn.co/mp3-preview/8d771154207171baf069a845064cbcf7e52b7fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Missing Me,1SyHf758OvYbPqewRGDznd,TRACE,5k7Y2t4cB5dG219QgFCvXW,Like Hell EP,0sfZTYKInHK166Ka4Nz8Be,30,https://p.scdn.co/mp3-preview/140aad5364d3513d5f06ddb8205e1d9c3022bda4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Disko Disko,2mgrkUH9ubQtHHsnGMXx21,Louka,4BDlejutbmUAMCMyaTMOmZ,Disko Disko,66AAdHaj7pFacZIl8SR31k,20,https://p.scdn.co/mp3-preview/3e0701c927e0166ebf2b00b43c8898330f04d602?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Rhizome,6ttEKLENY1kjMjaB897Wgs,Black Sea Dahu,5JrIBQLdYU5SkSdu0zrO70,No Fire in the Sand,3pFgeFgOp354TJhd7I7rwQ,35,https://p.scdn.co/mp3-preview/25f8e761255efb4829f5ccfcc9efe0001ba3bdc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Crazy,2NrYcbnaMzBv19M1vTZiMi,Rikas,3OWO2LOPTl1u6XvJHkwHmd,Crazy,1DnTaKhURSFvpSA2XbRaNN,40,https://p.scdn.co/mp3-preview/a35867bffc191465b8944b5979884779f28d47ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Navy Blue,2V5YXks1lzRLR4qx4NTADJ,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Navy Blue,3fa2dzsrpIZBgUniutmj7V,62,https://p.scdn.co/mp3-preview/54a7eb849116a038814ecb41cc1101329132c6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Second Guessing,0RqVERbWbIT2fVvOOvqcjr,Arlo Parks,4kIwETcbpuFgRukE8o7Opx,Second Guessing,70V6CskkJwrwwVVuFYnfok,56,https://p.scdn.co/mp3-preview/671b1b3b8970f935abd762a6d3f98522c8841b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Fragile,7FUA7YopOZWJ38Z4bvagWw,TRAILS,4CSX0R9KLs9HkyqLfiraPQ,Fragile,6U4OhqiXPlHvnLwGtNkGlu,38,https://p.scdn.co/mp3-preview/25c2be8307be75d20f5229f2fb895cc6c9bb96cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Fever,6WePGtZoFUOjqYFdKFwmgT,Vancouver Sleep Clinic,77BznF1Dr1k5KyEZ6Nn3jB,Fever,56n7qDmaew4z2HQ602Vx5M,49,https://p.scdn.co/mp3-preview/5d1314d7860c71d8878f2062a9b3caac947032fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Numb,5F8zNY6JZqJEyOOgqAZoa3,Abbie Ozard,03Xxe7sWXZW0NlayYQQHIn,Growing Pains EP,08C70GkuhCLWn4xIFNna8K,26,https://p.scdn.co/mp3-preview/00e41a332f3b1a866c6439b55d6f9063cb80f851?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,SNOWCONE,1VBcGsab5bnDFr319bzSWO,REI AMI,6U1dV7aL68N7Gb0Naq34V5,SNOWCONE,4niafdNQY4a0pNDNFQq4vv,52,https://p.scdn.co/mp3-preview/10f4295fb82383734ba289dd5d18e2e001a08660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Why Not?,6haUy5Qi95KfP2AlJoF2Yx,Boys Noize,62k5LKMhymqlDNo2DWOvvv,Why Not?,5gEFLEh7ISZ7fQ1P99lbYE,56,https://p.scdn.co/mp3-preview/8bfb8691c1359ff9d723b95839c397a2c97285df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Play With Me,38pah2PWxwSh8QEY98kKvy,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,Play With Me,5hpCdCRsP02kutBu7QmyBm,55,https://p.scdn.co/mp3-preview/dd8abf59b0ba5d071ccdaed2c566f46db747a2e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Days,716OZGLBg3vkNfMTpfbYm6,No Vacation,32zeX1IoVKAGWMyy1isKUq,Days,1iKJd6McKWLpeWNotqfZDz,52,https://p.scdn.co/mp3-preview/f991d4440526b4f8ed8a9e4422fce79f214add0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Blue September,0GEljDu7YS4twPsZdE2CWg,Trentemøller,4O71i7ke5iIBX6RNSFoZbS,Obverse,5QBPUvhS6UYro3JLHeQVwF,49,https://p.scdn.co/mp3-preview/3423744bf587154691b3d32b2f0292a32bd2383e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Daisy,5EdtjUe9kSJGfwRtghJWTJ,Kate Davis,4jXKRg7GZPm3mKGgKwUEco,Daisy,3g5fAPg2lVLcjfWxQNV9BJ,39,https://p.scdn.co/mp3-preview/d09c6078af300597417fafce2c41eb73066dfa00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Eng,5GKqQQMm8c8pGtx524WK8J,Das Moped,3JwwCZUNR8yoUDsNbmY86a,Eng,4Zbp9p9eEXiehdtW0bCgmo,38,https://p.scdn.co/mp3-preview/48cb109dfc4f4d28ee346aecfe7b9618e899740b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Am I A Good Man,7LcGtJqbvBlSz1Ik5YYXcd,Yak,2EVlbKnHoS3sRVmm4gPf3x,Am I A Good Man,0zrRTjb1723YzmLRgHIJDD,34,not available
57,The Girl With No Eyes,113Ydah4c4j6ZrAOqJpeEw,LOKI,71EJ8oMfR3a20cqp3VrhRe,The Girl With No Eyes,77qePh6Q5YzeIWCRymI1UQ,26,https://p.scdn.co/mp3-preview/7e41a192a997e3a25691f0fb6cb9ad27b8ab4775?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Never Said,2kM0E8Ho9dXXY4vogX6yIc,Samia,1Uk1GyijF6fSfX4mWq5bfR,Never Said,4W84KSXDyJuYmI8jbBMOjT,20,not available
59,Fallen,4ihWeha9YTVkz2cBlmefMQ,IUMA,3sQkqWv3GPcfimQ2bobl2a,Fallen,44s1HRlsev9z3WG8B20fYl,33,https://p.scdn.co/mp3-preview/dc7b029e573e3caeba2421f679d4fba8fa24138e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Bieke,4AGjrT4yy5e300V0We11mx,ClickClickDecker,5wNvenQ2uTeqJAxNahM2nX,Zwei Klettergerüst,2BR0Cx7KHKKWCy89KYc443,29,https://p.scdn.co/mp3-preview/47661130a9f755c7f860f4e93a2579f00940eb59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
