Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Over,5epXUUjYiaYGwXoiVV5bFk,Blanee,7zCLvxAS1MLWRfXrXsBBB1,Over,0FziV04ZdSvDuvIARMTjCQ,40,https://p.scdn.co/mp3-preview/1e8b48642242a0575e5ea416bdce206e41272f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Someone Like You,0gmQSIM2zqcVm9eKm8BkQm,Klaas,25sJFKMqDENdsTF7zRXoif,Someone Like You,6uYiKKaAB5IkxroK9wBt0Z,59,https://p.scdn.co/mp3-preview/024832eb27f56e200d1c37262786a6d0428d308d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,It's All About,0XO3RZYuYKsz0cORoVlQOB,Rooftime,4QZjx3AfLqJhGYkmWAEUm7,It's All About,08ibtOTy0W9Zg81nn4VRmW,51,https://p.scdn.co/mp3-preview/3ddab35cb1d4d1c1cdf33f8946860bbd1f1457d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Say My Name,0sZR0i96GtoJEP8N8ujrKs,Koni,3BETdCqKlraxPwjzH4JUIB,Say My Name,0Hsab4pZfROgtvJXrWtu6n,58,https://p.scdn.co/mp3-preview/50e202e31bb760900f4b53054c23786995f6bcf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,SOS,6nDKrPlXdpomGBgAlO7UdP,Avicii,1vCWHaC5f2uS3yhpwWbIA6,SOS,7Jx7doYIXITyR2LQB0Hvbc,52,not available
36,Waiting for You,2L0wPdpLIZBSMmkS8RDFtw,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,Waiting for You,3p9GXL95N0rNtU2t0bqXPS,60,https://p.scdn.co/mp3-preview/9ba15a1b63f17eb5e53aee2fe55cc5f1af262568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,I Can Feel,62TOegTJsamXZ2hHEX4xL3,Sal De Sol,1NYrnhQGO4Inhf0oZW7mtK,I Can Feel,5vF0S48aMyJC7vgkbAexGb,39,https://p.scdn.co/mp3-preview/cbf9ebca807c9b798b6a772888ddd3f84496c30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Missing You,1bfXllL6F9cvVQ2fD7NYCJ,Tyson Bay,6OJA9oIAymjgTSxjKdT9He,Missing You,6WFibURntiL2KXpvMA1QPo,44,https://p.scdn.co/mp3-preview/acc3c0f2dd752b76ac92f24ffe144cc65e429e78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Walk Away,2ijkXuZ7XQxe2ICFVcnITE,STVCKS,1esyIum2trtiR34sliNlvN,Walk Away,3NYdr8XnRK8FnJxoIALcAv,46,https://p.scdn.co/mp3-preview/25add662b362aef634e862980212fba380ecedd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Find You,4pRgU9tlDnPVQV27xOOryV,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,Find You,2yK7su2tZlws4MJfIvDXeK,27,not available
41,Lights Go Down,4lSLtHGwXLZOaOCrI6QKDV,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,Lights Go Down,5v3tcI06N27PUMa9IKIlHF,59,not available
42,Honey,0tz3BqpRlCcD6S0zH7LqVP,CARSTN,3Wb1mXnd1hXkGwys5m54YC,Honey,7gU2tRfvAzOlsFNQldnuV8,52,not available
