New From Sub Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Years to Burn,2dfd5j1p4RuMnWD81U2NgJ,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Years to Burn,3InGlpjjfAvSi7fa7Vkuf0,39,https://p.scdn.co/mp3-preview/b3a9e4a9b41d1e8672c1fbe38fa638f360eb7ea2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Girl on Girl,4dCArrYddvw5xyyeyyyWwl,HIDE,7cQEgGUE3lIgSiUrOZbQrx,Girl on Girl,5CG8E69eLZ7ttOrJp6n6NY,14,https://p.scdn.co/mp3-preview/b3cf33eec32d8a5d980a344e13b59f922b7e4706?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Atlantis,6PbvErpEDZSzqLHAavBK2o,Pallbearer,2yeEmsTQMNHBlS5dhWtuD1,Atlantis,6qwwgD2iuVuypMYOo0pJcA,36,https://p.scdn.co/mp3-preview/f4e1a03c2985840bf4bf5a0ffd81f7468c4fbda0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,the one,6Uil6GLobfAep9ZOSoMOWN,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,the one,5szDCWzKHdT5fMKBB6iv1v,27,https://p.scdn.co/mp3-preview/ce65cafcf8fe4466e91d7fbdcdfbb3a0f10638d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Dry Up,27V3zsNex0fpsS6JZF6u6f,Metz,18TNVFTJ6WfeicsMRrdJHI,Dry Up,7iRjts3oFoTxLQPCh1yo79,19,https://p.scdn.co/mp3-preview/809f48e48284686c2cb9a53fd829faeb6d62f8d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Nowhere,1RUasKNtvdiaETu0Jn6rvZ,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,Nowhere,7ACBgZRXYLrJ6pOuRJs6PS,18,https://p.scdn.co/mp3-preview/96725b38f9bf910b8d74689b4f26b1e5a22d0eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Debt Begins at 30 - Alt,6vWH3FK0InP2Uu4mzKN00D,The Gotobeds,35pSDVTz3ZgYynZwMOFEQ1,Debt Begins at 30,3GEvzjC8ZrXJ2LBLTJMvsW,8,https://p.scdn.co/mp3-preview/95e0237d58c9765c2494a0300195c496d9d8791a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Broken Mirror Pose,3rYJQRJYvvWUSb8xX59iQB,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Broken Mirror Pose,2mHMfht2mP8c9rWbjryCaW,14,https://p.scdn.co/mp3-preview/53390e222a439d27b29de8ec0ecac82f050dd041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Tabula Rasa,77OTHJS9R0ysj7yRdiPXaC,Minor Poet,4FRMMswMXEkpMZNMacFjEW,The Good News,7wyv1DXLjX3kD92famHkc9,11,https://p.scdn.co/mp3-preview/82209d3e6c341216494063dc23452d1e9079c436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Pure Auto,2snchWEIHjQgXWV1CZfo2h,Metz,18TNVFTJ6WfeicsMRrdJHI,Pure Auto,7fb05zmi48nnJGFrb3q3Pr,16,https://p.scdn.co/mp3-preview/b32555219105a2fd2326bddd02b37113de784745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Something on Your Mind,0ZbDUR0Pth7IQbeUaeHFLL,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,Something on Your Mind,7r8vzsmli8lZ4ucXeLLsA5,34,https://p.scdn.co/mp3-preview/2eb383cc8b6d5f83b8d9e09e1b86c99b7db02c66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Sunlight,6XpJw6mIuTQ7tPYTvjYyVX,Yuno,36BjLtXEXIifbRrfc1Rtqa,Sunlight,73G6WLLpF5yejKrJCYwidT,57,https://p.scdn.co/mp3-preview/206291c9c507eb3288f5e924bee90a92025f10c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,New World,6kRMDvRssfQ0nh5PlDWVV8,Tacocat,3h0MN1neFknEvlYKxFmSQW,This Mess Is a Place,7l3uVSD4WCT8pBvrAMlxnB,32,https://p.scdn.co/mp3-preview/1f0204b474f6c5b45d47c842aa5dd68649204958?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Midnight Sun,4g0M1kSwwU96QU6YYehm4J,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Midnight Sun,4u3gjaYPV6VMosZrjCPG1G,37,https://p.scdn.co/mp3-preview/ddc53bf8cfe6bc76135633ca006f82c785499703?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Read My Mind,5qeSQhhDfwuTIyyxLGcJ7o,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,In the Capital,0g3Lugdkn8DvKxulTvUGjt,41,https://p.scdn.co/mp3-preview/1c40ccbee00cb9050e9e897911fdcc7cd89a085b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,2 Ugly 4 NY,2G7SljDrvTwSfE0HKVXgv4,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,2 Ugly 4 NY,6gFVB6nMmX6CaaIbj4hll4,13,https://p.scdn.co/mp3-preview/a40df77a50fdd618a137bb16e720940148861a27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,LAX,3tEFiry0Z5vM9LfCWos634,Hot Snakes,5hEP2P4E1FjoFYdhhxe7vi,Suicide Invoice,2zPQ35bLvyvVs5uCC3qtcH,0,not available
