Sub Pop Is For Lovers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Fall In Love,2Pt5qXHHECRnXOJ58MJBmT,Yuno,36BjLtXEXIifbRrfc1Rtqa,Moodie,3zy1yXThxasrQ5mNeDpzCP,30,https://p.scdn.co/mp3-preview/f3ea4381474d7cb14d4ddbf4c105f375c4a38763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Is Stronger,52dDRYcsvo2lTp7qF26QjW,Sebadoh,2wrhBKGC3DTNNNDRJPaxW6,The Sebadoh,0LfoXR3sbqUx9gwh13nD16,0,not available
30,By Your Side,5la5PTcDm8oQuzHX9ssVZf,Beachwood Sparks,07tmbQsiTfXekPkbovBERR,Once We Were Trees,0FNzmCPmqCAts4Q8QLTJfD,35,https://p.scdn.co/mp3-preview/7619a10e912f922bed85831749a600c4d4380030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Swan Matches,0Fsn4b6TorcHoYflHhQHLi,Grand Archives,7k0P5clsa0laFO0DPGhWOK,The Grand Archives,6NxD8ys0PqQ3P638qqg9r1,0,not available
32,Let's Be Still,5IJnj6Um7jVuRPT4WGj1z6,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Let's Be Still,1SUZhiJWtX4NKS0KChC0vf,57,https://p.scdn.co/mp3-preview/09a06046a7919ac9b1a958d4efde1e006404a0f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,It's You,0fvCVxO4eVgSAdPQmhw9lg,Daniel Martin Moore,4OnCEh1bwvvTuq9X0kM0iS,Stray Age,5xTgpXAGWqqedPF7uGoymS,0,not available
34,When U Love Somebody,1k6HyTZzm0Vk8Cb3LUQUf8,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Mouthfuls,2qdxVSIyuIbBaSrkeWXL0L,3,not available
35,Tender Is The Night in Paperback,2KEQ2ROJ9iLQ1gBU5uIYjh,Josh Tillman,5e69jIVnLAdmmuDpP8kFtc,The History of Caves,6C79bZAZgyh9FgaCSTbh6I,5,https://p.scdn.co/mp3-preview/808a853887130f5faefee318940f097635b089f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Triangulated Heart,0vlESk70DUGoMsnvgdXrh1,Death Vessel,0CTeeoO6hwJmvuYgoTSH9x,Island Intervals,0WugXyArc5si3Ha9R702Wr,6,https://p.scdn.co/mp3-preview/61330d59e0876123aabecb0fc657d327115fe087?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Reverie on Norfolk Street,6x2ELVtX5QWsnFkNVSY0s2,Luluc,2Jtfa8vjvzAAGxDfgIkU72,Passerby,3YMi92E4Jwp6mKfdtI8gex,20,https://p.scdn.co/mp3-preview/303736a454cfb669bd8cab6654cbd24935788613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Igloo Glass,1KeSxSAp7luJYXHeeCrJxD,Holopaw,2LQMERAetFUczButdvcsb5,Holopaw,2RaLBa5Gwnk8bZY4LLRAAD,0,not available
39,You Might As Well,2jAw6J2JufFlYMEW5gIXgN,Sera Cahoone,3wC39cIBlyNFSP8bO84FCJ,Only As The Day Is Long,6nMeAt65FjTvBB4SvAR2TD,0,not available
40,Since You've Been Around,6vozDnagMwh14eN6GZIBz4,Rosie Thomas,5Tw6OSRLoU7IHTO8kHGRQr,If Songs Could Be Held,3Pjf7eW6kxHaI5BiIbNPgT,0,not available
41,Dimmest Star,7cTRqAtU5gd1zeINxDYEal,Pernice Brothers,1CgvL3gASrnuI8SKXr8K7F,Overcome by Happiness,3kNfhM1FJzXUIFY3BPSXj7,0,not available
42,Life On Earth,1Z1qiXySCeiIQ0CU8UmpGJ,Tiny Vipers,4kgIlus6ToyP9mUHoIvLtc,Life On Earth,5DS2LGEb5JALEKTnYTaWls,0,not available
43,Oh My,3gGTw2BbA47n3C26bAfFc9,Sera Cahoone,3wC39cIBlyNFSP8bO84FCJ,Deer Creek Canyon,4GeDpeYkgfCmXSvJ3ymMmb,0,not available
44,Weird Divide,0TTccHG9Deebp5tPlwQeSW,The Shins,4LG4Bs1Gadht7TCrMytQUO,"Oh, Inverted World",34XlrJGfsDhvRDeJ8a6lie,0,not available
45,Publish My Love,6iTREMzKWpEuK3Zl13joyx,Rogue Wave,2JSc53B5cQ31m0xTB7JFpG,Descended Like Vultures,5yP4fdlKXAvY4wwJLCxfh8,0,not available
46,Love Let Me in Again,6ISNDdvfSnnohapXqfuVkP,Kelley Stoltz,6NZ4NDGpMT4p82PCJh57Ec,To Dreamers,6ekNJXv7vwlCXxntfAplOo,0,not available
47,Weird Love,2EQGBO50bRSy9qfUzIJARu,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Shrink Dust,3nV5hS1YrU9a8yyz4w6x1n,14,https://p.scdn.co/mp3-preview/6c5ea73072b334380c1371e9838cc4003d17494d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Rest of Our Lives,6tHgytejbjIOuNrdFR4wXz,Dum Dum Girls,65ewrL6LvcNGMMRVlksNGS,I Will Be,2iOCIBCDo4WEEIrC9mHANz,0,not available
49,No One's Gonna Love You,1Hrf1mVDub304m3pCzciaD,Walt Wagner,1XgWaXMv4Qi10XLZUppwUg,Reworks,2EDgBqLzVemtKgn8GQPWD5,1,https://p.scdn.co/mp3-preview/58687ae0fe920cd72f121cac28ba1d5bb04cad66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,She's So Lovely,0Nl76n8sAN754FjtReNHNO,Beach House,56ZTgzPBDge0OvCGgMO3OY,Thank Your Lucky Stars,30XWJAQWUvARp2qPmJwbhj,22,https://p.scdn.co/mp3-preview/f42aeeb8a3189d3190fb7437a06a0695c0a6b641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Cinnamon,21kOmEpxHL64YNAbIQwElW,Cullen Omori,0P0xfWeg32j9iUTHCullrj,Cinnamon,0qZjxgCNoHAif2su4Ku8Kn,0,not available
52,Starlight,7Ml8Mv5zr9aQS4tX2di6l3,The Ruby Suns,5qnkr4yiMJnEvxZm3IFTkZ,Christopher,1hk9zZwCqdXul9mHscoIXP,0,not available
53,Love To The Test,6bdFbHcky5vM08OlSLbL6I,Niki & The Dove,4hiLNlqr4vQdiuo1aQKSXS,Instinct,40SvZ0xWNFGAxVXF1xwGBt,0,not available
54,I Never Needed It Now So Much,5DKrP4EAX65CvEuLaDFoNB,The Go! Team,6veTV9sF06FBf2KN0xAdvo,Proof of Youth,035WJg5MRPrS7gRjE2EJsj,0,not available
55,Alabaster,6rQrzPjHwV447WwNb7QN0k,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Total Life Forever,7vEyoJgU1GnhhfyutZ4Qc6,0,not available
56,Memories of You,2jHqLiuJwsk9Cs5kVHjwXB,Avi Buffalo,4Z2JzIUIe7HymMSV0tgP8c,At Best Cuckold,4R7QUy2mLIDi566XNmSAi2,19,https://p.scdn.co/mp3-preview/b26ef336ddf5836ac7833dc8a6e4d47b36807822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Love U,2b4EOGX7YGTPbV9he6lDrH,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Furr (10th Anniversary Deluxe Edition),4p7XnByIfnjvy1njvCE1NH,14,https://p.scdn.co/mp3-preview/141bb8d2c8a414a1ae5a2e0d80914440201214f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Pier Pressure,0OXSjT81CAsIdF4HJmjRer,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,Mass Gothic,1IdhheUR1hzw7QV20eD0cz,7,https://p.scdn.co/mp3-preview/e9a712e0c4382909f37548b4f9fcf8a5cc7cc7b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Novacane,7mvaBmnXyJLZwhhYx8knoT,Shearwater,0CoiIc6ZLBvF9Cjmb1Cj49,Novacane,0Yjd29admswcDnP4IyF6nS,12,https://p.scdn.co/mp3-preview/df14cba6e379bf12f43e24148828646fdaf0a9ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Officer Of Hearts,6XvzggpN8o9rmDQ5ruT1sQ,Handsome Furs,022mO8Zbj0IPDhn3bD3Ukm,Face Control,2CaXxd68YheEyAlKjfQ7Dy,0,not available
61,Yulia,20f65lIHNDLwGENrJb3G6J,Wolf Parade,0XSqX2PB3C5dTMv7SZaxSm,EXPO 86,6guQk9mpIlkphpUyAubAab,0,not available
62,Hard To Break,33mROjVJy8MNkw3XEq0GfU,Vetiver,7ACSlU8kTcQIbvpwLWze8E,The Errant Charm,71FMv0NMD0cKL0N9jV1dLG,0,not available
63,Paracosm,3MHfoN8zc6PDtwkJwdQ0xY,Washed Out,5juOkIIy18sFw9L30syt1Z,Paracosm,1NTLKANenV7OuwDi37QUhQ,0,not available
64,It's Time for Fun,5NvAMrOu9r4asswFCx6lnB,Goat,6jP9Z7o6WlbYvKUOeO5SbP,It's Time for Fun,4OV4De9p4SYaL31KySwnEJ,9,https://p.scdn.co/mp3-preview/865176313eae724355962f513cde3c5bd6b8d198?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Always For You,0lWXZj2UsbruY4DHtqoBtn,The Album Leaf,02uPe16VFxPaiueQsPEDkE,Into The Blue Again,1pFrCdJfefM5UgijeacUpB,0,not available
66,I Will Call You Lover Again,1hoN4XvYlK6GoPIfC5zI8Q,Loney Dear,4Bb8rhvCjLOjNOl1DbFkph,"Loney, Noir",4JpaAFV1fFObLji0rrZzl9,0,not available
67,Be Still My Heart - Remastered,1j0KabI4ajLZqRYgK6k4PQ,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
68,7-Hour-Drive,2meQ6xrj9eCrx0IskOtYJS,The Notwist,1o4xLcugkCtDDOw7POAMha,Close to the Glass,0RTY6BRUIsyJEgWbZkFj3D,4,https://p.scdn.co/mp3-preview/deda12d06512f09e0520abd77c642bec44ee23c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,I Dig You,6LqB0g701TYYXeTiI8LPmM,Zumpano,3GKGaNwUBS31LcXuWWFEJU,Look What The Rookie Did,5CbSsmogMGnnIFLzsTBSwP,0,not available
70,Sugar Plum,3FIP2aU9zsBuQyqJ9fPJwp,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,That's It!,6JYR0JXps5x2upNuCKaA00,21,https://p.scdn.co/mp3-preview/38c006db87d8e8a19a712243ec290b9c85b9008c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Young Love Delivers,3MEJzpvgUNxwOcAf2KcqIO,Oxford Collapse,4mCjgn6cyup92PLUbquFRS,Bits,2HIKIvA7lppVg1KGKuKfwR,0,not available
72,Tickled To Death,0jAtuZe3YJQDU8pVdAjApJ,Combustible Edison,6EBbqeUWMq6mWL0CQklRwh,The Impossible World,4wlFAtcL7duBAyewQoxxU5,0,not available
73,Lemon Glow,7pD6katrwWH7H3Xt8cIZS9,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,4qftBBO7pnYlek3mRENIvM,59,https://p.scdn.co/mp3-preview/698fe5de70f5bf35f32779e6333a14a4d7be8db3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Heard About You Last Night,0S6E4hGb5VpSj1G7qTnahM,Mogwai,34UhPkLbtFKRq3nmfFgejG,Rave Tapes,7Bi4YiLqsBbXkWhFe7kMTp,26,https://p.scdn.co/mp3-preview/3d688dbf5158b5e3c25319093941918dfc1a6e5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Date Night,0yhtHv2XQw0sTlClTOdABp,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,God's Favorite Customer,0hMPUtgjezv7gUsmhztvPv,45,https://p.scdn.co/mp3-preview/9387c378075c7e0b72bfba40fd795c4bc8b78edf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,The Shadow Of Your Smile,4o3ctCnmnLbjAMbFgn27SP,Friends of Dean Martinez,5tjr06h7NgawI60fOIuaGi,The Shadow Of Your Smile,01hXkBJDVQu4sFw8XoQsXa,0,not available
77,We're On Our Wave,7GgmPFhg5ELffkjd4L4EwM,All Night Radio,1UaZJDSz6JmzQHoH6hpWjp,Spirit Stereo Frequency,6UqCzVjGEma41w8O2iLYa4,0,not available
78,Makeshift Heart,3Bj84Sb8JR15MiaJThAtB8,Love As Laughter,6BEYUtnU8Bvtp7afs5Phpm,Laughter's Fifth,1k9imooeX72AQkZQsJevaR,0,not available
79,Shutterbug,6Y66TfIiphz5ahtyQjUSKD,Arlo,3uazdUHbfcRWtkuM94fopJ,Up High In The Night,0d6XOUA8PzH3PZLy2B3fqe,0,not available
80,Unkinder (A Tougher Love),0b1XqXtY1dMlTsS3ZRQW5R,Thumpers,6tDrK7qikYyJjxTBjlDHO9,Galore,0UqYGm2a3KqN9FKFcDPLed,31,https://p.scdn.co/mp3-preview/ee788e3927d38f4bce95587f270f1861b5b0f9f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Psycho Star - Tune-Yards Remix,0r2GhlqIl7EfXl5s7sz4y0,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Psycho Star (Tune-Yards Remix),6dvNuKatPbssXckXCWlXhh,8,https://p.scdn.co/mp3-preview/d4bcce2fbb60aff51a4ea8535e40acfab14e46f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Lifestyles...,0wvrozRV6E2Blk7Lc2A1Yb,Track Star,6D9hscLtH25jU8ze16wnd7,Communication Breaks,3jBAoD02RcJdvvISkJMCp9,3,https://p.scdn.co/mp3-preview/c10514079fb332996a4aa768ce964cc140ce23f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Waves Of Second Guessing,4IF11p9vFEpjSMTTT3IwGz,Kinski,4WGpFPOeW71MpVHKJurgrj,Airs Above Your Station,17ibLM9PJNXEUpSP7V8vEM,0,not available
84,You My Flower,4RhRBKXT71lBhEWOv6V0so,The Afghan Whigs,7IDrRpDz0cOuUVC32c8PKD,Up In It,2y9tSo0MUdxXiPSJbwEfJD,0,not available
85,"Let Your Earth Quake, Baby",0wfQDfEWFJvBiDLUxOZUmN,The Thermals,4qAJ54O4V0W8SQcSz0bl1C,Fuckin A,0D8561OU5RthKOqzMwAdY1,0,not available
86,I Love You Ugly,19x1WLjzuBtYK0ofmCGT5w,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Black Moon Spell,1D2eoTz82hmyArupokjyZ5,24,https://p.scdn.co/mp3-preview/cf57cf11793110d14ec16c135183b8772174333f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,I Do Dream You,5Uubxr944yWvmxTSWgvzDQ,Jennifer Gentle,26d30HFKWRCPykuhChrua2,Valende,50nLVU14Ka5UXvT0JEkKi3,0,not available
88,Friendly Aliens,1M9wOxo8AnOG283PtcrfLL,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Friendly Aliens / Monopoly Arp,7pTT0qJwYlX5EqPmanSuRD,37,https://p.scdn.co/mp3-preview/d399c2e85b4197e01173b8d92890d9c00ded1913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,She's My Baby,4xcC3cmPVHzaKOhKj4ZkeN,Jaill,2AubscTHZ6Gqo7hlIyDEaH,That's How We Burn,4Fv5EvAledZGhOTe0hj7G7,0,not available
90,"You, Prime",0ZkIU9i1tbwSYJkns7cr6Q,Jo Passed,1ONiIDqrHLLeDjVan9RRns,Their Prime,4j7qf4WDqb3cLNSK5q2qXU,3,https://p.scdn.co/mp3-preview/188a5c1883acab553c07a1e16bf2cdd1cf1abd02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,"Talk To Me, Dance With Me",6U5IDJ7qnSeuFUS8yOMEP7,Hot Hot Heat,5UVftEhSsIg0kkXlmfhB6M,Make Up The Breakdown,6xmjx0G7hJ3r2erSAON4cu,0,not available
92,Promise Of Love,0MNwXE1dJaZQVJkWQ7KQO3,Codeine,60CBjmRpwr02JwAd3Ho25U,Barely Real,7CS8YXpZp0G6UI7CkH8z5S,0,not available
93,True Love Travels On A Gravel Road,2RWTaWeZONZljWC8SOI3AX,The Afghan Whigs,7IDrRpDz0cOuUVC32c8PKD,Uptown Avondale,7bME9rXYH7f7hApff6cbKB,0,not available
94,Love And Some Verses,641kdZeA0XAKjtQ77qPYzp,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days,20OPxsW0aYB6InxDImJRdt,0,not available
95,Fallen Heart,7FwPfYB8HFyM6ITKiSBCGR,Jeremy Enigk,6jUpCAtHPCEowkiAo4bpWK,Return of the Frog Queen,0op80Yon5P6ofsCXr4oKPJ,0,not available
96,Bless Us All,738Gh9YvnvxSnqHWO2Cc9L,Retribution Gospel Choir,2AGdUsPdv1Z41wlVo24648,2,5G0DJvL6yoRrcLQRJwJO5k,0,not available
97,A Ride,4VFcsqsEbwkmkiG4F2E5uN,Scud Mountain Boys,0M02NJYkmh4eYhsKVAgVbJ,Massachusetts,4cvFncQ95aMma7kM1OR5RC,0,not available
98,What Love Looks Like,6G3AWricOAhVoXYPuTLOJ9,Mirel Wagner,599W9qxs3LzkiiEmkoK6Kx,When the Cellar Children See the Light of Day,1yqDoOZkNFPbZVwELwWieW,20,https://p.scdn.co/mp3-preview/eb69af2d177ffd7713bb4039d984697f0ada47e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Joy,3TvdE1n95nhksUtKwT8o4E,Loma,4oCcCzMjKNCjQTzxtVlOJT,Loma,1yXlpa0dqoQCfucRNUpb8N,30,https://p.scdn.co/mp3-preview/8ac660b372294d602a4ffb45bb03cfcfbec57de3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,See You At The Movies,2BBedTRYHIm8R0hZixwjnB,J Mascis,1PokjXeIq2zVosXbTEaNlx,Elastic Days,4gpH6hb8WytDFJ7s3zlzvR,38,https://p.scdn.co/mp3-preview/c793ff47409767717ae2b6d65626d543eb34cd7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
