KEXP's Top 90.3 Albums of 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Numbers,05jFhbrKpgEOURy9gkWRTa,Daughter,46CitWgnWrvF9t70C2p1Me,Not To Disappear,7uPIHbGRcVhOKUDzhRG9a8,0,not available
44,I Need A Forest Fire,0TLAptKgYxe7F0KewWH6X6,James Blake,53KwLdlmrlCelAZMaLVZqU,The Colour In Anything,1WyrGCkFDlH1xPadZ5qTkL,62,not available
45,What We've Got,5HEpukkNnxdPAV9zsgDLOx,Manatee Commune,41JNAYVuPs7zwJbQBQ6tec,Manatee Commune,6MzzlBosYKeVzYLF5lZzlq,2,not available
46,Whiteout,41D0xpS9ClHkBirerj8Dqs,Warpaint,3AmgGrYHXqgbmZ2yKoIVzO,Heads Up,5uGGOeDoB2jHetZJTbkwcC,54,https://p.scdn.co/mp3-preview/ce8b520136283521186b106342774c4804aa7d50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Drone Bomb Me,4Fe5RBekhh4irEhWZrGsCw,ANOHNI,6VJZYivuYJGCrPuOAnI7Qo,HOPELESSNESS,3dAx4u7AJy72a6M1ms6uYF,35,https://p.scdn.co/mp3-preview/40a386df08e89a7a503df673c33bb49606a4916a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Under the Sun,3yR8cAdli5Ohn3dUlS1PgV,DIIV,4OrizGCKhOrW6iDDJHN9xd,Is the Is Are,5PPPABn2aZ0jRuHPMONwSR,59,https://p.scdn.co/mp3-preview/168b3cbe7b1e7224ca297b757b6c9b35fb176629?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Dark Days,7LZN7FkxHZk6maiN6NdI2i,Local Natives,75dQReiBOHN37fQgWQrIAJ,Sunlit Youth,2qiPY1CqHGexT4yWrQ5uX0,66,not available
50,Get Out,4UjZKgbOBEwb6i6zHupD1B,Frightened Rabbit,6fVcDUckTwxqg56qNsEvUr,Painting Of A Panic Attack (Deluxe),2I7bN0vjfoFw9di77xAZ4Y,42,https://p.scdn.co/mp3-preview/29e6f2939b6eefc7ab19bdffc38e3ca6fb53706f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Nobody Speak (feat. Run the Jewels),1gYn6OTpw5W6n8QaJjyY5m,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,The Mountain Will Fall,2OW3iDsmS98lTqgta5Zv0O,5,not available
52,Time Moves Slowly (feat. Samuel T. Herring),5h3dkNsm4MT35zRgSB3YEv,BADBADNOTGOOD,65dGLGjkw3UbddUg2GKQoZ,IV,6uqcZu1it9k6zz3UVKZzPo,1,not available
