The Most Played Albums In KEXP's History,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Weapon Of Choice,4gHO3eIuafI9QpZKvwqHWS,Black Rebel Motorcycle Club,1tpXaFf2F55E7kVJON4j4G,Baby 81,6LwDQs1eEiLdVmKSKL9Xlw,41,https://p.scdn.co/mp3-preview/e7c66554c9fbf7b18d25082bdffded20da6311be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Idea of Growing Old,48Az2X7ZsYZTyZgEDkif9q,The Features,3FaKHeTy1zMZVtQAvwaF0x,Exhibit A,0dBAPGkEr2BgFM9vmLCalC,35,not available
47,All My Days,3RPerpXuNznZbCuWYEBz5i,Alexi Murdoch,25mrbNwFzoqPWyYXLhiDRw,Time Without Consequence,3hQQHMrHUbkCokIf8PmcEU,63,not available
48,Until The Morning,20F3FcES8KU4kffMCkFgNN,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,The Richest Man In Babylon,7qJaVqhgiBtPLb9MOzwmZA,54,https://p.scdn.co/mp3-preview/3732c7475c8e72680adf87bb561de993d8b66c68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Lover I Don't Have To Love,1fPLarHjgMC9QlsHfPijbr,Bright Eyes,5o206eFLx38glA2bb4zqIU,"LIFTED Or The Story Is In The Soil, Keep Your Ear To The Ground",1ENRwqTHjFyEHod68CimVw,45,https://p.scdn.co/mp3-preview/a2fe894e8302a53dc4f73a35f9d6be90cfc1d8d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Swim Club,1cMn5OQ1WlkBnw1QyfSsHw,The Cave Singers,4SjCvf9Ctuz369ZKAnjkZP,No Witch,5BzG2vtOh1sfHyPUfnWVXC,38,https://p.scdn.co/mp3-preview/037cacb937b946aad37d86bebb5112812c2d2eb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Virginia Reel Around The Fountain,2ewTfgrsL9ZipvWHje6UYX,The Halo Benders,2GDhYEtqyQ46D4yOtzGLIN,The Rebels Not In,2PMiFiMRplUBpR3pH2aVHh,33,https://p.scdn.co/mp3-preview/835f982728ad3edce721838378dff1d311f862e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Fade Into You,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,37w38cCSGgKLdayTRjna4W,So Tonight That I Might See,5K18gTgac0q6Jma5HkV1vA,72,not available
53,After the Moment,5ozIJrlaCAf3g8MMyot483,Craft Spells,16lg8y62dC3J6ok1pNAbFJ,Idle Labor,3IzLouGQA5uY4NfT6zNe3j,56,https://p.scdn.co/mp3-preview/a4b01330abdc34c6c8d98cf941e19b8faa960c7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Damaged Goods,62uw0iWu8jLB4cYBQxjdcm,Gang Of Four,3AmWjMXXtBJOmNGpUFSOAl,Entertainment!,1UMvR1rwj9EzLnbj4L6Zoy,58,https://p.scdn.co/mp3-preview/8af3bbf1adf855fb4bd3d703f6f7a4b38425ead1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Daylight,57i3M29DWoo7RDk0Tf0LZG,Matt and Kim,4MSMDY0ClgWqXApU53I1L1,Grand,4bQi4sDv5BugGpaQWJiEXa,67,not available
56,Ritual Union,5uTjNzGKCQ50synrf9dWmT,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Ritual Union,1BQVdofe7ROnSoaiC9418p,59,https://p.scdn.co/mp3-preview/56b6e208a0b1b5637612dca5bae75b86f985c1d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Music Is Math,3vBJYnujT3yxLjLEG1jtDS,Boards of Canada,2VAvhf61GgLYmC6C8anyX1,Geogaddi,7Lou3RDk6NswmbzBMhro24,44,https://p.scdn.co/mp3-preview/f31ab8e8cead1c7d9c3bebe44f722462d339b171?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Troubles,5rxiWD120oyrcpbQxPUVA6,The Beta Band,2LMR8u7DOMF0FBseDpTsRa,Heroes To Zeros,3lDca6e9MuyFAhoaR6GjlW,0,not available
59,Hit the City,7bzhHKleT7c5EYB83sJhRj,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Bubblegum,3VBmyOQghXw8akRgkiH3Qx,41,https://p.scdn.co/mp3-preview/f593f898f455626ec43bef6f2417274bfecb76cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Birthday,31C9JvXTF6uOhTus5MFFhO,Junior Boys,39x9e2QDpAxK8xTuJDwRqR,Last Exit,6Me57GV1wueTVeNx9Bxo3R,17,https://p.scdn.co/mp3-preview/a75cd3cff5f308c6fbb7a243166622eebd292110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,The Killing Moon,0cOf4csnt4DeXSkFmBjULw,Echo & the Bunnymen,0fgYKF9Avljex0L9Wt5b8Z,Ocean Rain,43jEYhOEU6eWL51lk4l3M7,51,https://p.scdn.co/mp3-preview/c96580f92d451567f2e856c9cce6f33c4a2ccdbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,1234,2CzWeyC9zlDpIOZPUUKrBW,Feist,6CWTBjOJK75cTE8Xv8u1kj,The Reminder,7bTdGfczXffzzNE9ssJj4Z,61,not available
63,Mondo '77,6AsU7Dfv5Q9mYBzR6iJ3jz,Looper,55J1xWyoH2wfyIyt3tKFLd,The Geometrid,3NhbLON1CAYxb3TEgugS6h,25,https://p.scdn.co/mp3-preview/d0460fb2abf00da97daef096a7736a9bd78cd1c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,New Light of Tomorrow,5xL0AplqJ7UwIv793zQbZ3,Husky Rescue,3q9eHzvlqNeRK43CWfHHJQ,Country Falls,5fQ5ftHHbbfnpbsgHp7qFm,17,not available
65,Quiet Dog,3Y6eiRVuAxo34VGVtG0DOq,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,The Ecstatic,11cVBbfOAdGzq6lMMscDOC,4,not available
66,Go Outside,0VnLohgzwLEleLmo19Z8B0,Cults,3Oim8XBPbznAa8Jj8QzNc8,Cults,2jb0zRewft3L2AwCOMx3du,52,https://p.scdn.co/mp3-preview/c7996785c930e4eb1a70e2ce33b17c8919f24800?cid=fa83a2fec7c440b7a2795d600d6b2c7e
