Party Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,2wIVse2owClT7go1WT98tk,Miss E...So Addictive,20t54K6C80QQH7vbcpfJcP,73,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,We Are Family - 2006 Remaster,2DYtBXueUkZyUZAHKJAAIs,Sister Sledge,6gkWznnJkdkwRPVcmnrays,Definitive Groove: Sister Sledge,6Wx25BBKR9mTNnndloRRWs,45,https://p.scdn.co/mp3-preview/45aaea5d2d0b61de6e9ee74aecae131af969424f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Welcome To Jamrock,22AbXxQbMdVqEz7xJjhccG,Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Welcome to Jamrock,4Y0PrDckfFKxKaVXsscDLB,68,not available
34,Young Hearts Run Free,3MFa9idQuY4iJLWsZl3tIQ,Candi Staton,3S34Unhn5yRcaH5K9aU5Et,Young Hearts Run Free (US Internet Release),39ntuIhbcC8rsmRV2qXkmZ,65,https://p.scdn.co/mp3-preview/b0b96bb7e0e4f151ce0c64349e74cfc11cba326b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,76,https://p.scdn.co/mp3-preview/ce8ace0ec425840416be78db07cf50dd331eed4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Bodak Yellow,2771LMNxwf62FTAdpJMQfM,Cardi B,4kYSro6naA4h99UJvo89HB,Bodak Yellow,1wpgafbHuQfSUmCWvahFlq,70,https://p.scdn.co/mp3-preview/35254f7611813c692709161d41cb04a694c9b5fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Rock Your Body,1AWQoqb9bSvzTjaLralEkT,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Justified,6QPkyl04rXwTGlGlcYaRoW,73,https://p.scdn.co/mp3-preview/757bc5732e5c92e36ea249d631120b381a4885e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Freedom! '90 - Remastered,4dT3qLUU6fFUmomLzk2cUA,George Michael,19ra5tSw0tWufvUp8GotLo,Ladies & Gentlemen,0IJcpy0eM4o63J43qij68g,46,https://p.scdn.co/mp3-preview/2e59de04a199d3a40ebd1fc26f0743cfe228387f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Buffalo Stance,3XWgwgbWDI56mf1Wl3cLzb,Neneh Cherry,3JxCEqL9zjKnDJgUhRuRJD,Raw Like Sushi,2AyJzvREOnlnYhaBzF1Kxp,50,not available
40,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),3kV0i1qqudjf0PGawJ4jck,71,https://p.scdn.co/mp3-preview/c6469c3260465dd11d9efe5c2d35c3aca3bcc2b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
