Chill Hip-Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Self Control,6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,The Continuance,2I9XHDB70SfH4Kkjakc90X,79,https://p.scdn.co/mp3-preview/bd9dbaa54373aeb011113118048fac391d7e75e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,FTW (feat. Joey Bada$$ & Chuck Strangers),4SnJ5y9SUN7MFx2Ngb0FLL,Aaron Rose,1IY0Lt7LmEXwWOrD4vpkxe,FTW (feat. Joey Bada$$ & Chuck Strangers),0aKv2zjqQLdSvsWutkuuDS,54,https://p.scdn.co/mp3-preview/bea035e57649f4ec8eae2d041baad0fc012ffb82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Drip or Drown 2,1oUzjom2A9xtyRM1SdOAGj,81,https://p.scdn.co/mp3-preview/4ed68006ecd1fb0bb834b15fc289b2d55fcd43b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Addiction (feat. Lil Wayne & Saweetie),1HZ2IfyCschP5qQlDUa4od,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,Addiction (feat. Lil Wayne & Saweetie),08OmDocGBNfycY9IpPLHfu,52,https://p.scdn.co/mp3-preview/228dbd2a6d872a9e6f262ea3bacf914f7f53ac90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow (Feat. Blueface) [Remix],0lDRXaECpMSYYCsTYRDulh,86,https://p.scdn.co/mp3-preview/d2c7eadbe6a669d19ee61ed31e27cd1eba007ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Hottest In The City,22Fwimjd0oaL06eU7Aura4,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,Hottest In The City,7nP87PXdPv4oPYKWRc5x1z,67,https://p.scdn.co/mp3-preview/16c147262bc4013045292a2756412844f69196aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Can't Fucc Wit It (feat. G Perico & Buddy),1k2HhEswGqIFbiCn4kGKwT,Powers Pleasant,0fYw4bch7qTxBZLS3rSVMj,Can't Fucc Wit It (feat. G Perico & Buddy),0g9QlnEjmhDmFNJNuB7RyU,33,not available
26,Slidin',4e0orGSexjuBqztinAckgb,Darnell,4myE0zw6Jyrspdx6mLZF3c,Bail Money,1MZ1KPQETtafF5T60BLw6k,40,https://p.scdn.co/mp3-preview/136c7f2e8bfe41911a05d167c577a0f3c85ed7d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Sanguine Paradise,49K82qcZN4u109e6Zw8io1,85,https://p.scdn.co/mp3-preview/26462b5ccbae45673ca15b59b5c52a7d50103e50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Friends & Foes (feat. Snoop Dogg),2C8me0xQykoMa6krseI8Wd,Higher Brothers,07ZhipyrvoyNoJejeyM0PQ,Friends & Foes (feat. Snoop Dogg),1vOm6i4taczaOrnLxZXVCL,58,https://p.scdn.co/mp3-preview/28f5d69f18117b99fbc37473c45342d578a5a07f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,78,https://p.scdn.co/mp3-preview/a74bdd4a7eec8772c8f1c9538de440d9f3da84f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
