Cena con Amigos,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
51,They Can’t Take That Away From Me,0dSPznKUTcxm3WZUURVjiI,José James,4l2MwXYwUDQKHcUXwCZjEz,Fifty Shades Darker (Original Motion Picture Soundtrack),5VML6S956h4YfoYPooqLEi,50,not available
52,Agua De Beber,6hwrxnBXln6pXeMJc6b6Im,Astrud Gilberto,5rX2c1zow6hCph8PnnU3kF,The Astrud Gilberto Album,2kKjfMvfXShAeoRkhRRouE,7,not available
53,Killing Me Softly With His Song,6btetw0crEcjUKlQ4RO86f,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,Softly With These Songs The Best Of Roberta Flack,7CotghZUwrLnk49DCJeFGx,13,not available
54,Misread,3hxoYmSHzIBwSS2bPTOfbg,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7,Riot On An Empty Street,5QE8eXeN0q8M7atLb1fT6c,61,not available
55,The Blower's Daughter,5yyRH93h4Pm6tXXYTxt7ea,Damien Rice,14r9dR01KeBLFfylVSKCZQ,O,3ADELRoZ4I8WLE7clLU7La,67,https://p.scdn.co/mp3-preview/79091136e250a96d65aaf2858e9708529b4e307b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Fever,6RjLQTIlyeVlnJLpijV4Vu,La Lupe,5YR49Hzg7h990JxfXuxm3a,Lo Mejor de la Lupe,0vyxKg0GhEOuDAuHgNuWJe,35,https://p.scdn.co/mp3-preview/db007feb2a31d72519d15ff319f0cd0efd7bcb92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Canção para Ti,3dkuH1tyUBluh19jCDlNiL,Janeiro,6XkMchHBuVhvBzCOyKIlJ0,Fragmentos,4B9Sqim9O9P03MyQV19woO,40,https://p.scdn.co/mp3-preview/28166cd893fe213a0e8fe3f809ed801c882ee7b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Vivir sin miedo,55NknKmUtmAoH6iRjAnxOT,Buika,1gbXoccc8bjK8eUh92mILy,Vivir sin miedo,5MCZrSKQgQBwzY6M10gSUG,35,https://p.scdn.co/mp3-preview/86bd45d2c8d063db9d347a943e14ad19c5a4c587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Living for the Love,26zROEHzDCfuZbrtPSua3l,Trio From Rio,4KoFxfBb0kw05Odd05UktH,Tropicana,2LyLyjwKUPGxggZ1DMnvAP,53,https://p.scdn.co/mp3-preview/8c5a3ed218ce0e15f248e2e9bb8834d626ad042a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Como Seria,2wVtjY3hYUNo6hru52yZEM,Dino d'Santiago,7qb2GMJaX4HeXqqPPyYdlr,Mundu Nôbu,2lNJ5yRhrfNmLgVWR7TGtw,49,https://p.scdn.co/mp3-preview/e70c78f935810aa71b18ee1809166c0ec2ef6945?cid=fa83a2fec7c440b7a2795d600d6b2c7e
