Vibras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Bellaquita,1tpbAGsGpZee5jDHMcLrUJ,Dalex,0KPX4Ucy9dk82uj4GpKesn,Bellaquita,3RWeME5ryDw9wxO99OoDgP,83,https://p.scdn.co/mp3-preview/c84f6082a34cb6d31e208a074bc6e2b581a25d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,000000,5QeUZ1Z4xSCegBXutW3IIt,A.CHAL,0pkwrPVI8UyXtPkavyJoZ4,EXOTIGAZ,0atHmrOzrm6itiQJbGyN7Q,68,https://p.scdn.co/mp3-preview/3da89a7ce06fd2ef1efaf6dc9a5f017952ea6436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Vuelve a Mi,4iI2kB0pyRFZdq1BJ1ZQFv,Micro Tdh,1aWJsBQa67l72j1VT3D6Ow,Vuelve a Mi,20nbtzxcSOnaEl2dZHkmr9,54,https://p.scdn.co/mp3-preview/a38b8f0ac03471fa4bb239a320508ac0f832c458?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Fingías,7o0oY5wRcoV7oPuDhD2J1z,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,Fingías,1V2sg9XB2TP29Ys4ER3fLn,75,https://p.scdn.co/mp3-preview/bfcaca8bd97666519fb03548598b75952918aa55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,On My Shoulders,3NZJBpz5OO8kYp1A2XvLDu,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,52,https://p.scdn.co/mp3-preview/d394b2d48e93c09721573c3b45e69cf8d5cfbbed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Pa Mi (with Ozuna),0CYLDwvvpJQySLA5CvqvSl,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Pa Mi (with Ozuna),0ddRkZjGcRWxyCQWkWF3UN,65,not available
19,Lucete,5yx43rnqectCMLHDdNgyyB,Dalex,0KPX4Ucy9dk82uj4GpKesn,La Nueva Ola,25w0kbwVprNRy6RisuqLOt,65,https://p.scdn.co/mp3-preview/7b34107d90b6d935f938a4d6b8adeed2fab48a8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Como Le Digo,4pg2IJWbh3MK4U6ZNuiHCM,Ecko,2Jb9jVnCpWkXtoGznFJ6bF,Como Le Digo,1nLDzLGhgVp8eHMZu4mDJZ,54,https://p.scdn.co/mp3-preview/d29cae0a1c4911eafd308648c0230c9d225f5113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Yo No Soy,3qZJfSU7czi43eYYCNPjnD,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,No Science EP,63mxjJXXTAkWUXMvYS76xf,41,https://p.scdn.co/mp3-preview/67e637948b29f690d19e2284b1eb5447ab00d21c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Miss Me?,1uvdw2mMZo4nH85S6Zbf5L,dvsn,7e1ICztHM2Sc4JNLxeMXYl,Miss Me?,1J3RObEgCGB6UvEoGCvkck,68,https://p.scdn.co/mp3-preview/0ac3069dffbe47962f71d88473c1793ba2b121ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Pa Mí,4glDjeIwMMMfU9jw2vYRpL,Dalex,0KPX4Ucy9dk82uj4GpKesn,Pa Mí,30AzScScoG4ZIcyRMpF8zI,73,https://p.scdn.co/mp3-preview/f62926ea97ac0582f378ad2f7020409306a4230b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ganas,4f5Bw7pvjyCW5mEeyyoKve,Maikel Delacalle,2t7vyRN71qtQT18frElAnV,Ganas,2atbau8pIwRzcTvSUT7TGu,56,https://p.scdn.co/mp3-preview/e41791facb5194781aa4c294cb54ceebdc3ce983?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Control,1xmX0SrtBo3ArqP521N5aG,Alex Rose,2DspEsT7UXGKd2VaaedgG4,Control,2kurAXjVNWcFPR0NIzxyM3,65,https://p.scdn.co/mp3-preview/4b37a5d3572db1465ec569a0c46678881379cf60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Visto a las 00:00,0m1zfGk4oYfj4NxBLNheHZ,Cazzu,6w3SkAHYPsQ1bxV7VDlG5y,Error 93,5zbO01D6uIqC2ejQSQEN2O,73,https://p.scdn.co/mp3-preview/0007c206008b4cd77b1ffb3cb7d84559e1f1bcda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Tyrant (feat. Jorja Smith),4FZOSDwALdWxcGcRbwXWJ8,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Isolation,4EPQtdq6vvwxuYeQTrwDVY,66,not available
28,Caught Up (feat. Khalid),1opARDDYaOeE1QUdwXmBGu,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Caught Up (feat. Khalid),3LHVZayhkrZPdryYqJ5JZu,77,https://p.scdn.co/mp3-preview/8be0cf2a32d7731fc9bf9c59391a573b3c47175c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Girls Need Love (with Drake) - Remix,0mfCH4nfpshBQR9ueZP5eP,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Girls Need Love (with Drake) [Remix],3i9w4RgUuxBxUVaarH91kx,18,not available
30,Illest,2f9EWcIxnXL4W3vu0xNxX9,Doxamillion,2s6yEaMaeTECgnBFIvojq7,Don Felipe,7HRQvLfU2qZdC6UYblcSZ0,37,https://p.scdn.co/mp3-preview/a87e0f37cfdb3638c3226f804bc614e07ee77581?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Como Nadie,2vrl9bADuJHQGOdSk83jRD,Kodigo,3hwgckfLtTHdnkf694c7HS,Como Nadie,637GFzmph7HbYFvmEYoTZX,48,https://p.scdn.co/mp3-preview/b89133951e3605bc00a8e46f63dd5c8f602bd362?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Moonlight,0B85thbtraLF3LrirsWMjR,Yo Trane,4W49e48G0gg1pucAN6JiGH,Moonlight,3GNWO6dYu4YHdVqNZwQ7XN,59,not available
33,Me Entiendes,3PyYueM7Q5bibemizyC8Nl,DrefQuila,5pughe5rcsOq3GF0utMOs5,Me Entiendes,3ZaZ8QJ4nYcw7zkVhfgvwI,62,https://p.scdn.co/mp3-preview/63e082efeb4356e39a984d4f912d43ee06b658b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,No Eres Tú,3vd1rLbxCxDTGbxazgW91I,Jesse Baez,4rriNpL1lxpoysDDctWgl3,No Eres Tú,5vi7SsbnspDHTMthxaVQh4,51,not available
35,Sextasy,5jlLBqK31dOqXECKn3jlMX,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Sextasy,5AHaOSqgHl1KLpfujwLpRR,72,not available
36,Necesito,3xNpl8vErnu1NY7L0bop4x,Reis Belico,6T8S4zSY1ICYEG50Hgs3QJ,Necesito,51oZk0nAdwyiX4JSafS9LZ,49,https://p.scdn.co/mp3-preview/ed2bcbe023738fbba3562390d7ba03ef4c00fa86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Hoy,4aGbMwrw38Nx4piVrSALlr,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Hoy,7ieWdaJv7yA1UNbfooVr96,55,https://p.scdn.co/mp3-preview/19d63144ed5c363d50f1d77407757ace12437f11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,T.T.I.,4gPpYLervKt4cXmhUjpYLj,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,T.T.I.,03YFpTGFMc4pr73yZ7vy6h,61,https://p.scdn.co/mp3-preview/731df7869d3235a4ba6fe878f382a239a4fe787e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Egoísmo,1AXohCkuBPhh0RqTNqkXqa,Jesse Baez,4rriNpL1lxpoysDDctWgl3,Egoísmo,5spPdqGOFgKxVOMu4UnqCm,56,not available
40,Belong to You (feat. 6LACK),2I88NEWpKrAPZuapXNV5G6,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,About Time,2ICdqEf91Kc9FwdlLtB748,70,https://p.scdn.co/mp3-preview/80a7a092370b34d33417eb2467ecb14b6ec710cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Pa Mi,4qkun7AaUFno3rE8xp0zYi,Lyanno,1Ts9of7VPZElwPQnqnDSfW,Pa Mi,6MqjjxEPLdn9rydARrRvEv,31,not available
42,Lluvia,0A8PsgJA9yD2TjmORtpSSa,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Lluvia,1ELs1FdkOeNEi8Eo9s7hPp,25,not available
43,FYT,0jRYmA3UE0C76BvvCDjmiJ,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,FYT,3NFDxGLIxg8ayxr6wX8xkU,48,https://p.scdn.co/mp3-preview/85c58ff9546662709acd62d5b42dc9337e94b9c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Buena,2UDMeklpmOfq8L6wI75ysa,Manuel Medrano,0i5iO6icb7kxg48thi9gBM,Buena,5qX4MWfoFf18oBL95wfkqN,71,https://p.scdn.co/mp3-preview/fc910afc0a0743d0d6f1b434e1ea43d4489f38ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Será Igual (feat. Deborah Blues),3zmtWoq7Ra7FevtpSfCx5A,Joyce Santana,4zOhMWD0LoBe2nP7s9cHhX,Será Igual (feat. Deborah Blues),1z6oWuWKLcyYus7FXF5PUd,38,https://p.scdn.co/mp3-preview/f081858427e2754a7b041690ee5ccbda9bf2aeb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Consentida,4U5V8lfFwN3TdzW6QEx8XI,GioBulla,0Byw4aFEQbFJBgL82P0LKc,Consentida,4B6XBm9UhaqiAXBactUfty,46,https://p.scdn.co/mp3-preview/c780e6fc6f6ede11dcc2898a00d626a9a09a10f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,El Telefono,7GjktGoefJGTMMAfTtr51V,Mark B.,0zZJhc1T0zBurhnBwQ2fcu,El Telefono,7sF0Xh8DYFwFiZtH6qkXo0,37,https://p.scdn.co/mp3-preview/b51f5bccbdc162b257f1835b952c2f7665dfde9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,INDIGO GIRL,7FLkSvWI9hOXCZPC3JhURD,A.CHAL,0pkwrPVI8UyXtPkavyJoZ4,EXOTIGAZ,0atHmrOzrm6itiQJbGyN7Q,49,https://p.scdn.co/mp3-preview/41cd9dfbd800a0665825df5196a0669f818d8b78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Encima De Mi,0hAxyVU6Nro3equjEQdFq2,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"Trap Cake, Vol. 1",37rUi63O4koMFvrSC1EMam,64,https://p.scdn.co/mp3-preview/2adb7cd6e2355607aec1f665680547b01298ca0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Rollercoaster (feat. Ro James),6UE4ooQJZOUaRtKgFg1Spd,Cassie,27FGXRNruFoOdf1vP8dqcH,Rollercoaster (feat. Ro James),2JuUdafqGkBRLNF1mefF9C,49,https://p.scdn.co/mp3-preview/2580c70d082194421b938e0439030f9b2a0d8f1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Alma Desnuda,6hDIoRIGmmnfIlAIabDH35,Catalyna,7bwjYGg7DOoLpV3AFK2Jmz,Alma Desnuda,4lx897HFWbmBSp3ymx2IvC,17,not available
52,"Loca (feat. Duki, Cazzu)",0vnrhysrKKRdNYFKLAGzRc,Khea,4m6ubhNsdwF4psNf3R8kwR,Loca,43C5SssUVrK56hbM6afOYQ,69,https://p.scdn.co/mp3-preview/fa6eee42e08ca4ec7909d6711c4983af18e28bc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Secrets,5pAaXHSlxNLfS6RQBrpjm5,Becky G,4obzFoKoKRHIphyHzJ35G3,Secrets,3ETzU5ugHCLSTN2xCgfoBK,65,https://p.scdn.co/mp3-preview/f6db3240c4fca07c596ada90d1f9a0eb1dd9ac12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Come Through and Chill,1m8WpLYXEiNVZchsWEcCSy,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,72,https://p.scdn.co/mp3-preview/b03521234f2079da47efdb746fb7497211c2e0c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Feels,4BOikd4oZjOYMde9AXfrTo,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,While We Wait,73ZvpuYhKDr2FW4vlPsTpW,69,https://p.scdn.co/mp3-preview/bd0e399b85032ed22b5788929617f04dba97c75f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Feel It Too (with Jessie Reyez & Tory Lanez),0afSDk3PxzQGY6rIdf30Z0,Tainy,0GM7qgcRCORpGnfcN2tCiB,Feel It Too (with Jessie Reyez & Tory Lanez),4xOKqHPmVztXkOS7CSHcSN,69,not available
57,Easy - Remix,0vdugUpjlzftfix4wdupuG,DaniLeigh,0XIKGBo9PnK1ApI5tZA60d,Easy (Remix),4pBsZ0LoMJGZ2yiEu3ACCI,24,not available
58,Vicio,4pUo1Cn6Z6tU2IBJWTe1dG,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,Vicio,6VwHczb38afBJl7EfFCfET,42,https://p.scdn.co/mp3-preview/4ec6c3414d83f625af1dba61f32958be63625022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Not Steady,42ArfZUgGo3k5btIHp08it,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,Not Steady,1XGuAokaFjAkpGmOEllsoD,70,https://p.scdn.co/mp3-preview/35c4e2a4486b53bf33f9f01dd28bbcb7e4743eca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
