Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,El País de Alicia,4QAw1unWjQ1a2XMwGc06Ie,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Difícil Ser Humano,1zSktJaNyIi1ot2Wupn4VZ,38,https://p.scdn.co/mp3-preview/f1990808cfac94a4dedc4dec4075e0d98eb4faa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Kaña,77UVdHUTHvECJJ0xcmooGX,Zirrosis,3hzp7HyJA5zS5VbpapOfFJ,Kaña a los Que Nos Quieren Pisar,475lQDKfTnB0nSuGgnov06,20,https://p.scdn.co/mp3-preview/b0d67dbe6db79e4de1cc296609b4820487d6d6e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Salgo a la Calle,3KOep0HeA6PxeoLT4I4Ixx,Elektroduendes,7oboTHVarRYloS0WJxGSJW,Salgo a la Calle,3wdwyHXHc5NKboxzLsE6pS,40,https://p.scdn.co/mp3-preview/1f21c975fb2ac18883a62ef74fbe794b5d2f68c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Bad Religión,6I5TZHdQkUT4vHqFmbYtnQ,The Kagas,25TQ86q5TLjD8MR099s51q,Nuevos Héroes del Rock,1YPt2UE3GWYLPyhpzUe8eI,34,https://p.scdn.co/mp3-preview/1037c3135d05efa6edef8ddde896579313532de9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Johnny coge el subfusil,7vBBxbAG7HZLWeeUi8vi1U,Commando 9mm,4CaLrZJU2xkAMMCGkuvFGP,Dios salve a los taraos,5KP5Kh3IAAKPxBYpVfIVW6,21,https://p.scdn.co/mp3-preview/364c05b40381f3ffce32af2aba6b30b1b2abb318?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Prefiero Caminar,0SUYFrnEmh4QZOdThDoJ5B,Disidencia,1ym8Cw2gG6nn8hgk4Vjkht,Bienvenidos a Occidente,1F2GuNExWo3absC9LEqEcY,31,https://p.scdn.co/mp3-preview/4f7b4b35c58fdf265129fa7cc18f382df7eac9a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Otra Vez en Tus Manos,2msak8eaVqJPlkqiJ5P16O,Gérmenes,50Ymm1nPtn2tvRtEUZg5Me,Mar Etílico,1vfMGo3fTJxQj40g6fIf60,32,https://p.scdn.co/mp3-preview/cd9247711100d4ed2e8e5abbfef980d8de983850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,El Aborto de la Gallina,2r4LtQn0B3zo2da12yuHF1,Manolo Kabezabolo,0mCVBnmmGLp7tjBR4J8Q3M,Gor 25 Urte 25 Abesti / 25 Años 25 Canciones,6DXAoS6Ufvlg4cWi0S5xs2,32,https://p.scdn.co/mp3-preview/3ac9d410c471c1c6be0a2b548442f44d265fd078?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Okupa y Resiste,4rL1yZgDOx8SZ0KKShzdKB,Transfer,01WbpPclP0irRybrR5J6A9,La Gran Mentira,2vw3sQjGIo8NMZnsNAfaRl,25,https://p.scdn.co/mp3-preview/388bc79f09713c981d1fc173ff6976d284f76c42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,La bandera de la libertad,3IgV2zcmA7VPOxWP9crH3T,Banda Jachís,4SmWLsvGKAetIfP8PgKrPc,Intereses Creados,2MBwsEBoSb0UTTM1ZvemJ5,23,https://p.scdn.co/mp3-preview/facdefd6e3599921b5d615345eba60517848332c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ratas de Ciudad,3Ygxsn6D8Zv9YIPqW5fl50,Vómito,675aWo0roLT6t4NY7pguXr,El Ejercicio del Crimen,0Aamo68N0JCreevpGQdfyw,22,https://p.scdn.co/mp3-preview/c90a3480c0af58bac0c865b027e80121a6a4367c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
