IMPERIAL TEEN and SONGS WE LIKE,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,The Golden State (feat. Kathleen Edwards) - Soundtrack Version,5CjN1iYNi4z9Pnjv6O4Oew,John Doe,3UlRYvVVJK6vw8fRIDd1Oz,TRUE BLOOD (Music from the HBO® Original Series),6rhgMu7cLyzzIjiyzYFoEd,10,https://p.scdn.co/mp3-preview/475363043102a91d0c367e8dc8398dca61a1554d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Crystalfilm,3IedkdMExsjhUXkAjO0yaz,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Ritual Union,1nYzYYPHK9Qi08skuKzg1y,0,not available
14,Situation,6zmYqMcCmu9c3oKabLs12V,Making Friendz,79DMIjgpcX5v64BE1WP2c4,Social Life,3BSevEN3himVFc6LpbMahO,0,not available
15,Hanging About,1magAzU76WOyL3XGUZ0LXp,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Feel the Sound,1VODw8g3HqeBIsyEa2kybl,6,https://p.scdn.co/mp3-preview/4efdc9a445b7a1d6a28b636e6497b0a2e3386352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Emotional Levy,24r8P9jKsnM6u3vSNqKMyy,The Aislers Set,3hhbHynBIT7ulyfJfrDKLt,How I Learned To Write Backwards,052ZrIwzgp8cIHN0VIEgBx,0,not available
17,Get Around To It,3hfh8qlNsp8phc6JjbOlgY,Arthur Russell,3iJJD5v7oIFUevW4N5w5cj,Calling Out Of Context,6MKaaq8TAp1ebJ1FOnTHU8,0,not available
18,Desired Constellation,5y4sXXo1WgexYzy68V6lIL,Björk,7w29UYBi0qsHi5RTcv3lmA,Medulla,6bjGw9Clp684XTRPBI0h6K,24,https://p.scdn.co/mp3-preview/b44634a76cd471cea4b8339540fd1a0225ec79bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Oblivion,4P6n0udLAnmCNXVcobYbsK,Grimes,053q0ukIDRgzwTr4vNSwab,Visions,48a7rOjTzpD1zzJAteeveE,57,https://p.scdn.co/mp3-preview/ba51f6ada1aad97df883b9691b9880bf526218d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Most Wanted,3QYpSePluox6rcu3xUiab4,Cults,3Oim8XBPbznAa8Jj8QzNc8,Cults,2jb0zRewft3L2AwCOMx3du,35,https://p.scdn.co/mp3-preview/e98362a8428c696f4bc98dc066405e693ccd1869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,You're Too Weird,33ezCcBwVw2SsAvOsFyJSG,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Tripper,3K2sY2hmvoNszRzFCEf9fE,1,not available
22,Don't Know How You Do It,4TikKyfg0po4N3YrKi0Nnx,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Feel the Sound,1VODw8g3HqeBIsyEa2kybl,6,https://p.scdn.co/mp3-preview/5e6ee8ad2ce412209131b47cd0ac61ec1779ac40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
