A Very Indie Holiday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Christmas (Baby Please Come Home),46pF1zFimM582ss1PrMy68,Darlene Love,391oLRVmoTkumiN79HkTWu,A Christmas Gift For You From Phil Spector,2kzkwgOFAtRsDsas5Hi0Qu,51,https://p.scdn.co/mp3-preview/40b029bd38a6d71cbbfe2aed1178c01e2ab14ce5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Silent Night,2QGAIkSF1MklpoPn014i2y,Julian Koster,7xtsOnL0LUcIETlMABUkOO,The Singing Saw at Christmastime,6irRZToElCW0LyHK3LZTRJ,2,https://p.scdn.co/mp3-preview/c5e26f7e624c2a92ff4b37d8ea731a7a67441f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Xmas Lights,1dk5yuzf2YcLonZj9vRoHz,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,The Illustrated Garden,7712Bs3rZdogIwdKF4vd4c,0,https://p.scdn.co/mp3-preview/d2c3fa21fafc875c1523eac1f7ef418b6fcfe306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Green Grows The Holly,5P0cZ3i8YB7DFbVLXuuPeL,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Holidays Rule,6WYKqCoezPOWXD9UxbXyGZ,14,not available
23,11:59 (It's January),06FDEkzWe7uFtM85GRFHUl,Scrawl,6duNAcpIeQ2vydjbn1aXQG,Nature Film,67Fn1Bt4EbwzFrXIr3U0eB,2,https://p.scdn.co/mp3-preview/f7d92209da65cfcc214ea432c84c774a44b3e3db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Assassination on X-mas Eve,2U3R7KRKxtgObv9PMLriiM,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,All the Nations Airports (Deluxe Remaster),4VEYyNc1AjoB7McU95CFrU,7,https://p.scdn.co/mp3-preview/5c50be4f7cfc2e98b160994f91434d3afe4f1452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,God Rest Ye Merry Gentlemen,4gagAUImbNWYowf4TKgKnB,Bright Eyes,5o206eFLx38glA2bb4zqIU,A Christmas Album,0iwLArcHR0YOpipGwm7CLW,11,https://p.scdn.co/mp3-preview/67ebfe25d733cfe9629e3d84d03ff15c165d12a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Son of God,6rxa3SI4itRjWQ42TCQl9h,Will Butler,1POwuKLQ9xhMZzIYElNtWp,Policy (Deluxe Version),0vQ671QsneNp0OF7xl0c1p,10,https://p.scdn.co/mp3-preview/399f0e86af6144b0589e7134f9687f28e568eaac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Christmas Song,2Ua2oF9reZW6TpAejWjATP,Stars,2EO56JK4txid1Pss9GVbOL,A Very Magistery Christmas,4Xtt5T0RtyJKR1Z4g0R7D6,5,https://p.scdn.co/mp3-preview/d465055f36e46f5379964551ad19bb48af0aefa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Christmas,7oVctxa79jqB5HH8qOWZ0b,Rogue Wave,2JSc53B5cQ31m0xTB7JFpG,This Warm December: Brushfire Holiday's Vol. 1,5edOv7GvKdvwNnqXEACfYQ,10,not available
29,All The Best,0VxhY6KjabvNCkL3v3wqNb,Saintseneca,5x3hUNIfDPxP1Kr0ZaGs64,The Mallwalker,4olt3b1YK3Fj5hrIQwqkLL,18,https://p.scdn.co/mp3-preview/2109d1ca609dca6fbe73ee97fa151afe405e8a0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Christmas In Hollis,41onDks2UPbyjer5fMeUWf,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,Tougher Than Leather (Expanded Edition),5opAMGIf8Hn7xIaTPdHFDv,41,https://p.scdn.co/mp3-preview/6f3ad1c0bfce8f12701771b8dfea6b61fd61d340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Winter Games,3Xyt6bCJmMLIAU01Bf5Tvi,Superchunk,7lmde7T1WJPFwv1eR6melP,Majesty Shredding,072VzgOsZLEFnbUKh1XhD1,12,https://p.scdn.co/mp3-preview/88c05c6d13388252295734ef8ad95867dfe489e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,All I Want for Christmas Is You,4AFzsq5qcKyrVR331f096H,Carla Thomas,1QAGLCom3FHTTiuRFsjzOj,Stax/Volt - The Complete Singles 1959-1968 - Volume 7,0g3rY8XQM3PieinPXcsPtM,0,https://p.scdn.co/mp3-preview/4c0ccbf38adce059cccdde84f8f1260eb526d362?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Merry Christmas From The Family,4yqu3N8SqtWuR3MTfKrqXd,Robert Earl Keen,1jjpkAHC8bd9fRFfgKyYLP,Best,5tEPgl1XpptBZL2oqOxY99,32,https://p.scdn.co/mp3-preview/c2943ac623a0c1bdfc0fe5cf19d3248f06577ce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Redneck 12 Days of Christmas,3S20wsRbiIgBwkIVbprxGu,Jeff Foxworthy,7zOcRYg1BYXpwr71XTWNr7,Redneck 12 Days Of Christmas/Here's Your Sign Christmas,6hzPUfu6y64k2npfSB9Ize,20,https://p.scdn.co/mp3-preview/723c6ac8ace8c5f7ecf47960c711df1abbf3f9fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Joy,4RXaEv6a5loUg3dy2KJWTb,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Tinsel and Lights,1hunMLGoFPKzkxLlk0gsdu,5,https://p.scdn.co/mp3-preview/9f37fe4c0c6d857cf95330215648a4c2bc85cdea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Last Christmas,0d0Fpvs5moBgAhhQGiUbGb,James Wyatt Crosby,08vqoIPzUKFbYWJLfwiz8a,Last Christmas,52yDthaKfBruzCsUmSRWEE,0,not available
37,Space Christmas,0uatOWd8UYaEgc4nZXhoAW,Allo Darlin',0cygwaJypZFDlu4NLQTm7b,A Very Cherry Christmas,1JM1HkmKwZiwlOzrfdTR3l,0,not available
38,25th December,689fB7MvuHiEAdCOmaRvM8,Everything But The Girl,13ccXrK7AmXb4TddMkE7jy,Amplified Heart,6ZMxoed3JJVjSzDQ2iVeYN,27,https://p.scdn.co/mp3-preview/9b25214fc4a57963e9de552e265d07c1065fe136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Father Christmas,1R3a1SIQrhez9FOOvVvqU3,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Picture Book,462STZpTY1Vyg3jfQF6JJu,25,https://p.scdn.co/mp3-preview/72bfce26fabd321a037e293c824b71ebc36ceca7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Just Like Christmas,4zMP6aieSmWQNFdp3O4Owv,Low,0wz0jO9anccPzH04N7FLBH,Christmas,1SITmIj0Gjx12n077CU0XC,28,https://p.scdn.co/mp3-preview/eff126d05904c7c7eeca2aebf360393e6fb35397?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Melt Our Way Out,0usKaTEWcILTCNo8n2X9cT,The Rosebuds,1uatpkp2CbVMmQlMKFMAwe,Christmas Tree Island,5cMJYln1PO9TFu3tTeun54,3,https://p.scdn.co/mp3-preview/3dedec33bdd7dd0abe8a467b96e16d0b44efb823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,What Are You Doing New Year’s Eve?,0SZim5k1ypcgRsWmFcrGfs,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Holidays Rule,6WYKqCoezPOWXD9UxbXyGZ,21,not available
43,Silver Bells,1vGbyjT8hvb3GgXcBRjCYs,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,In The Christmas Spirit,6MGY4N1Fr3xhYGhD0S4eLT,5,https://p.scdn.co/mp3-preview/0510f8511c00ff19932a25592a7920b99360bef2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Unwrapped, Ungiven",6EsunAcY0SYnJZ12UCT3NR,Spent,1JIkIpwyYD7ASNNI40onxO,Umbrella Wars,1fHW7Cx6Lba2uESDpjTia7,0,https://p.scdn.co/mp3-preview/5f6f689ac0b3b70e3144860ec26ca28947578577?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Winter Blues,4QDbJpv2dZYkG76Hq6Pw6p,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Researching the Blues,6vOaJ92ijz7RCFHUXHM6fD,10,https://p.scdn.co/mp3-preview/9eb519c8dceed908b4fa20a09715bcf9620cf579?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Have Yourself A Merry Little Christmas,3iIj1uHe2oBwqncMiLQwRN,Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,Simply Christmas (Deluxe Edition),3nMeVjYypmshXLIWEcrvGN,26,https://p.scdn.co/mp3-preview/440985e50bffd8f9e1c70caa50f0e29ca20f6f4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Longest Winter,2tt1ePIBnDq1gM2kju7yHt,Pedro The Lion,4ApdWjZjftqD77Vh6qDbCr,It's Hard To Find A Friend [Remastered],5Kikm4oq5iQowvPgSQtZZS,0,not available
48,Christmas in Paradise,0lJ2aPYEy8SRTNqD39vDZl,Mary Gauthier,4SK1IgkcWWc5HC1TOBq1VS,Genesis,6E2sAvhoMe7lVGAHWbQf8T,7,https://p.scdn.co/mp3-preview/8d0246e4722d9a80a8bc67caf5371eb82cedbd7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,My Favorite Things,6oVY50pmdXqLNVeK8bzomn,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,The Very Best Of John Coltrane,4khBAMNknbpYeck2ZwZcVq,41,https://p.scdn.co/mp3-preview/8139c9c8f9303514ddbaca55960349b7dc7aea80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Drum,6y2VhVpSQ2WveodhWDK0Cl,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Lateness of Dancers,5K7VYgm2UUdIdis8H3zMhA,21,https://p.scdn.co/mp3-preview/68e3ad4f787caf1362e35de5879729aeeda724dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Dominick the Donkey (The Italian Christmas Donkey),6W332S9Wbc6TOBlChnemKD,Lou Monte,7dbKeVkihtOifdiu7f3rUg,Dominick the Donkey and Other Hits,3QfPlnKLvD9IQwVJhcp4Rj,34,https://p.scdn.co/mp3-preview/690baa468ed6b625c5028f31d388018ddba4f2e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Christmas Lights,5dbwCHxk4NrGgi5bAGvctM,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Christmas Top 100,5gGpXexVhLMb8keL7JdTgq,13,https://p.scdn.co/mp3-preview/83bc99b80b9bd0115cbd1ff6447152f60f8c4386?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,The Christmas Song,74vAkZaoEU54yZdOoSLrTa,The Raveonettes,3LTXHU3DhiYzGIgF2PP8Q8,The Christmas Song,6fO7shxJjlvztDHwqPqLG2,29,https://p.scdn.co/mp3-preview/b2c29164194292ff69677be378f6895cf0948b0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Hey Guys! It's Christmas Time!,1beYXwr5Ot66x0uwKhIGf5,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Songs For Christmas,26kXeKHRO3RcNbQ5Onc4QQ,0,not available
55,Christmas Lights,1j3w4440GDVxdTkeTuBHkT,Triangle Park,2iBPP7j9bHC0pAUzb83qTe,Kindercore Records Christmas Two,2TTYAM7U0AYuINgJJDwthx,0,https://p.scdn.co/mp3-preview/e1c1f7c5e79adb18f5e3df1d12fee6385073aa2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,White Christmas,58X06FvOs7LLeQepAK9vdt,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,It's a Holiday Soul Party,1wvM0On3hTkvoQVVdodNzk,15,https://p.scdn.co/mp3-preview/e1c3233ae8fd314c558329299794010590d6958c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Sweet Christmas,1uWcaz9E3fERFJ91tSe3w4,Shonen Knife,4ukJlDdlvuQOHZdD2NVsFD,Sweet Christmas,4KJU0m1F9bSUt08o6cguE5,1,https://p.scdn.co/mp3-preview/e852e2f5d3b2684b914ba0bce6c75e0c50ad3205?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Wonderful Christmastime,3OnZDfpaIbb2dBCCHtoYSX,The Shins,4LG4Bs1Gadht7TCrMytQUO,Holidays Rule,6WYKqCoezPOWXD9UxbXyGZ,25,not available
59,Happy Unhappy,69X6rtgG25rQtGoyvGYBEd,The Beths,7DjwIxbe8kpw4pqnzAMoin,Future Me Hates Me,4xG41eVnTuDK6uMmcksQ9B,38,https://p.scdn.co/mp3-preview/7c3c17b3b5ff19aa5b334de0eed7e0d8bdae04a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Lady December,2Cni9WaVdoNB049PPbGa1R,The Concretes,4uFpoTqyXb2tfvetAjmJQT,Warm Night EP,4d5XjWTZtKcbpMBe15DC07,0,https://p.scdn.co/mp3-preview/d5eb32b1e075476a79a0e532ac69f265794b8fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Christmas Isn't Safe For Animals,51hgn6TcaPBosYlMCacVrt,of Montreal,5xeBMeW0YzWIXSVzAxhM8O,"If He's Protecting Our Nation, Then Who Will Protect Big Oil, Our Children",5Ynao3HxJJGcbdgp6IRLaL,0,not available
62,Cold Again,1kIpthLlABIya5oxw7b9er,Islands,1ObsHTgbvIYOfSHohHuV6n,A Sleep & A Forgetting (Deluxe Edition),5PKfhHg6b01N0iXDjw1kMH,0,not available
63,A Girl In Winter,7LeK3ddLre1z429E0pdeVO,Ben Watt,4RIOH6XCUt1Xr8NLUj2u66,Indie Xmas,2XbRzgnXSKqkYunZFh3QIr,0,not available
64,Christmas Is Going To The Dogs,01UBQgNn1jCFAnnvNJSjv0,Eels,3zunDAtRDg7kflREzWAhxl,"Useless Trinkets-B Sides, Soundtracks, Rarieties and Unreleased 1996-2006",5tdxfCXrgvk8vj81QWh2tt,25,not available
65,Rudolph the Rednose Reindeer,6tN6rdEfm6ZtuKsqpoh3on,DMX,1HwM5zlC5qNWhJtM00yXzG,Rudolph the Rednose Reindeer,4pPYffqEe0QKJPf4FEgH2u,1,not available
66,It's Cold Outside,6UlKPkC40cSsJvEgSlbEo4,Stiv Bators,3q963NeNihjI0vYAGLIpjI,L.A. Confidential,3ULE2CP14PcA7ERMTGUb4G,10,not available
67,Auld Lang Syne,3cg3AWFNOPpwySd3kljsE1,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,The Most Lamentable Tragedy,6tcFu0TqSurn0s4unYDXSO,11,https://p.scdn.co/mp3-preview/5e1a7620bf2bec32e2d5ed668df66233263679ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
