Born Under a Good Sign: 30 Years of Merge Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Doc Gooden,7xYstHmzZR3Ny85nuANSbS,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,In League with Dragons,6Xw8Mujzvzu7gMeizXOHc6,37,https://p.scdn.co/mp3-preview/4c62b63100f2667114b773f132f7ca2222d3506a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Stormy Weather,6Lz4guYlgxqdoEqi454JP6,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Time Bomb High School,71BCZDhiPjYKwAPxpS2zKP,37,https://p.scdn.co/mp3-preview/06e3f1c285636395b774f49bfd3cf06e25085ffd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Bottom of It,4bva6j9FaGs1rdCzScAqLk,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,The Bottom of It,1k4JXPaKc4ZSZPalFAoWRA,59,https://p.scdn.co/mp3-preview/9350d6ae4d033054259412fbf800cf7274e81242?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Rainbow Shiner,4I3ihjRogZkFuzGwMogktg,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Rainbow Shiner,6cxhB4nxxrvA2WzQLpkupO,26,https://p.scdn.co/mp3-preview/0701828d0c095998d939e46226bef1e058626290?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Everything Is Falling Apart,1TFRdEaqsCt0BmVS7zlBjy,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Everything Is Falling Apart,1p0jfVE3lz0gD2quErpOW6,18,https://p.scdn.co/mp3-preview/0fc43f43f9e7a58d2adae3ae9fa365f37e2dbda9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Everything for You,5QpNU8ogL8msb0g6mHbhMu,Lambchop,2Lhs0asnFQiLuntn3s8p78,Everything for You,6rv3H4shCMaf8hm412AHPq,13,https://p.scdn.co/mp3-preview/e7cc7b084e00586be655c0eaf3a7bf36daa7cd99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cut the Quick,0WcwRe0el9XnxYzhv0PsEV,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Cut the Quick,60KxA2g711tiixjbBx0hUs,42,https://p.scdn.co/mp3-preview/ab910e3d2e9eb980ef055d94f6a9f3e595225b69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Tell Me (Doko Mien),2ToJLZOVIS6FaR1BrtnHhN,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Tell Me (Doko Mien),4XKN5fB6fktdGwOzYlsWYY,28,https://p.scdn.co/mp3-preview/ed80a967a8c2c7b9fa0e777af66e22719ec41915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,"Noel, Jonah, and Me",0snrL2Dl6LxFeJ9CrX1cdy,The Spinanes,6lz8TrJesUMdGhKoyXTTda,Manos,14ZZ9MPl2LrCKfToeCIUE5,14,https://p.scdn.co/mp3-preview/831c7fd01bc8286ffb123faf48719c829a2f7cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dancing Queen,4rdICxsyenTpo7k7R3pRsx,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Teen Babes From Monsanto,0PrpjZWYXfpwbJdDqtSHYK,12,https://p.scdn.co/mp3-preview/7e5e830362c5e2e1857f848fec48da91526fc8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,What Do You Want Me To Do,1hb0t26k02pqPk93txCrtb,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,What Do You Want Me To Do,73MQi5KctMf733Yf9WXOEe,10,https://p.scdn.co/mp3-preview/f2ad19ab8bed1cafcb3e83cf25370236b729f6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fail Safe,0fsT998vnjO23Gfh9GPCSh,William Tyler,3iexGtoBAyCUbxOKeru5py,Fail Safe,36M0CeGVhzn3nEy9yx3ffR,22,https://p.scdn.co/mp3-preview/a9509830d74771bf9d1efd2aa8402dba6afc5e57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Way It Goes,4MiIy3zlNoZqQknG0A0KeM,Sneaks,40iUcsx6LWJ0DEPryPmU30,The Way It Goes,14O1pc481r4xl08yG8Y6mC,21,https://p.scdn.co/mp3-preview/950fe9f65ee43e04e7d820ba7d6fd049092e9e2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Little Drama,0qNMYi992eHV54PjDOs2Im,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,Little Drama,3e3R2FG520QePzJJ5xjDIP,30,https://p.scdn.co/mp3-preview/74dc69bc5584acef9a733aae2fcc6652004ad0dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sun Comes Up,750qJqnylblji4TCCDsmGE,Will Butler vs The Knocks,1hqBaKU5JB9hRncbh5mjkC,Sun Comes Up,6FZwlW8Gcecdn7IMoTphgz,28,https://p.scdn.co/mp3-preview/6d50517932178f4219ff39d9c9681a1ea6f93940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,You Want Me?,6rR4xVnJW8qO9M6Xpf1zhl,Martin Frawley,6DG6DqhJ5kP5vOJPYmfjDF,You Want Me?,4MLC0PxsRsDFfsPsB57yN4,8,https://p.scdn.co/mp3-preview/bd9e1ab2cd7bf3a99164e3852f203c56fdb33fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Rock Holy,6d0bXT02TCCBAenwqGSVdV,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Rock Holy,761LskgYogPeUobs0oIBLz,41,https://p.scdn.co/mp3-preview/5e59bd63b938314795d8d84d7f20576e97e316c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Takes So Much,2yCBCFU1ESZKKC4GOObXkc,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Great Thunder,4XklW1gNW49SnWYPBNQI5y,34,https://p.scdn.co/mp3-preview/b3ff0cd19c979a67a9241f54a52a5b8fea7ac755?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"The Louder I Call, the Faster It Runs (Acoustic)",14qjXRnCA3t2y6Idxp8K1H,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,"The Louder I Call, the Faster It Runs (Acoustic)",38js4dqS51AyEDO8XPVgBu,44,https://p.scdn.co/mp3-preview/1ab1ca923f0f39ffbc3eed4633e29ec6ade87dcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Normal People,05Zq2fceukMpmg8iy3tvdO,Fucked Up,05C3EDw4Rf0qMhrdjFKncL,Normal People,5fMJw6MXFD1O00PR55pYCC,15,https://p.scdn.co/mp3-preview/48bf5ba693e46723ec17cf0e2e07f15eb7ccb527?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"Jaded Lover, Shady Drifter",7EwiGttRKi6HIcTyYpAODM,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,"Jaded Lover, Shady Drifter",65J7LjR2E2IwYDAas2dZag,4,https://p.scdn.co/mp3-preview/21fdd727bd4d9d9db1535809cf6438297d2425ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Grow into a Ghost,18ZeOzEzTE49j59dOH84be,Swearin',5Hd2TLBA44nP3ftPAC1ZlZ,Grow into a Ghost,42k191qsTvybl6NsvE9lYa,29,https://p.scdn.co/mp3-preview/c6f12877c8be2bd5eb33a7b5a403f5a166d74a3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Raise Your Voice Joyce,16ia0Nv15esTZkwssQSJpP,Fucked Up,05C3EDw4Rf0qMhrdjFKncL,Raise Your Voice Joyce,2BI11zmoTLadVTwSzORZBg,9,https://p.scdn.co/mp3-preview/e29d1488fe8e91cc4b3a5027b66ea2468e0c1971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Juiceboxx,4weVmflL577QJ9T0p5ZKVK,The Love Language,44OridJEgBZRRGJXQfOScR,Juiceboxx,6cT5YTPhNv9AaG1nGV8sdO,9,https://p.scdn.co/mp3-preview/c952aaf499a8b75c09388578f0bcf0fa1cf4cc52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sloane Ranger,34fpsas6fwbCYbqDdMW9Eu,The Essex Green,2hLQppESVnOV9ntMD3uA4G,Hardly Electronic,5liiayFBaRLuxtWOfxxaQg,24,https://p.scdn.co/mp3-preview/dbe12dd536a7d8ff59445fbcba141b71f33c2b24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Alabama,6OovMxorc81FpB11gEKlHg,Tracyanne & Danny,628INEcGRqxpbs1Jt38R1q,Tracyanne & Danny,3Ur1MVwecrIBaHDWFpO9UT,26,https://p.scdn.co/mp3-preview/14c18bc5f2b070e4e839f1677384c2a77376a677?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Primrose,2H2dBcf7MEv5xKD7fZns74,The Essex Green,2hLQppESVnOV9ntMD3uA4G,Everything Is Green,0mF62H1QPQ908a5gH1BB16,8,https://p.scdn.co/mp3-preview/1ae3a2cda5aa6b6e1182de76e80a5b55fb699bc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Symmetry,7sYQVqibHjLkNJf9L6lkV2,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,"The Louder I Call, the Faster It Runs",3lSHd2sapKzXk7XkDac2zg,26,https://p.scdn.co/mp3-preview/d046d7c2b4361e4072969cfa6f1185cef049b7b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Best Ever Death Metal Band in Denton,3zQmp51vJTJfTkoCZtfzxc,Laura Jane Grace,4yfPiAauSgUfyc4k4WtwM9,I Only Listen to the Mountain Goats: All Hail West Texas,2gFFvXWdaeApTLUWwORzjn,14,https://p.scdn.co/mp3-preview/22aac4bf0ae2e0be1935c49daf7506804611159b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Blues in Dallas,47ApN7TQXr9OHhA7FtLxRm,Nana Grizol,7FPO7WTShHCXnmVv7lhhZM,I Only Listen to the Mountain Goats: All Hail West Texas,2gFFvXWdaeApTLUWwORzjn,12,https://p.scdn.co/mp3-preview/9bfcf7f34edd15bb86c68a0e84367ccafaf365f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Queen,5KifUyNEkPmvvCMXcLvV6l,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Record,30RJWrbDyQYoP3a6U1EUCo,18,https://p.scdn.co/mp3-preview/8d361a7bba4901455334cc2c3463a3b874bd84ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Real Talk,2D5weJcGu6D9FZJ9AJpeow,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,A Productive Cough,6Y8vsdehhs2DfFYUiPzbtg,20,https://p.scdn.co/mp3-preview/291f62691a694cb7b278a4f493d7410591af2f11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,What a Time to Be Alive,1zDKbCCIrsYJLxzwxZvrTo,Superchunk,7lmde7T1WJPFwv1eR6melP,What a Time to Be Alive,5VHuyZga0JSRlJrVusWfR7,33,https://p.scdn.co/mp3-preview/a511700df932db143b9be72fea7392c7dbbc2c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Desire,1tT5chPCkypWTJZDsjy5zn,Ought,2VhVBXSB8n2KxuzKVZNxTY,Room Inside the World,3vF1GQeq3Mnu13x0Rkakhv,39,https://p.scdn.co/mp3-preview/7797a749b4ff66d44d3bd556c42d34291ea89315?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Stay Alive,0tc3RWcszYAFS0GOKuyV4Z,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Vessel of Love,5GdBwp9XyC9EBC0f4x2ee1,35,https://p.scdn.co/mp3-preview/7f9887310d543ec7191d1d3b34a0a0e42fb7f227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Houses of the Holy,0tkoQilHjROwmZ97sdGvOj,H.C. McEntire,223IvfSnge3qiGcDMHk2e4,Houses of the Holy,003fqZECQS95mKW3wBDAEG,46,https://p.scdn.co/mp3-preview/3c645a3d00f772bcf91e734cb05047d5590cf4b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Tinseltown Swimming in Blood,2EWG2vhqHcPA3kDKf5337J,Destroyer,22ojy4H4ZVpowC4lRRC8In,ken,30uony23TuPbw1HM6fUCjG,49,https://p.scdn.co/mp3-preview/3df2a6aef76cc11d72384b0fb908175e48313e5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Lunar Days,49eb6wI77SPk3uvDnTUc0a,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Music for the Age of Miracles (Deluxe Version),5wr0TLDqlSnvTV7IPuY4Pf,7,https://p.scdn.co/mp3-preview/1c090ec7b2e6e676a19ef4f0e3a4bae3e4c54a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Paola,0PkUhyp3B1jqJd1am9uyvH,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Ease My Mind,14iV0WEdbGcdSfFMfTz1LU,18,https://p.scdn.co/mp3-preview/3d1aae03126f7919e72f7e785edfaa84fda4494c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,"Caledonia, My Love",7cgka1GOkbcvNqQYrs2FwE,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Hallelujah Anyhow,0UnyFPAZ67GwQztV0DPyfj,59,https://p.scdn.co/mp3-preview/6f2f59f1c69913df3525752bde6a540eefe68ec0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Recite Remorse,77WxLuvBae7wF9nUzmfJud,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Out in the Storm (Deluxe Version),4SJmMYX13ZQc4V2y1KSKqR,18,https://p.scdn.co/mp3-preview/645a3fc39e1a2ae4afa5dd5ae0f3be0c434fc61a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Fifteen Minutes,5bDsXeSxJgNn0jiYFxA3Cd,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,I Hate Jazz,0ulfnNK7NEKeep0TKl6ogq,52,https://p.scdn.co/mp3-preview/71a324b237895a06f4bdd0aef24b0014054dbdc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Like a Star,5cEYcrBGt83tfYBhyuX2h4,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,I Hate Jazz,0ulfnNK7NEKeep0TKl6ogq,46,https://p.scdn.co/mp3-preview/ce9797bd12b6f263a7f9fb0614d4b9efb34742bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Rain in Soho,6hscYQ0QETyhsUtGcIraKa,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Goths (Deluxe Version),0qiQRfHW1HvMTnYGtYgrtQ,30,https://p.scdn.co/mp3-preview/389b0736a88cd20ef02b745db9bea8cf66dd7cd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Superstar,4xaHi2hhM0b5EuJuOTO6eX,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Superstar b/w Superdub,2DXIS3dIsWYQQFZDpMU5pu,43,https://p.scdn.co/mp3-preview/d57b5a7cf9d8d40f464bb19dc1703508c5abce08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Look Like That,0IgZLkEVQE9fQXbuhWbGes,Sneaks,40iUcsx6LWJ0DEPryPmU30,It's a Myth,6dfVH3U3qwJ7Cd8LgGL9wb,39,https://p.scdn.co/mp3-preview/56b8e8649b8af03eb151b6237d192b5f2dd0259a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,I Don’t Wanna Go,71J32OvXqRMIwvJ58PbK0U,Coco Hames,0jOzDGdyJtAt5bYX7xpWYV,Coco Hames,3dC98vwXdqSS0Qe7uo16OX,13,https://p.scdn.co/mp3-preview/ef9233fa849646f6a40e386ad1be47e3ec36f18b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,This Corrosion - Bonus Track,4wk2G0HXdpJgZIXd9kGGwH,Lambchop,2Lhs0asnFQiLuntn3s8p78,Is a Woman (Deluxe Reissue),2Fns3ogTCcyAeCAnzpeaWI,25,https://p.scdn.co/mp3-preview/e565c6f730427c15ccfd344065af4f51074de630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Give Me a Reason,2KvzXfql9rr9Ym4gm0mkB9,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Uyai,411nqjElDYZFaezcfWrDS3,31,https://p.scdn.co/mp3-preview/69316801badeb84c77bcc09eb787a6578551ae84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Dean’s Room,4HVq9khJ8OjlunC2Ag4e4N,Allison Crutchfield,1zIiCQLbCV0la5eLdT0FIj,Tourist in This Town,4F72gIqyJvqYkxDd1iIQG1,15,https://p.scdn.co/mp3-preview/0c1414c582778dfefd08a07ad803b95415908fab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,NIV,5P8kMCshjsxmxd8zloaE1z,Lambchop,2Lhs0asnFQiLuntn3s8p78,FLOTUS,2GTyiEEz6e1sJojdhbRcXC,24,https://p.scdn.co/mp3-preview/7bceae95752dad9d6e0ddee94840c04b28d06c6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Highland Grace,3KN0D3jPB4Hqi1xyuOoeKL,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Heart Like a Levee,4rEEkztpEU1GBmy5uBYHUS,59,https://p.scdn.co/mp3-preview/59ed81b59a4513d1e91c9803695bf89e60af6846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,I’m in Love,46DlsiGwO6H8MKqyXQMMq2,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Here,6QxQpqPKhGr3hUJ1BwhH1m,20,https://p.scdn.co/mp3-preview/e8f510554a3392cf2ca43172495b6581560d0995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,True Killer,7eSfIu95cqJGrDH5Nyr0fR,Sneaks,40iUcsx6LWJ0DEPryPmU30,Gymnastics,1fHozeTsMeD2qq3ivDY8tA,31,https://p.scdn.co/mp3-preview/51328833d7b645999f3bd1d0aa6864d995280726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Watching the Waiting,2aAwkiPJwzHrj2Uendg521,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Tween,6WO7Hd1JazBqaWd9mcmQso,27,https://p.scdn.co/mp3-preview/9aa828c152f0319493a51c6c11129511345c94cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Gone Clear,2XNs7mkQhDYy0ESmfJ5Rut,William Tyler,3iexGtoBAyCUbxOKeru5py,Modern Country,0AlKGJjZriUhapXB3hyW6h,28,https://p.scdn.co/mp3-preview/449739489e81437e4076483116c9dab2e5e0b35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Bullet Train to Vegas,5j07a5GcOBuWtYlWaWaEda,Drive Like Jehu,7FbdCzKUwoZs1v9bCl43Ev,"""Bullet Train to Vegas"" b/w ""Hand Over Fist""",4uTGCl9UzAqlYQi2w0512W,12,https://p.scdn.co/mp3-preview/77f055bb07548c50464cb570dd46aad70dcbf05a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Love as a Weapon,7uHtD5G3aIieivnXxUBRXl,Little Scream,2U7njwghtRR6ofLobG32Lk,Cult Following,1MAYaMpmxwTyqWrnCSsacs,31,https://p.scdn.co/mp3-preview/8d07e71e1990544f784edb28f61056d653934cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,I'll Come Crashing,6vEZRmI9aWefip6TUs5O08,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Pile,0RuBiChaXeAReNE4ZO0zY8,41,https://p.scdn.co/mp3-preview/e669012d9f5832ed042b1e592f3bb7b6ff12a27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Mercy,32Wqig5TwLDMhpJEuGVqNs,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,14,https://p.scdn.co/mp3-preview/a49e0ba1992425992b0c043c76eee7fd18bf045a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Voices in My Head,3iQQB8TvX5a1yrDsJ5hawa,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Patch The Sky,7g9g9pBaW9SqF2FvH795Xu,23,https://p.scdn.co/mp3-preview/61b6e6b8bd61b29e0389c3204d7804b41b0ee2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Girl From Conejo Valley,4x7Jaaep1CvR6sTX4lQZ07,M. Ward,6nXSnNEdLuKTzAQozRtqiI,More Rain,1GBV6c27Ru1Y6Lw2xfPyMA,25,https://p.scdn.co/mp3-preview/52a749ae61635a12c317ec3810d9a692e16d8aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Calvander,0JmSQwdNvW68354bPhUtOx,Mount Moriah,0NIClyUOoNPl2GQouxBYH7,How to Dance,0OVBAGVtrEmAQMlqOgHFZe,22,https://p.scdn.co/mp3-preview/d6e5479ae0b52c4443d0a2ea6a187678565bdcd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,New Drink for the Old Drunk,0f0YawUDdGa38Vh0cqsd4y,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Crooked Fingers (Deluxe Edition),1yiOYN9K3XULLBTJVFUD9b,16,https://p.scdn.co/mp3-preview/58d3cab019ab15f72b79f3f38afc38d5eb9c98e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Freaky Feedback Blues,0x5xE0docLPy68TYjj3xSc,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,43,https://p.scdn.co/mp3-preview/f39184568df0cfb9acf82501b8679abc8933eb28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Sleep In,6p1qQzLFaJ8st27GqTB3Bm,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Ad Infinitum,0KelrbMD3nXUCraeDa4DSM,36,https://p.scdn.co/mp3-preview/c98143b3f3698773a6fcf81f781d03847f5b2524?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Neighborhood Watch,24iA2COPgjJh8ThP6Xqf37,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,Turkey,17eMy3bqqafFN6g0MYvMl3,27,https://p.scdn.co/mp3-preview/36feeb939e42928000085847018b17e89ff21994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Dream Lover,3OHcXfMOxIfroDvYrLkaS3,Destroyer,22ojy4H4ZVpowC4lRRC8In,Poison Season,1W2B8qW1EDywGkYE6UYDKB,25,https://p.scdn.co/mp3-preview/c359c7ab4eafe3e012fbb2a8e50439f6d379f0fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Dimed Out,1oTSNSx3Afa5gO9G7RX2hL,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,The Most Lamentable Tragedy,6tcFu0TqSurn0s4unYDXSO,30,https://p.scdn.co/mp3-preview/f52a2cf971743f44ac65d8a0f781c1ab6366d803?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Fatal Flaw,2fQq5tkecQxNEBPYE9350M,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,The Most Lamentable Tragedy,6tcFu0TqSurn0s4unYDXSO,22,https://p.scdn.co/mp3-preview/b542f20c7eddc792af8e720a544bc2086efff7ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Waltz of the Circassian Beauties,7mjjJNWtcDdTxSwy3SDhlr,William Tyler,3iexGtoBAyCUbxOKeru5py,Deseret Canyon,713XcLoxapLLLUY2Wh7Z68,32,https://p.scdn.co/mp3-preview/042edd22cda3f5c94f7406c70470421c0db65557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Anna,5YjVfddndN09rKM5tlq9b6,Will Butler,1POwuKLQ9xhMZzIYElNtWp,Policy,3skSkUIi340Fp7KzUAxTBW,41,https://p.scdn.co/mp3-preview/0feab0eb9b7da35ab782412a3fa0ab98384f63ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Made My Mind Up,7gfu53veFZpTpl5bCi7DG8,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,MCIII,0Gd8BpEE1vdccvXMllOWGK,17,https://p.scdn.co/mp3-preview/fedea8994eb48d2d89785a63b08b2d95fa626731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
