WHAT'S POPPIN',Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Thing For You - Club Mix,0sRG437zBDY0CwzjYSG1sg,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (Club Mix),1wWhTmNqu0sCXVN1a4rNxO,39,https://p.scdn.co/mp3-preview/f4a263c0da9ff607799de9e6207d760d59722620?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I'm Not Alright,4otVP2TcJliXWq2GjkvWkR,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright,7vrpY8wM34sFteQRSPS2Na,71,https://p.scdn.co/mp3-preview/b483de0dd12abd7183f865b43e468c1b88d579bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Mamacita (feat. Farruko),7iwhbx1YQcQ675DTj6AmAb,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Mamacita (feat. Farruko),5IGJ2tmnMeHUDAJonQ3ppj,73,https://p.scdn.co/mp3-preview/b9a9540db82931bfba141b11189fbc5fd3df2d3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mirror Talk,50MKC57FUgCT39leWSA0a0,Griff,5RJFJWYgtgWktosLrUDzff,Mirror Talk,3PbpnYQH8lZCA8cw45ry4r,51,https://p.scdn.co/mp3-preview/73c21dbc7d7f812733f2cad5411e99b3e1c7b968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,88-Keys,6RedK3o51NbUJuJxXlT4kj,That's Life (feat. Mac Miller & Sia),1a7behQFUiQ9iHjSJxiZXE,72,https://p.scdn.co/mp3-preview/7a29bb84794555fc0f10b71f71e1413a52947464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sharpest Edges,3YAKKLkaNHlPmziEmRjZBe,Gallant,7wFDo161xYdeaiLz3KIHoM,Sharpest Edges,31OLQGS2LF0F3gUIBrVtgv,49,https://p.scdn.co/mp3-preview/e70fccec6d51acbf47629d76165761c30c8011e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,92,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Identity Crisis,0TbWdtDUgCpxi12aKlBnck,Emily Weisband,1am9EW2QubqpkCbg29vu5n,Identity Crisis,5R93Kynq73iZfrdpWngLNg,31,https://p.scdn.co/mp3-preview/c171024ff2f238b27174d186fbd71731e0b71357?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Impossible,7gVZlwpOCpi4SqjsOz2TYD,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Impossible,2advfUpebEWcDoRgVJLYCc,33,https://p.scdn.co/mp3-preview/48c74bf35484282bafceb8117e22aaad5ce172af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,78,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Back in My Arms,6g8ZxKvfFPDeP6rq4DXE9U,Carlie Hanson,3mPc8WGusz2XF3Tvs3AKCR,Junk,6sid9RN71tWaLOSkmQ2x3d,53,https://p.scdn.co/mp3-preview/439a3959b87047ab723e9f04f7cd0fd8b7db4031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,WYA,58wGQ1IKB8HhIYsemxjZNj,Carlie Hanson,3mPc8WGusz2XF3Tvs3AKCR,WYA,5tuBY4uejtNnfGwrK2owns,55,https://p.scdn.co/mp3-preview/2b5675bc75eb143df737885358f09839f091f78c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Drunk on Saturday,6TDW9eo8iiVzsiFEnbLah8,ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,Drunk on Saturday,2OcStbLQ0tJg4ckyi9mYRl,27,not available
24,I Found Out,2IxOGK5JJIhi2Alx5BA7oe,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Living Mirage,27LNgTSAGxE2fitrsCukmT,62,https://p.scdn.co/mp3-preview/27c4b70bddf6f2faaa0b88c880f6ca4139dd692d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Naked Alone,2C1V8JFnm2OqZVkHhNu4qe,L Devine,5dhyUSoGhz79WTzP39vKs4,Naked Alone,5YYlJXLIbOfWlwYBH7upuC,58,https://p.scdn.co/mp3-preview/b5ab3e70d57feb11259d9c41377bceb4d53c2d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Blow My Mind,4vDbKYzjBJL6qXS5ydXSQ8,Sabina Ddumba,2Mp409M6EpFr3kGdQ1mwjS,Blow My Mind,6MjU9BYUyh5Ne6wm30OnJN,54,https://p.scdn.co/mp3-preview/c9e2fa9babd1070e8a04e44528f285434409bee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,R.I.P. (feat. Rita Ora & Anitta),6JqpFboOH2bq9pzaYbkKBn,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,R.I.P. (feat. Rita Ora & Anitta),2yN1kxrx1Z1CHO5VMdO2Yk,79,https://p.scdn.co/mp3-preview/2613c3e23661682d68a3e8eee0281c8a0bb5c917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La La Land (feat. YG),3TpBefRZ1vFcOH6z57PQRI,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,La La Land (feat. YG),0uEsmL4LP4fOPwa5ZVXICS,70,https://p.scdn.co/mp3-preview/115c5df0a239e80e454b96b80143a89050a44f4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Moonlight,72pv4E0eBIcE9z8V4tPHui,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Moonlight,1X2ohFDqgR4ReZHNvSBnbC,78,https://p.scdn.co/mp3-preview/47612d33d2a550b522cb4ead556243e263c4cb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Speaker (feat. Olivia Holt & ZieZie),6QuMW8fEXeSqmD0R9ihCJX,Banx & Ranx,2uFC1dAj5b0YU7vulKNZ0p,Speaker (feat. Olivia Holt & ZieZie),61cQehcQsG7Q2ATrsZNJaT,56,https://p.scdn.co/mp3-preview/e91088c757423ab8c3531c78a67e1800ae780567?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Only Want You (feat. 6LACK),1fPYcrgm9wODvukYw46vcg,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Only Want You (feat. 6LACK),6HznAKUBMg1eOLzXkfXiyy,64,https://p.scdn.co/mp3-preview/fa66bab78709c86882690d38e50cc144f33a64eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,Fashion Week (feat. AJ Tracey & MoStack),6OvaMPD9RAQ3tVTijCTgz8,73,https://p.scdn.co/mp3-preview/5bcc0a842656fe97ff3ccac949e915d27ce4ecc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,5ljc69MQ6iwGcJ4SmHaAh5,78,https://p.scdn.co/mp3-preview/544f1a165ee7ac62b8a5ddaac1147f977a0ba7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Confident,1tn7pFwjU4ue3omJGc6L7J,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Confident,4py2xnkyRGZJt4BK0Yh4oE,41,https://p.scdn.co/mp3-preview/a8f928ca6fac7ed6d006c39bb856d4d8e0edd230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Rock It,6rjGt5xJF2uFTNCbg5h1pp,Ofenbach,4AKwRarlmsUlLjIwt38NLw,Ofenbach,54Nx8q3hjd1DLBTLeLbzex,67,https://p.scdn.co/mp3-preview/2aafadcf54ca7e9ea32ae1ddda5e49399e999a92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,You Say,6Up545NUflOiXo8cEraH49,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,6pmoTLfsPpn0wisT3YFJSN,82,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Treat You Better,3B8Tx2eKzZ1u6bPnozOL1h,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,SOLACE,5Jazpq8mEgSgQs06mdwkQd,65,https://p.scdn.co/mp3-preview/763431eced53db76eb42e67b40925f7ca38df926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,"Swan Song (From the Motion Picture ""Alita: Battle Angel"") - aboutagirl Remix",5fckAyFSzmn2Nl2La1z4eU,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"Swan Song (From the Motion Picture ""Alita: Battle Angel"") [Remixes]",3MEhgRlrKWzBDTLeKNYp4z,41,https://p.scdn.co/mp3-preview/541c0f1aad8c1b1d415e38f4e7b481b9b45fde4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Last Hurrah - David Guetta Remix,66wF9HWqR8RpQ47tiVQpgx,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah (David Guetta Remix),4KIlCXWsC5D7tHNM1PsfhG,64,https://p.scdn.co/mp3-preview/25c2aa8d1d496da4c4fb16ffb33f477245c01a61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Naked,5ue9d5JPDojVjD9CRFjzxe,Emily Weisband,1am9EW2QubqpkCbg29vu5n,Naked,7hWHfP9WmjfGg8L2Z20aP6,45,https://p.scdn.co/mp3-preview/b52d2cc1c1f9ffcc78cc2d017f95e26e454d3bae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Bones,3RGvoMBGhoY43FudUpVvqo,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones,2umIONJdwiF43nstu1xtpI,65,https://p.scdn.co/mp3-preview/7e2d8ab2c455868f2fcc2a9de484b56c5cc26465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Becoming,6lJbHxypCGCH4rppV1gCps,Diana Gordon,71Ug2zQHWlJFjNCK8swHfL,Becoming,3qNKX4RL9T4yyOpPpRed38,48,https://p.scdn.co/mp3-preview/1904f17f9b463b2cc1acfb2a60ebab1237744fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,65,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Confident,0WtTX8zNHsvEgsudvsdPYD,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Have You Ever Seen a Boy Break Down?,6h8TTXMZFnJADFw5Ilf44o,13,https://p.scdn.co/mp3-preview/a8f928ca6fac7ed6d006c39bb856d4d8e0edd230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
