🇵🇷 PUERTO RICAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Espina Dorsal,2ebYVXTzEEnNlCrEEDUmAc,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,2,https://p.scdn.co/mp3-preview/a984a6ec5774e39b891ad1ff62e4081e346ac9fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Chica Tinieblas,2ocIxJjHnI7WoUcoGMvkL3,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,4,https://p.scdn.co/mp3-preview/f79a8424086d8e205eb7b64e48028fa5003baf95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Dormir,7Ds8Xo4LOGa7OawSTlwx2z,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,2,https://p.scdn.co/mp3-preview/db0f2374086abf3a724811d749406b196d214d4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,I'm Stupid,2jsqvGvkXfKrkflbCPdw23,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,4,https://p.scdn.co/mp3-preview/c4c2285801e352be119e2f7c6c830f53793ef26e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Excuses,7yvjuwIN8TpjwbRMsUqCuJ,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,2,https://p.scdn.co/mp3-preview/f8509642609eb09305971a46102913d3f7dceb9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Doomed,7D1v1Rby2VZLpYRmHsPJPB,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,2,https://p.scdn.co/mp3-preview/04a595b1de579360b102fc36b8dcf221ee5018a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,New Day,1cWDY9n3F66vVFgN8Ugads,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,1,https://p.scdn.co/mp3-preview/bccd22378064901b79e138f511e92243b227a635?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Life Is a Measure Of,2H4LojLjqbpagMYyZ9fUXt,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,1,https://p.scdn.co/mp3-preview/80f72d9bd0fe97e7d3fcf36173eb72324311de5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Friday Night,2zfzExE9QrFZjoMQAjQsVT,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,0,https://p.scdn.co/mp3-preview/2749cdadb9cc73ce905df1a96d0fdede8b87efe9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,"Wild, Rich & Loose",4aw9NKQW472MAfMIn0qmzv,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,1,https://p.scdn.co/mp3-preview/1c30f9b853a275431e80dbc3545066451d0e123d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Abort,6Vo2AamzGnGbCXUTVqIuGV,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,2,https://p.scdn.co/mp3-preview/3de05a7daa8039c25f2d296733dd32a249a38d9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Tan Bajo,1DYdyxFKXRxDKwA5Ul5Ria,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,9,https://p.scdn.co/mp3-preview/f66e484d6e44746c174c63dbd21f1f542090b06e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Obsesionao,10p3Oo5RJRWnjuF2nISEVU,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,22,https://p.scdn.co/mp3-preview/c2d6ca09e615bcd05eb94cebfcb124fb977a120c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Yo Seria Otro,4f4m8Kc9Kc70cubcBlZMHG,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,12,https://p.scdn.co/mp3-preview/76e5db50b0e721738389f5d7278644e7b0307484?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Los Cruces,20wArxESSoWp6HtYbi2cLI,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,10,https://p.scdn.co/mp3-preview/5fab278db864db6256ee9b30d6a08626bbd46e47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Si Me Vez,0glbNzKFse1CwH13qamiE8,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,10,https://p.scdn.co/mp3-preview/40e27718ecc6d1aeea6bf87b1f68470723f2b022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Mala,6caUKJxhkS1gAKbMsxl0EO,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,11,https://p.scdn.co/mp3-preview/9f9548c7ac835ad455cc07c9ec2383c847000e17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Robacuna,3EzDZcrIwDeHEuG8kIqCot,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,13,https://p.scdn.co/mp3-preview/73a31a8a84c8e347ef56cd626867516916c53a23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Esa Nena Nunca Regreso,40R6xwPOv9g4OBEyU3vlAl,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,18,https://p.scdn.co/mp3-preview/b1c047b25aef536f413eafdfa06d21eb926731e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Eso Que Me Haces,5RlCrRhTdnHwzULMKQ3o8z,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,14,https://p.scdn.co/mp3-preview/495240b7f6792b107f3a60bffbf1ce012c13c30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Patitas,0rcAupwYSfgpIe6ebB15nf,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,11,https://p.scdn.co/mp3-preview/c56667cfdf1ecf4b0e9ef034afc4b2ca219bc599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,¡Diablo!,1Yox4qdVnLZzayQTG3vqlv,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,12,https://p.scdn.co/mp3-preview/ccb73d178df78c00fe82e369df764c5c141d5b5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Ratata,3rif35Vh7rGAQG3i8nxTaZ,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,9,https://p.scdn.co/mp3-preview/dd37a0fc08f5a94f3417035767209fb91b8e47a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Noche De Terror,4tYDQZhDwezPoLei9AGPCJ,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,12,https://p.scdn.co/mp3-preview/77ff2d86429923fdddfea9b96afd1472ba47729e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,De Verdad,1gIOuT1HBMuzzXBJJUJxX6,Davila 666,0PQK6BLKbviconz1bx1rlH,Tan Bajo,02iVId0IMuAyc0dm6ZUkox,9,https://p.scdn.co/mp3-preview/7302503665cead34c98f9d18066d8f75c46110aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,El Lobo,6I968zOh57jVR5DjMIuYms,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,17,https://p.scdn.co/mp3-preview/697e95205fdedfcd2df806c5f6403ad88465d642?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Bla Bla Bla,1HC9j3RXJnAU8bzA8PUknp,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,11,https://p.scdn.co/mp3-preview/da9eff3641dca4effba2551f6ef8d4cf9053dc7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Dimelo Ya,6u9jjcSohjToVcvYTLncT9,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,13,https://p.scdn.co/mp3-preview/1410ccd989d9012ad85863bef7fb31b7447c17b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Tu,2n6u2CC2Si8pNuQuQ6MnsF,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,23,https://p.scdn.co/mp3-preview/df0bbbf60c12bf789b991d049afbde12db10f971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Oh Baby,0DORYEJY44ztLkLLgV2hWk,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,10,https://p.scdn.co/mp3-preview/aba5f8a48ae81aaf793604b195c3d0fc4bbf9f93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Muy Christoso,2w61oUZFRkb2vPYJKq6YTJ,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,16,https://p.scdn.co/mp3-preview/e5873b3d071bed703204b450c26dc01cd0810573?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Callejon,4zGXO3wcjke1VBRBp0bZdj,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,22,https://p.scdn.co/mp3-preview/19809c7842d0b30e85d454c524d0812518393b62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,No Puedo Ver,5MxTPtrorJSot8DIKiez19,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,10,https://p.scdn.co/mp3-preview/485f2ab61906c5c52c059d7981209408bd14260e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Quizas,1GNBofvSzrPUwAVCNuse9i,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,11,https://p.scdn.co/mp3-preview/5a593015d6dde8e30973d8c83764e5b67b288052?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Ciudad,5eSoE2pmHFSINw4yA4X7SE,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,13,https://p.scdn.co/mp3-preview/80d6d1195972b4e1a934ec0db73af4988d703fd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,No Quiero,3J0m0lX2SVpEoQYNrYL7UT,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,10,https://p.scdn.co/mp3-preview/125b39bc397adacf144da4b7ff2fb3064050d5c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,9:36 (Puto),0f8cHTe3ouxSjziyp0V4kw,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,11,https://p.scdn.co/mp3-preview/e68e2a00c4bdf7f78b3b3cdce1982af8aa40a408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Nueva Localizacion,1F3rWtTjZouIbGngFmKNYx,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,11,https://p.scdn.co/mp3-preview/b8e264617b473580d7028aafad44dfb7278400e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Huesos Viejos,61Q1488cGOi0zuEGEIVHbV,Davila 666,0PQK6BLKbviconz1bx1rlH,Huesos Viejos,3JNj1DiE02Bq2sCgxy6VNQ,28,https://p.scdn.co/mp3-preview/7ee9e59ce5eef94b7213dbf28a204cde09192ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,No Crees Que Ya Cansa,15Ej4Z9JLnPiD7srF8Dwf0,Davila 666,0PQK6BLKbviconz1bx1rlH,Suicide Squeeze Records Presents Forever Singles,6RRjOYYVuIvzi82Rq2o6qW,7,https://p.scdn.co/mp3-preview/3e504c371acd89969f3a0f4b09d95694dcade15c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
