New Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Truth Is,26h7ux2txHZ70RsWPpFasT,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,"""Truth Is"" - The Short Collection",3boDP5dWDe5JsnF3KvRZSL,66,https://p.scdn.co/mp3-preview/d17d48da44f3375268a801baff2b629c213f52d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,Mahalia,16rCzZOMQX7P8Kmn5YKexI,LOVE AND COMPROMISE,6tbaSZ6Q72kofaJtscUwFA,67,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Charlie,6SPOM20nWbQSBvTwzgIzqg,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,5p3g2nCVAeUIXzhBtTYWux,63,https://p.scdn.co/mp3-preview/5084c5cc78953d87c394a040aa745b6ed83ee03d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bad,0RFRYdnudYzYGsnLaVpzd0,Blithe,604wNNLUmrAmNOSEU8GfK4,Bad,01jTmf0j7oqLfPDzSQfOxg,50,https://p.scdn.co/mp3-preview/b76e66c39d9a52993a0419767e60a5010c79d834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Higher,7E0UqLtjH5ipLhkX3bCCuK,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Higher,5peCrBl7RlaO4qDdxAaBON,67,https://p.scdn.co/mp3-preview/f2e8a878bc46b3c355781ee5d8fa1a89e4bfdc6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Indigo,1sOr5OXjbukTzBDgmvd6Fa,88rising,1AhjOkOLkbHUfcHDSErXQs,Indigo,3Y3CwwjIi03RRyJohYzKXh,79,https://p.scdn.co/mp3-preview/92303f27f212f7cf4abaadd75a187576b5947869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Closer To You,3r2TFFPynN97CgmzXKal5X,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,63,not available
34,Call Her My Name,6Fnd9DXSfsqbN44HqE8I2u,HANA2K,0T48j6ImCLNXQPS4WmNnsW,Call Her My Name,7cWAKyH1GxaDqmtmZrK2up,30,https://p.scdn.co/mp3-preview/3ef18f9dc9d522d832779fdfc1b569ca269272fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Hallelujah,46dLlHs1faMwGvFZP4JMLd,Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,Hallelujah,2DLjxNonCb36p93KPqVcZH,66,not available
37,Navy Blue,2V5YXks1lzRLR4qx4NTADJ,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Navy Blue,3fa2dzsrpIZBgUniutmj7V,63,https://p.scdn.co/mp3-preview/54a7eb849116a038814ecb41cc1101329132c6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,64,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stop Selling Her Drugs (feat. Dominic Fike),4uBQDAzZ881KYZvW7ZInUn,Bakar,3K2Srho6NCF3o9MswGR76H,Will You Be My Yellow?,12nH1R4NqEtaOQ5M7RA63p,56,https://p.scdn.co/mp3-preview/2cd2bc8bfd062d5ea9752f3db0a3b10e8845199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Real Life,2I5GlQAgccPaU96s7hTb44,Christopher,3zDRCqOhJXJfS2YWOEwGMC,Real Life,3TsPLYHo7DdDR4RrSqXfkT,63,https://p.scdn.co/mp3-preview/f797e191614736e116a6cae135dedd7bb2118db7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
42,Bipolar,1agOL1akZePDXe21TBbBM2,Kiiara,4u5smJBskI6Adzv08PuiUP,Bipolar,2y5oeiOOk7synreCnFAy7A,62,https://p.scdn.co/mp3-preview/5cb90c9aa6367c51abaca61a6d662e5ac7e6ca8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,F You I Love You (feat. Teyana Taylor),27aGlicHJKf5QY20looYlR,KYLE,4qBgvVog0wzW75IQ48mU7v,Light of Mine (Deluxe),4UYc2CKvpyr2e1moEY6TL0,70,https://p.scdn.co/mp3-preview/9c21eaee73697d32b9a5273eef2ab09d43903504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Strawberry Shortcake,57OBlxZRcRyHFdlXlsHP7G,Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,K-12,1KerGJUScYGffP3Mjmjz8c,79,https://p.scdn.co/mp3-preview/7432f1febb01e556b019aa38b382fbd39b3114d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,BULLET TO THE HEART,1HMMRRcLsRARU4fzuycnRo,Jackson Wang,1kfWoWgCugPkyxQP8lkRlY,BULLET TO THE HEART,4e2ISy1Q6CSMwlDNfnYXkO,69,https://p.scdn.co/mp3-preview/73833248c6378d19dbc0a285b75b8d47e8be4c02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Paradox,3ntCrQpJpD4FkrBg4GS5sf,Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,Paradox,4H0QFs8pLdUf4YoSvFI1Ee,54,https://p.scdn.co/mp3-preview/9db0235bb6c8a72c4377214c5bd268af02299bb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sour Milk,2KvgzXMeNKU7xonFyzIjCr,Dylan,4LOM7NzyrZvlGSYPFDsnTk,Sour Milk,0TnMKbMlfRA1w86GH8lSFh,37,https://p.scdn.co/mp3-preview/5e9bdcaafcbc82891a398d768321c8f574ee231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,"Hi, It's Me",5eKuModdAdZRmc51241r4D,74,https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,see u in hell,5ggZpLanKZ3p2Uy2JAcC7j,Caro,2HysMkOtaumKooHYAlE7wd,see u in hell,1GG1ykjqTJjqBMJU6dDV9k,41,https://p.scdn.co/mp3-preview/89c3993761e77bddd28d8673cb0ca65b8bf8e4f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Cheers for the Tears,1luf18dR160FyYqTnIAXfE,Soleima,71le7jtjw9hq389Fnvi6XM,Cheers for the Tears,4yLYA25JyfmIYwbIaOchCq,56,https://p.scdn.co/mp3-preview/d8a83d217ad5e048013225fd9eb09e2fe35592e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
