Global Top 50 | 2019 Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,72,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,81,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,61,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,88,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love,6fwNMnwzVoclK4zOwl3ou0,84,not available
39,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,82,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Killing Butterflies,3R8PKPTPgHApBhCt3NUJ0q,Lewis Blissett,5SrdmCdwa3qLV6EObwuEW7,Killing Butterflies,6avxfpUklBv0idzCXnGtt6,53,https://p.scdn.co/mp3-preview/d6b1749f2310c75d14c032e94bc402fc90f51be2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Simmer (feat. Burna Boy),1l08IrLHEL9QQfsYBEs9MM,73,https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,87,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,72,https://p.scdn.co/mp3-preview/e8c53850910eb95a6ca279c2a8a5468e0bc67c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,20sxb77xiYeusSH8cVdatc,Championships,6UYZEYjpN1DYRW0kqFy9ZE,86,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Crown,1hxE8xAp7CrBsdpiRpiWFy,Stormzy,2SrSdSvpminqmStGELCSNd,Crown,5kWoenzRB7UycYXiRpH1d5,76,https://p.scdn.co/mp3-preview/a5ed83d3af4621aad9f2c074b9515d8df2d302bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,87,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,Joji,3MZsBdqDrRTJihTHQrO6Dq,BALLADS 1,34GQP3dILpyCN018y2k61L,86,https://p.scdn.co/mp3-preview/483355f39bb264b9828633561ab14a7a48e75270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Juice,0k664IuFwVP557Gnx7RhIl,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You,6dFFcYQ8VhifgdKgYY5LYL,84,https://p.scdn.co/mp3-preview/7ca1598cec36c49118562b02491b9a030e233d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
