Pop Royalty,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,87,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 2,6t5D6LEgHxqUVOxJItkzfb,83,https://p.scdn.co/mp3-preview/8965aca26c5af239f57cb6ec1570db1fd8be00f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,A Million Dreams,0oagwWkGlBoACUuKvTmqZV,P!nk,1KCSPY1glIKqW2TotWuXOR,A Million Dreams,6MtlLy42YdFaJNOgDA0NZW,71,https://p.scdn.co/mp3-preview/10dfe3049db13b3466fd5c957bb0dfcac9283327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,See You Again (feat. Charlie Puth),5FXIqS1XqbpfOKNoi5VUwS,81,https://p.scdn.co/mp3-preview/590bd9bcd6271980f996a447d6e7b0b651cc3dc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
36,You Say,3ngc7rGlfeFaskU90EWl4R,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,7dnYwtDQNa3xzaCoekrjL1,23,not available
37,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
39,Love Someone,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,3 (The Purple Album),3r31ml7fFfNaoSSMH0sda9,71,not available
40,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
