New This Week,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Death Stranding,1KOGBw8kuawbxJWqcHypy0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Death Stranding,3HfucWtXUkkhEVwIohmJRs,64,https://p.scdn.co/mp3-preview/6936e4c87ae4b0c2412507c8ca55fcd9c3dbb678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,63,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lost My Mind,3CTr7gEOXRI2Jhe6bVVZUd,FINNEAS,37M5pPGs6V1fchFJSgCguX,Blood Harmony,51V8Fme8o9GthQ3O1RNMtE,61,https://p.scdn.co/mp3-preview/791ef5fba33525dfa9fbf25d04e2f9e740a51e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,64,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Don't Speak - Recorded at Electric Lady Studios NYC,0gzMEfErGPaCFbQJdb2HQb,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Spotify Singles,0tUnCfqBLeZlivAkbxvbib,57,not available
43,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,36,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Love & Loyalty (feat. Mannywellz),740vfmatXFtyNO8FzsQpSN,Wale,67nwj3Y5sZQLl72VNUHEYE,Love & Loyalty (feat. Mannywellz),2P7btxS7XO271QeOm21qme,54,https://p.scdn.co/mp3-preview/3c8c15f7c5d98df3284dae042f9ee549eacc3894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,61,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Far Away,12H6iTEgiX4HPnCPphYSMk,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Far Away,6oSnvw7yQpDFFTZIZA4Rxx,63,not available
47,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,61,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Own Me,2CnscesDhDpF7LpURtgBEv,bülow,5vBrKGOjN10BMwB0cJADj4,The Contender,75OmZv2K9rN3ySHEvc8GIQ,59,not available
49,There Will Be Blood,3MTk8zTFCHgMei64ycr6GH,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,TURN OFF THE LIGHT,1DHYrQEevTTen4mqPgaxfH,66,https://p.scdn.co/mp3-preview/1d5c358ad9c79a948ca9f4fe79d90cb02fb7f865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Play Your Game,51T2yBmmeBieiKK6wcQhgl,X Lovers,1Hr5Adjkxh6ihfsoahOY38,Play Your Game,7spN8eJUXtXdACDJMTPWth,51,https://p.scdn.co/mp3-preview/5d853e084633a097868b0a6eb166f3badbc32d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Mango,63G2X3v7ERlgegz692BOan,Peach Tree Rascals,0imE3buPhAowREqCrr4CYe,Mango,3EwfEobd4LwcIojznV2vYl,51,https://p.scdn.co/mp3-preview/5ab52e92801a9514569a7a7e6b88b0c2c46342b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,getaway car,5tu8h2BVlAwZHmAohYjEDn,Carly Rose,0Z49rYPKsyCCLGq1UiHrBe,getaway car,5hzpMbAZo15Ufv14NtYJCl,51,https://p.scdn.co/mp3-preview/e0780904e3e55e1936f16c1c99527435fd7bc297?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,boys r dumb! duh!,2fswhJOAJ4myANknmgOl5W,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,yikes!,7MMhGXIuHsVNqck2wTf8kZ,49,https://p.scdn.co/mp3-preview/8d771154207171baf069a845064cbcf7e52b7fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,SPRAYPAINT,0q7hrSNFUmsgBOxGAUIdCK,JUMEX,4WSweIJDD3aAMDeHA5MK0j,SPRAYPAINT,6qrXSYAN56m5UrmnaDhkzl,50,https://p.scdn.co/mp3-preview/ffa378514f234d183a192b1dbc0d5b37ee41cae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Tokyo Ghoul (feat. Young Thug & Terrible Johnny),6YP8ruvFSc6UdLobWKXn9F,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,Tokyo Ghoul (feat. Young Thug & Terrible Johnny),3UtG96LxPoJbTdR3x95oRJ,58,https://p.scdn.co/mp3-preview/96ff3a602b5d0812bf0c8d642abb13f796d56eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Problems,5fgHQws1Cj6KDLQmlqM6lF,DeathbyRomy,7aWpPjjgItUnXljFxYYKZI,Problems,5qrMJHElz2d5ig6NDIY6cv,51,not available
57,uknowhatimsayin¿,2sBClvs8a18rHtJTGtuEAJ,Danny Brown,7aA592KWirLsnfb5ulGWvU,uknowhatimsayin¿,4G3BRVsGEpWzUdplFJ1VBl,60,https://p.scdn.co/mp3-preview/1a20ca9037c916bbd53425fe5d8308cb9017c71f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,War,0JhonNQL2ixH1JcsgEj4Hn,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,War,7rF0hkAw7bmas9Cd44F7tA,61,not available
59,Hold You Down,5HdFkD5LlBRkY5jkAKopga,Quin Nfn,3M1quhETLChtt9NHKVaajX,Hold You Down,6HdKHn52eAadMNXK5EJjh9,52,not available
60,Legacy,4tBhxkSjuIDQkJoYw1gdic,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Legacy,2TruOZvZLZuiREt6k9L9Wu,58,not available
61,Lonely,4wuybd1JKCuq6mIau4Emcf,R.LUM.R,7JBZN2pehWRUu3fX11lP2y,Lonely,4NBonKIKFsIZajgNW1QD5U,50,not available
62,Spaceship Jocelyn,2CaqYrRQlR3bkryL4lXpxS,Rema,46pWGuE3dSwY3bMMXGBvVS,Bad Commando,1LLXYglTLoygbDr70iZyyu,47,not available
63,One Two Things (feat. TOBi),4uHnGCtTaFxaUhCIS2LGmf,Party Pupils,4F61H4lx1js4wtWfb2Rfnt,One Two Things (feat. TOBi),6F6k1AA61JnJALFyEqSTiM,54,https://p.scdn.co/mp3-preview/5bdf57b2162c138e972b73f041237943d370c8e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,SOMEONE'S SOMEONE,0nP9JFMx8z5QNl5Ph8ExEa,Monsta X,4TnGh5PKbSjpYqpIdlW5nz,SOMEONE'S SOMEONE,3CFYV1F2RIDoHyinrBv8y5,63,https://p.scdn.co/mp3-preview/704ccd4d4a6ba5beb3e1d6d0b0e6dcab7493328e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,65,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,ChopBloc 2 (feat. NLE Choppa),3RzK8spPyswJ5lrEeiJSEz,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,ChopBloc 2 (feat. NLE Choppa),5Ha42NhWHiUn23pk80YPoQ,58,not available
67,Everyone Hides,2dZ0PelHrnlIEGJ6nwpcW1,Wilco,2QoU3awHVdcHS8LrZEKvSM,Everyone Hides,0kkc5CptgKQFIil9DaGiu8,59,https://p.scdn.co/mp3-preview/92cbd9fc6d33b1a57afb9b4de93743a3bbf46b3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Tell The Truth,49FzWoEDUNK9gm8fvg9GNv,The Avett Brothers,196lKsA13K3keVXMDFK66q,Closer Than Together,0TlxSUyEa0YzcLrnXfqasZ,57,not available
69,Everywhere I'm Goin',4ISOcOWC77uyGz5pQtW0T6,Maddie & Tae,34bhyY8jfKez7uKakMfy4y,Everywhere I'm Goin',1hQpeaOPxsiKqxMe3nnnpk,53,not available
70,Dear Luca,7Ljup0IeL8UUq66XbVyzeI,ayokay,4BzCdhJTyTS3gumq9xmymb,we come alive. (Side A),2skGwvEYMarZwKaPGXtetw,51,https://p.scdn.co/mp3-preview/d5f5e4785fc1504fc0c6f0ae236104f0e003f876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Ready To Call This Love,0jVkwEBmoTHyxZyXDoCMnG,MIKA,5MmVJVhhYKQ86izuGHzJYA,My Name Is Michael Holbrook,4bVlbOipapiqrTusSsgvIc,57,not available
72,Nena,0raf3YvklpSoMfXZ9vOH2v,Melii,4udfTw7V8jI4AHi7PEfJfj,Nena,04uB1TEToENNZe9PSOmjmx,53,not available
73,Mobb'n,6AmKDBiP9L1RwjjgOf6ZVc,Kash Doll,3u579Gdap91lMptBSdXTpf,Mobb'n,0csuOwEWEyzOsTdfA0i5Ph,48,not available
74,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,61,not available
75,Where I Wanna Be,1v3PdkTnCS6iICTth1Yw3Z,Big Gigantic,7o7mC95EDbJKTcPAAs8C3r,Where I Wanna Be,0i6gWR8jsFiR8J61QWDFPz,52,https://p.scdn.co/mp3-preview/b18d0e16a6676518e5564bcd3b5bb891ba9332f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Orck,13AsTzqHpaD6qleOQ7ypPM,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,Novo Sonic System,18y6apqHKwutkZho4fc8Sj,54,https://p.scdn.co/mp3-preview/bbaa17bdb3a628feea1b8229319c8f2c9b3f0b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Tanto,3bCuNSiaBHqxdevMYEnGpe,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Tanto,3mBRgkagJKALFDxm5ptevT,65,https://p.scdn.co/mp3-preview/60c7b19e6699f2da06f50e6150c8e54152b505dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Becoming,6lJbHxypCGCH4rppV1gCps,Diana Gordon,71Ug2zQHWlJFjNCK8swHfL,Becoming,3qNKX4RL9T4yyOpPpRed38,48,https://p.scdn.co/mp3-preview/1904f17f9b463b2cc1acfb2a60ebab1237744fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,TREESHA,537rVFLhclG0sKOYLVoZte,Justin Rarri,7atuUUktuP1wDbkkgdNvxI,TREESHA,6kZFIPVkoJaeSvZgdn6yyZ,50,not available
80,Louis (feat. Jesse),45w7B0Cv6FNfMZZKwdwb2j,Take A Daytrip,3StB6ddX8vfwCGVD9HlNUw,Louis (feat. Jesse),5wWrOOFMf0TBTj0nN7jdht,51,https://p.scdn.co/mp3-preview/9bd31bcb24d2b4c9f36d19ffb946bcd8692bd0bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Want To,1HFFkBC80X2eHzhtHwjpg9,Claud,5MaQlvNGOaTj39apHsXVq1,Want To,0vuxBG7PlEL28N4x9NhjHF,47,https://p.scdn.co/mp3-preview/a98f3d4597b6af055a7a7646f5715841e4216605?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,58,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Water,1unBaLma9aepnlad415GU0,VOILÀ,6NnBBumbcMYsaPTHFhPtXD,Water,2fdwie90HahUjEXlA8by7v,44,https://p.scdn.co/mp3-preview/b6f59ef95b5e8554f8ce4b2dfa9763cd538007bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Difficult Love,5B036NTl35McrlKBVEYqid,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1FgQzEqXePnyHC8YxaRl04,40,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,NORTHSIDE,7If4214bXXvGH3VdjPCybw,Ama Lou,2tAqnHDAgnGtjnlzyoa38L,NORTHSIDE,3WByquxGzPptj84Mbx1ZY2,51,not available
86,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,59,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,57,not available
88,Jetfuel,5eafDVBKvnfPcXgJlMoecB,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86,Jetfuel,3uvbj6LtPgPLa8vsosQCuG,47,https://p.scdn.co/mp3-preview/39f325d46a924e2cea40801c3b5806d0c4666101?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,forgive,0cM5MPgaVH4aHrxA85s7Gm,gnash,3iri9nBFs9e4wN7PLIetAw,forgive,4yhwtGTDnJvodkXpbXBEGV,57,https://p.scdn.co/mp3-preview/002ceb58c5c923fa3604bc0cc00b656108c59279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,WAY BACK,7HJmV84Tud6R7MVWZv0IKa,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,WAY BACK,3F6EdoZmO25iccaIy1Z2Vr,46,https://p.scdn.co/mp3-preview/c1304841c0a48a9ba86e003dd0fdb975a1e8a1ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Fire & Brimstone,79RFLDL4Ftu9tCdHPwcVdH,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,Fire & Brimstone,54NjC2mCWlhIE3Ji4G9Vl0,53,not available
92,The Kids Are Coming (To Take You Down),0FeqdkXlkARJTSQqGrJY8j,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,The Kids Are Coming (To Take You Down),5tZiW1fgvhdt3QDkecKREL,51,https://p.scdn.co/mp3-preview/99848a29d4141c07cd0f3b67133501805589b493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,My Girl,2KpWmfFngrY4ZGTtdCQ6wW,Jackson Penn,0RIQOtjWn0zYKSKfDYgukS,My Girl,4FJ1va8E0IPyLfDu2WdhVK,30,https://p.scdn.co/mp3-preview/161694f1803fbce3f66c0590d7c52b37e721f008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Dead Alive,0yjRyCmu3Oj8oU5fZ9cIwT,KIDDO,5pXe6yFchq1oyYK3rq2A8i,Dead Alive,559sIaWsRUmd3uaGVhumjv,48,https://p.scdn.co/mp3-preview/adb32babd1aadc7f33577ae052df348f1601bd69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
