Classic Jukebox Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,80,https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Just What I Needed,4alHo6RGd0D3OUbTPExTHN,The Cars,6DCIj8jNaNpBz8e5oKFPtp,The Cars,4tJPWT4r4FSKwy784Qs1Fq,72,https://p.scdn.co/mp3-preview/cb5ff40f2a48840a3e8f9b7c12b902cd9f955d79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Wicked Game - Remastered,5l91KHr9uF8wdSdtRoZba8,Chris Isaak,7290H8m1Dwt8G7jm1y9CQx,Best Of Chris Isaak,4aS233D1sBxySxC1dKVtup,64,https://p.scdn.co/mp3-preview/6f4da5ccfdc741ce31ea4c78e9b8edee67dab3ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Stairway to Heaven - 1990 Remaster,51pQ7vY7WXzxskwloaeqyj,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV,1Ugdi2OTxKopVVqsprp5pb,70,https://p.scdn.co/mp3-preview/da57b9497b855355f1874eac17817d25eb90b71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Blitzkrieg Bop (Set 2) - Live at the Roxy, Hollywood, CA (8/12/76)",62LwGBXy4s0L0Uae2dQIEt,Ramones,1co4F2pPNH8JjTutZkmgSm,"Blitzkrieg Bop (Set 2) [Live at the Roxy, Hollywood, CA (8/12/76)]",6eo54RWQmgBTmRyFUFIxhQ,0,not available
38,Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Eagles (2013 Remaster),51B7LbLWgYLKBVSpkan8Z7,77,https://p.scdn.co/mp3-preview/1dde876336ceab70ad0bbf832a3feff49783c3ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Feel Like Makin' Love - 2015 Remaster,3ah00c31Rakc6gxl6eIfcS,Bad Company,5AEG63ajney2BoDXi0Vb84,Rock 'N' Roll Fantasy: The Very Best Of Bad Company,6EUDvD8MzU03bRHOCyV2YD,38,https://p.scdn.co/mp3-preview/58354ef31981e5b426ba9c9a107496d9f1ad19c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Interstate Love Song,1AfYo6cKm3yHsJHdmNoGO1,Stone Temple Pilots,2UazAtjfzqBF0Nho2awK4z,Purple,2vi1ddPi3fY7vePMqxUVob,73,https://p.scdn.co/mp3-preview/4618c4762f00e5a074862d8d56104f6ce709f168?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Waiting for a Girl like You,2OgVsp77En2nju8pnCieVU,Foreigner,6IRouO5mvvfcyxtPDKMYFN,4 (Expanded),2Pw51hAGvWpTA3AYl2WVuu,70,https://p.scdn.co/mp3-preview/57724bb53662b30cad5267702d832a32fdc93931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,The Proclaimers,1A92IAcd7A6npCA33oGM5i,Finest,7hPq9fDWwXPo1tT0oi3XcM,75,https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,School's Out,5Z8EDau8uNcP1E8JvmfkZe,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,School's Out,0zKjnOsXxs63unPR6TWoHq,67,https://p.scdn.co/mp3-preview/f399de2969ba2f0568fd1ec6aa8accdea1c311a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Every Morning - Remastered,6Neq7tjnknt4URNI8txFL4,Sugar Ray,4uN3DsfENc7dp0OLO0FEIb,The Best Of Sugar Ray,2hjQQj7x2YipViOCw6UX1N,63,https://p.scdn.co/mp3-preview/8f44a10c7b279459343b2709f609c17aa78b2c3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Owner Of A Lonely Heart,0eaZbB3SewakRxB9uHKjjj,Yes,7AC976RDJzL2asmZuz7qil,90125,6LgHvqzjJXtwpy66MAOKNs,8,not available
46,Ain't Nobody,2NVpYQqdraEcQwqT7GhUkh,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,"Epiphany: The Best Of Chaka Khan, Vol. 1",3qeheeurjW0lNtf9d7hJLe,71,https://p.scdn.co/mp3-preview/da3c4d60cefc078b44f5c99cb3cd609faf08652f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Go Your Own Way - 2004 Remaster,07GvNcU1WdyZJq3XxP0kZa,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours,1bt6q2SruMsBtcerNVtpZB,75,https://p.scdn.co/mp3-preview/b4b050fb5f906aba4e08064c453d3344ea68e583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Da Ya Think I'm Sexy?,4z7maGZkAonDlXlwo8q69f,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Blondes Have More Fun,38tXOrjXUUfQWWV2DRwMio,68,https://p.scdn.co/mp3-preview/174ef5de51427b1bdd9e4eb635f47da83be727c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Raspberry Beret,5jSz894ljfWE0IcHBSM39i,Prince,5a2EaR3hamoenG9rDuVn8j,Around The World In A Day,5FbrTPPlaNSOsChhKUZxcu,70,https://p.scdn.co/mp3-preview/80cd007d427fcfd8c9a9139cfc4fd7b20bfead4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Riders on the Storm,14XWXWv5FoCbFzLksawpEe,The Doors,22WZ7M8sxp5THdruNY3gXt,L.A. Woman,7IKUTIc9UWuVngyGPtqNHS,74,https://p.scdn.co/mp3-preview/3caccf01f5b9bdedbbc308568f1db7a5631ff5b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Mrs. Robinson,3672j9qcUufXuGwVoXHaeK,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,It's A Shame About Ray [Expanded Edition],1DxkKAQDMX4H1TlXCJAYyS,6,not available
52,Jane Says,7c1Dar0pIAW7w5TzaGjt9t,Jane's Addiction,02NfyD6AlLA12crYzw5YcR,Nothing's Shocking,4DVBJPJyizvHfJQt5pYaCa,66,https://p.scdn.co/mp3-preview/2d05da32c80eda03c619383db3f00be1d22fee0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,711MCceyCBcFnzjGY4Q7Un,Back In Black,6mUdeDZCsExyJLMdAfDuwh,84,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Veronica,5zHgT1ibsBrSOEnQwZapto,Elvis Costello,2BGRfQgtzikz1pzAD0kaEn,Spike,6WCPlKBxKr7yV26WA4GuSr,51,https://p.scdn.co/mp3-preview/41768288d2b51813151f54fd6f1507b03c80f61b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Black Water - 45 Version,3x1v32I3SZNvC7q7bDhcGm,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,Best of the Doobies,32xyhzHlGGsDvs1E7qihRA,64,https://p.scdn.co/mp3-preview/4f838f890ecf95233a84b14a639d1ab1c6aba908?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,America,35U9lQaRWSQISxQAB94Meo,Homecoming,7eqBAR9pblivMBOI70q2um,71,https://p.scdn.co/mp3-preview/1dbcc6d5eef4864f7a50d59128099455d4c21e2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Mony Mony,3GfGTJ2xzC0rqKgdjNJLOC,Billy Idol,7lzordPuZEXxwt9aoVZYmG,The Very Best Of Billy Idol: Idolize Yourself,0dvStBuexp9Chq1hg3Yjes,61,not available
58,I'll Be There for You,15tHagkk8z306XkyOHqiip,The Rembrandts,0gDg7FEsF4Y1jWddJJgcn4,L.P.,6koDBGMqurYl3EZnaxCF7N,65,https://p.scdn.co/mp3-preview/67c74878b6fc85eb420757e8a5de3be5ec6fbb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Hooked on a Feeling,2Nz6aF1umHh5Et6I5H581L,Blue Swede,0UpuH5U4nZ3UGGUJi0Zfbp,Hooked On A Feeling - 40th Anniversary Collection,12UILuDVbIIjLZhcRBNcOJ,63,https://p.scdn.co/mp3-preview/f4d2ded715803f9fe52b09bf38725b6a888ba45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Soul Man - Live Version,5z2F9FkKdhd9HOSTI1GxRq,The Blues Brothers,1cHFz6lrt7KAsBV8j2Ny1g,Briefcase Full Of Blues,7nuZ830tqx4YT8jzJNpU2T,52,https://p.scdn.co/mp3-preview/463642b87b8b0fefbbf2275d9aac383d71001b67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
