Yesterday's Sub Pop Hits Today,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Kreyol,6lSVTNqPSeVorEQIyVraat,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,Kreyol,1smtlgmA0ILuWaqL6d1wGf,5,not available
22,Dancing,0r6CpsTy4W4TFiA94GUidr,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #1,4SoTJBCKips0DryPkfakPb,31,https://p.scdn.co/mp3-preview/633238585e7681bb46482c805ea197306c47c35d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Tunnel,4JXThZm64lSO6zqJGXv9DL,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #1,4SoTJBCKips0DryPkfakPb,26,https://p.scdn.co/mp3-preview/50735826cf418dd9d11a22777398099b650c830f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Inner City Pressure - Live in London,5XzprjrCwKxWAUQW9X8GNX,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,37,https://p.scdn.co/mp3-preview/9d176cf57739255263d9626bfb616a3cd44888cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Wealthiest Queen,7gPLKGUcsifXn2wXSwXTAX,Luluc,2Jtfa8vjvzAAGxDfgIkU72,Dear Hamlyn,6DeuUteJpNVyLFKocLp2g0,9,https://p.scdn.co/mp3-preview/e053b6bc565e5c94889a72d16b9f1184caa93378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Calquer the Hound,6rPWckYZqC4jk9JpemDy4b,The Gotobeds,35pSDVTz3ZgYynZwMOFEQ1,Calquer the Hound,7vvPUIic44VuiRk7b08N0x,4,https://p.scdn.co/mp3-preview/499284f61592d0478b3987ed8e678addb1cb793a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,In the Capital,3IQemO6hwDPnWJKB25cF5U,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,In the Capital,3EzDS8woSKd8dZgAmTJ7NZ,41,https://p.scdn.co/mp3-preview/2f2fbb0ab5fa01b7677289e0d75fda63da5b4257?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Dream About,4okOaZzQZi8zNKtoNiEi58,Trupa Trupa,3o1PTWLo0K6dO5askAsIhN,Dream About,4TZCMP4qpXbjV853ycnlLl,27,not available
29,Tropic of Cancer,2XjPonytquAe01HRJQ1Jag,Minor Poet,4FRMMswMXEkpMZNMacFjEW,Tropic of Cancer,4HXeQaWsIHhiWWOIOnihr9,32,https://p.scdn.co/mp3-preview/e406f03a7ff28f7b48745170a56f8add32399199?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Turn to Hate,6GIesNw7y3pmTWByU1MZeP,Orville Peck,46auOkH1pk28rWrSoUNhLo,Turn to Hate,2fUBhEkxwu2MpO4ZamF8RQ,34,https://p.scdn.co/mp3-preview/6babf8ebe4d33d1b9c2d0505bf3a8e67fda4bb0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Promises,7qgIeJhW2ltAMgHD5Uzbsl,Perfect Son,5gxQbtNcYkmZxURsjTQZgI,Cast,64VPkIULc4lgIOZ1845vgg,12,https://p.scdn.co/mp3-preview/7a82250508c9a9efed4c622a62bd57b8cc8a6499?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Grains of Salt,4nTWQdV8j1aSffnKsgFLzq,Tacocat,3h0MN1neFknEvlYKxFmSQW,Grains of Salt,1048ZBUuVLxIFQkMZQn3am,28,https://p.scdn.co/mp3-preview/85e947f1ed81fc98dd4b4381d5ce0c8b1d1b2c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Everyday,3rxIqFuKGYsWFx12ovYK8S,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Everyday,30qZBeczmiKGQm3rl6DoJz,33,https://p.scdn.co/mp3-preview/b8c3cd537bebcf855da26af3c1bfdcd3b08f686f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Passing Afternoon - Demo,7MArsvMhqkbN4c87E9odby,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Passing Afternoon (Demo),5Kwcslzuz37pEvUxfBpned,30,https://p.scdn.co/mp3-preview/11fe07ac18d3396bcc8c17ceae5c94e95cdc7e9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Rehab Doll,6emCuFHlHSeh9Fo00EXbNI,Green River,1XIIxzmo6BNRR4QkImSdsX,Rehab Doll,3hexSHR55xeBJZfZ7pvvp5,2,https://p.scdn.co/mp3-preview/4aca27fbda1b31803a71148b33fe2419d914eccf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Unwind,2c0hl09Dl5jqJwqmViMhFq,Green River,1XIIxzmo6BNRR4QkImSdsX,Rehab Doll,3hexSHR55xeBJZfZ7pvvp5,2,https://p.scdn.co/mp3-preview/287fdca96847090d58f0bf20499a1e8f9c1e95bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Iain and Deanna (Live in London) - Single Edit,5xd21XW866ArPArjQLkyN1,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Iain and Deanna (Live in London),292y49jQLwrLrZxYUjEiWE,29,https://p.scdn.co/mp3-preview/d26bc00afb9e9345eaf5d5a22702fc942b72472f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Andromeda,0L6lVIgGqVHnmR3BIy8GHa,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Andromeda,6TtcqanCMkbvc6yJ40d0Ar,42,https://p.scdn.co/mp3-preview/adbd158c59d2fadcb489fd27b3a821afa1305d0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Dead of Night,2jDbbnA9WcgzZpK4m7UEoJ,Orville Peck,46auOkH1pk28rWrSoUNhLo,Dead of Night,7dolhMyjoPo8K3Fh0lYDvO,34,https://p.scdn.co/mp3-preview/3b44a1a4f093fef382a0fd4ebee8cd769155f87c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lust,0XWbZ3cFkmjGrisXVW3Xs9,Perfect Son,5gxQbtNcYkmZxURsjTQZgI,Lust,2ptmEuIXB4xbzK3tYvtFWg,8,https://p.scdn.co/mp3-preview/766e6f02d1e6c20162041307221fe44a6b57e64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Eye of the Beholder [The Vision],6jW2uzWDPt8YWRjYuAVZLR,Porter Ray,2MhJFzmNyDACY2tRJhMMNy,Eye of the Beholder,5F7tHxrjPZBXCZPn0LDmUB,3,https://p.scdn.co/mp3-preview/ca6b9c8bd0abfc6db31c6f2264c1150211d9f8fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Father and Son (Live in London) - Single Edit,4Xx6PZw2eDOogaeLbwHgYu,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Father and Son (Live in London),3qA9LuqFggcAwyKsSa5R18,28,https://p.scdn.co/mp3-preview/3516900fdaf00922b1637e180d661e13f2ca610f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Big Sky,3SRUKrDIEdbWA8P1bqUlMq,Orville Peck,46auOkH1pk28rWrSoUNhLo,Big Sky,2ZjdcqMSUvRds125l0IntY,31,https://p.scdn.co/mp3-preview/4b89254d1c3b6e98549b4946c4b39c66ab2c42e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,It's For Life - Single Edit,7F20611qmJnYL3h5tG0ETx,Perfect Son,5gxQbtNcYkmZxURsjTQZgI,It's For Life,4cRPwQPJzyJgzuCG4EbJjx,20,https://p.scdn.co/mp3-preview/9b4dd9df442da2e83224df396580fad85756dbbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Friendly Aliens,1M9wOxo8AnOG283PtcrfLL,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Friendly Aliens / Monopoly Arp,7pTT0qJwYlX5EqPmanSuRD,37,https://p.scdn.co/mp3-preview/d399c2e85b4197e01173b8d92890d9c00ded1913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Monopoly Arp,4NwHGtQpSFd8j5kgyxyDLJ,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Friendly Aliens / Monopoly Arp,7pTT0qJwYlX5EqPmanSuRD,18,https://p.scdn.co/mp3-preview/7e81d65a9fd9d8e658681f90b49995c57f09fad0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Elastic Days,6T4QdEOZihinSpUKzs1HvC,J Mascis,1PokjXeIq2zVosXbTEaNlx,Elastic Days,4gpH6hb8WytDFJ7s3zlzvR,33,https://p.scdn.co/mp3-preview/1e7009158ea0e9c9d300b92692ff2da9ec2f7565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,White Winter Hymnal,1k8O4TG8DGILahbKhU1Aw5,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,First Collection 2006-2009,62miIQWlOO88YmupzmUNGJ,35,https://p.scdn.co/mp3-preview/2451c6ca4ad5edc0002c847c61af69ced4dfce53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Forever Means,0sAHl7QqIFJxF0lqU9STOf,Green River,1XIIxzmo6BNRR4QkImSdsX,Forever Means,0IJUSlYBIyIP4JhUj3e665,0,not available
50,This Town,6CX68UftkWHI1gm8V1KrKn,Green River,1XIIxzmo6BNRR4QkImSdsX,This Town,4uhAosC9PgsSyQNjqpJ70X,2,https://p.scdn.co/mp3-preview/4b39677ff8efdab921cc29b6b1a5e84d04ff1565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Alien,1oIbOjq8A5mTMy5UdhCDai,Beach House,56ZTgzPBDge0OvCGgMO3OY,Alien,6vaY4j7aRliR2jL62XIEmH,45,https://p.scdn.co/mp3-preview/a853e5780057c2a501a220ebed90f84fd793d704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Icicle Tusk,7v5qUOGg2RNl4K1dDRWhty,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Icicle Tusk,60y5FReR5fO9e2BZGz6pWx,30,https://p.scdn.co/mp3-preview/6cd41128634f3519ec20790e3c2ab9d5ae200508?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Web So Dense,4Yz7fakhdjnaH5PUbz7zaZ,J Mascis,1PokjXeIq2zVosXbTEaNlx,Web So Dense,4BFENb0MbMhvs5jP11fQrN,12,https://p.scdn.co/mp3-preview/009d4471404800179e113f87c1fdc9e5c34991b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Keep Your Eyes Ahead - Remastered,5VfkE8Nlo9WIFXJlJjT6Oa,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Keep Your Eyes Ahead (Deluxe Edition),4plal05ZIuKQhkXDIx0hkA,14,https://p.scdn.co/mp3-preview/6ace9019f0b50081519122830d031a75169ae95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Poor Sucker,544wUGXgCtJX8Kgaa1iNyn,Low,0wz0jO9anccPzH04N7FLBH,Double Negative,1zTkgOHx3mjrUvrhxq4osf,32,https://p.scdn.co/mp3-preview/ec649d7764d6b958af70e394e0c7f387a1e5ecfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Memories,6M06BGVodJ0lxMA5gH7H4C,Chaos Chaos,6D6rjLdxyE5vwhMlkuQq0E,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,41,https://p.scdn.co/mp3-preview/ff0f93754ef9dfec206bd2d378d5b6b17757e692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Prosperity Gospel,4G83ek5QxaGjVcoRHMnny5,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Digital Garbage,3VlqKyu14rAorKhWFStRMY,17,https://p.scdn.co/mp3-preview/8a8774dc92ec3ac98e37bd92bc692efd76d6e6b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Escalator Teeth/On and On,2ynKSjRl0wbkajTIpjr373,Metz,18TNVFTJ6WfeicsMRrdJHI,Escalator Teeth/On and On,30y6jCO12Mm8jHZ5IsgOyq,19,https://p.scdn.co/mp3-preview/7d7d69dc9aaab822b226670c63641633eb57489a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Isles,4xx8LNOBOwTRJclfqFJYmN,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Isles,6Hwn4VJn5KOwzHbzHf2eX0,28,https://p.scdn.co/mp3-preview/a1f9d99b4540cbe9281c194cbd25ec29fea05da6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Sister's Jeans,0CYBCNVqWU18G25xkSfX44,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Hope Downs,2sIj0XFYhXv3GDSIv9IXn6,33,https://p.scdn.co/mp3-preview/cbd05712f4bdc0fca659eacf86cd3da5282b892c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Stuttering Light,7cBqUaL9QIm5RWnBMsqaFD,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,Stuttering Light / Get Schwifty (C-131),0Gugo1Xur7zQggOh5lWOYO,22,https://p.scdn.co/mp3-preview/84098a1114415158d781a61d52b75f1c84de0ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Get Schwifty (C-131),46SCefcPgAC4b8HFLsLFF5,Rick and Morty,2M0kKcVuBsLFH5d12pW215,Stuttering Light / Get Schwifty (C-131),0Gugo1Xur7zQggOh5lWOYO,33,https://p.scdn.co/mp3-preview/c42f06466df573176bab33ef373366a54d0c250c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Everything She Said,69ZbktkYloTWfYk6HNaejI,J Mascis,1PokjXeIq2zVosXbTEaNlx,Everything She Said,3K46zmFJyL2tPjk3dEIgZd,12,https://p.scdn.co/mp3-preview/36b8abcbd78973e1b2f85a996629c73735179af8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Rome (Always in the Dark),7aP2HavIcTtEznySmt0myq,Low,0wz0jO9anccPzH04N7FLBH,Double Negative,1zTkgOHx3mjrUvrhxq4osf,32,https://p.scdn.co/mp3-preview/c6b45c517c2ac87c1376eb02586bd3497c8ccef2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Love U,2b4EOGX7YGTPbV9he6lDrH,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Furr (10th Anniversary Deluxe Edition),4p7XnByIfnjvy1njvCE1NH,14,https://p.scdn.co/mp3-preview/141bb8d2c8a414a1ae5a2e0d80914440201214f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Low Key,7d0s6rGCOBhoZw3c11vVy1,Knife Knights,5MkIifBOV94xvm2tr6XliJ,1 Time Mirage,2ECHYflSemkO7lQ9cIlmpw,12,https://p.scdn.co/mp3-preview/65d4fbaf6c88d750a3e1d68e4d565dabd85d1df6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Raindrop Blue - Peaking Lights Ruff and Tuff Remix,21qUO5SqAfzvMCXxt9ZNVP,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Raindrop Blue (Peaking Lights Ruff and Tuff Remix),2FTtJtkQKRUR4sqdRhzR4A,12,https://p.scdn.co/mp3-preview/595fbe531693d2eff9bfffb134badc5360ed8ceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Last of Your Rock 'n' Roll Heroes,6g89fCGvCfuIOuCbvLQsbR,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Weed Garden,1xKEX6KhO9pRM85WT7aOel,32,https://p.scdn.co/mp3-preview/90daed600f1d32e7aa22a56bac5bcb83e3dfe128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Keep On Dying,388oqD33LTWa8WVc8cBXhM,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,I've Tortured You Long Enough,5zh3dqzdBXEdMCmfP6cnSC,8,https://p.scdn.co/mp3-preview/7aa6f51b19fde097faee862b2f4b25fe5ffb9280?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Booksmart Baby,5NcEhj5l9OIGpLHhfmytvB,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Booksmart Baby,6t3m81n20pPom9ToqNYCfL,21,https://p.scdn.co/mp3-preview/7b061fc983258315c9d111d0124476f552661982?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Stab Him in The Throat,6Iyg4cndWUYABehA0pvwPs,Rick and Morty,2M0kKcVuBsLFH5d12pW215,Stab Him in The Throat,4UhTHfzINkbXFPSd3csV1U,32,https://p.scdn.co/mp3-preview/98b808a24092fe58eab3cdc61d64770a1f53cff6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Lately - Remastered,2Fb7LY6J1S1QRTsQIG8DHp,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Lately / No Regrets (Acoustic),7p2PwhPEUyu7bwAZdHBypj,9,https://p.scdn.co/mp3-preview/4d2431e3f86ec72ebf0684b24edc91b35d90ce31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,No Regrets - Acoustic,4kp21kBSQyCPUqn6QnHz07,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Lately / No Regrets (Acoustic),7p2PwhPEUyu7bwAZdHBypj,11,https://p.scdn.co/mp3-preview/f99d8552fee08ebc2793274bc101a650345e5217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Kids,2csYy8YvtbRjC35zzuJR2V,Luluc,2Jtfa8vjvzAAGxDfgIkU72,Sculptor,49N5SqdWiPFbsZA6en3NpS,14,https://p.scdn.co/mp3-preview/90de5081e9647da2fb4adfcd327116ab6e01e2ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Seven Wheel Motion,2olSDNJJkZMGF84IBQBXFy,Knife Knights,5MkIifBOV94xvm2tr6XliJ,Seven Wheel Motion,7qGtqfwxQ7aprgThqv0FFw,2,https://p.scdn.co/mp3-preview/5dfab8058c2ff0f44a7da36800c184e2980aa0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,See You At The Movies,6g8VtfHx7GtYYt9sUHfmp0,J Mascis,1PokjXeIq2zVosXbTEaNlx,See You At The Movies,71d3KsBfEv59OAvc3ox4Mg,33,https://p.scdn.co/mp3-preview/c793ff47409767717ae2b6d65626d543eb34cd7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Disarray,7tQ0NbIhNj2PidxU6BQvLk,Low,0wz0jO9anccPzH04N7FLBH,Disarray,7snWIdzsuSWVc8sdc5CW5J,22,https://p.scdn.co/mp3-preview/db9504d0669b2aba163d5c91953f18cd2195b7cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Kill Yourself Live,2gmmV5MlcWtcW1E0KJE6YU,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Kill Yourself Live,6MFZK7sqJ7v1OfHLGEaWby,13,https://p.scdn.co/mp3-preview/a30d025c27dc5ee89f1531cbe2e90c9aaba5c87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Mr. Tillman - Recorded at Spotify Studios NYC,2g5Qvxi7uiwl8SIpu5hg8e,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Spotify Singles,1h1Y5FD9Tat1H8t3rHrWu6,39,https://p.scdn.co/mp3-preview/3171874ccc2cf7f7b3aa056cf7c737b9de395ebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Everything Is Free - Recorded at Spotify Studios NYC,3VB5e3mQF5F0qzX5UD7WIx,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Spotify Singles,1h1Y5FD9Tat1H8t3rHrWu6,51,https://p.scdn.co/mp3-preview/0af2bb1d75b966b4b77424732a3bb142fa427c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Waves of Galveston,4Ni5y0raLkguRNMjCb9GK7,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Waves of Galveston,4zvQXERHg3ojOlWvkirYdV,0,not available
82,Psycho Star - Tune-Yards Remix,0r2GhlqIl7EfXl5s7sz4y0,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Psycho Star (Tune-Yards Remix),6dvNuKatPbssXckXCWlXhh,8,https://p.scdn.co/mp3-preview/d4bcce2fbb60aff51a4ea8535e40acfab14e46f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Metal Carnage,37fcJ39mC81PU1QlavdGYw,Deaf Wish,6TDNRppZUK7nDRS7vOc9OW,Lithium Zion,3v8fnoxmSIdB8UZ8ZIgFx8,5,https://p.scdn.co/mp3-preview/fb17d3f575ae087a553439a192bd932d4ed68364?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,How I Love You,0mMnYVPKHFxfOlLius9TuK,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,How I Love You,5U7hUV1f5Db59Dd70g0bud,17,https://p.scdn.co/mp3-preview/96daf2f3f414ffc2059697db2edcd7cead6e3f1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
