Chillhop Music discography [lo-fi hiphop / jazzy beats],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Longwayhome,0Z2QIzFfHpWrDdZGdQltbm,Fenick,05h9KcJkBORkLFnDXcGyOD,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,54,https://p.scdn.co/mp3-preview/85b8777f83d175cc02437d106446f522da905270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Rockaway 5pm,7aUgl6Fm3L20V0xGg9PkAX,auv,6mmGVOvxusEdkxXmPg0Wlm,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/1ba1488d0fd67065246afcd44514baa1bcf100f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Aires,3j35aIwA15nhEmcT1iUpzL,sadtoi,7G6bYv9rdldB4mNddVd2yy,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/80771aa2f1d7f7276cc68fecaeb0fd862d44f09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Haze,1tS0eIgirDFLk68hHFv7Oq,G Mills,0djvqMepj2XkHfvWTqkH1N,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,55,https://p.scdn.co/mp3-preview/c1651d050c0131f77caa04c109d2f3b8236b8f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Coffee Break,2TZ7LIRqsJyfB2DYqb3H8L,Ruck P,0SIxAAknV8iR2jHcQJ9Sfn,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/4d474aaadb2654bb3696c513d243efe1a21bb306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Simplicity,37Y8YdbkrWFo4E7adbmxAk,L'Indécis,5p1ichthTka1KT0iUvrlIu,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,44,https://p.scdn.co/mp3-preview/524f0963e1115d257a47af4cf2df85b4809cb77d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Wandering At Night,6BXXblmpCpFUW7KhxctSjk,Epektase,31jYTsfmnHqcK7ahdqlqmo,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,44,https://p.scdn.co/mp3-preview/fd778754d3823d83858575e37f2b00d5b6c3fc6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Yeah,4JUKsINwgW3XuqNL1jGglh,Monma,50nVKm0xa3p8KYXXssG2ym,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,51,https://p.scdn.co/mp3-preview/d4d64f1eba97ce96e60eac4867f5b40f4aeb07be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sorry,0PNtnQP8IzWc2TTchaV96I,Swørn,4iyFpbbfjNvfLQPx82OrYc,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,54,https://p.scdn.co/mp3-preview/8fdcb75f3d0e41898bcba90bc6716431f5efba52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Beavis Pt. 1,53nWVwyUusUwNuDPy25ICN,Philanthrope,13ACz7DIictCpSYGglNTHs,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,52,https://p.scdn.co/mp3-preview/91b4eff826025d9dfc9ddd49e16228963466312b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Stickers,1KJKkfak341M9Jgd5SiDue,weird inside,4iylWAhvTVtSVhIeAoM7Bl,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,43,https://p.scdn.co/mp3-preview/125fc09ee4579ba519bda7b77325473e6c6a9997?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hypnosis,4LcqOSx9c7boYhWy8G02qQ,Evil Needle,37nE9g0LRDhDSIejDuPKPS,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/5e304d5f3a97c5e40a35c003fb3e1691169b7c40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Pale Ale,4CLzOxY11qwZRUSl3U2mPy,Brock Berrigan,39sPWwRyNp4NNMyWzN7I0o,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,43,https://p.scdn.co/mp3-preview/275ff1777af24222b76c9ac2233c046a8da3ebaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,9.23.19,6222kNWKq9a50Krs0uLDNa,Toonorth,5cnRXRa8otbppSiXvfdmo3,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,52,https://p.scdn.co/mp3-preview/2a8894dc351bc3325cd237d6b5e7e8b73e47c3a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Schoolgrounds,2C7KR20uDLXcjoB93NXbBx,Sleepy Fish,1IJe80moz409PtxW4llPFw,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,51,https://p.scdn.co/mp3-preview/62a5dfbb67c1770845cf7b1596954d1c7b6f13b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Peace of Mind,2EijhxbwVdowIRWxBPaq7j,Robot Orchestra,69CjG40nknFw4W8vrmdgHV,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,51,https://p.scdn.co/mp3-preview/9730cd96515638f34112030189d8befc34f80532?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bonfire,6Jjom83XUHsW0DzQlUemiW,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,42,https://p.scdn.co/mp3-preview/8725953fdb2115419fac3aa1e10e44ed9cc5e610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Angel Eyes,1iM8TFLPVHFJP3llhWjM59,Strehlow,1pUWzVmu8ACMnIAu9BsOHm,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,51,https://p.scdn.co/mp3-preview/5ad7d5e02035f2fbeaddbd5146926e53c366ca5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Save Your Love,0efYMxeaioubfwW346NnRJ,The Breed,5Xl8d6HbzkkwWmSQSOsv7k,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,51,https://p.scdn.co/mp3-preview/d57e34d9ee3ccd712e054d994fdbb8258bc1714c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,On Holly,5SQndZkMQT7nqU7qPxHcDV,fantompower,6psQOFgr41pQ2CiL2CCi47,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,51,https://p.scdn.co/mp3-preview/e6d29ebf3aed07d4f7f2b7ca6a1c2c57af37c18e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Procrastinating,6jInavnstNIC9tjcKPKcUI,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,56,https://p.scdn.co/mp3-preview/fbd19aa78e906a6e1473ea4129e2003162a72c48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Forgot It Was Monday,5zEsGtsZzKhVWSAerDfoSD,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,55,https://p.scdn.co/mp3-preview/407175a5c4371e527b3ee7a0c39c71827d9fec8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Through Walls,0ATh7cJ3jq07hhi3txH1yx,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,54,https://p.scdn.co/mp3-preview/23be4cb50c0c7eeb5ee3f394b928f26188185b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Never Felt The Same,0EgjN5H3ExDRLbewY8FXQU,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,52,https://p.scdn.co/mp3-preview/255acadd41b1bfed381f607c997c4ca95a82ff5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Dandelion,19HUPoD43krRBjcF5XzFHn,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,53,https://p.scdn.co/mp3-preview/06244e8ebdfec0f0ef1fb475ec92e7f0f446c965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Broken Clocks,5klm8QNzuhTOBeEIWhyWPT,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,53,https://p.scdn.co/mp3-preview/5d99b3a0ef0a410df7f2c378859f4658a0e3fae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Railways,420FhBi2yV196zF6tgqmAx,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,52,https://p.scdn.co/mp3-preview/a8ba25a4d5db1555d20270548081e1a2bfaf98c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Our Reflection,1wH6Xf0i73tcGA96syNKKN,Sleepy Fish,1IJe80moz409PtxW4llPFw,My Room Becomes The Sea,6TG1OEvkMjigRs3ze0qF19,52,https://p.scdn.co/mp3-preview/94e2cf8b47853e9b385b6542b70ca60fc3cfae93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Cambria,5o2taz4VowbgdqKg6VC3gE,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,53,https://p.scdn.co/mp3-preview/423a617689cb0d270374ccd5ae411c9eb78a1e90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Midnight,73dlzGP7irXmDW4QsiRJSt,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,41,https://p.scdn.co/mp3-preview/ff8d47b1dd640764120adf0a87d08da42a119d99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Like I Am,0qbAa8z7qp7QTzJqV9eX8F,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,41,https://p.scdn.co/mp3-preview/9e3d0bad1493cbaeab494b49994a87ac98e8fcb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Rucker Park,0kypdPGzA3WiR7voq9Tg3q,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,39,https://p.scdn.co/mp3-preview/c8cce741c686e5cd601416eda2ee1c4c1baebb6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Meaux,5KyOfjz2WFdGj97airzbA7,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,41,https://p.scdn.co/mp3-preview/25a8e8551706d5096b333f6151e9de7ea5355bd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,17,6O5AGRHIKvSeyWIUpWfugt,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,55,https://p.scdn.co/mp3-preview/73d78e1b35f764fd6e6df40e293efa6b2ba427a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Tiny Sailboat,3bPsHHJ6EL2xZSflLsIve3,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,65,https://p.scdn.co/mp3-preview/459dcb630b9879c6c101472674553f88ddf5b84c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Droplet,4MlCNuD23c2SoMkbGeBs6w,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,57,https://p.scdn.co/mp3-preview/60b84bc5668b75f23abafa8677db38b570d343ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Coastal Town,4yFKdrYav9741hVAiPicHQ,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,56,https://p.scdn.co/mp3-preview/d9fdcc2f44cae26667904b1f947646ba36f48508?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Moss,6lZuxJZ0CV0HUjmKW04yjJ,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,54,https://p.scdn.co/mp3-preview/32c8451605910b9b16b619cd577d5756ca4f0a68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Ease Out,2AqjABv8xBA4rKXv2mtKug,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,43,https://p.scdn.co/mp3-preview/568ca98e7698df15232a6d603bc8354a811d5e2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Old Cartoons,2fy53BFGLxaynmkPwQL5CF,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,57,https://p.scdn.co/mp3-preview/584d50fb3de13512fa15e9f8ed4cdf8b6c5f8133?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Holwell,3aBUuJLkCRT85otGMjKTyQ,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,54,https://p.scdn.co/mp3-preview/5ff746f10049bb90e404c4849bd429023f236f3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Riviere,3genObwna2qYFmIoD64sSE,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,54,https://p.scdn.co/mp3-preview/8914a936ef6548b46cbe295b2f9da8dd239aaacd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Hope,4n6JQTNqJOuvQLys4l11ov,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,53,https://p.scdn.co/mp3-preview/b7187b9b04bb976963000d7e19ec96653070f387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Whistle Song,6gJXt2HY0onebviLv0HRqs,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,54,https://p.scdn.co/mp3-preview/d1ae34b8b9c8da18d226f2ccd3a11f03f503549e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Back Home,2HKqYqH2JT9sS5703ZiIFX,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,41,https://p.scdn.co/mp3-preview/7852f9137fd73398621eddb42ccd52d75e92415a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Space Cadet,3JjyMz84W8PVzIcG6RjyEc,Philanthrope,13ACz7DIictCpSYGglNTHs,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,61,https://p.scdn.co/mp3-preview/b0add684e1795ab675ef8923602d56af2f4df157?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Lake,3zV9Sj35U90ROA5H2SPlZ9,dryhope,50Ej4gF8iYESted3e4JZ4t,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,57,https://p.scdn.co/mp3-preview/e51b206e76c7e1cad4077ee055e6725db86b42b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Companion,2vuLi6xjzvK3idG8EwHVbJ,C4C,5jZeLexrrwGNUy6nv7tzdr,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,58,https://p.scdn.co/mp3-preview/c4443b6e0df4032fa66a44b86e573eeb33167cb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Iridescence,6NplMK5VZVFTTr2NrGoeHj,G Mills,0djvqMepj2XkHfvWTqkH1N,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/d6e22f4e4b6bed80eefe5225717f348070a862d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Seven,3Y6og8QRBXBLRqTC5rxgxB,Dr. Dundiff,6T2NShr7SAArhtegdIpHHN,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/c0134743f9a39b77112b15bce9cdb1c28068ec6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Morning Walk,1PLPABjQPXvy0YFzopCD4r,chief.,0HCAzT0cSCpiNje7AcAQaD,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,57,https://p.scdn.co/mp3-preview/e4247b3f4bb7aa920a7b2980de9c690db0832bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Aeroplane,2A3bViFrWuEoxReU9YgCyc,Tom Doolie,4C7NcNb9V6lakzMGHQlm8i,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,60,https://p.scdn.co/mp3-preview/0f2b750ffb53a2171413e3fcf7fa602be33f0cdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Birdbath,7f13FFDArSEbjc5THYfUgj,Flovry,2pLu3Ut2C3RviYZ3xUanBs,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/2717d5b98cded0228930dfad89666b2e924ac18d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Smthn Bout U,0jsPu4ssbhytWYb73MPGqh,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/55fbff9161441a134abb9113498cde71e4a91cdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Half Asleep,4zxew1jH8YkLjE0poW1YX0,Pandrezz,65ZGdYSRT3Rmv6P7DN4XCC,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/aca9f9a584e3462245de99960be0e77cc6b1b69d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Skydive,5LUEPhMsFXmksRQADMpnix,j'san,5iMUho98faEp2w6j5p44PH,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/89369c2b5a344aa03d3abecacbcbb73b0d3c0666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,In My Cabin,21B332M3FadLtg6Np6F0Bk,Yasper,1axdL80XjVHdInGsJbURyt,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/ac9ed95221587e7aa614ff0e7fabdda122c4077a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Ful Off,0zRTt36VLmxR2Z4AwjgBHl,Nokiaa,0ikgHu560bYMZOOXFQnRLN,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/c351728df21e77d6bb31c935626cf52e427b7546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Never Forget,6HYjx8HFtR0kOGEycaQjo3,B-Side,1KpqmBJgAuQIT39QH7CO2O,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/36a43d07a59f0ce000694b34e0dab2b1e8d665b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Hurt Heal,0vZ9iQpLBUh7ub0MZjaABV,Sofasound,3pOOUcLNTiZ8nljgMJDXQ6,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/f6ab4675dbefe7e6b5bf9117bd66317febcf6402?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Remember,4k6rcq6XuJqlTfzpUxQvLn,Miscél,5GsqXcU7gZvD38JklTxo9e,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/a9aafb72d9797902a3a472612b65b3440edaca87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Pastel Plains,3HpmfWNinvhJI3Urh14f4q,fantompower,6psQOFgr41pQ2CiL2CCi47,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/242f187c62af4ea43d642d84c11bebf4e921c9ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Still,1g06pPqDZy2CRubI5Kuy8z,Idealism,6YJ4EgQzDfJnIHRbqIHAdD,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/f3b24b21477f2851b555132a1c5bd4349f1fe1c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Sleepy,0Sts0gEUHOaWCaShDTzu02,cocabona,5V8HGb7Pt982HEbpmglIYT,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/28d2df74ca4de86bad1bbf4923f24aec01c476c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
