Alt.Latino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
61,UN PESO,7hynhxDoDpgMIV12JuVtNa,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,81,not available
62,Te Doy,7twf31E8qWhp6LdRHxr5Fa,Ms Nina,43Hr2FjhVehkROIIEb7EfQ,Te Doy,4OjJ7RrpbhbIPZZtWz8i2H,7,not available
63,Ya No Se Trata de Ti - Acoustic Version,06BoeYC2jAEvEJXYhV7PCX,Francisca Valenzuela,2piHiUbXwUNNIvYyIOIUKt,Ya No Se Trata de Ti (Acoustic Version),2ByrEsLdDXsKYqMXOqUUx7,50,https://p.scdn.co/mp3-preview/0ec09617e39b0572ba06240b6fe1758487a6b82e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Insomnio,1CYNDljgHEnlH9mc9ay8nR,Orishas,2gKYxTUOqw9aPt7ljMwSHT,Insomnio,7vjjC000EgnBkdYBYjKyPR,41,https://p.scdn.co/mp3-preview/b7cd3ce401a2630b8ee5881b73651eed9763ca07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Quiero,6tBhtdAEIGEacpqUZTk72s,Divino Niño,2O2KJngZ80ZTK71HamDNYi,Foam,3QsNakJqvIGLEjDeInXKk0,43,https://p.scdn.co/mp3-preview/1765700501fa30696017a5251d86c166aedaa84f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Aquí Estoy,6ydubKY1r75XKuQheIQB8f,Cami,3VCrybIJKH7UurbDcZbMmn,Aquí Estoy,7hICO5xgWunS5Y9YpEkZ36,69,not available
67,Zumbajam,6OiNiOg5LoTQQ5gC7MOWXb,Cimarron,5j1NzKToU6ZSzCkuINpFbj,Orinoco,2e1sQsLWaAKuzg8Rw09PPW,20,https://p.scdn.co/mp3-preview/faa5312ca92049faa88050a14c889e5689f2a27b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Último Aliento,3osCap9ViWOWhYk8FOWZdZ,Mateo Kingman,223se9o877Y4jHzwlDcGNx,Último Aliento,7KrLy9OeOkkP4dEnsRjh7t,37,https://p.scdn.co/mp3-preview/2e58ed0055dd867e108a175c4ce5d51e5c4408fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Feelings,4EZdYqckVBQw6Oduj9ra2D,Cuco,2Tglaf8nvDzwSQnpSrjLHP,Feelings,7jaaCkiivIJrVnuQDZfcuE,59,not available
70,Identity Crisis,2cyhFpSrohwv8GLSYC8jkT,Jarina De Marco,2Ju0kEPJxYUo0XM2PNUGeL,Identity Crisis,6Ju4BapGz1v862V1dWahyu,35,https://p.scdn.co/mp3-preview/f84b0f283fdaa43753578c5d3804367469713fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Could Be a Curse,5MozlTpfumvMdWFsh0XH2e,KAINA,7c6eQSFEfIt9rV3gh4cgtj,Could Be a Curse,1qN17gSl8xMIjMzMpHVqB4,36,https://p.scdn.co/mp3-preview/1f10f9e27f10c4349a4a5df6167eeff2ef774bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Cielos,5zFu6A30oJr36QpE7Oyr6c,tulengua,2rXUN5oxetpexWoqyMYUhu,Cielos,0rnuMzeec8KVWz52UIt5ig,13,https://p.scdn.co/mp3-preview/d5435969f8db10deed8830449b56516d85a140a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Seasons,3fQCd4ijRcHRjEiNufgIiF,El Mañana,5whoDKWriOtZ9BIpiSy3nq,Seasons,5p811Rh6SjYUTdMowZicAX,18,https://p.scdn.co/mp3-preview/397af908dad0f3be3205b71a328b8d70c41bbb13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Flor (feat. Benito Martínez),7zqbzmtpvJ9yqfnykmGYW6,Los Rivera Destino,7LQaY9LGXHzoJY8DvwpSid,Flor (feat. Benito Martínez),5c5z3CRSr3N9ntn1oLDko3,63,https://p.scdn.co/mp3-preview/24d1724cd11eb671f0f788df084a98e0a67d33c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Huesos Viejos,61Q1488cGOi0zuEGEIVHbV,Davila 666,0PQK6BLKbviconz1bx1rlH,Huesos Viejos,3JNj1DiE02Bq2sCgxy6VNQ,28,https://p.scdn.co/mp3-preview/7ee9e59ce5eef94b7213dbf28a204cde09192ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,qué bueno!,5oxWWmZLJIH0y6v2isD7Lt,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,qué bueno!,5NF8Q7vFhmT1RJ15czoEL7,42,https://p.scdn.co/mp3-preview/4260e3e8abfb9f2aa4636919aaf7bf09bddd0819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Amor Genuino,6pK5edDoyrn4mWwRSVc2a5,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Amor Genuino,1YlOaWSAKVR6BcnSvV9qfh,78,https://p.scdn.co/mp3-preview/c7a6ac830b65983704914037c3e35a063b0f9298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,YA TE AVISÉ,0VPT6bnlXk78wODLmgYRpL,Paula Cendejas,4EiI7Vls0NB16jLuexzCHC,YA TE AVISÉ,6q8mHP8JOdSJpEEdWjNRHG,56,https://p.scdn.co/mp3-preview/f96144b1f5c3d81f43df027d228a94223ef11f19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Bajo el Mismo Cielo (feat. Sergio Aguilera),76bckZxencBp94iGZdrAaO,La Dame Blanche,6u4VjE5cKZRnY451pcfhbG,Bajo el Mismo Cielo,2V4MhVgQ8HQRlEwtnGUYMX,18,https://p.scdn.co/mp3-preview/f054d91b6103f22d91bba13749a697402f360f4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Aute Cuture,7dQFpbs34ufIEU745DVclf,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Aute Cuture,23irnvaijPHVE7682D4G3f,76,https://p.scdn.co/mp3-preview/af4112e6ad0c6ab26cb3772159dd8a03fd11ad9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Don't Talk About Me,0cfqbF7GBQJMYg0S6GEqG4,Paloma Mami,7rOlQwf8OuFLFQp4aydjBt,Don't Talk About Me,2DoYEnu13XoeNZ6hYvUprJ,68,https://p.scdn.co/mp3-preview/28c61d08cda4e623e76c7feeac4fd695b212171c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Playa Grande,6IsMnhtDLKG0h4H8pmQVRw,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,Playa Grande,0P90stLNlBJtamGSsokK4g,56,https://p.scdn.co/mp3-preview/2a08bbbe3622161e7c0e19a17335fd25432bd6e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Egoísmo,1AXohCkuBPhh0RqTNqkXqa,Jesse Baez,4rriNpL1lxpoysDDctWgl3,Egoísmo,5spPdqGOFgKxVOMu4UnqCm,56,not available
85,Cucurrucucu Paloma,4TyLAuMtrm8E8MofwlNw22,Camila Meza,3Wkf3Zv5wMaIsz2MwkVOKF,Ambar,4CIuzD5WD4LB1DKjj3Umcp,32,https://p.scdn.co/mp3-preview/caf89d8f1a8db0e952c01ecda54394868009fae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Los Dueños del Neoperreo (feat. Ceaese & Galanjah & Fabien & DJ Sustancia) - Prod. Nass G & El Licenciado,3VCc0SrF1hlVcBOYFUpPB9,Tomasa del Real,3Dz4sliAAIVOlALfHW9TtD,TDR,7xHF4xZNeuaLtt2Wlxnk26,31,https://p.scdn.co/mp3-preview/445a0dce428a54fd61254d0772f7837b2dd5c8aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Identidad (feat. Ibeyi),1MXnud2r0zYvISKQR7GQ2i,Haydee Milanes,7hipjiOrcrv8qHhmacIPwG,Identidad,10SnrTAW7cPLrZcXAtPdIc,13,https://p.scdn.co/mp3-preview/72d7242a7df962a09458c2b712c6a9918f65186c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Las Estrellas Se Quiebran,09edGGO2ynmIoyKIcYscFE,Agua Viva,0Ltw23ljoo6WDWsoNI1P7r,Las Estrellas Se Quiebran,6GHjIFXfAH0IoiKK0aBMbC,7,https://p.scdn.co/mp3-preview/30e4bd58ab1bd761855540c1ae56719a60d33142?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Poquito a Poco (feat. Zion & Lennox),3nEWZn2RGLiJf8sRSS2ic8,Gente De Zona,2cy1zPcrFcXAJTP0APWewL,OTRA COSA,00AVS4xDGxD61LgiIkDaN7,52,https://p.scdn.co/mp3-preview/986cff552ef690a6e97be1f70281b7a777663431?cid=fa83a2fec7c440b7a2795d600d6b2c7e
