The Austin 100,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
46,July 9 2015,5EEzHDKcD1q3S9fenKNllJ,Boy Scouts,02fo9VYWbuaOVly5sEjd5V,Homeroom Breakfast,5bxtHFXuC9yflu5H7A9iad,16,https://p.scdn.co/mp3-preview/545f471e9b48a54b2aa6d0d5e9621c02c7a34983?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Birthday,5w5jFcI6l3Bprp6x4RVCuc,Gia Margaret,7fnMav7xXJwwjbyWbSjF4C,There's Always Glimmer,4W0GjlWkF5lLRiw6hF9UU8,5,not available
48,Brake Lights,163YtYlFmvzdy9Gg1yGBXo,Rachael Fahim,0l7PmxcaTok6bxl67BX6XT,Brake Lights,66vRngYZHPGE7TgY2GoxWy,3,not available
49,Stations,2MAnOgnX028TH869jKZoir,Taylor Janzen,3rTVTBOBT7NPgXtI5oWyxc,Interpersonal,6INHkctsOzLHUCDbljakEX,20,https://p.scdn.co/mp3-preview/e2472c19bd8ead4b11aaa92e9d54b05969fc35e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Dream Girl,0agQhgWSriDKsR1mds6rUt,skirts,41KJC6FjOhZR0wut8TO1Nl,Almost Touching,3gx19sn3dgnZEivRMVSN3K,15,https://p.scdn.co/mp3-preview/16cb33888df5e655efca69f7605e4ca5cb8c64ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Banho de Folhas - Nyack Remix,7Iop6KQKKaunEcvGIa4Z6w,Luedji Luna,0sWTkzCrdEvuX7Du6MFLzc,Banho de Folhas (Nyack Remix),4oMm4lyLphLCRKCVHv7QRb,28,https://p.scdn.co/mp3-preview/e17aab77eb0cdd7eddc97929a7a4ef8439d17909?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Black Book,3QRzkFSfytYqPWetvmnrsK,ORI,1RjBm2Uu1hbXps8XUT6LiE,Black Book,14EEzuJ2bxDdko14JrUg2P,31,https://p.scdn.co/mp3-preview/ff45d910dd24250fd18bab51808d0c5f7bac4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,A Dream Of Home,4LINukxWI1NvCP7NUA9mKI,Tyler Ramsey,1Ga71MIHyTN9VVuEtW57GK,A Dream Of Home,2HSl3zIGxIG78lMrPIhWQK,3,not available
54,WHOA,46XrKdR675FmpJhE9kPzsm,&More (Chill Moody & Donn T),7AGLjS3caBsZrIPp57fDGZ,WHOA,5Z2ESllw9YcD1zeqUrEJtz,12,https://p.scdn.co/mp3-preview/421e9b51737b47f9cc67c6b7b396939b0e04dafc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Lay Back,2drxyAxA8JMv69Mpo5hfj2,CLAVVS,2JcWOIfDeHESCg42COyDy1,Lay Back // Slow Dive // Echo,6FPyukhjmMcGoSFs2q4XIc,0,not available
56,Rolling On,4kOLAEpK2YKpcMMnjVdiXy,Darling West,0mKLP9jGn5eAZDlaq7UYQY,While I Was Asleep,7jQ7ceeE30vZUGibxHNWVc,45,https://p.scdn.co/mp3-preview/f522d1b9db0fc506e177489d9ecf689bd62eb905?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Fog,27YHRywPPDxwJntJbYN2Pc,The Ophelias,0Kpf7PvEotzvndPhYwwZzb,Almost,4H0S3BMWhtwjd5besGIBqN,29,https://p.scdn.co/mp3-preview/74f4b00535123b9800fd8f53da6e0a0d5938a6de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Pretty Pure,4NcjvIgMIPTnGPeNbGHUrW,whenyoung,6IcfYALmhjyW2kJwRNXHJp,Pretty Pure / The Collector,4v6RjMlopl6UNUZDVywYKH,35,https://p.scdn.co/mp3-preview/51b6ab8f91a8f6989b59a4d225c3d94f1dc867e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Claudion,3GuBnUAdUWdATkh5KzG8pq,Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,"Altogether Unaccompanied, Vol. IV",6zv8v9ilZ2NwnAaOSK3NYq,47,https://p.scdn.co/mp3-preview/e70ba14e75eeeaaf0288042b14e0a52c53d159ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,I Wonder,5h3v26dK0lG5qCih8m96nk,Mike Krol,2c34ZzVmfwzsNHc05x3uzR,Power Chords,7mbTl6QiFejJ5s07soGh7Y,28,https://p.scdn.co/mp3-preview/a3d0cd17d85c0b62e9612d207f5bf7f1ee27ba17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Communication,6s6xMVWWv1zwNzyZUwtJyk,Disq,5EmT8U3SucK9KYXbVEdu5K,Communication,7iglAmgiW0A10BA2syd3HV,0,not available
62,Ringside,2Fxn9hdHuFi5t0S5OXYn1U,Fire Is Motion,5zAvOBO7vnstUkGHp4oYkL,"Still, I Try",7Lv9HYig9d2SEEMiY4wjtW,13,https://p.scdn.co/mp3-preview/e10c920160b110399f4ca7b7e0426e294a77abed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Orbits,6Udcha6jfmtc4cJYwgh6bT,Claire George,0Ib3jGvmjr2riNxNkfA1DP,Orbits,3Mlk9lroKrc5ztIbLe7vo9,2,not available
64,Curbside,6Y1uuuTA8CXKV8irnhcAv9,I'm Glad It's You,3r43FqgJH6TvaSuZWjWuSc,June,1F1tazxT1FoTBFvj6B52N8,46,https://p.scdn.co/mp3-preview/a61cc8f21d5de01eb151c9aa54b72ec82c623e76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,In the Blank Space,2oq13p4uzu5SekRBH52WKa,Josin,0QgpJAGWO61N2hgJQhW4xW,In the Blank Space,5y8qptdKUvA5LUKcmC37h8,10,https://p.scdn.co/mp3-preview/d2796e1870293a53566ec3c5bfd64d8be5029b58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Two Kids,0Tgnh0C7IvD8sKOYWjh6VH,David Keenan,4RhFWLvAR5H5uXvjWVmxMG,Evidence of Living,5vJavc6E4Q69iS5FtgW7ET,56,https://p.scdn.co/mp3-preview/0d4752a494b1c4d4e5c77441c2212f1eb96a10a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Everybody Wants to Know You,0yxbed37Pb4k7OYrGJnTue,Labrador,24f9VZm9pBFZG9acIDV74N,Tell Me About Your Dad EP,73pwOQG8I9DHV6nMqgRiSG,15,https://p.scdn.co/mp3-preview/2dd9eaa8538a756196bd350b0193e7ecad6949b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Hotel Delmano,0yMnOHoN8bGgE7hFqUgjbV,MUNYA,0JnhdXEQfVjoY1OgwTExwO,Hotel Delmano,7L5lmlAW91kuKQ7jYjyS6M,39,https://p.scdn.co/mp3-preview/a704e7982a10ba6c89cb8295279954b9288f4849?cid=fa83a2fec7c440b7a2795d600d6b2c7e
