"NPR Director's Cuts: All Things Considered, Morning Edition",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,Transit(ions),6BAN3aAd99anwTOAv7VmKh,FloFilz,39ZQx0618UYVBgGTDOJ2ds,Transit(ions),5iieWP46GtJp4CdEPuuX7R,52,https://p.scdn.co/mp3-preview/f4d482a79d7dddc58c5c538d0322cac889ee7531?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Genesis,4sCYKMatyhazyy6r2N7Hp2,Grimes,053q0ukIDRgzwTr4vNSwab,Visions,48a7rOjTzpD1zzJAteeveE,57,https://p.scdn.co/mp3-preview/f65d1db711cd2b661a0ec3b96e0b5fa620184776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Turn Around,2f4u3vLxgYGiRqJI32wnkd,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),4ssF0ppdJnMTtL2hg1CLKX,37,https://p.scdn.co/mp3-preview/4ca818f0482375c26a77f00d04e69bcc96f5e7f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Starman,1Yv4RohPFEKcDT8UjbIXvi,Sally Shapiro,0Guuvi7P0R6ZuX2DeL1m9M,Somewhere Else,6IKTceUeyyG0zDYOlo2UuS,9,https://p.scdn.co/mp3-preview/018aaedf7932c699fa4b62255e22ab13ed69ad0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Melody of the Soul,3jZ2E2yNHjIbDu9Q8wN3xG,Distant.Lo,7GuTpVrWoC3PocCLJdkU5s,Melody of the Soul,48O5ZyjCNhAzwJYbvaqALn,6,https://p.scdn.co/mp3-preview/aa54313c673f237f4d87c566ffe0567430df657f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Summertime,20XdEFyaUR9C7aDIdq2OAd,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,Homebase,2ELLswCKdQXUWbWxhaAklh,62,https://p.scdn.co/mp3-preview/5ccf82437961f7f4def3ae3322fc1501226f36a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Slack,1wJCpDiJeQccXuNguS8umH,Tycho,5oOhM2DFWab8XhSdQiITry,Epoch,0GXI4iAc5FshqWgIlaNAXO,42,https://p.scdn.co/mp3-preview/3f52c8e1bad67871d8f69fb4b6d5bb1e5e08cb82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,The Assassination Of Dow Jones,36HoC3CjXGG8KHrUdfxxWn,Years,3HBxI0UXjcgqw1xcBEaHWf,Years,0TgeAnFeIkVQ1t9r4A8zys,3,not available
61,The Last Days of a Tragic Allegory,5ZDj2lA7ysADXg08fNwPFZ,Saxon Shore,6aGxmrOqjSpDGvIJdId29O,Be a Bright Blue,42bm1KAdbgmq5nmG41N7IW,14,https://p.scdn.co/mp3-preview/32e7a54dc5e99cbf123679bebc255ab32dc968a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Border Monument,3OBsYED5uifujx18lGDYl5,We Came From The North,1Gz4eaCY3apix9Wd9wBznb,Faded Giant,7cHcwU8cHjjcxxFbnmVGr3,13,https://p.scdn.co/mp3-preview/fb5a16c2c1345e8bc440530bb76a421a4ac1eec8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Sweet Silence,0Z27CXr5kj7RNY2bsj5ctD,Flanger,4wPUK25WzEBnHckK1y8p5X,Lollopy Dripper,7l2ZDAjRW9IzO33v5kRR4I,15,https://p.scdn.co/mp3-preview/e131deb23ecd8628610c352bc0cae24535e90d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Hotel,0PKOrcKgmAG7OTSzpFosda,The Antlers,5o8Wylae9k23IEJMIiwd8s,Familiars,5vsoo3OTuDAJkeOMsUpYMK,31,https://p.scdn.co/mp3-preview/9102bdbf7fce92a1689ef961240d12e34ce0d461?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,7th Sevens,3AW6V6zWH45jI7eNPnSDfT,Bonobo,0cmWgDlu9CwTgxPhf403hb,Migration,2T64N96AVfsrRFJCUXQEoZ,48,https://p.scdn.co/mp3-preview/82856cbe9cb5b2d6079286b0ed08612029c6f74f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Perspectives,5WHwgHKeQvs7JNTCkn2BSe,Christian Scott aTunde Adjuah,2q37Nw8NND2z1T1KU5XVfn,Stretch Music (Introducing Elena Pinderhughes),7nmjMOOQlDxZWfKGDRy9Hb,33,https://p.scdn.co/mp3-preview/5df926062ae66b4148b67670c0fd16e93821bb24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,The Line,6GC3TeWjLc33lvHgSSrfGP,Ahmad Jamal,6gc6oo3u2f7SqTd4mhe81O,Saturday Morning,5uYE2o9Owb4fdTDHwa0wmX,8,https://p.scdn.co/mp3-preview/e2ff55789c313dea18798435e9c55c59c7f16409?cid=fa83a2fec7c440b7a2795d600d6b2c7e
