The Realest Down South,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
37,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,223's (feat. 9lokknine),7cekEHNPgpKwVd9kJE9G8F,91,https://p.scdn.co/mp3-preview/66004e52c8bdda0d39a9aa99bbc549df1a4e15e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Poor or Rich,2pyemofcQsYJQCwNYITcZw,Doe Boy,6aLoJJxz7MV2iZ423S8tJC,4 Piece,2JHQHN5knVlaSLqfHYEywJ,58,https://p.scdn.co/mp3-preview/b355155ae03182b992a2d554cd15a79cd37f466e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Hold You Down,5HdFkD5LlBRkY5jkAKopga,Quin Nfn,3M1quhETLChtt9NHKVaajX,Hold You Down,6HdKHn52eAadMNXK5EJjh9,57,not available
40,"Pink Toes (Offset, DaBaby feat. Gunna)",0W1ZfgXpC23RYQPDq7RM5I,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,75,not available
41,Stop Calling (feat. Key Glock & Tay Money),570fgRkd58jDYC4uYAg74V,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,Stop Calling (feat. Key Glock & Tay Money),24ZyrExx41cMhL6XwuHBqZ,63,https://p.scdn.co/mp3-preview/cb92f3ad64abbe2a3961dd22638b01dcbd15371b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Chump Change,1E22Y5pibF2TVxk2X0jcdA,Blacc Zacc,2VdDGrsKkzCfR9AG6w5O92,Chump Change,6Cs4BTpH4AgHcFS9amNaFW,39,not available
43,Ashley (feat. DaBaby),4gH4e5ENzVDg4N8fOp2vDP,Stunna 4 Vegas,44IvvHRk2XF243QLA2VOa8,BIG 4x,1ZnnZq7opRLmwMh8POrG72,72,not available
44,Bank,0uqJQ1k1N63nl4tAYW8t2A,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,67,not available
45,Swap It Out (feat. Lil Duke),1eNK2dRod6oZv2eVNJS0Ej,Lil Keed,3uJx5SnOM59Li7lCxA3b29,Swap It Out (feat. Lil Duke),0uskTg4yMzqN1g2TdfmKMt,56,https://p.scdn.co/mp3-preview/c198af4f734bbeff6524012e3677008dbd7af02e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Playli$t,08sJHNdY24aL80MK1HoXpc,Trinidad James,0I5HubncQ8E1MFZOlPDY4J,Playli$t,37GK8bJX59J3eRnGsqqzt2,46,https://p.scdn.co/mp3-preview/e8d41cd403235898bb2226d185ff303d82dde817?cid=fa83a2fec7c440b7a2795d600d6b2c7e
