New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
72,Bad Girl,36vGWsPoTnPTRDthSBFsIh,Fantasia,7xAcVHPiirnUqfdqo0USb1,Sketchbook,3ZiIwgwnsdOhVtPDiRcWlK,48,https://p.scdn.co/mp3-preview/113c236a320265a5ccf869b036fe9fa4c1e1d887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Uniforme,0wMs7DPFOnToNAoecvAFQc,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,The Academy,1faqBAWocW4ZOe0OFjudGw,66,https://p.scdn.co/mp3-preview/a5cdd3c620e157404094741b656eb33787fa7e9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Freefall,0ECBCKd8Ds03fGGkqtp7OC,jame,7BCoj7K3f0w1lsZq0EKxgo,Freefall,4ojnzKPmFfyGpGNz0nq3PK,41,https://p.scdn.co/mp3-preview/e411f1283e978ad811870e9ab0d7bc749e9483d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,H34T RISES,5rf4KMZzIVT3x5z0oypUmb,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,H34T RISES,4NDq41ZG6ALoWFKcEPC5HO,42,https://p.scdn.co/mp3-preview/fb7c6592f9c69a4e3e815fe4dc248b5df9e020e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Amsterdamned,5VkKghJxtZV1PHBSvmb2kw,Yellow Claw,47z7ZrgFoBvVpCnElCE3Zh,Amsterdamned,06k0nZKgUToaxLNbhsi6Ib,55,not available
77,Lovers + Strangers,7FCZhkhzEUVNUAlGauNKIe,Starley,02A3cEvlLLCbIMVDrK2GHV,Lovers + Strangers,25sQqb9Bw2zbBLXQGJwFRG,48,not available
78,the end,5j7BSPFNuDiiszA2SZllTc,MisterWives,5ivCbtrcD5N4rD337xIb2z,whywhywhy…the end,3pATkUpixuB83NrGhnKVRg,53,https://p.scdn.co/mp3-preview/7bb81377e7b1b05201200a3ab6bb82ae6269fed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Where I Belong (feat. We The Kings),6XbmIuDxm4gWpVYoGg5DQX,Simple Plan,2p4FqHnazRucYQHyDCdBrJ,Where I Belong (feat. We The Kings),4m7sJnkRPKWdyNa87dxCER,57,https://p.scdn.co/mp3-preview/0d8a0120f453be9aef799e95b05419b704bc99c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,I Told You,46frPLWZuQlMLyelCLYpL0,James Blunt,7KMqksf0UMdyA0UCf4R3ux,I Told You,50jh9JaOKYIxjRnmeUkpvY,58,https://p.scdn.co/mp3-preview/0cadcf3c06144b79fdf279f0c487ef021a590e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,untitled,35XEfip4wHj4HwLYyPDWT5,EDEN,1t20wYnTiAT0Bs7H1hv9Wt,untitled,1tyt0SNObvpqXUYFUB1Zee,62,not available
