Behind The Lyrics: Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,151 Rum,3gZQk9T3uujQhqaNO7FZbZ,JID,6U3ybJ9UHNKEdsH7ktGBZ7,DiCaprio 2,5QTC2PR0kH8CbzlgLczD1M,0,not available
26,Fine China,5274I4mUMnYczyeXkGDWZN,Future,1RyvyyTE3xzB2ZywiAwp0i,Future & Juice WRLD Present... WRLD ON DRUGS,6P9PZjWXoCRF5b66BafPKY,80,https://p.scdn.co/mp3-preview/c068b4ce494bfd5db193c38d4e911296de3b43fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Zero Degrees,3DOXk5K0B0AZYpdhtTzLMp,Matt Ox,2J6pigOrBmKQgqJUY5UM7r,OX,1G9HMZ2u705NwXpXv9oudN,41,not available
28,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,Post Malone,246dkjvS1zLTtiykXe5h60,Sunflower (Spider-Man: Into the Spider-Verse),47LpgGVshd0tbFSbm9tTLb,28,not available
29,Better BE,6Ku9hzYO9Qxpgz5QvkW573,Soldier Kidd,7BA072InWOjB1X7MZGOloy,XXX,5ST01EmiLEeS8DDg8pkT9c,47,https://p.scdn.co/mp3-preview/0c0f71953e24519d219398b933dbf43db276f71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Harder,2yXnY2NiaZk9QiJJittS81,76,not available
31,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO,86,https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Tints (feat. Kendrick Lamar),1gnwGVoG7V08vMX3hyr90x,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Tints (feat. Kendrick Lamar),2MdTsQBOs71AZuqETMyLY2,65,https://p.scdn.co/mp3-preview/2039bbc54b5ae30b411ea6cc4d9074919d96fa8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Father,38P2WrYCtaTvn86JX6VZQI,Fredo Bang,4yTmEo2clwWq2jwelvqgVv,2 Face Bang,1cyiNJvPRM2DW5FnURb1cO,53,https://p.scdn.co/mp3-preview/3af9a54aae5378b4d81372339592f6a6c1b9688d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Lean Wit Me,29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,2viWIVEItaDlFH2RXWKwS7,9,not available
35,Sin (feat. Jaden Smith),1Jl21sidRpEdlVBvYbssLx,Young Thug,50co4Is1HCEo8bhOyUWKpn,On The Rvn,6VCDStheOuhrQaoYbHP2iO,73,https://p.scdn.co/mp3-preview/a0e51311ef4f126a56892a3d6223e2430092f437?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,DR. WHOEVER,2qpX5WY7A7uLLLQfFpvRDK,Aminé,3Gm5F95VdRxW3mqCn8RPBJ,ONEPOINTFIVE,4mwO9qIVmngSe7yR5Ios0I,63,not available
37,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard,0LfKQSbicPG4QTTVkS0fes,15,not available
38,New Patek,0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,New Patek,64eE6FnNj7UJ9LEkN4EbvS,76,https://p.scdn.co/mp3-preview/7230641a984e8b5952adf5f49fb991b58ebf835a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Come Back to Earth,01z2fBGB8Hl3Jd3zXe4IXR,Mac Miller,4LLpKhyESsyAXpc4laK94U,Swimming,5wtE5aLX5r7jOosmPhJhhk,73,https://p.scdn.co/mp3-preview/df6cba8215d6607251ad69e032445df6538b7289?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Fuck That,75T8ffHTOQHyzwoSwXHbyX,Yungeen Ace,7hj7ffJe6UkF1gsMpuweSI,Life of Betrayal,6eA4QpYSIaIqb30yNtAlQQ,52,https://p.scdn.co/mp3-preview/43661c91b285d1da1c4d33b81ab4cb260044c81b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Virtual (Blue Balenciagas),792MY19uNkA4SJBqdw5a84,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,Virtual (Blue Balenciagas),6QgAHTXFBvzHAznTeL8AIc,68,https://p.scdn.co/mp3-preview/bd2ff6a102d3c701a7a265262fb3594a1c60d624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,CUTTHROAT SMILE,3C3UGD7IoKlYCaT0tDNbFa,BEXEY,3PXR1cXkJk5aOekoGOtWFA,CUTTHROAT SMILE (feat. $uicideBoy$),7MS2glaBMbKgnxfs5hot78,56,https://p.scdn.co/mp3-preview/a80767212f5e286f631ec64566b73bb68ef98ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,IDK,6NsheduXyWbGpCUIAPWr4a,Kid Trunks,57SA5Qv24Vydwd6bJnV8fI,IDK,1s34nBdBeQYTmh1j1E9437,50,https://p.scdn.co/mp3-preview/3385f2e838e6fb135e6875b7e0df77f1a46b2a8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Work Out,3PdgIdRXJjgxfOr7slldel,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,Work Out,53vsM5JN76NXiv7aj4PXK1,61,https://p.scdn.co/mp3-preview/0fa9633914b3d02670b4dcad5ec47cb85279785a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Ridin (feat. Landon Cube & YBN Nahmir),1zQ6uJovEnJTvExEfAL6vT,Yung Bans,6WkUZyqghQei2G809wMKuZ,Yung Bans Vol. 5,5SUCWEBHIyHPet1gAdSsPp,68,https://p.scdn.co/mp3-preview/035033450a33902a89df266c6f79ee917149faa3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,CLOUT COBAIN | CLOUT CO13A1N,0UgavZ34yLBu8LtA6Bwxch,Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,CLOUT COBAIN | CLOUT CO13A1N,4u0jcVRikLvkom61PUG1j7,63,not available
47,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,LIFE'S A TRIP,214f4uAY0p2KgY7Fl4fBgk,77,not available
48,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,BULLETPROOF (feat. Jay 305),1qUdAB72nSWPZwDqH9KMYD,YG,0A0FS04o6zMoto8OKPsDwY,STAY DANGEROUS,5IYvKd22yQkJRfoIStesbX,59,not available
50,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,NOT ALL HEROES WEAR CAPES (Deluxe),3IO8IPjwXuzPJnoaqkwYrj,79,not available
