All Out 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Come on over Baby (All I Want Is You) - Radio Version,7A0apkTSTvMbSI7yplcmlh,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera (Expanded Edition),6fpPZS13ImRVpr7Tqs6yP9,65,https://p.scdn.co/mp3-preview/3e157a2bc80b66474fe111ded3a7dec6a68a0160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,I Wanna Be the Only One (feat. Bebe Winans),5TECNR8yaiiZMyEqKGg1W2,Eternal,7zYGAXxAaq15C9eM29M8Fj,Greatest Hits,7DnqVGLeNaWKsTmDT4PEui,51,https://p.scdn.co/mp3-preview/a6e132ec00c2739db8e9bba59c70f9fa4d23a6ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Say You'll Be There,1yTQ39my3MoNROlFw3RDNy,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,67,not available
48,Angels,1M2nd8jNUkkwrc1dgBPTJz,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,Life Thru A Lens,31Sx9uz9KqlvmX07Pvp0wN,74,not available
49,I'll Be There (feat. Trey Lorenz),2fXNIyzcOjc5Otknzsfi2O,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,#1 to Infinity,3FSCbVL6dGzqkHwn7LYqxK,48,https://p.scdn.co/mp3-preview/641fc8174dbf57bf2d542e6b55d987fe95f7c5d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,She's so High,7mnGQesk1TzQLzQ9bYWZPR,Tal Bachman,3KEb1kbIZN5jumsjFEWgSW,Tal Bachman,3v17hBg9lx5vdJQ8Dfr6OD,73,https://p.scdn.co/mp3-preview/4554c4f666f713acc1508fdd8f24c709f21e5fe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",225xvV8r1yKMHErSWivnow,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,Armageddon - The Album,4f7HKjBnjpMsDBDTHYV890,77,https://p.scdn.co/mp3-preview/cb807aca1786ce663e5b533a17508df7ece2544a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,What Can I Do,4rvT5iZVOCJeXZrDvy6JFK,The Corrs,1VbWUxZTRNY2gw3qZ1tg9W,Talk On Corners,1z8ikMQ0VmMJDPmeiKY3o5,64,https://p.scdn.co/mp3-preview/e7f09f21f29504ef8f3bb2a4fa1617ea0e9710d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Mysterious Girl - Radio Edit,3GCpEbJzknVdpvx9WI03x3,Peter Andre,4zVfvSWs6FvSD6B5lQGs2S,The Long Road Back,5SzHkxYKPIK4LcGaJrgnNU,65,https://p.scdn.co/mp3-preview/8e2ca5ef08d7f07ff643b0dc58614201b6627034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,"Love Is All Around - From ""Four Weddings And A Funeral""",2DZ0asZUifcas2aTEi3SrZ,Wet Wet Wet,2u0gw0uCWBMiqV7h0N8kai,End Of Part One (Their Greatest Hits),05V9FJZOsE498ehrRqt0qk,45,not available
55,Relight My Fire (feat. Lulu) - Radio Version,1EflNuGtIko1YjBAmbZAQr,Take That,1XgFuvRd7r5g0h844A5ZUQ,Everything Changes,602GFhC2XWPK8WeeaTUysX,61,https://p.scdn.co/mp3-preview/5e841de56b0c0edbb7ad38f160dc490c737c7e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
