State of Mind,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,75,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,75,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Fendi,6yOjonk24vCo5oRnoemWQC,Mmbvelli,73fEMgbNiY5dc2BUu56hMA,Streets Don't Love You,26B5WmNWUoyOjd92uu4qGo,43,https://p.scdn.co/mp3-preview/60ff3d27e1bfc3767225ab62a17e8a4131369a4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Lilly,2buuesSQNcXtvL0XBwGav5,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,60,https://p.scdn.co/mp3-preview/595f92a662a63baf0e50cbffbeaf866d26bd5f92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Somebody To Blame,1MHPezv9Myy3yoMcZWwdyy,Doley Bernays,16WMnfMmfhqT4XWD9bkPch,Is It Fall Yet ?,1tP3PUoE28sSR5ZoICHYLH,37,https://p.scdn.co/mp3-preview/f3568415b480c717059d8b9cad99a32e9356e1dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Drive Way (feat. Azul Wynter),0nkwj667p0oMEURBST8Nyx,GASHI,0JOxt5QOwq0czoJxvSc5hS,GASHI,1fd9ERd2XLppseTB8bTbBW,57,https://p.scdn.co/mp3-preview/c101c4987b0f1fe0e5eb97110c67a9b241a56d77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,LV Smoke,65APBxUtoaJnO97ohduFmD,Ryan Trey,5YHM0i7v5TqqibZhS0YiuX,LV Smoke,2a6VzBrlPdO5cxEwt15wME,60,https://p.scdn.co/mp3-preview/fb6f639f58ac712c5cb26797068024605202f485?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Rudebwoy (feat. Joey Bada$$),36H64KxCcXoYlybYtBApqq,CJ Fly,41yEdWozNYEzA2RfgYQHgr,Rudebwoy (feat. Joey Bada$$),6IFlJoyD2owxC8cLaJWZXq,59,https://p.scdn.co/mp3-preview/f600dfea37863dfdedf042b1fe209cf8a108202d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Monica Lewinsky,1rS0eq80peCPCgfT2t0Kmm,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Ghetto Lenny's Love Songs,06vukn88R2dOCd6sfMaogd,71,https://p.scdn.co/mp3-preview/274b9eac8c9b25927c22525b237d16ed7b490fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Get You Sum,1lroEK8T7V6lQnFHMJBQkA,Smoke Dza,3kf0gOpxWtkyeMNJVDQPtd,Get You Sum,6VUFUpKVCDtazOS81sIOR5,54,https://p.scdn.co/mp3-preview/74a2aa45814774c30799b6fe9652d39767f96f97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Peter Pan,3XXVtfAkTYBzhK7yfp5HPh,Kemba,0oZASNXz7lmZGoXFh8GnZM,Gilda,1uCv6gKoP1IlE5Y4R7t3rt,45,not available
44,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
45,Zoo (feat. Tee Grizzley),5SBOdLSx6cOKFLyDZXdtOj,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Zoo (feat. Tee Grizzley),0ZNDVHEPSJno1D7LnPSOar,61,https://p.scdn.co/mp3-preview/43eb246dc2d4b944ba85e0bb616c108782bdced4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Waikiki Flow,7uxlLOOwa0at9Yh2uW2uRW,Shy Glizzy,1DvtabXAjfrMihPP6JQdHs,Waikiki Flow,6JUEHJEXq2ohh8kq7MrNQI,58,https://p.scdn.co/mp3-preview/8cb14fd6d5a56390d60eb3389ceafef148942543?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Love And Loyalty (feat. Manolo Rose),45LIIWuEnGWQifDpFOghEF,Maino,20apXQGKM00jJTvYfyKwlb,Love And Loyalty (feat. Manolo Rose),1YLZ1AjFQNPx1hGog4YOvB,43,https://p.scdn.co/mp3-preview/ae536ca043c40946824c3af08e98d2ef29cbe96f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,New World,6wYlH8EBwJmd70i4HLRlIu,Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,Ghostface Killahs,7EYx33pYJKBfjCaDsfIjp4,53,https://p.scdn.co/mp3-preview/5e78dffc39e10e2aacec459411088b2aab6b6774?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,So Brooklyn,2ilkJUTXjd773UKTo3tZe6,Casanova,6dXsR7VDJvXnF1LTZlwULx,So Brooklyn,6GyFv0GLkVUF3X5kTAzFxm,59,not available
50,Peach (feat. City Girls),2G3CKfjQjwbjHRh8lgsefl,Pardison Fontaine,7Gkyjs2OYQpJdOvvmwIz2Z,Peach (feat. City Girls),5JqffrwWEXAVCArbzvvMGi,57,https://p.scdn.co/mp3-preview/48c6ed8bb070903157f92e92239593b8265f6a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
