All Out 50s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Don't Be Cruel,01u6AEzGbGbQyYVdxajxqk,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Golden Records,0C3t1htEDTFKcg7F2rNbek,63,https://p.scdn.co/mp3-preview/55f71e5caaccf649dd8c1ab9742cd0c09e1e65e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,You Send Me,7fPOOCejoBt3dIm6UcEdm8,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,2y8HUdUGjoCEVhJtivTPjC,7,not available
35,(‘Til) I Kissed You,1vVY5vd4kowd70TdTuEjfV,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Top 100 Hits - Rock And Roll,2YVKgCKM0IgHxxmLzWutm3,5,not available
36,Dream A Little Dream Of Me,3vFVS2WYHDG4KkWCNecvpn,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella & Friends,5PwtIbLxUKAgPU05eqT6ja,8,not available
37,Unchained Melody,0kjR2WOZOUVO33MBrEtKkn,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,The Essential Collection,3JyLurttPB5NgQ0WRnhnkK,34,not available
38,I've Got You Under My Skin,1hSlBR0fAUCyB7jNtztE1s,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Ultimate Sinatra,0Cx7IYEdG2T70z9xFknhDT,9,not available
39,Peggy Sue - Single Version,1a4YRgItMM4aGilIg99elY,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,Buddy Holly,5XWRJhJ3Uc5ndutOMtjSkf,11,not available
40,Smoke Gets In Your Eyes,2vSxjnyrWrtxyfzO47EX6q,The Platters,6KWcxMWVNVIYbdOQyJtsSy,Remember When?,3hf24dCfmmDihusVyBLliZ,62,not available
41,Diana,4chlGZQX5uPYpRLp3NezmX,Paul Anka,7ceUfdWq2t5nbatS6ollHh,Put Your Head On My Shoulder: The Very Best Of Paul Anka,75zBkbUSaFzpyPa1mBDjON,53,https://p.scdn.co/mp3-preview/552f07cb0f0e4c3b61cab6537048ed181361284a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Big Girls Don't Cry,3VPJVon5HEa2VGZC62RJfW,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,The Very Best of Frankie Valli & The 4 Seasons,0NUEQILaBzavnzcMEs4buZ,53,https://p.scdn.co/mp3-preview/f1dcb7e6263928fca20e7b3fca3d4cb041e4b46f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Stupid Cupid,71uRTq9mNhaSMbrry5nIC3,Connie Francis,3EY5DxGdy7x4GelivOjS2Q,The Very Best Of Connie Francis - Connie 21 Biggest Hits,4Y0FGsHJJbexHT2LPzUGFU,8,not available
44,That'll Be The Day,3wvZ0ZS3alz4zH2CNhR3AC,The Crickets,4r7JUeiYy24L7BuzCq9EjR,Rave On: The Very Best Of …,4FDsAwhD5dXXEkcUdG5I59,8,not available
45,Jambalaya (On The Bayou),1slMt4LizkO9dVcMZItJ1O,Fats Domino,09C0xjtosNAIXP36wTnWxd,The Best Of Fats Domino,0aJTqumjo0IA5saTW58Xzm,9,not available
46,The Great Pretender,2FkCjtQ1lYsf71s2FAS8hE,The Platters,6KWcxMWVNVIYbdOQyJtsSy,The Platters Golden Hits,7l3vhUqMYbu62TIKSocf4B,63,not available
47,A Teenager In Love,0QGwOFQChzflLAmPq5NwKo,Dion & The Belmonts,2loYllWFfoWpoxC5YrJKc4,Presenting Dion And The Belmonts,6z1hD32vUCvJZVjVZMv7el,62,not available
48,I Left My Heart In San Francisco,3nr6QXimwd9K4hpuFdgr6N,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,The Definitive 60's (sixties),4B5tAsWRbuik1yAOzdZcuX,5,not available
49,Everyday - Single Version,6qfIne1xNg5GDcmg73x0N8,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,Buddy Holly,5XWRJhJ3Uc5ndutOMtjSkf,10,not available
50,Hound Dog,64Ny7djQ6rNJspquof2KoX,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Golden Records,0C3t1htEDTFKcg7F2rNbek,70,https://p.scdn.co/mp3-preview/f683997c027a50649aa3b6c627cd67bd1a9364f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,He'll Have to Go,7DH5dXVuQaqcKf9oTy9oUN,Jim Reeves,2Ev0e8GUIX4u7d9etNLTXg,The Essential Jim Reeves,158F4r9awKr4bs7X5E49JA,55,https://p.scdn.co/mp3-preview/c0a9bc3dfd30c45748f7acc2e6f19290f0402abd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
