75 Years of Blue Note (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Beatrice,54fE5FXqRxVrr9WeDiM2q3,Sam Rivers,0DNuWm5ZBKuCIXLNmrzuk5,Inspiration,7B189Dp5H5IifuJEvdZi4U,3,https://p.scdn.co/mp3-preview/5276f835c8be7b4e00662ce1b27ba4a08e3be927?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Spirit Fiction,4p01BLmfsShi5bv8y07kHj,Ravi Coltrane,7acdJJMSkYQly2X92K3u7u,Spirit Fiction,1BMOMhs3hpzW6PblKlGZcU,8,not available
12,You And The Music,2fDPe2A5TpVwffJQhIOmZu,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,Places And Spaces,6btV6MDYhXZ2F6ZKKUfvdh,34,not available
13,The Sophisticated Hippie,3IZSx0oSDctAJyl95ZDhPl,Horace Silver,5ZATfKurLqflrBhv2FLht5,Blue Note Trip 10: Late Nights/Early Mornings,4PZssMQ97u1FOh9hXEc96E,0,not available
14,Plaza De Toros,0xa6IpXH766gq9prbIGdHb,Larry Young,6Y6kAZs0W9NNsxNbpImPvq,Into Somethin',6jz1LVL5ZczIGFMvuluVqy,14,not available
15,Meat Wave,4RilEDqWPgJRhwALvtOWB9,Stanley Turrentine,2dRsXWVnkku2cMDtV1h6NP,Easy Walker,6TKMu1gTK6J2ZnTwjKUulJ,9,not available
16,Round Trip,34JqB0yAy6MK187Dsc3jOz,Erik Truffaz,6U3cvMmHIab0CAGtC5tRY3,The Dawn,240v6NAueG8UI6rdAUk1Ok,13,https://p.scdn.co/mp3-preview/3495efe7a921b1a0b926f20bc84dab2e4fa24241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Indian Song,3m9EEfPHTfQgGz8WpjnVcH,Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,Et Cetera,7sNYZdD4oLCFJgASOsfO7B,12,not available
18,Waterfall,40Eo3eOwPvsdwLcHwCZvkV,James Hurt,66A077KS2hWs1ajEfyiB1c,Dark Grooves Mystical Rhythms,0Oy9vT5suPuON0z0toaOTs,2,not available
19,Out To Lunch - Remastered 1998,6BD4u2tOTHMlACAZ8gX0Gs,Eric Dolphy,6rxxu32JCGDpKKMPHxnSJp,Out To Lunch (The Rudy Van Gelder Edition),3PIVqZzL1PnrxFZDzuT1aX,23,not available
20,Epistrophy,4xlnMVhstDqLB9T7cEr4Kc,Art Taylor,3CsHGnB9qK3KYH7xmyGAGX,Epistrophy,1kSYi4Z8OCtyEaBKhpyb6m,1,https://p.scdn.co/mp3-preview/c7f9e3d30959dce7a9d02748ac5a2859454f23a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Chili Peppers - Remastered,7zf6M8aLrtenijkHkMIAZj,Duke Pearson,2SZ1e7QHN5jon9tpSpQl44,The Right Touch,7EKS9Uqb0JT3ETU2snZNs9,10,not available
22,Encore,1ObPO1v4R4O4cvzQa8hzDo,Bennie Green,2hnu0reSXt41AChIYyo4sU,The Capitol Vaults Jazz Series,1lpvQ51NoOJWqJrU1IRlz4,2,not available
23,Theme For Relana,1bYIZF71FJVYlqz4EapAE5,Gene Harris,7HZokAjDop6Gjgtghfr8lp,Capitol Rare (Volume 2),0klkggrLdfgJc1CmkFjIwM,8,not available
24,"Move Your Hand - Live At Club Harlem, Atlantic City, NJ / Remixed 1995",77VOpdA9vhVPwmw74OUSqo,Dr. Lonnie Smith,1ZpPJRe9erwiWi548SKVyn,"Move Your Hand (Live At Club Harlem, Atlantic City, NJ/1969/Remixed 1995)",7M2RIgJQQiSAQjHJBnPxIc,18,not available
25,Black Rhythm Happening - Remastered,2dSxJqah1Q6S2T5Q6cmPZZ,Eddie Gale,7EkZReKcX6KzLURq10LahK,Black Rhythm Happening,2Tdl866cT9PVYkLve7K3BA,14,not available
26,Summertime,35CIzWhw5CrUzoCVUUCLew,Sidney Bechet,1RsmXc1ZqW3WBs9iwxiSwk,Summertime,4KxSwtrH4Bd69vr4zm5u99,0,not available
27,Elephant Walk,1VqCqTjnkuwN2IW6Amo9fL,Art Blakey,6QQuESLtKhAOcLW2TeWC2t,Elephant Walk,1HChnsf6dxoOogvfA1kJSu,0,not available
28,Song For My Father,5klynmZw7TdqVsGvaxQH57,Horace Silver,5ZATfKurLqflrBhv2FLht5,The Best Of Horace Silver,0f4Iku8uXyH9ZANdbpWUoT,47,not available
29,Montara,6rWxDeLlbqCbvX9MSP4P8u,Bobby Hutcherson,3uO6HG2JwyP744sg4PMmg5,Montara,1H1YNCF5NkXfKQaHp76ILh,1,not available
30,Montara,33wRvFbDQg0WSZPkllRu9P,Madlib,5LhTec3c7dcqBvpLRWbMcf,Shades Of Blue: Madlib Invades Blue Note,6QGGYDDGDLHrg7d3DOLlBT,0,not available
31,The High and the Mighty,0xORrJvZRiA4d2LJ7EPU5n,Jimmy Smith,5GXruybcLmXPjR9rKKFyS6,The Incredible Jimmy Smith!,0UnJkpRasb1VyyTgzCIkDh,0,not available
32,Dem Tambourines - Remastered,3as8ZB90IBjKQRdAJWriCX,Don Wilkerson,6wLAT0j852VpRG5HzsiGUg,Blue Note Trip 8: Swing Low/Fly High,6smILQiWWMsuGDl5MlGNng,14,not available
33,Hi-Heel Sneakers (Remastered),14zMKbGJwzLZpGEFvAeCwj,Blue Mitchell,420BtT2Zyze7Eb9zqHcliW,High Fidelity Jazz: Soul Jazz,38uXlAI5r5OCPCp3tx9XQc,3,not available
34,The Sidewinder - Remastered 1999/Rudy Van Gelder Edition,1dZHIbmuBDAwXfQOM4dyM3,Lee Morgan,38C3okxv3fyyOIQUVPCdGX,The Sidewinder (The Rudy Van Gelder Edition),1n1trPeeY9Q5H4eLbbHHRg,48,not available
35,Get Out Of My Life Woman,4D3YSqzakGAveLKCBMd2vh,Joe Williams,7FMGtucexJvUxVz7scydEL,Droppin' Science,5AMazalQCvybGjp306N87X,10,not available
36,Bambu - 1997 Remaster,5e8DhbY23sV98sn5NT9CpG,Reuben Wilson,1lkarpPUSukugn1UWuU2Ut,Blue Note Trip 10: Late Nights/Early Mornings,4PZssMQ97u1FOh9hXEc96E,0,not available
37,Succotash,72y7ms33KSZnEFYN6K5KHw,Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,My Point Of View / Inventions and Dimensions,1oiHcHPfcCiVByrPIvdYms,0,not available
38,Mahjong - Rudy Van Gelder 24 Bit Mastering/1999 Digital Remaster,6TwPabnj1LeqVsmRJVYqY3,Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,JuJu,46VoobaZCtFPReElOHFEqq,23,not available
39,Slow Change - Remastered,6bQxRcBQh7PzCyNOK8WM0z,Bobby Hutcherson,3uO6HG2JwyP744sg4PMmg5,Now!,64Q2k5NKlArYdQ90PTgJLx,16,not available
40,The Rain,1PSmQ4AsW80CVqcztJZ4zz,Eddie Gale,7EkZReKcX6KzLURq10LahK,Eddie Gale's Ghetto Music,5s9oW0rlclNDSXlFqiUHJF,11,https://p.scdn.co/mp3-preview/2b3aff22bc2ddcad5f3fbccd24eb92747d4c8040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,The Beauty Of Dissolving Portraits,7Bl0VxJN1U96NbVEkytBUD,Ambrose Akinmusire,4ai53dgSBGhQwcFtGyY1bF,The Imagined Savior Is Far Easier To Paint,2fFRpTyEaRfDv477Tbw7rQ,0,not available
42,Wind Parade,4okz1TH0GeLw3J51pNRDGd,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,Places And Spaces,6btV6MDYhXZ2F6ZKKUfvdh,45,not available
43,Lonesome Lover,6OoiLSZC26WY2FU1VvmShs,Gregory Porter,06nevPmNVfWUXyZkccahL8,Liquid Spirit (Deluxe Version),4HVY2UGhxlZseyDu3EqcQc,0,not available
44,Melody For C,5x7wBlhXOudcsyGb61HKl4,Sonny Clark,1Sc9ykJB728MAZab1Ocwy8,Leapin' and Lopin',73ZVVyleySfcbOxNBlOEIZ,0,not available
45,So Tired,3ZWXta2JgebFCOSwP5zJBS,Art Blakey,6QQuESLtKhAOcLW2TeWC2t,The Big Beat,1cRKkDqp6P3fKgSK9qJFEX,0,not available
46,Meci Bon Dieu,0IoSkt5jCRP6ptoIlyxKZ9,Charlie Rouse,4WjOiUFD5b9kpa8LfdxkvM,Blue Note Trip Jazzanova: Lookin' Back/Movin' On,5xAymHaEllHdMWol6Fl5Wq,20,not available
47,Off And On,2cbDAtyOaDVwmUSAuIkEAP,Moacir Santos,74Hj9zxTTcTgjv3Kh0PozZ,Blue Note Trip 10: Late Nights/Early Mornings,4PZssMQ97u1FOh9hXEc96E,0,not available
48,Assunta - Rudy Van Gelder 24-Bit Remastering/2006,2dtZB9UDLxJuWRSll8pdCL,Freddie Hubbard,0fTHKjepK5HWOrb2rkS5Em,Here To Stay,7mtewQM5RycRtEtGYAlLH5,22,not available
49,Groovin' For Mr. G - Remastered,7ndFvLOTd55CSajPeKMZ6M,"Richard ""Groove"" Holmes",7izkpvBGc31hUccjdSNz8k,Comin' On Home (Remastered),5oPeQLjEd4kGlzu9uIpRId,33,not available
50,Rose Rouge,1divptdjcWXvF1aflfTQnw,St Germain,484sZUYmnRXN84zmk3GY1n,Tourist [Remastered] (Remastered Version),0YqCvOMhp8enM01an9Nntj,58,https://p.scdn.co/mp3-preview/2a132c00bc7fe325b5a0ca3c6a3089e29e580b82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,The Gods Of The Yoruba,4NpoGJzdrtmagulFWT74lE,Horace Silver,5ZATfKurLqflrBhv2FLht5,Blue Note Trip 10: Late Nights/Early Mornings,4PZssMQ97u1FOh9hXEc96E,0,not available
52,Uno Esta,1UUiCkIBFNgdL3PkkGf4YO,Bobbi Humphrey,0JbqyQSsMK7TavqlR0yNON,Blue Note Trip 9: Heat Up/Simmer Down By DJ Maestro,5iZl4cLI60EjKxkdo68qLO,11,not available
53,Think Twice,1vq6x0VSLtVUHMbNKHh9sF,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,Stepping Into Tomorrow,78LNduSEuPG5MV8lHO4PJA,40,not available
54,Trust,7HiHQpsaLd7p9wbTH1tTtL,Robert Glasper Experiment,7vZ7qmfXiu114lY0qm7rOe,Black Radio 2,7h1oZhlmSDBbZJ3tif9Mdl,0,not available
55,Be Bop Medley: Hot House / East of Suez (Come on Sailor) / Epistrophy (I Wanna Play) / Yardbird Suite / Con Alma / Giant Steps,1DJqLRHzuVBgWhIpW2Rr94,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,Chaka Khan,7ndE9iVFDmgIRey7SyZv3G,15,https://p.scdn.co/mp3-preview/7b9a685ea8d760bfdec2291a9c7064ad41e3683d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Cristo Redentor,7pghBArQVhxtDyM0BbAhJ6,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,A New Perspective,277B3J1GLDGfaCYq9tDDAk,0,not available
57,Soul Lament,0XDo6FtP2zJZiZpxwHjd5x,Kenny Burrell,1sdyFmN4bVOcuFDpTVsxBB,Midnight Blue,7ATG1o0iIxYZwnh7YNzUMq,0,not available
58,Illusion - Remastered,1CFnazl3aHbfD5sFW43Fv1,Andrew Hill,4ORSNkNYSzva169PBZCzvy,The Capitol Vaults Jazz Series,2E3C03wEjIahPdCOiUa3eU,12,not available
59,The Phantom,38ElKlZ21ut9rAgg6SkL3p,Duke Pearson,2SZ1e7QHN5jon9tpSpQl44,Righteousness,7nNTSUuLr0DYg1V3f4azLx,9,https://p.scdn.co/mp3-preview/3a368880dfa4d161895c18af70dbf0a994e3b7e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Dominoes,3s8Anp8dKObIw8Zy8uGgYC,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,Places And Spaces,6btV6MDYhXZ2F6ZKKUfvdh,45,not available
61,As,1FM8YPPZ4Zc2qdehXkxOtc,Gene Harris,7HZokAjDop6Gjgtghfr8lp,Capitol Rare,6LGnsxXSxOVxx0kTQHpTQk,30,not available
62,Latona,0VdWdKOc89hIgldDdWSJ6R,Big John Patton,1N0ymPm6hUQbmzXDuERfeT,Let 'Em Roll,6GikhGod1ea9wJLMdX7Fk7,13,not available
63,Woman Of The Ghetto,55RMAQEtVbbQt58YXVPv1F,Marlena Shaw,0hirZ8kPPdM9pzXpoagB4w,The Spice Of Life (LPR),3RUdAHsBOskqStLs3juHm2,1,not available
64,Always There,62JMqoB8NQxFxLj0h0cNh2,Ronnie Laws & Pressure,3GuRSAcGLmeKnhC6IRLmD4,Pressure Sensitive,5mBZFylK3027Vraz0Jnz7G,32,not available
65,Oblighetto - Rudy Van Gelder/24Bit Mastering,2jxxhE1eCeHwrgJs4wZp6X,Jack McDuff,0GX5PlFlvOiEdNvA7YHJzs,Droppin' Science,5AMazalQCvybGjp306N87X,11,not available
