David Bowie: A Life In Music (BBC Music Exclusives),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Amsterdam - 2015 Remaster,3jFHn2P14UisjAbaPvgZp5,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Five Years (1969 - 1973),6m9cpSfRCYltkhxl23wq0j,25,https://p.scdn.co/mp3-preview/e16f2aaa97df29c3d74b1b49ca441644592e3b3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Quicksand - 2015 Remaster,63PgfGFgAZUEzwGouciEC5,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory (2015 Remastered Version),6fQElzBNTiEMGdIeY0hy5l,46,https://p.scdn.co/mp3-preview/0eb97ee9d285819039c5011d37a110452473f34c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Wild Is the Wind,2DWsflPLz7Z5itdpfNMcV4,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Station To Station [Special Edition],359mtWK6URMr2CXK7orSZl,1,not available
14,China Girl - 2002 Remaster,7Dy1LOaEeuYOEe5k17T3Rh,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,China Girl,6VchS51lY0ox0b6YMYaoNs,57,https://p.scdn.co/mp3-preview/1d935e0b38fc2225ee7f6ae5437a42c5712cd182?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Can't Help Thinking About Me,4OdVsTYdoncamzNTZcfImZ,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Nothing Has Changed (The Best of David Bowie) [Deluxe Edition],5CeaUy7mAbMw3nMI3ezmie,13,https://p.scdn.co/mp3-preview/b85748a52cf87ecacd9ed4e256e6c6d853c32e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Memory of a Free Festival - 2015 Remaster,5CZX9eSXbz485sdMpU5ncj,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Five Years (1969 - 1973),6m9cpSfRCYltkhxl23wq0j,15,https://p.scdn.co/mp3-preview/d8740b1c51b37039be90677451a42e5bc894cadb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Always Crashing in the Same Car - 1999 Remaster,521DgRQKh2sDXmHilFIkVc,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Low,0Oqi3Mm316FRX5H9mHjF0b,1,not available
18,Changes - 2015 Remaster,0LrwgdLsFaWh9VXIjBRe8t,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory (2015 Remastered Version),6fQElzBNTiEMGdIeY0hy5l,66,https://p.scdn.co/mp3-preview/ef2d676da4cb7c7468bd9cc198885e20fb22acb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Fill Your Heart - 2015 Remaster,1p4krvaKEJWr3ou3D5IZQy,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory (2015 Remastered Version),6fQElzBNTiEMGdIeY0hy5l,44,https://p.scdn.co/mp3-preview/3c7db5dac0001723f689eff489238e3a789fd6d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Letter to Hermione - 2015 Remaster,44tvF7bl639TEqkz56pu5D,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie (aka Space Oddity) [2015 Remaster],1ay9Z4R5ZYI2TY7WiDhNYQ,41,https://p.scdn.co/mp3-preview/c6ab6bf7c3744e328d3e38a33cbc4e8a999742d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Absolute Beginners - 2002 Remaster,5PBFhuXB9tgBaP31nfbkS5,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Absolute Beginners E.P.,4YfMtOTb3PcIbv5VI6zibX,45,https://p.scdn.co/mp3-preview/78503511945f021dc01f4752e9fb9785e42847c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Heroes - 1999 Remaster,5j6ZZwA9BnxZi5Bk0Ng4jB,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Heroes,3lFioPGhn7x5Y3H3YbPV83,25,not available
23,Where Are We Now?,6NPaDvREjeb1aGSzzZM18V,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Next Day,38zYQjUvLCnJvnx1lN9rN8,0,not available
24,Space Oddity - 2009 Remastered Version,3sb66av9ZpdI1JmPDHVa18,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Space Oddity [Space Oddity 40th Anniversary Edition],5PfAboDCGnNBqBKnMyOLB7,9,not available
25,Ziggy Stardust - 2012 Remastered Version,2h9h3uJyRAb54OyrQK33lA,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),0745mDdMqet9J5nO5x7IQS,10,not available
26,Lazarus,2pEfM4ipdRlvZwfEHMhDcr,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Lazarus,08dHFRzLD8vwTnbbyorU9V,34,https://p.scdn.co/mp3-preview/a8d5a6f1796b7896aefc89bc5d9cacc39ee7129a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sound and Vision - 1999 Remaster,7FZmtRAfaMQjGZUVvhof8F,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Sound + Vision,5zvy6zyWxnUUyNKnTOVrad,33,https://p.scdn.co/mp3-preview/a4f2c002c6c647e3e680db3d864e290aed4aac2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs (30th Anniversary),6JxxRxzjsOTtKVie29FTt2,24,not available
29,Fashion - 1999 Remaster,7mYLWNbY4Vg8BNaxNvABMn,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Scary Monsters,53YfKqwV8lphizo06QSxEe,7,not available
30,Let's Dance - 1999 Remaster,0F0MA0ns8oXwGw66B2BSXm,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance (1999 Remaster),37KYBt1Lzn4eJ4KoCFZcnR,65,not available
31,Modern Love - 1999 Remaster,7LyIoUsiMtelB1I0I4drEF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance (1999 Remaster),37KYBt1Lzn4eJ4KoCFZcnR,62,not available
32,Fame - 2007 Remaster,7qVOasZcHa4faF1TqvPEKF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Young Americans,3VHW81P7SsBqPBGjiCJRXj,9,not available
33,The Man Who Sold The World - 1999 Remastered Version,0jx7r5OF2yEXUyRArwlKzS,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Man Who Sold The World,4hCuee6XJrhXfeedeoEv7r,2,not available
34,Oh! You Pretty Things - 1999 Remastered Version,4UPBIL7XukyiFvovtrRYVN,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory,0vypdDHTQsoVmVu8OgXEly,1,not available
35,The Laughing Gnome,0Sbe1qsUZzZDnmssT0PNiq,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie (Deluxe Edition),7qhsv50p7oe4jl5DxaljKq,0,not available
36,I Can't Give Everything Away,42bQZnfDGmejgB5elWY3QA,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Blackstar,2w1YJXWMIco6EBf0CovvVN,48,https://p.scdn.co/mp3-preview/4f13028d3000c4ad2ba8d7f42373ffcc2f5111a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Life On Mars?,4hcBJfogkdbHWnA55xSVRG,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Best Of Bowie,4SFOg7ds45qWIsgzpbhXJf,5,not available
38,Station to Station - 1999 Remaster,6nuMrKSzEvs7zGViixpDx1,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Station To Station,7Ce9NBNo6wHUKbvZS41NOH,0,not available
39,Ashes to Ashes,1JHUxxd77M4ViaqJZfBdl0,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Scary Monsters,53YfKqwV8lphizo06QSxEe,13,not available
40,Starman - 2012 Remastered Version,5AIYDx0HUjra5Bn0vZtjmd,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),0745mDdMqet9J5nO5x7IQS,13,not available
41,Buddha Of Suburbia,050WzEAzwEQV87v8m1Oqnb,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Buddha Of Suburbia,1ffVrnHH8i2POp5M7AzEDi,41,https://p.scdn.co/mp3-preview/ed674c7c5012aa6958e4a28cdcb0290d7edc8243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Young Americans - 2007 Remaster,2mAguyBQ2Xey2yOmwIpL3B,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Young Americans,3VHW81P7SsBqPBGjiCJRXj,5,not available
43,In The Heat Of The Morning - Stereo Mix,6z8pNIF9MI1mfLt21omvwQ,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Nothing Has Changed (The Best of David Bowie) [Deluxe Edition],5CeaUy7mAbMw3nMI3ezmie,16,https://p.scdn.co/mp3-preview/ce65e0a94fe99ea3eabc9b75c6b0e206534f8ef2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Suffragette City - 1997 Remaster,5SGUuXVCrrvNPT630SMiyF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Best Of David Bowie 1969-74,3htuY0OiwfkMfM6NJCRyrI,28,https://p.scdn.co/mp3-preview/98949e1a49809e2eee2572ff7786819d71f48ce0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Drive-In Saturday - 1997 Remaster,5p96JyqlPytzz51NakIc3f,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Best Of David Bowie 1969-74,3htuY0OiwfkMfM6NJCRyrI,23,https://p.scdn.co/mp3-preview/ee52dfce0c183bd4491348ce0e22671f46496118?cid=fa83a2fec7c440b7a2795d600d6b2c7e
