La Face B,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Fendi,3VGfCY28Yn6nI2TYQimtUg,Geeeko,56sq0vXlZmTpjbEReOfhMX,Fendi,36nOxiEIwUGG9x1CgfWWn1,32,https://p.scdn.co/mp3-preview/5122513e8f8937f12e6edc384098c2c9409904f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,PISTOLET ROSE 2,4TuY98D8jZ1wJDrG58e9qv,Alpha Wann,7yeFMUrYTY5cAZx0GKXnti,PPP,2IhyR5rtAxPU7BmuaxwjQ1,62,not available
12,Parigo,3ll4t0mAv9wf1Mp4VghEFE,Feder,5KnoVkIUGmK0PiDKMjz2LM,Parigo,0Vug7cDWsOzaR9sJ7oF08l,56,https://p.scdn.co/mp3-preview/db66fce531d60347184b020a870ab76324783688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Loin de moi,4V7msDhLfcDnSWG6uyfg82,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Loin de moi - Single,4VOC8NVp6DLocoVaM4hA0D,46,https://p.scdn.co/mp3-preview/6c3fcc81e18da29711a601b0aa9a768ab180b1e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Attila,1XxoY3UR0pRlKZ95LEv5gy,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,FLAG,5UVNJ6QyEjGLP2rBWO5oRI,51,not available
15,24H chrono,4V4Q9MrfgxA4JuMIldLCTV,An'Om,3rF2ZcZCcwYluO3h9wRP22,24H chrono,0F0RABl9x7zXMrbdhiRmVK,49,https://p.scdn.co/mp3-preview/55f5df46625ca1dac8bbe7f9682df5865d2ccdca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Balle perdue #1 – Intestable,0yzssIkXoTvGDsp2QhPrIy,2zer,7Iw6TwPkS7bja1OrA3Neal,Balle perdue #1 – Intestable,6AsxZgfU6SNqBM5nwcTNZ7,17,https://p.scdn.co/mp3-preview/a1c0c068d4fee8a51024c5c0bde31070673c8bba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,BAD DAYS,3MMtOzdktjD42RODOvnQKA,Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,BRUTAL 2,0Z8bCHPXxxukmYWFFfsXFs,60,https://p.scdn.co/mp3-preview/fdaff36cb144e3d39143f9d52eb5bb9ee97042d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Fleurs du mal,7tr2DmE5hWonZk8mxXc7wq,Senamo,2RPfjjkSe3N9gmyGk1ZBxo,Fleurs du mal,0E2BRmalXxERjO6QtPPPGP,31,https://p.scdn.co/mp3-preview/d6ee1f4c4f4d909e9756179d3cae126672e41c00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Côte Ouest,3Mh8i4PuCSWCcEixTs8keO,47ter,0aXaZj4wB5jLF2E2d8WEVi,Côte Ouest,4DC1BvbUTatxlTQ6jReaYe,54,https://p.scdn.co/mp3-preview/539eb5ef34f2c841ebc6c4e2431ca5ccdf7899e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Rien à perdre,0XdujmsCJCjrOGdqVmTTDk,2TH,5FK0v12GGmqj8kzmiWDPRT,Rien à perdre,2hfCi6uAKKF77iTzCFuLth,53,https://p.scdn.co/mp3-preview/ccbf98ad21f33a84c0aac1a8ba4fcf2140437f5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sur ton corps,08uNL8vAEMwZ9rOJ2t5GR8,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Sur ton corps - Single,09N8vJtr6qalO9yYpif5wq,61,https://p.scdn.co/mp3-preview/8cd76c590f771cc53f49ba3f3f54bfa01e7585b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Nuit d'été,0wvFXyyiMHDx2WnyPWdLd8,Chinwvr,0FO41jGlT3izLX7oULFUlr,Nuit d'été,2Sc1FhQWn0QHwcslYaoozu,41,https://p.scdn.co/mp3-preview/458dc3b2f9e36353b372bf7c3f41fe724bdd8df6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Visage,2whtMd0vil4uFNgQ8UVVsb,Di#se,0MFhyRGfvCMLTlW8HtKIzV,Parfum,3baZzDBEcJmbrQJZwGAh53,33,https://p.scdn.co/mp3-preview/5d4c022a45809a8cb944e6a2869781d46a9b7e0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mourir demain,4DPcF4EaKZXihfkjzh2aWU,Fadah,3Ynhr0fF9z2Iz5tQFxjE2O,Furieux,2aKSISgH05EwF2Dgd29wDM,32,https://p.scdn.co/mp3-preview/1488b5455d3420f2a40f03ec739329dfe7461cae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Épisode II,6HZRxU1Qe2SCDKysFrtOnj,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,Épisode II,4gQjsuHRjMP4TTWuiFzv5z,37,https://p.scdn.co/mp3-preview/6cbe533974d6def6ce8378bfceddb9bdbc45a20e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Cœur noir,606Z2amn27gt0TpQS5It4V,Falcko,0U4UrgHYuU5CiuJoMZf4fl,Cœur noir,2Ifz7gdivrQC0wNj6p1Fvi,48,https://p.scdn.co/mp3-preview/cc52f0c4dfbff31a138799e279c4c7c1ec4d60ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Le vent de chaque saison,2IXVsFTBl8obTHeDEZTNPd,Josh,6nqbsvHdj0s0m3JVobStqm,Le vent de chaque saison,4jT4h92azjmLGLO7jg8wmq,43,not available
28,Même les monstres rêvent d'amour,14lD57FToG4KEuehZ9DWPs,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Même les monstres rêvent d'amour,3Ir8WVLtIoAUGVaDwzJH3K,62,https://p.scdn.co/mp3-preview/0d7d0fffc1d4c21e54b5089564614cb03986206e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Noir & Bleu,5lGaaRdiImolGH1nfX1i8s,Bekar,6wjkiUBMMYSIx5UBTp7eKC,Noir & Bleu,0LAdHR1iZsAlSejIjRneu7,44,https://p.scdn.co/mp3-preview/fb7c88a8bd6af935c055c078b3a52769354d0c24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Velours,2ICRMSiAeiObeftJtOQA8c,Zed Yun Pavarotti,2TM7WyJwjfD5wKyX9OtIWJ,Velours,1drogyaOxxLM8tbJwJeaZ5,41,https://p.scdn.co/mp3-preview/139fd8982ba71a753f6c71cf0a344033559b2ccc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Legend,3rYxwM062wXYnouwnXWBhE,Stress,2piHSX9fKmsCD8tbfX1cJg,Sincèrement,38OLdY9yQahmLHifwmTD3i,40,not available
32,Pour du beurre,5a356sCDWyeP0QcyFbRLtd,Spider ZED,4kAzmAcboZ0F6bCCb4jj8I,Pour du beurre,5dOaWaNypWy1rz7sY6F76c,42,https://p.scdn.co/mp3-preview/3d137a8d0848b8b10a1d40ca46fec8cf9ced90b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Rebeu fragile,1KifuJ2vsrOpVtFFMt9Ngw,ICO,5VkemxUDiz46ZHPdvh0LX0,Rebeu fragile,2OjLeHPZU3499s3Dtm0Dc0,61,https://p.scdn.co/mp3-preview/377b5dcae9dbc67045b3cc277c01e826190f8c35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Drôles d'histoires,0SWfTJGVPrAwb3B3iCHnml,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,Drôles d'histoires,5Wb10TCRsqEGUiTRfmXDTQ,43,not available
35,Intéressant,67C7LNxnD5Uw7BmLcvyJ74,Rifa,7syrxKncMH592h3hwq0elv,PPB,1e3t50c8INaC552gSIJ4Q3,41,not available
36,Tu le mérites,1hlotHnH1QcjUZ5IUItk6W,Luidji,3bRGJQd7b4lE3ZAEMfOXJp,Tristesse Business : Saison 1,4Q8ppjiVIpnjBLfe93MLQa,54,not available
37,Trop beau,4WB9OeauHXnGOMUK4s80gM,Lomepal,1Yfe3ONJlioHys7jwHdfVm,Jeannine,0n4P6BsuT61HgsKExU0i1R,71,https://p.scdn.co/mp3-preview/d3896e4ef817798645747ce806fbcbf21045733f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,C'est pas grave,2A4sIzDJxZmHALe3iqqeFw,Columbine,5AAzeysphag0NxJxLbbVla,C’est pas grave,17TuaZsWcfot5a4Jm4prCL,59,not available
39,Noir et blanc (Prisme 4),2T9Cqry6lkzKsdq6SDI9Na,YZLA,7G4YNmyV2c3AdWJrAkJ79E,Noir et blanc (Prisme 4),6hpG3zSl3UDZUxOpzz8zXv,41,https://p.scdn.co/mp3-preview/dd28f14c95191114512456006b3e70eae585083d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cyclone,1fgmVaRCQsVeFarY1WhuOg,Salek,76GKDHuYgf0cIxEkbi3AbD,Cyclone,3OxB1HaDy6FqZn4UKYgYwU,34,https://p.scdn.co/mp3-preview/a75c5c17ce2a2a682b7428a4044f1ea658da6bc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Téléphone,7ET2i4dF9fbmrcUvwJrJ2k,7 Jaws,2HXioEvQuzCcNmRsImBTET,Téléphone,6jcXxJITCqRMEEW5Dtue01,44,https://p.scdn.co/mp3-preview/f7d443e5c4aed2a1a67100c2139e0fed3cad6e09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Purple - Double L #2,449z06SDXb4lMEPaX6FJRi,Seventiine,6e8flkZ70WOzklwhYol7qA,Purple - Double L #2,5n4n0I6TpQCciNarzb7FyG,39,https://p.scdn.co/mp3-preview/47702d4e85118b82b05751c088c178ddea4131fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Brûle,6uuslA9uKlA6cFt9wWlcX2,A2h,2ktpq7bp4m1quizyEmp4r1,Brûle,0Zjl1newesMIsO3OLDvQ2X,45,https://p.scdn.co/mp3-preview/3d15630e65c3d3c30d2aa72b92e15fca58311bec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,SCHÉMA,5MUtdhPXuNTiLjWgrdPuEC,Sneazzy,1cA379ILgR07m7XQVXyP6Q,SCHÉMA,5gN0290UpiM1wrT8J2wcd5,60,https://p.scdn.co/mp3-preview/240db3f85743aef7566941698c25ea809f75ed7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,NON STOP,5vX0IkUGbaT0FxLeVb80e8,Sneazzy,1cA379ILgR07m7XQVXyP6Q,NON STOP,6W57sfO6ZdBSX895l3Q3cY,59,https://p.scdn.co/mp3-preview/70afb9b6718157041de10c0f4cac2813b4b2317f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,"Ciel (with Lomepal, Shobee)",649ssrjwPejsMkoEHinYdG,Naar,2iHkY7NEHJSOF6O7rQaDww,Ciel,5pA1NNPxIcqaXcbX4tmdPO,54,not available
47,Mômes,2FRnrkO72S9tbqu6eLjq6b,Lomepal,1Yfe3ONJlioHys7jwHdfVm,Jeannine,0n4P6BsuT61HgsKExU0i1R,67,https://p.scdn.co/mp3-preview/44117d8197c9c90b7407d1afee4bc63ae215ea99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Plan A,2tMRJD4lBWzuML6Jto25av,Mercy,0odAVjaMV3J3JtjYnNRYxO,Plan A,3lZzkKuRRELUA3oJMj9f7X,36,https://p.scdn.co/mp3-preview/7bddcb235cacac04d37da0d01f8340261f3754c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Soleil,5SNfvgi4TUwx4Si0lFn3G2,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Chocolat,6hIAy4WsqxwWnGvZYdjnHO,75,not available
50,Minimum,5Y8WcTbpJZU761QN2jxy5M,Nemir,5f6nz3iqzrfiUfKOIKvLvd,Nemir,5MybWQg3uL3MisCqQefEnj,51,not available
51,Enfant du pays,17Mse9Z3Xz24BzyguTxXZY,Gianni,5W9ShLREoRMuXqSSYMeHqk,Enfant du pays,0UqB84R8BsCVI4K2tuEJxy,48,not available
