Pop Rock Shot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Miracle Pill,7Az7CZGlPdRMq8E4rfOAS3,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Miracle Pill,6YkjHyoVbR8Qx9STl3veBl,59,https://p.scdn.co/mp3-preview/10d4de87e78f64958d454f8a880623bdcd5e3c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Humans,4gwn7B6ycyStqUeNfPbYhM,The Faim,6VsU92soWFLtVsSP65rkrN,Humans,54nfADnjBndwE0YtmgdX5F,58,https://p.scdn.co/mp3-preview/11b200a4d2c0576b48e383b1469ad24074bcca2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,CHAMPION,3FnrpYP8QSbYXbp8i8UQKO,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,CHAMPION,6aBOJ17zCUODL1PO3LUYSg,65,not available
15,Leave The Light On,5ngkxE4PtED8B5OOYnkeyu,Zero 9:36,1V599H9vfq6hWe2hGzyzI0,Leave The Light On,3CbVZawW2OHFBpeAmiWIFp,58,https://p.scdn.co/mp3-preview/011bf19762142371bc6ef397556c05e8c11b1fed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,BOOM,3kosv2SiE01oo3QxTDJUtb,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,BOOM,2ZzDO7X13o016TH1z3wH8C,28,not available
17,One Little Lie,1CtlK5ajs2MVmZyq3vrM3A,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,One Little Lie,14VYAGYdnzIPtV5F2JxfwH,52,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Bring It On Home (feat. Phillip Phillips & Maddie Poppe),7J1J3w67B0VEjF4jj0NzmE,American Authors,0MlOPi3zIDMVrfA9R04Fe3,Bring It On Home (feat. Phillip Phillips & Maddie Poppe),6Qw8s6SvElvHu8usSD71lP,58,not available
19,Roaring 20s,0wdV94AXGRphrbkDWLNzVC,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,69,https://p.scdn.co/mp3-preview/2ee94c5fed3c87e01b7d5cb97cb2739c9091e426?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Only Human,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,88,not available
21,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,81,not available
22,Wild Stare,2SClPoLfPJmwrr3EyfgRTS,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,1dNicYsMG4Beogrx8blBYZ,68,not available
23,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,75,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Home Alone,4YkQnt0L3Zz8brw3Z9WElf,Walk Off the Earth,6jEiUoyyJNPHzSR0Nib6HX,Home Alone,3JoVfhCMSOFo0zYG8ouSrw,58,https://p.scdn.co/mp3-preview/916a7a86036b2976b41315bb66a5be9d1a8e079f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Never Say Die,0voZNx2tgpOqiOvJQry4nF,Stealth,6f3R3mqKR3kHp1KBNMUn80,Never Say Die,3YIfJz128lukt9vQg0ODXy,39,not available
26,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
27,No One Knows Us,0r2qWobW2xckEaeMbGU0AU,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Where The Shadow Ends,1Oy5r0FpHWcYaQZPvsYaWs,55,not available
28,Doom Days,2kz20xeZlT3nEdsUcgzc8q,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Doom Days,4qsCQff81LVV6L51MmNYeA,50,not available
29,Parents,3zR5cAShCz1ugKIWXGTjI3,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Parents,4geuVXAUnmfS4GXRHr5vve,77,not available
30,Blur (feat. Foster The People),653SgdD6rQ9YPtsqRgQVzm,MØ,0bdfiayQAKewqEvaU6rXCv,Blur (feat. Foster The People),4HllYKJ6UAchXK6qLPtPYP,64,https://p.scdn.co/mp3-preview/ab1731097ad1e46355e802ca926b5937172bc582?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Down in the River - Radio Edit,0L2qqaT3rO7DjuBThrPShC,Telegraph,6jPQ9UDEbratb1Sys0sovL,Down in the River (Radio Edit),0Su3r8fTgYhrhXIO0Yadyk,39,https://p.scdn.co/mp3-preview/fe760c50431483360d762b1ecff14fdd6c9c7c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,85,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,Hotel Diablo,0bJIHF1Or1YBLFBMwv53K2,82,not available
34,Dear Future Self (Hands Up) [feat. Wyclef Jean],3Fm4KEBiLmj4e3x4Qqv7W0,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Dear Future Self (Hands Up),7u4VcQQ0tr36gfYmwdtF9K,72,not available
35,Lonely Generation,5PrQz1g8EEEEVmRGP5GQ8G,Echosmith,1PbBg2aYjWLKRk84zJK15x,Lonely Generation,6ERJpL0XKvLvMZaX2oDu6O,53,https://p.scdn.co/mp3-preview/cae87169da4810116ec4a277e8863fb8e9a5c544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,OCD,0qBiXX7EJHTajPG3lJX73x,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,All The Feels,73hQB56aBFJTHE9vshSCLg,59,https://p.scdn.co/mp3-preview/0e0e2ef8448a55c442dd45382059ad622513e84a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Brother,65gLJGey4u4KFFqoC5fzFJ,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,Politics of Living,1ITjhViDumL9llxAJYdKiC,64,https://p.scdn.co/mp3-preview/e4be7bddc51d40f8c56230725d7f77ca7f34ab57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Kill My Mind,44zoniDjX4tfoAeYrnA5XX,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,Kill My Mind,3Sl0P2mflTP5e2oQUj2fBp,73,https://p.scdn.co/mp3-preview/4c2c8cbbab2913b01344ba4d4c6a7eab1399ea7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Somebody To Love,0yc37FvbXRwwFaQxzpxbsd,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Somebody To Love,1YjQ5Q5ptRnQcT4P6nSCyt,78,not available
40,Hold Me While You Wait,6700Z4Izi8EbB6JNthU6Ma,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Hold Me While You Wait,1yDDPX98edTDjG5hFqY2xL,77,not available
41,Got It In You,3og4Q2XDHXowizKTDdn9vO,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Got It In You,0JReeudBVM7GFqC97DhBsj,62,not available
42,Just You and I,03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,What a Time To Be Alive,3Qa0qW4ged1J4HGeLXbFsC,71,https://p.scdn.co/mp3-preview/c6bb499f1f4754937f694cef3870969014b0d814?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Fools,7a0VLUciBUdE2RmpEnod9O,ufo ufo,1TsvuGn3XJ4F04fRavTonu,Fools,1pKwcCYYMtYWsKnXvpmNYP,58,https://p.scdn.co/mp3-preview/9bc29627e328729192ace8ea391ec2af759800a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Beautiful Drama,38SDejGuFWMELVl8B9Ut4B,The Faim,6VsU92soWFLtVsSP65rkrN,State of Mind,0C8bAFI1POhzztBVShuzll,48,https://p.scdn.co/mp3-preview/9b51e1a7589743ec2a8c2a6b2785cb7940072cf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Record Collection,1xmMcAcwZdOS7r0Eurw15a,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Record Collection,663jtJUXhWADRwBLDZe3fV,54,not available
46,A New Way,0qfFhl3d2x5ttzIxWggvNg,morgxn,034u8Qcs47NHkRQXaWkLXW,A New Way,45E35VKMcXbiuRYUR5MTxJ,52,not available
47,Hallucinations,7zpMz3am0n83WmDxVqp9GQ,PVRIS,6oFs3qk4VepIVFdoD4jmsy,Hallucinations,7sT2KnQBRad6Wd9yeEYyuL,65,https://p.scdn.co/mp3-preview/a52b916d4e3bdc2756a4deb91dfbff9a2d3db72f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Hype - Alt Mix,7Itd8eCaUVtRelPuCkXYhS,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,The Hype (Alt Mix),36yNEpiZYBDNUAuhh7QhoQ,61,https://p.scdn.co/mp3-preview/9c1f52d3eee7a7699c6ddafbc9c8db51104ffa96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Now's The Time,5LauJCok8UqqmVaYUl2hqn,Moon Taxi,5DK8eK7fjvRsziXzyr3sFA,Now's The Time / This World,2Hd9uC27KfuVTRo4vECgQY,49,https://p.scdn.co/mp3-preview/b5b73018b79e5eac64ad10af0fe2dd9dde1dbb57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,High Definition,2Pi7PgyV0CsV2E7uAfx7gY,Waterparks,3QaxveoTiMetZCMp1sftiu,High Definition,3fuEDlz9xcPzsVIBAlVSOQ,58,https://p.scdn.co/mp3-preview/1a444df3d56ebe9e00fda076db8ffe12357da57c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
