Génération 90,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Mon papa à moi est un gangster,230WQfgxWrDowOttZT7Lhq,Stomy Bugsy,6vDYFCXQbWPqlUEyBaVbMW,Le calibre qu'il te faut,5IuN6I7Al7EaSNEhlE2SMe,46,https://p.scdn.co/mp3-preview/09084d794ed3abb763b3f4024144971c3eda7155?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Tombé pour elle,07gFLTMX3yKbk2obcMGVxo,Pascal Obispo,6XPs6CAjfdxIFrVVUFRrAS,Un Jour Comme Aujourd' Hui,2WhEnOQI4OZOadc0LXJ8WO,54,https://p.scdn.co/mp3-preview/089009c06dca43aa5bae083612a9d7fcd10458cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Le paradis blanc - Remasterisé en 2002,6N6uTt8e1vLLgIZK5FgSYh,Michel Berger,5skauLarl8sqqUFypECtP4,Ca Ne Tient Pas Debout (Remasterisé),2X3NWw5yXoj2yJJIGvFhKM,55,https://p.scdn.co/mp3-preview/3d38aeca5bd3aed4a9da1a01d161f2788cff26f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,La neige au Sahara,4r9u9QK7KOEXgOmt3hs57g,Anggun,3ahVFszO9ucf8JQLCNQeYA,Au Nom De La Lune,3V6bGCv4wGLpbUsVn4kfMC,42,https://p.scdn.co/mp3-preview/9782536f0756f14b9d5cc2a4c8d92fa2cfa6bcee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,L'Autre finistère,1qwq8Qs7ALPQwQ3xCXltJd,Les Innocents,4yBNT94b6M3yRNVLIy8RhP,Fous à lier,2e2A8bi5WSyXd4sL2kSBT4,1,not available
39,Suzette,4AAwQy6zMT18yh73S4CZvU,Dany Brillant,2js7kRsBUpGEDcr6CeGAfa,C'est ça qui est bon,0fjq4bAiTCYuRDI3bDlkCJ,43,https://p.scdn.co/mp3-preview/3909b50be26b6517b1c0a33a43da298f7b696966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Daniela,1XeTkG4QdxJMbGYqbtGdGC,Elmer Food Beat,1scwxd2WrAOSgUDm89YMVi,30 cm,0tA7XIB4BRCCUMGSaX2xfG,48,https://p.scdn.co/mp3-preview/859d4c68ef13f19367bfb054966a9831dd75115f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,La cabane du pêcheur - Remastered,6yyBPctdUt6eXdRz6DCCRl,Francis Cabrel,5uo5NwSONVNfvSHHMQrHAv,Samedi soir sur la terre (Remastered),4KXrFpUXZO6e5RdZ70HaK8,51,https://p.scdn.co/mp3-preview/20517a059404e9e54eb34e3ce7c689c8bb6fae78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Balance-toi - Radio Version,6ZfrnowxbITds4rttdhEje,Réciprok,6bp3RLqgKEQTWPbqws84X5,Il y a des jours comme ça...,0r2GeqQOV5AU1oHYwz65Xd,37,https://p.scdn.co/mp3-preview/571bf75b94107f7a2b91b6265fbc4e77d8c2ae3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Saga Africa (ambiance secousse),6ouQVLPPEplvVA62uXh2ar,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Black & What!,1LW0ltlrrFF1LjHKVGfW6K,42,https://p.scdn.co/mp3-preview/0683c05bd9fdaddbd263cf6d3b78966850848c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Tandem,25OwpdcXx3Ash6MvxcjaY4,Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd,Variations Sur Le Meme T'Aime,7cX5HHUqHdFK4nJqqJVtVU,1,not available
45,Je T’aime,28mwuJqKOjRpqo14GuKSkj,Lara Fabian,7ocwZINHqO9DZJgFtc1B20,Pure,1VOw4yLcyAgwPR3dGPXRnm,56,https://p.scdn.co/mp3-preview/ac2c369402e04366ba91a9919139755bc3802f88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Nirvana,7aVlhDQNBEDVye653bUDeF,Doc Gyneco,4GX9CqwqWtb76wuXwbXR6b,Première consultation (Edition 20ème anniversaire),0VB37oH6NUjdAlKlpU40yn,45,https://p.scdn.co/mp3-preview/664dc1895aaf9c99696174c636866df7c6396f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Parisien du nord,36qApX3rBxPZE73GuMkrBn,Cheb Mami,6vZXamchcIOKzC1c3Elp4J,Meli Meli,2VdjS07TqCEyccPRo7snTQ,46,https://p.scdn.co/mp3-preview/89476a6766188dd91538422310b7f4ca363bba74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Les Derniers Seront Les Premiers,32Qsu5EDr6ULaQFPOCmuOI,Céline Dion,4S9EykWXhStSc15wEx8QFK,D'Eux,0DdTKXdgMLcSqccdyj6D9p,43,https://p.scdn.co/mp3-preview/660923df09ee4c1580a4ad351effb26cefe08159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Colore,5QkAG51e0DdYPS4GDwV1Av,Les Innocents,4yBNT94b6M3yRNVLIy8RhP,Post-Partum,7mj1t3UpNTj8KjlXrwkTV8,1,not available
50,Foule sentimentale,2W4ZxAHZAXOf6r65pCskGR,Alain Souchon,5LVp2pGNzmOQqXzziBBR5x,C'est déja ça,2aZRmXEvD458ZCk1C0Wdu5,60,https://p.scdn.co/mp3-preview/6296841318a73fe6514c0cf0fd5e41dd7afb1319?cid=fa83a2fec7c440b7a2795d600d6b2c7e
