Maximum,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Heaven (David Guetta & MORTEN Remix),37bCTD5iLWMpDcBanNkkXB,72,not available
32,Piknik - Radio Edit,3nwwzrNmmcTt5nSa5xx2S9,Riva Starr,1TRFAJu3Cw64APToZaGk9D,Curveballs (Radio Edits),3hwrko0sqDNXJp0JNugxHS,45,https://p.scdn.co/mp3-preview/dbebce066cc6dc904f993619d7427f01bc69872a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Your Mind - Radio Edit,2zDCZ8jY4kjuUZbVROHaZj,Adam Beyer,1btv9qmIpbp7q1ixCYNdHu,Your Mind (Radio Edit),6BNSdC8dtRuxoarxB4hMf0,58,https://p.scdn.co/mp3-preview/97f7a855b3c489cc3974f2bb58051ff119be0eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Work It - Soulwax Remix,6WfL1pwMyFf3IvFWLnre4P,Marie Davidson,7xJVICbAWizNBKBD3mRWjF,Work It (Soulwax Remix),074U95kLP3roPuXrpjTYtT,59,https://p.scdn.co/mp3-preview/3395ed241e478555b4e248c89d531295db2ccb55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Joys,2owws8NRqfPUdIn3Uag7Yp,Roberto Surace,4Peqx8CmkLiHHRCfm3HR7G,Joys,5dwpmQPOTG6rm25LfSXOR0,67,https://p.scdn.co/mp3-preview/bb39c607a9b0b049ad497f4d4b195494712f1fe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,E Samba 2018 - Verao Edit,6V0rysGNFwwSRXInucmhks,Junior Jack,583EYzsIVCz1HsEKZbuJ1k,E Samba 2018 (Verao Edit),21kIeiqWeXpzLOGstOYB7r,44,https://p.scdn.co/mp3-preview/6d9cfeeb163680c035e57be91d8296eea4190a96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Lick Shot,26xW0lqwFci1qvXlaNtQOZ,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Lick Shot,0QMSmgg61vWHWBaoLcwHes,57,not available
38,Nobody Else,7g2WfNLkwj6QeYmXleHUvi,Axwell,1xNmvlEiICkRlRGqlNFZ43,Nobody Else,4SW3KGD7jWkFXw2Isyk6Cw,63,https://p.scdn.co/mp3-preview/4c022b34abd58a3bd2d39087da3d4b84549ffb48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Music Is The Answer,7poDCUphuuR4mpZ2iqbxcm,Mike Vale,7lBH4OmyQmpmrbp0Tl95pk,Music Is The Answer,6lpjui4oj1FqGPj7N3MXp2,53,https://p.scdn.co/mp3-preview/5e9bc8a0971910748ef48198f4919023d8c33ad3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),0Y59j5oCvwTM2aNyPb6YpJ,84,not available
41,Get A Funk - Extended Mix,3An28oQd8zBGCNVY8eEI4G,Mendo,0Vg2GA2WmLIPXILz95CS03,Get A Funk EP,5FNFydCqG90AKD0dtDVKMp,38,https://p.scdn.co/mp3-preview/28228629bc79b2e4233a45f00495b42235736af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Breathe - Cristoph Remix,5d1KPI9gcAZsM3ynSErGtg,CamelPhat,240wlM8vDrf6S4zCyzGj2W,Breathe (Cristoph Remix),2OQTsG6R6tfkHzDONaaKLE,51,https://p.scdn.co/mp3-preview/1cfbb218d1adf9c46b3b3d03f51d9299c3306eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Beautiful - Club Remix,1nxonkDZPxjcexDIaTMn2M,The Avener,0e6qzpphJHtObTSwD75mi0,Beautiful (Club Remix),4cJwQYreumxoMWJf4elVpH,43,not available
44,My Best Life (feat. Mike Waters) - Club Mix,78XfOXpUShe7mFwhjBEd94,KSHMR,2wX6xSig4Rig5kZU6ePlWe,My Best Life (feat. Mike Waters) [Club Mix],499pxoME8SyDn5lwogpwrE,64,https://p.scdn.co/mp3-preview/ff7dc8f8e3a7cd826fc9b3f7841b348433ea1186?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Pump It Up,2DlQ8oYNzWVKUj0c4pfC7t,Mike Candys,24Sxfn1uAoJmuR9N72drt9,Pump It Up,1uKohudCLWM1TuELR4pZgO,51,https://p.scdn.co/mp3-preview/9b160ad97f6e369c55b99f5358e451ea5de89b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Oblivion (feat. Amber Van Day),3HNs1UAn7OZQiby7DXTIYl,Love Harder,09JJrjk6Mr5ZYwk1mk7aEb,Oblivion (feat. Amber Van Day),4xG7w6o7w2ah1W2a3tPgaV,69,https://p.scdn.co/mp3-preview/c72e19df86425a9b05cc63a3c45035fe87aca2c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Stars,1UYeBP5nafTM5uKcoKkNTN,VIZE,09agIJMxCD2k87ys9Al0f0,Stars,14P0pGZFYQYZdfd9p52wIl,60,https://p.scdn.co/mp3-preview/c1fe6ce316140d6ea981b46970c9767bc930432b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Mistaken (feat. Alex Aris) - Club Mix,1cN45YtJost0rjvbseomXj,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Mistaken (feat. Alex Aris),36EtVEn1SVViW6Pi8rD9n8,53,https://p.scdn.co/mp3-preview/288b2db244d50e9ced6e021a22c0ff6005b429e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,No Goodbye,5gwLIRjGFf3hXuHoKEsWLg,Paul Kalkbrenner,0rasA5Z5h1ITtHelCpfu9R,No Goodbye,1ix4O6SU7i8W2H6RYb3O8R,68,https://p.scdn.co/mp3-preview/26ecad285328bdc14b1a14fbc3693b53841ebf61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Feelin' Good - Edit,21zXGOxNM8ONlvp9P1hCP1,Laurent Garnier,3y1SoTOdrmRNTBVph5T0VZ,Feelin' Good,3AQS7MViSkfMJi1f9RnMLX,42,https://p.scdn.co/mp3-preview/81f17e4d1019e3671b0b4ec8d4e48e4d6e135e81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Through Your Love (feat. Mr.id & Kawtar Sadik) - Extended Mix,1QDTajtWBca20z4NQmACKy,Kaz James,1XGHs7YFtpCbDGKaNdPPtA,Through Your Love (feat. Mr.id & Kawtar Sadik),47LbnqAz2CQ7fJ4NtBDvv7,37,https://p.scdn.co/mp3-preview/d3b71f5f9c0430cbeaddeb934c57b28fb17da19b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Be Someone,4esEsg9IxiTAGMBQLe9XOu,CamelPhat,240wlM8vDrf6S4zCyzGj2W,Be Someone,7x3X4EQy3RgIS4AGopCyEH,70,https://p.scdn.co/mp3-preview/e6dbccd8bcdd098b9d00d83817a71cc0ffaa4832?cid=fa83a2fec7c440b7a2795d600d6b2c7e
