Radio 1 Rocks (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,The Way You Used To Do,7dBMQbBKG6n9HkVXkUKnhQ,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Way You Used To Do,6HiS1OC87eIa2QJifFSrRi,54,https://p.scdn.co/mp3-preview/e0554425f35d7605b1ded2fe6062d84a7c879c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Where Do We Go When We Go,2r9eiXCGYYeflhtr4xzkOr,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,Where Do We Go When We Go/Happy Judgement Day,6zSCQ7iTPIln1W7MwOtMR9,35,https://p.scdn.co/mp3-preview/072cbda166389593fa70cd2e5bc2a284489a2457?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Escape Plan,6mhqfaFWJNuuoQjMps0c3o,Tigers Jaw,0tLaqkKW7K6tc3QF9SM0M8,Escape Plan,2f70BDC7kVDayAHRV0dpQF,10,https://p.scdn.co/mp3-preview/8662e3ee0c8cdb304adc68929706ce449cb40c20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Owning Your Okayness,5oavHr1Xk65ehSo43KPe5f,Milk Teeth,3i7Iv2QAdoCduoIZbWYCyY,Owning Your Okayness,5YpBTjdhtoDLUb174lJaFd,34,https://p.scdn.co/mp3-preview/fcbb6497a1885a9d9970d8f4ee706e914cfd1111?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Unbreakable,4fKAPa1mPoF0fE3C5tqQ2t,Of Mice & Men,4tususHNaR68xdgLstlGBA,Unbreakable,4c9SZQQSxQH3KeigAH2xP5,43,https://p.scdn.co/mp3-preview/3a9295f6b1fc6046fedf8c56618c3645d42f5002?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lights Out,3mkmTUcZtQxuKpyM44lGj6,Royal Blood,2S5hlvw4CMtMGswFtfdK15,Lights Out,7G48dtcmfU6QUGbf5Z3JuA,49,https://p.scdn.co/mp3-preview/a05a3d9109181eca8356aa4d8bebb03fab4d35b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Dreaming,1j7eobfo6RJsHd13gZ7a40,Bad Nerves,7IPyXY4ZHkuvQY1ny8TnMQ,Dreaming,04XHDWVYtT6ZOugWDRQI1n,29,https://p.scdn.co/mp3-preview/5ce395d104dde32e4b3744099e6a599123adec0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Sleeping Beast,7vbMc7y5hvzEDVRb7LWye4,Skinny Puppy,5Mu0EMEsUIVE132pNMywns,Remission,5hP80xpCSH8r0ASj8Giw8C,0,not available
43,My Favourite Game,3dIyXIZmmnQvPYmCOy04oL,Basement,4DUQBYAyOTZotSEdKhaf6c,Promise Everything (Deluxe),2Ic7SVaZu6loRXczS4VfYP,31,https://p.scdn.co/mp3-preview/5add6c44bcebfdb1fd338e361ada7767a87540fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Incurably Innocent,54HD3YAwMXf5rUt7ILg8xs,At The Drive In,5E2rtn57BM2WPjwak4kGd5,Incurably Innocent,5q8U1Itt56TPv2N8NosV5g,19,https://p.scdn.co/mp3-preview/8f0bf6dcd2489925dd632ebf843e29d4f0e98be9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Help,2arL1Kf2JBS7ms00JAz4w0,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Help,1u3l1hzGqPO1wPxbsZzdlx,59,https://p.scdn.co/mp3-preview/bc7456ee8dbd65a89a736d0846ab0629d1a046e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Breathe Life into Beauty,0sfjfF1whC76F21LqDGSaJ,Backwards Dancer,6OyirXFwzgaoriBErZyyUJ,Backwards Dancer,2uyQvUaEQOZ9ee4qSbQK9T,20,https://p.scdn.co/mp3-preview/cdf8d1fd22109ebf9328bc33a2c87a1c43336714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Show Yourself,4dkPH1mbx1OOLKtncPgJ0C,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,Show Yourself,0KxdIJxXofwKrxWYAz55dO,0,not available
